动漫 ID 一览表
========================================================================
ID      动漫名称                            数据平台                    评论数
------------------------------------------------------------------------
0       魔女之旅                            bilibili+bangumi        1033
1       颂乐人偶                            bilibili+bangumi        1003
2       mygo                               bilibili+bangumi        801 
3       gbc                                bilibili+bangumi        1839 
4       比宇宙更远的地方                    bilibili+bangumi         1366 
5       四月是你的谎言                      bilibili+bangumi         1352
  --- Bangumi 数据 (id 6~105) ---
6       攻壳机动队 S.A.C. 2nd GIG            bangumi                 80
7       CLANNAD 〜AFTER STORY〜           bangumi                 58
8       猫和老鼠                            bangumi                 25
9       星际牛仔                            bangumi                 80
10      攻壳机动队 STAND ALONE COMPLEX       bangumi                 75
11      浪客剑心 追忆篇                        bangumi                 31
12      新世纪福音战士剧场版 Air/真心为你             bangumi                 76
13      命运石之门                           bangumi                 45
14      攻壳机动队                           bangumi                 56
15      3月的狮子 第二季                       bangumi                 27
16      钢之炼金术师 FULLMETAL ALCHEMIST      bangumi                 28
17      机动警察剧场版2 和平保卫战                  bangumi                 46
18      蓝色恐惧                            bangumi                 17
19      白箱                              bangumi                 39
20      凉宫春日的消失                         bangumi                 49
21      进击的巨人 第三季 Part.2                bangumi                 28
22      银河英雄传说                          bangumi                 33
23      千年女优                            bangumi                 11
24      银魂'                             bangumi                 18
25      新世纪福音战士                         bangumi                 64
26      攻壳机动队2 无罪                       bangumi                 55
27      虫师                              bangumi                 19
28      银魂                              bangumi                 16
29      乒乓                              bangumi                 40
30      水星领航员 第三季                       bangumi                 82
31      哆啦A梦 大山版                        bangumi                 14
32      莉兹与青鸟                           bangumi                 23
33      千与千寻                            bangumi                 5
34      灌篮高手                            bangumi                 25
35      机动战士高达0080 口袋里的战争               bangumi                 44
36      明日之丈2                           bangumi                 30
37      大闹天宫                            bangumi                 13
38      四叠半神话大系                         bangumi                 29
39      魔法少女小圆                          bangumi                 42
40      剧场版 魔法少女小圆 [新篇] 叛逆的物语           bangumi                 44
41      虫师 续章 第2部分                      bangumi                 33
42      航海王：粉丝来信                        bangumi                 28
43      天元突破 红莲螺岩                       bangumi                 52
44      混沌武士                            bangumi                 61
45      葬送的芙莉莲                          bangumi                 37
46      奇巧计程车                           bangumi                 27
47      剧场版 少女☆歌剧 Revue Starlight       bangumi                 82
48      机动战士Z高达                         bangumi                 85
49      哆啦A梦                            bangumi                 13
50      瑞克和莫蒂 第三季                       bangumi                 60
51      虫师 续章                           bangumi                 30
52      天空之城                            bangumi                 22
53      机动战士高达 逆袭的夏亚                    bangumi                 60
54      日常                              bangumi                 32
55      新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你  bangumi                 49
56      吹响吧！上低音号 第二季                    bangumi                 29
57      红辣椒                             bangumi                 26
58      猫的协奏曲                           bangumi                 10
59      蜂蜜与四叶草II                        bangumi                 30
60      剧场版 空之境界 第五章 矛盾螺旋               bangumi                 25
61      轻音少女 第二季                        bangumi                 33
62      福音战士新剧场版：破                      bangumi                 69
63      少女革命                            bangumi                 50
64      瑞克和莫蒂 第一季                       bangumi                 36
65      猎人                              bangumi                 25
66      排球少年 乌野高校 VS 白鸟泽学园高校            bangumi                 20
67      蜂蜜与四叶草                          bangumi                 42
68      瑞克和莫蒂 第二季                       bangumi                 63
69      化物语                             bangumi                 38
70      死亡笔记                            bangumi                 60
71      异国日记                            bangumi                 46
72      攻壳机动队2.0                        bangumi                 52
73      轻音少女 剧场版                        bangumi                 29
74      英雄联盟：双城之战                       bangumi                 29
75      新・福音战士剧场版：终                     bangumi                 109
76      孤独摇滚！                           bangumi                 37
77      赛马娘 Pretty Derby 第二季            bangumi                 37
78      剧场版 链锯人 蕾塞篇                     bangumi                 33
79      ∀高达                             bangumi                 86
80      CLANNAD                         bangumi                 54
81      强风吹拂                            bangumi                 25
82      攻壳机动队 S.A.C. Solid State Society  bangumi                 87
83      幽灵公主                            bangumi                 22
84      冰海战记                            bangumi                 24
85      Code Geass 反叛的鲁路修               bangumi                 37
86      风之谷                             bangumi                 23
87      传说巨神伊迪安 发动篇                     bangumi                 57
88      辉夜大小姐想让我告白-超级浪漫-                bangumi                 39
89      无职转生～到了异世界就拿出真本事～ 第2部分          bangumi                 25
90      Code Geass 反叛的鲁路修R2             bangumi                 53
91      偶像大师                            bangumi                 124
92      FLCL                            bangumi                 76
93      3月的狮子                           bangumi                 31
94      摇曳露营△ 第二季                       bangumi                 21
95      少女与战车 剧场版                       bangumi                 43
96      吹响吧！上低音号                        bangumi                 34
97      数码宝贝大冒险                         bangumi                 28
98      来自深渊 烈日的黄金乡                     bangumi                 30
99      蜡笔小新：大人王国的反击                    bangumi                 23
100     幸运星                             bangumi                 49
101     辉夜大小姐想让我告白 通往大人的阶梯              bangumi                 38
102     进击的巨人 第三季                       bangumi                 25
103     我的三体 章北海传                       bangumi                 13
104     我心里危险的东西 第二季                    bangumi                 24
105     棋魂                              bangumi                 49

  --- Bilibili 数据 (id 106~202) ---
106     Angels of Death                 bilibili                445
107     Charlotte                       bilibili                42
108     Fate/Zero 第一季                   bilibili                192
109     Fate/stay night [Unlimited Blade Works] 第一季  bilibili                272
110     JOJO的奇妙冒险                       bilibili                36
111     JOJO的奇妙冒险 星尘远征军                 bilibili                23
112     JOJO的奇妙冒险 石之海                   bilibili                148
113     JOJO的奇妙冒险 黄金之风                  bilibili                33
114     NO GAME NO LIFE 游戏人生            bilibili                20
115     OVERLORD                        bilibili                30
116     OVERLORD Ⅱ                      bilibili                27
117     OVERLORD Ⅲ                      bilibili                33
118     Re：从零开始的异世界生活 新编集版              bilibili                32
119     Re：从零开始的异世界生活 第二季 前半            bilibili                39
120     Re：从零开始的异世界生活 第二季 后半            bilibili                42
121     世界顶尖的暗杀者,转生为异世界贵族               bilibili                23
122     中二病也要谈恋爱！                       bilibili                13
123     关于我转生变成史莱姆这档事                   bilibili                26
124     关于我转生变成史莱姆这档事 第三季               bilibili                124
125     关于我转生变成史莱姆这档事 第二季               bilibili                16
126     关于我转生变成史莱姆这档事 转生史莱姆日记           bilibili                23
127     冰菓                              bilibili                23
128     刀剑神域 爱丽丝篇 异界战争                  bilibili                42
129     刀剑神域 爱丽丝篇 异界战争 -终章-             bilibili                34
130     刀剑神域进击篇：无星之夜                    bilibili                12
131     剧场版 咒术回战 0                      bilibili                5
132     名侦探柯南                           bilibili                18
133     名侦探柯南：万圣节的新娘                    bilibili                14
134     名侦探柯南：零的执行人                     bilibili                4
135     命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂   bilibili                5
136     命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂   bilibili                8
137     咒术回战                            bilibili                36
138     咒术回战 第二季                        bilibili                22
139     四月是你的谎言                         bilibili                21
140     因为太怕痛就全点防御力了                    bilibili                29
141     因为太怕痛就全点防御力了 第二季                bilibili                24
142     国王排名                            bilibili                20
143     国王排名 勇气的宝箱                      bilibili                52
144     在下坂本，有何贵干？                      bilibili                22
145     埃罗芒阿老师                          bilibili                28
146     堀与宫村                            bilibili                18
147     夏日重现                            bilibili                9
148     夏目友人帐 唤石者与怪异的访客                 bilibili                1
149     夏目友人帐 第七季                       bilibili                112
150     小林家的龙女仆                         bilibili                14
151     小林家的龙女仆 第二季                     bilibili                17
152     岸边露伴 一动也不动                      bilibili                10
153     工作细胞                            bilibili                26
154     工作细胞 第二季                        bilibili                141
155     工作细胞：细胞大作战                      bilibili                6
156     干物妹！小埋                          bilibili                15
157     干物妹！小埋R                         bilibili                25
158     异度侵入 ID:INVADED                 bilibili                144
159     徒然喜欢你                           bilibili                19
160     总之就是非常可爱                        bilibili                23
161     总之就是非常可爱 第二季                    bilibili                30
162     我们仍未知道那天所看见的花的名字。               bilibili                12
163     我的青春恋爱物语果然有问题。                  bilibili                13
164     我的青春恋爱物语果然有问题。完                 bilibili                36
165     某科学的超电磁炮                        bilibili                25
166     某科学的超电磁炮T                       bilibili                26
167     欢迎来到实力至上主义的教室                   bilibili                26
168     盾之勇者成名录                         bilibili                19
169     盾之勇者成名录 第三季                     bilibili                21
170     盾之勇者成名录 第二季                     bilibili                7
171     盾之勇者成名录 第四季                     bilibili                20
172     碧蓝之海                            bilibili                21
173     碧蓝之海 第二季                        bilibili                19
