content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
"之前一直在吐槽，日本的动画压根就没有像样的政治，86之类的番，政治写的都是一坨。我一直以为是日本人不动政治，但现在看来应该是现代的日本人不爱看政治剧了。政治是均衡，制约，有阴谋有阳谋，诸如86之类的动漫里的政治戏码纯是来搞笑的，弱智至极，停留在喜欢在网上见证的人的水平。攻壳机动队里的政治戏码就很经典了，非常优秀。
看tv第一季，虽然也很好看，但是我总有一种为什么这样的作品能做为最高分的日漫存在的疑问，毕竟第一季欠缺的东西太多了。看了第二季一下释然了，第二季真是影视作品教科书级别的，虽然也是单元剧，但是每一集之间都有联系，每一集的节奏，情感的把握，最后呈现出来的效果都是几乎完美的，对社会问题的反射，对人物的塑造更是入木三分，可以说反派一张脸几句话就把人物形象立住了，真是经典中的经典。",10,超神作,2026-4-10 13:51,又欠忄俞,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,"8686
tv",8686 tv
Stand alone complex的现象，既是网络将人的灵魂剥离后的产物，又是全即是一地去寻找灵魂；它既是新世界的门扉，又是个体的丧钟。https://bgm.tv/blog/371813,9,神作,2026-4-10 12:37,Melody,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,Stand alone complexhttpsbgmtvblog371813,Stand alone complexhttpsbgmtvblog371813
dividual、individual、dual单元不再割裂，核心事件全程挂钩：1结尾致敬95开场→饱食懦弱所谓看透真相→猫眼捏他→4合田，意外抑或针对难民的阴谋→久世的暗杀？6核事故黑幕，漏洞剧本→运送，九课是饵，借刀激化→所谓素食，被操纵的情报与一课→9人狼炸弹袭击，对话虚拟合田，仇恨链条已经开始→陀古萨逆天失误不缴械，合田煽动的讼棍，素子上身解围，九课私刑天谴→11松本淳影像最强单集，中村悟作监，草迷宫文学典故，无罪哈拉维形象店主，素子爱情故事，千纸鹤,0,未评分,2026-4-8 22:30,人真妙文,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,dividualindividualdual19546911,dividualindividualdual19546911
还用说些什么吗，攻壳sac第二季就是日本TV动画史上最高的山。,10,超神作,2026-4-4 17:46,孤夜の北極星,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,sacTV,sacTV
在严肃的政治戏码上佐以素子个人线增添风味，对难民问题的探讨与结论在2026的当下看来格外真实。单元回除了齐藤和帕兹的个人回，基本都在为攻壳世界观下的政治格局做铺垫，叙事上第一季单元回中给人强烈印象的哀愁淡了很多，有ep6、ep10这种过于强调目的性的下限级表演，但也有ep11这种让人意犹未尽的集数。stand alone complex在全篇反复被提及以至于产生了一种过度解构带来的反感，不过最后几集借久世的赛博飞升与塔奇克马对自我的思索又回到sac的主旨，算是在沉闷的气氛之上带来的一些哲学思索的调味。我承认我因为bgm9.1分的光环而先入为主，以至于对叙事细节抱持了过分期待，对九科的刻画从公安精锐到近似独立武装的转变也让人有些不满。但抛开主观因素，从主旨探讨、故事编排到情绪调动，sac第二季都可谓是一流水准，在此类题材上大概已经竭尽动画之所能。,8,力荐,2026-4-2 22:57,阿渣,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,2026ep6ep10ep11stand alone complexsacbgm91sac,2026ep6ep10ep11stand alone complexsacbgm91sac
好看剧情太棒了看的很爽Op和ed都很好听配乐太强了女主声线太爱了塔奇克马回归了第十一集女主的个人回看的很舒服看到后面才发现这集也是伏笔到最后2集的时候观感很厉害全程代入感很强最后一集发射核弹那一回配乐带入女主和久世的对话然后切换场景做的太好了然后到后面塔奇克马拒绝执行女主的任务然后最后控制卫星和导弹撞真的哭死了配乐真的很好听还有结尾久世下线了真的哭死了在前面看到女主把餐盒的纸折成千纸鹤的时候就真的是恍然大悟太神了还有塔奇克马的日常玩了好多梗jojo蜘蛛侠还有高达，剧情细节太多了做的真的很好各种博弈加小故事力推,10,超神作,2026-3-28 19:10,ycc,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,Oped2jojo,Oped2jojo
"ep3,6; ep11 作画!!!",8,力荐,2026-3-20 01:40,Clay,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,ep36 ep11,ep36 ep11
我因为两点不喜欢SAC第二季这场“政治戏码”：第一，权谋过分复杂化。合田以一己之力完成挑动矛盾、反串暴动等难以想象的巨大阴谋，但全剧都没法解释合田的班底到底是啥。换言之，本片塑造了不现实的反派，把政治派别斗争降格为勇者斗恶龙的架构，缺乏对社会背景中“难民”和日本国民间剑拔弩张的社会氛围的刻画，导致政治戏在我看来比较粗糙（难道右翼问题的根源就是一两个野心家？）。第二，郎的设定过于神棍，在没法提出有意义的政治主张或者理念时，却莫明其妙地让所有人都自愿追随，总让我幻视真三国无双里的张角——一个靠宗教煽动狂热的疯子，而不是左派运动家。这使得郎“魅力非凡”的设定仅落于纸面。这两点导致我虽然很喜欢前13集刻画的背景，尤其是托古撒在法庭上的辩护（从诉讼这一社会最后的承压阀暗喻社会的矛盾激烈程度），但是13集以后的个人回又回到了美式英雄主义（还是夫妻档），实在可惜。,6,还行,2026-3-8 12:00,派客人,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,SAC“”“”“”1313,SAC “ ” “ ” “ ” 1313
26.3 评分9+ 更深层的剧情内涵，更大胆的国际视野，相对应欠缺的是剧情上的吸引性和神秘拉跨陀古萨单元回，作画也有一定进步空间。sac的设定已经足够晦涩，而gig把sac运用在国际视野上，以此基础进行剧情展开，可以说是sac的进化版。不过gig中九课长期被动，抑久容易扬起来难，以至于结尾略显赶脚，藏了些留白，观感不够畅快。相比之下我还是更喜欢sac见招拆招，拨开云雾见青天的爽快感。简单说就是gig做到了比sac更“优秀”，却少了sac一份“有趣”。所以便打和sac相同的分数。另外一点是gig和95剧场版是有异曲同工之妙的，且主题上意外呈现出一种递进关系，所以我会推荐入坑先看神山再看押子。总的来说，攻壳确实是为数不多在我本身兴趣不大的基础上完全用作品素质让我看得心服口服的系列了。在动画这块讲赛博朋克，政治与社会，攻壳有着它独一份的严肃和浪漫,9,神作,2026-3-3 14:13,~🥦马格里特🥦~,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,263 9 sacgigsacsacgigsacgigsac“”sac“”sacgig95,263 9 sacgigsacsacgigsacgigsac “ ” sac “ ” sacgig95
05：结合当下霓虹现实节点，有点幽默了；11：少佐的初恋温情小故事不错的；14：草薙素子，可怕的女人；15：　果然タチコマ才是主角；26：タチコマ就是真主角无疑了。结合时下背景以及本作内核，实在是有点忍俊不禁了。不过，因为是攻壳，便擅自期待能够讲述完备的政治相关主题的故事的我才是小丑：虽然将久世的思想极力以神圣、成熟的方式包装，但是实际确实稍显稚嫩的，其执行方式也是偏武断的，因此其人物塑造与“笑脸男”是无法相比的。不过，虽然有几集质量不佳，但是还是有相当集数的单元剧与第一季相比更上一层了，尤其是タチコマ相关部分，是真正触及了S.A.C. 以及Ghost in the Shell这一核心的。,9,神作,2026-2-20 04:15,Linn,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,0511141526“”SAC Ghost in the Shell,0511141526 “ ” SAC Ghost in the Shell
"If you’re dissatisfied with the world,change yourself.",9,神作,2026-2-9 22:10,水屋口悟,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,If you’re dissatisfied with the worldchange yourself,If you ’ re dissatisfied with the worldchange yourself
非常喜欢神山TV的政治讨论 对Stand Alone Complex的再深入,10,超神作,2026-2-7 11:22,本当,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,TV Stand Alone Complex,TV Stand Alone Complex
（94/100）相比老生常谈的绘柄不稳和颇具争议的“赛博飞升”，对GIG最为遗憾的还是它仍旧延续了一期“单元剧+主线”的构成模式。诚然事件间更多的勾连使得整体性提升，但于全作而言若说一期单元剧尚能凭借对赛博社会广而泛的描绘来反哺较为小巧的笑脸男主线，那么二期主线在舞台、冲突已上升至国家政治、意识形态层面从而需要更为厚重聚焦的叙事时却还分散注意力实在称不上妥当。虽也有e2这样剖析讽刺的典范但更多还是脱题的浅尝辄止甚至e10这样足以拉低全作观感的庸回。如果这些笔墨能用在对难民、国民两侧更扎实切实的描摹、对久世、合田二人在功能象征外的更多塑造、对社会学、传播学思想除文本外的更多样化表达、对政治惊悚和科幻刑事更佳的平衡与糅合（如铺垫久世革命之真面貌）上，GIG也许就能拿到我的十分:继承了和平保卫战、95版攻壳、SAC一期文脉的集大成作，赛博朋克下的忧国之思。,9,神作,2026-2-1 03:25,1097,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,94100“”GIG“”e2e10GIG95SAC,94100 “ ” GIG “ ” e2e10GIG95SAC
在SAC把抽象层面的SAC现象讨论到一定程度后，GIG终于能基于此将更具有现实意义的观点带到台前。虽然从中国人视角看，“痛苦于人心往低处走的现实，寄希望于无所不在的网络能够消除信息与交流的隔阂，构造人类在外部的融合进化，实现某种上层建筑的大同”，这条链路的第一步就已被成功的群众路线否定；久世如同耶稣行于世间的塑造也不太符合人民史观的习惯。但考虑到日本现实里如出一辙的失败左翼运动，这种清醒的痛苦和希望寄托，确实也并无可指摘之处。只是身处21世纪第三个十年正中，对于这种理想也只能遗憾地回以否定了。,10,超神作,2026-1-16 23:43,名片已改,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,SACSACGIG“”21,SACSACGIG “ ” 21
编辑了下日志怎么土豆sai服务器把21年的标记整没了,10,超神作,2026-1-10 04:09,O'Brien,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,sai21,sai21
"2016-07-10 标签: TV动画 ☆2004年动画 2004年01月新番
当之无愧的神作，日本TV动画的天花板。不论剧情深度、人物逼格、燃点泪点都是顶级。我觉得GIG应该是“五一五（Go Ichi Go）”的缩写吧。顺便说一句，9课必须保守，不然太容易沉迷于暴力机关的特权之中",10,超神作,2026-1-7 10:35,躁动的U型锁,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,"20160710  TV 2004 200401
TVGIG“Go Ichi Go”9",20160710 TV 2004 200401 TVGIG “ Go Ichi Go ” 9
"I am soldier значит я И ответчик и судья translate
我为战士, 则为, 我既为被告亦是法官

这OP开场的, 第一句歌词从我少年时期的我影响到中年时期的我. 
这句歌词真的太贴合神山健治的SAC系列了. 
十几岁的时候看, 二十几岁的时候看, 三十几岁的时候看, 得到的感触每次都能更新. 
哲学和政治认知都能随着自己的世界观变化而得到新的解读
这种作品不能称为神作我也不知道什么可以叫做神作了.


很多年前给第一季打过分, 今天才发现没给第二季打分. 补打.",10,超神作,2026-1-6 13:44,喵喵,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,"I am soldier       translate
  

OP  
SAC",I am soldier translate OP SAC
你TM没看完，一点思考都没有搁着评论你妈，司马玩意儿，cjb是吧，脑袋里也就想的出来这点词了，呵呵，别看动画了，怕你大脑烧成一坨谢特,10,超神作,2025-12-21 15:09,长门Yuki,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,TMcjb,TMcjb
"明明知道最终boss是谁，但是就是拿他没有办法的无力感
优秀的剧情和过硬的制作，加上其中蕴含的令人深寻的哲思，不得不让人感慨制作组的底蕴之深。
塔奇克马选择坠毁自己AI所在的卫星，以此来阻止美帝的核打击，保护了没有更多的难民死亡，实在是令人动容
九科选择将栽赃嫁祸用的钚，用自己的方式送到陆自的手中，期望以此来结束双边的战争
总理在最后关头动用了空自，驱逐了发射核弹的美帝核潜艇
久世和素子打算将难民和自己的意识上传到网络，以求另一种方式的永生
这些选择没有对错之分，都是当事人站在自身角度做出的最优解，只不过产生的效果确实会有好坏的差异
而GIG里追加了久世和素子的戏份，也让素子的人设从SAC里的母猩猩成为了一个既有阴柔一面的少女，又有刚强一面的战士，形象也更加立体了
虽然我并不喜欢在久世面前“恋爱脑”的少佐，但是这就是人类的复杂性不是吗",10,超神作,2025-12-8 23:23,猫嗷老师,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,"boss

AI




GIGSAC
“”",boss AI GIGSAC “ ”
"1.看了一集。不喜欢超高科技（科幻）玩意儿+对话信息密度大，不明白（不过总是看完能懂是个什么故事）
2.表达内容非得用科幻世界来表达么？
3.看了4集，之后是九课每集救一次火，到最后揭开一个大阴谋么？
4.ed比op更好听
5.看了17集。只能说不大理解片子要表达啥。而不意外地，看到了吹它伟大的评论。不明觉厉就吹，真恶心。就问这种傻缺一个问题：这部剧在讨论啥？答得上来么？
6.21集九课的飞机被人肉炸弹炸毁，俩飞行员跟着死了，但没一人有情感反应。她们不是人，不配得到别人的眼泪么
7.24集，合田的目的渐渐显露。好像有点明白又还是不明白整部剧到底要表达啥。不过可以确定是我需要再回看理解不是剧故弄玄虚
8.费解都在用讲故事这种简单易懂方式了，咋还搞得不好理解跟看论述书籍似的一大堆莫名其妙的东西（特指塔奇克玛们讨论什么第三主体那集）",0,未评分,2025-12-5 14:39,ginqiang,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,"1
2
34
4edop
517
621
724
8",1 2 34 4edop 517 621 724 8
26集将社会、政治、哲思交织在一起形成了完整的社会格局，相比第一季更加严丝合缝，在我看过的里面这思想高度绝无仅有。且制作又是日本动画工业最高水准。但“人心往低处流”，超高的信息密度对我的大脑狂轰乱炸，政治、社会又是我不喜欢的领域——我看的其实很煎熬(T ^ T),8,力荐,2025-12-1 22:43,lixKRT,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,26“”T  T,26 “ ” T T
制作音乐依旧没的说，第二季据说每集制作费高达3000万日元但是我没看出来比第一季有质的飞跃（可能第一季就很贵）支线主线互相交映依旧不错，这季把押子整来做故事概念了，主线的剧情和角色的对话信息量一下就上来了，主线依旧是押子的经典剧本我愿称之为《和平保卫战LIKE 》，押子是真喜欢这个剧本 机动警察OVA玩一遍，机动警察剧场版2玩一遍，攻壳2玩一遍，15年机动警察真人版玩一遍，我现在怀疑隔壁逮捕令内个剧场版也是他偷摸和西村纯二说的，依旧个人感觉没啥缺点，硬说就是押子的加入搞得看的挺累的，但是故事深度的提高和真实的社会问题还有这种机关权利斗争的加入让故事更加充实饱满.,9,神作,2025-11-21 23:59,東野和美,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,3000LIKE  OVA2215,3000LIKE OVA2215
满分。无以言表，rank1 tv动画实至名归。本季将政治冲突的矛头由国家内部转向国际，难民问题的主线几乎贯穿全季，和上一季相比本季的严肃性和故事性都有很大提升，密度极高且言之有物的政治戏与哲学思辨虽略显沉闷但依旧会让人沉浸其中。从一期结尾得出的sac概念在本季得到了更深入的应用与解释，久世的革命与和田等政治势力的阴谋都离不开sac的利用，而sac的现象本身也引发了个体ghost的独特性与集体意识间的思考，以及塔奇克马最后因为产生ghost而牺牲的悲剧（哭），都使本作“ghost in the shell”这一主旨贯穿始终。而关于所谓的难民问题，也如同本作中所有国家的政治立场一样，没有发生任何变化，有些问题注定不能有简单的答案，但这场失败的斗争却依旧令人回味无穷。,10,超神作,2025-11-13 08:23,R,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,rank1 tvsacsacsacghostghost“ghost in the shell”,rank1 tvsacsacsacghostghost “ ghost in the shell ”
9+。鸭子下场做了指导后气氛明显严肃起来。有几个单元回有失水准，e10难以接受。但二期喜欢的小设计实在太多。e11太有味道。我无法不喜欢久世英雄，正如剧中所说，他太像历史上的那几个人。对科技高速发展下人的“存在”的哲学思辨已经足够深刻，但引入哲学思辨的方式在动画的语境下并不高明，staff或许也有意识到这一点，所以不少情境是通过塔奇克马这群极具动画特色的萌物引入思辨。但也因此，最后一话的演出才如此深入我心，取回了作为动画的一面。世界上有一位英雄会为你折千纸鹤，但也不要忘了有一个男人会为你扛起十字架。/话说感慨自己在某些方面的记忆真不错，之前gig条目里分镜有平松祯史，我完全不记得有他的集数，还以为自己记错了，现在条目改过来了。,9,神作,2025-11-7 09:48,伊吹言諾子,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,9e10e11“”staffgig,9e10e11 “ ” staffgig
时势造英雄，但是没人能够成为那个造就英雄的时势，比起第一季来说，第二部的故事更加压抑，一切都被操纵上演一出二流的sac戏剧，本来我是不太满意这一部的节奏和剧情的，因为比起第一部来说，少了类似电影回和巴特个人回那种单元集（虽然这一季也有个乡愁回和一出漂亮的boy meet girl），但是最后一集将所有线路，情绪调动拼成一体，将故事结尾得足够漂亮，让人回味无穷,9,神作,2025-11-3 20:39,re314,326,攻壳机动队 S.A.C. 2nd GIG,1,9.2,sacboy meet girl,sacboy meet girl
