content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
小时候看的，非常有意思，全年龄神作！John Pomeroy赛高！！,10,超神作,21h 12m  ago,叶子,25961,猫和老鼠,3,9.1,John Pomeroy,John Pomeroy
我已经回不到我的童年了，我现在居然感觉有几集令人不适或恐怖。//居然有好几集都是总集篇性质，不可思议。//Gene Deitch地这几集简直糟糕透顶，公认的黑历史不看也罢。//Chuck Jones的这几集好想象力好丰富，实现漫画框隔空取物了，不过这个时候的猫鼠没有朋友打闹的感觉了。//全部看完，除了公认的黑历史，我也不大喜欢Chuck Jones的部分，不过MGM版本确实非常有趣。,9,神作,2026-3-30 20:20,默倚,25961,猫和老鼠,3,9.1,Gene DeitchChuck JonesChuck JonesMGM,Gene DeitchChuck JonesChuck JonesMGM
Hanna和Barbera时期是10分，后面即使抛开Chuck Jones时期我也不太感冒。个人比较反感用这部作品去踩其他正剧的行为，Tom and Jerry本身的价值应该是一种无功利的快乐才对。,0,未评分,2026-3-26 16:27,LAD,25961,猫和老鼠,3,9.1,HannaBarbera10Chuck JonesTom and Jerry,HannaBarbera10Chuck JonesTom and Jerry
还什么神作完全就是史上最大cjb 一群圣母讽刺这个讽刺那个总结还是战争下的最终幻想 放异世界厕纸里也是路边 集集都搞什么圣母心，原谅反派？既然如此那你一开始的目的是什么？背离片名谈现实有趣 要么扭曲事实听信谗言还得主角去救结果谢谢都不说就和主角一起合作然后就结束了丝毫不反思自己为什么会被抓人家凭什么救你呢，写出这种团结正面的内容去感动自己吗。反正有鸭子的基本都跳过看下去的只能说不是一般的仙人，要么就要多CS有多CS，受害的一方最后还得无条件原谅就和解了，没了结束了，这样的剧情你想要什么内涵？每个人设都有降智和CS的点，圣母只是其中一点，而且是占比最多的。除了年代久远还有什么？这都要被吹过那一只羊两头熊过个100年也成古物了 多看点好的吧。。。,1,不忍直视,2026-3-15 09:13,龙宫文明奈,25961,猫和老鼠,3,9.1,cjb    CSCSCS100,cjb CSCSCS100
打开bangumi的排行榜，首页竟然就能看见一部美国动画，这根本就是让我不忍直视,1,不忍直视,2026-3-6 01:30,无耻旅人,25961,猫和老鼠,3,9.1,bangumi,bangumi
老少皆宜，但评分是不是有些离谱了，最近几年逮着猫和老鼠打高分是吧，一万二的打分人里有四千是注册十天不到，谁懂点开排行榜突然看到猫和老鼠的救赎感(bgm38),0,未评分,2026-3-3 16:29,夜坐听风,25961,猫和老鼠,3,9.1,bgm38,bgm38
暴力演技，音画配合极致，但同质化及质量参差问题严重→3温馨圣诞夜→曾经的童年阴影→5大狗斯派克登场，也只有这俩主人公能把自己拎起来)6可爱母猫，打碟傅满洲→8姬霓太美坤坤威压→一鼠杀二猫→10狮身人面像/内涵小胡子/过河拆桥→11二战隐喻获奖片→13当年的zoot时尚→15自己吹口哨把狗招来了（遗嘱→19入城乡愁→高尔夫老虎机→24能抠动的洞口→27大狗换大牙→酒疯记→30上色失误→32扮主人→34鸟鼠合作（心按回去继续跳（假装吓死→40隐喻掠夺印第安又辱黑→啄木鸟汤姆花洒→45总集→54斯派克舌变手，磁猫吸骨→台球变棒球→63古筝行动，裆劈大树→64将军倭瓜）→66半总集→67德日意三猫→鱼舞（傅满洲（春之声圆舞曲→机械鼠治机械猫→71后半总集→76绘本风约翰施特劳斯家猫鼠→79总集3→82超微蓝猫（打嗝传导→88唐突宽画幅→法语歌两只老虎,8,力荐,2026-2-15 21:06,人真妙文,25961,猫和老鼠,3,9.1,3568101113zoot151924273032344045546364666771767938288,3568101113zoot151924273032344045546364666771767938288
"打个看过感觉不是很正确，应该反问一下有谁没看过吗？
我觉得猫鼠就不该放在bangumi里和日漫比较，要说什么意义里程碑之类的，无疑猫鼠是对的上这个分数，但又不可忽视的是糅合了数个版本的猫鼠肯定是有不少cjb剧集过来凑数的，论剧情质量综合来看要比现在降低很多，所以在我看来猫鼠要不就删了要不就捧成最高分作，充当一个象征作用
但要我打分也就是个八分，有些版本的画风是我童年阴影，现在来看都感到诡异，有些版本又是阖家欢乐动画片，放家里当个背景音乐体感非常舒适",8,力荐,2026-2-12 08:57,什么洛澧,25961,猫和老鼠,3,9.1,bangumicjb,bangumicjb
额，虽然排第三，但是绝对不值得特意去看，bangumi上最被高估的动画，12岁以上就很少人喜欢看了,6,还行,2025-12-28 19:11,loveanime,25961,猫和老鼠,3,9.1,bangumi12,bangumi12
William Hanna时期有一些不错的话数，认真地说其余大部分都很平庸,5,不过不失,2025-12-4 14:14,神宫澪衣,25961,猫和老鼠,3,9.1,William Hanna,William Hanna
B站有个叫枣泥蛋糕儿的UP主24小时不间断播放猫和老鼠，有空就可以去看一集，然后过来点格子。现在已经看了不少了。,8,力荐,2025-11-23 20:21,Cedar,25961,猫和老鼠,3,9.1,BUP24,BUP24
