content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
9.2非常现实的结尾，“未成熟者的特征，是为理想选择高贵的死；成熟者的特征，是为理想选择卑贱的生。 ”“我们没有灵魂，却在思考何为灵魂。 ”ep17，ep25（2024.5.12～2026.4.10）网络世界，无限宽广,9,神作,2026-4-10 13:39,凛十一_dimmyts,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,92“ ”“ ”ep17ep2520245122026410,92 “ ” “ ” ep17ep2520245122026410
ep1比老版观感好//为什么要洗女主服装啊，正剧里设计成这样就是烂啊//一堆当代弹幕，花心思去洗这种历史遗留糟粕，这何尝不是行为艺术//←就为了看场外因素的猴有必要继续补么。←因为它本质和屏幕是一种丑陋所以才更反感么。//针对tv：开始装逼知道眼皮底下有垢都没本事抠掉。乐，西装革履、推杯换盏的既得利益者矜持，这终归是供大肚皮吮吸的镜花水月啊，除开一只谈二，怎能苟同呢？上次有这种观赏体验还得是别人压抑到没边的yy，正剧么还这犬样，探讨么茧房外有的是，美术么我是真没被打动到，横竖看也只像是懦夫的奶头乐，非受众，不打分表示尊重。,5,不过不失,2026-4-7 07:34,天上的浇头,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,ep1tvyy,ep1tvyy
在价值观层面的讨论之外，SAC让我感动的还有对素子、巴特、陀古萨、荒卷，甚至塔奇克马等个体的塑造。“公安九科不信奉团队合作，只有个人行动的结果”这句话我想是对本片最好的总结，因为每个人都在实现自我价值和探索存在意义的路上，从stand alone走向complex。最触动我的是塔奇克马，在好奇心的驱使下完成了从无机物到拥有ghost的个体的进化，ep25看得我稀里哗啦的。相比笑脸男主线，我更偏爱单元剧部分，虽然手法上用了大量的留白和隐晦描写，但是在20分钟的时间里所讲述的一个又一个哀愁实在令人满足。此外，比起势力间的角斗，政治戏的部分把重心更多放在人与人的碰撞上，也是一种相当精彩的处理方式。26集TV动画承载了太多表达内容，却又能在有序推进中一一捡起，全部看毕的我的思绪也跟本片一般，凌乱、语无伦次却又有似乎有迹可循。,8,力荐,2026-3-28 20:12,阿渣,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,SAC“”stand alonecomplexghostep252026TV,SAC “ ” stand alonecomplexghostep252026TV
ep1毕竟是用来展示世界和设定的，但看ep2三分之二的时间在进行意义不明的战斗，而后一句话就带过原委，最后的表达足够丰满吗？立得住脚吗？千万别告诉我后面的故事都是这种水平,0,未评分,2026-3-9 11:33,逆流之锚,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,ep1ep2,ep1ep2
"剧情9.5 画面9.5 人设9.4 音乐9.5 氛围风格9.5
 非常优秀的一部作品，开始觉得笑面男篇有点重拿轻放了，回过来想想才发现确实九课一直努力揭开的黑幕本就是这么一回事。机关解散，队员逃亡，面临着死亡威胁与叛国罪名换来的却是一场可能都无法开庭的诉讼。为了一己私利让本国的特种部队自相残杀，政治就是这么黑暗的东西啊。重温陀古萨那段自白的时候，才明白原来这种空虚怀疑正来源于那种目睹黑暗的深深无力。这一切斗争真的值得吗。看到埋下的种子终于发芽时，我们又在为了谁而作战呢？我们到底是政治斗争中的工具牺牲品，抑或是有着自己思想独立行动的自由个体呢。自己的成果到最后被当成人情送来推去。罪人仍在大屏幕上光鲜亮丽。就stand along complex而论，在联通而又闭塞的当今，对于没有本源而被复制出来的人类这一物种而言，确定自我这一条件又有几个人做得到呢",9,神作,2026-3-7 21:34,kk,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,"95 95 94 95 95
 stand along complex",95 95 94 95 95 stand along complex
"I thought what I'd do was, I'd pretend I was one of those deaf-mutes.  STAND ALONE COMPLEX的副标题实在是精妙。https://bgm.tv/blog/368892",9,神作,2026-2-20 17:21,Melody,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,I thought what Id do was Id pretend I was one of those deafmutes  STAND ALONE COMPLEXhttpsbgmtvblog368892,I thought what Id do was Id pretend I was one of those deafmutes STAND ALONE COMPLEXhttpsbgmtvblog368892
看了16集真的看不下去，设定很新奇，节奏超级糟糕！很多单元剧不知所云，例如《全自动资本主义》，开头还煞有其事的引用共宣第一段，结果跟资本主义基本没沾边，《未完成爱情罗曼蒂克》更是招笑，纯纯社长装b爽文。感觉作者想讨论很多东西限于篇幅和笔力呈现出来往往不知所云，唯一有点意思的是塔奇克马讨论goast的，但这个主题还是分割讨论的，很乱的节奏,5,不过不失,2026-2-18 11:57,Kayuri,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,16bgoast,16bgoast
赛博世界大浮世绘。全剧令人颤栗的不止是笑面男事件和STAND ALONE CPMPLEX的概念，更是个体对于对抗体制和社会的以卵击石的无力感，这也是看似无所谓存在的单元剧存在的意义，就和社会个体存在的意义如出一辙,9,神作,2026-2-15 17:48,Mokejoegen,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,STAND ALONE CPMPLEX,STAND ALONE CPMPLEX
真正的六边形战士，没有拖后腿的板块，每一项都是杰作水准。他不像有些婆罗门报菜名报出的小众有深度却只有深度的那种作品，这是一个只看表面剧情都会不明觉厉的杰作，各方面都做到了顶尖，强大的叙事功底和深刻的内涵深度，以及那凝练到需要时不时暂停下来仔细阅读的台词叙事：可以说sac的灵魂就在对话中。不论是单元还是主线都神回频出。笑脸男事件中穿插的《麦田里的守望者》箴言则与事件处处对应。10分毫无争议,10,超神作,2026-2-14 18:46,孤夜の北極星,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,sac10,sac10
神作 SAC与微笑男结合的真的完美 唯一缺点是有点过于政治 真希望能有个9.5分 怀恋ig社,9,神作,2026-2-13 04:30,mdk的theory,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,SAC  95 ig,SAC 95 ig
2：稍欢快表象的表象下却讲了格外温柔的故事；15：タチコマ才是真主角吧；20：陀古萨真男人；23：真神，达到了剧内剧外的一致体验——其实我也早就移植电子脑了。   作为主线的“笑脸男”事件，如果没有思考记录装置，真的是漏看一眼就跟不上了。并且，在保持深度的同时，也用各式单元剧拓宽广度，有展现温情，有讽刺资本，等等种种Stand Alone的事件，又构成了最终的Complex。虽然有几集确实是有点与大主题脱节，但亦不失趣味，也算瑕不掩瑜的。,9,神作,2026-2-12 00:39,Linn,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,2152023   “”Stand AloneComplex,2152023 “ ” Stand AloneComplex
"进行一个recollect；我靠这bgm太对胃口了，ed也是爽爽爽；；；
本作设定上就抛出了很多问题：义体化、电子脑对人性边界的消解——素子的腕表；Ghost是不是人的特权——塔奇克马；法外正义——九课；符号化的笑面男——SAC；；；
总之SAC第一季的单元回大部分都很有水平，少数观感不佳，我比较喜欢的是ep10日落计划、ep12塔奇克马出游记、ep16拳手、ep18父与子、ep24 25九课机密作战",9,神作,2026-2-8 01:44,L40Tag1V,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,"recollectbgmed
GhostSAC
SACep10ep12ep16ep18ep24 25",recollectbgmed GhostSAC SACep10ep12ep16ep18ep24 25
"世纪末带来的科幻史诗与哲学思辨——士郎正宗所描绘的那个未来世界，在神山健治执导下，有着不输剧场版的完成度。第20话之后看的太爽了。
主线故事相当精彩，只有极个别的独立回水平一般（ep19）。整个故事相当宏大，相当有野心...有野心到似乎再也不会有这种作品了...「The time is passed.」
第25话直接爆哭了...塔奇克马找到了自己的Ghost",9,神作,2026-1-11 21:20,ACAね,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,"20
ep19The time is passed
25Ghost",20 ep19The time is passed 25Ghost
"2016-03-07 看完
Stand Alone Complex概念一战成名，可以广泛用于社会现象分析，无论你是单纯拿来装逼还是真的做研究。",9,神作,2026-1-6 19:32,躁动的U型锁,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,"20160307 
Stand Alone Complex",20160307 Stand Alone Complex
"花费近一年时间终于看完，相比于剧场版，更聚焦于刑侦与作战，对科幻主题思辨的讨论有所减少。相比于剧场版仅能简单讲述一个故事，TV版可以用更多的单元回补充背景、丰满人物。公安九科的团队配合、作战手法、相互之间的信任等表现也符合我对赛博朋克世界观中英雄小队的想象。
看完之后感觉结局略显平淡，可能是因为我在期待一些超展开(?) 打9分是因为感觉有些地方还没有完全理解，有机会重看的话应该更能梳理整个故事线。",0,未评分,2025-12-28 23:44,Lambert,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,"TV
 9",TV 9
"《攻壳机动队》观看顺序记录

本作分为三个独立平行世界，可按以下版本顺序观看：

1. 神山健治版（推荐首选）
顺序：SAC (第一季) -> SAC 2nd GIG (第二季) -> SAC SSS (剧场版)
特点：叙事清晰，深度探讨社会议题
注：《笑面男》与《个别的11人》为TV版主线总集篇，删减了单元剧内容

2. 押井守版（经典剧场版）
顺序：无印版 (1995) -> 无罪 (Innocence)
特点：影像质量极高但晦涩深奥，充满哲学思辨
注：《2.0》是首部的画面重制版（加入3D特效），核心剧情无改动

3. 黄濑和哉版（ARISE系列）
顺序：ARISE (1-4章) -> AAA (最后2集) -> 新剧场版
特点：前传性质，叙事较杂乱，口碑略逊于前作
注：TV版《AAA》前8集与ARISE剧场版",0,未评分,2025-12-27 12:31,nanyaep,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,"1 
SAC   SAC 2nd GIG   SAC SSS 

11TV

2 
 1995   Innocence

203D

3 ARISE
ARISE 14  AAA 2  

TVAAA8ARISE",1 SAC SAC 2nd GIG SAC SSS 11TV 2 1995 Innocence 203D 3 ARISE ARISE 14 AAA 2 TVAAA8ARISE
ep10 节奏把控很到位，追逐战分镜的切换、音乐的配合，最后结局的停顿，演出节奏和情绪调动达到顶峰，巴特的人物塑造瞬间丰满，叙事风格不由得想到CB // ep8 很多地方情节交代太快，节奏把控没做到位，但结尾Be Human的插入太赞了 // ep4-5 信息密度好高 // ep3 有GHOST的人向往程式化的台词，没有GHOST的机器向往自由的表述 // ep2 恰到好处的节奏把控，高潮部分到位的音乐烘托和情绪调动，从各角度而言观感皆为上乘。蜻蜓点水、点到即止的结尾更是引人深思，思考宗教、人的存在的定义 // ep1 从CB到攻壳机动队，菅野洋子的音乐依旧惊艳,0,未评分,2025-12-27 01:00,TW_QAQ,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,ep10 CB  ep8 Be Human  ep45   ep3 GHOSTGHOST  ep2   ep1 CB,ep10 CB ep8 Be Human ep45 ep3 GHOSTGHOST ep2 ep1 CB
班固米婆罗门必修，完全能理解攻壳sac的魅力。最突出的特点是极高的信息密度，跟上叙事节奏会看的特别爽，当然这也未必总是好的，我个人感受看攻壳真的特别累，很容易看不懂，甚至有些故事还故意藏信息，所谓攻壳の留白，因此适合偶尔看个两三集，并配合弹幕解说。不过我倒感觉攻壳和慢热不沾边，兼具逻辑快感和人文关怀，总有能打动观众的点，第一集就展现了其高信息密度的特点，讲了一个有趣有反转的查案故事。第二集就用出色的情绪表达引起了我喜欢。结构上是单元回+主线插叙，单元回的质量超高，我在星际牛仔里没能感受到的浪漫反而在攻壳的单元回里感受到了。虽说探讨了很多深奥的议题，但最迷人的是表面就能看到的主线情节设计，精妙且富有魅力，反转震撼（主要是ep11和ep23的叙诡奠定了攻壳在我心中的地位）。此外，笑脸男的人物塑造，赛博朋克式的世界观也是经典，对后辈（心理测量者等）影响深远,9,神作,2025-12-19 19:16,傲娇软糯腹黑萌二,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1,sacep11ep23,sacep11ep23
