content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
10年代绕不过去的大山，动画界的《Muv-luv Alternative》（我根本不承认某部gal改动画好吧），10集的篇幅全程高能，前三季的铺垫在这里迎来了真正的爆发，在《完全比赛》《勇者》《白夜》这传统意义上的三连神回之后又紧接《地下室》《那一天》《进击的巨人》《墙的那边》真正意义上的四连神回，也迎来了巨人系列真正的反转，即“自由”主题的反转，从这里开始，谏山创展露了他最初的目的,9,神作,2026-3-27 19:41,ELPsyCuCumBer,263750,进击的巨人 第三季 Part.2,16,8.7,10Muvluv Alternativegal10“”,10Muvluv Alternativegal10 “ ”
10/10 唯一十分是给我巨爹的，no reason！,10,超神作,2026-3-4 17:17,你就是个死宅,263750,进击的巨人 第三季 Part.2,16,8.7,1010 no reason,1010 no reason
mappa真是谏山创的亲爹,7,推荐,2026-2-27 20:08,虹夏妈妈,263750,进击的巨人 第三季 Part.2,16,8.7,mappa,mappa
几年前在微博 贴吧陆陆续续看人家搬运的漫画和情报看完，现在刷贴吧基本不看acg内容，wb也被永封了。最近重看了前两季，第一次看了第三季动画，再到mappa版的，现在知道为什么有wit动画公司的粉丝和巨人粉看不上第三季，op跟wit时期差多了，ed还凑合，人设换了，比旧版的丑一点，调查兵飞起来基本上没前作的好看,9,神作,2026-2-26 21:44,捣乱的老夫,263750,进击的巨人 第三季 Part.2,16,8.7,acgwbmappawitopwited,acgwbmappawitopwited
"排行榜首页最年轻的作品，即使是在被剧透的情况下也不影响其在短短10集内给我的震撼。进口刀片、死亡冲锋、阿尔敏牺牲、二选一、地下室、海的那边是敌人……没有1集多余，时刻绷紧神经。热血的没有其宏大，宏大的没有其热血。尤其是《白夜》几乎无bgm，仿佛让观众也和里面的角色一样陷入生与死的抉择之中。
（如果硬要挑刺的话：①三笠貌似从第二季开始没啥特别的塑造；②按照某种特定套路，后面包有因知晓后续发展而感到""团长的牺牲变得没有意义""的情节发生）",9,神作,2026-2-26 10:02,羊麟吃星星,263750,进击的巨人 第三季 Part.2,16,8.7,101bgm,101bgm
Wit绝唱（bushi）虽在剧情方面借了原作的光 但结合泽野的配乐 各原画大佬的离谱作画（虽然这季作画不是系列里最顶尖的 不太稳定）分镜演出以及声优的完美演绎给初看的我很大震撼,9,神作,2026-2-21 16:09,Kekdj,263750,进击的巨人 第三季 Part.2,16,8.7,Witbushi,Witbushi
"9.5/10
《进击的巨人》全系列里无可争议的最高峰。世界观、战争场面之气势磅礴，及人物刻画，对我的震撼不亚于当年看到《指环王3》。Part1的沉稳铺垫，换来了Part2彻底爆发。这一篇章围绕“玛利亚之墙夺还战”展开，文戏与战斗均集中爆发。
战斗场面精彩，却也因此更让人感到绝望与代价。团长带新兵自杀式冲锋、调查兵团几乎覆没、阿尔敏赴死托付遗愿…无不让人体会到胜利之沉重。
《进击的巨人》前三季中，观众始终跟随角色视角（不只限于主角团），逐渐消弭各种信息不对称、挖掘真相，发现人类间的仇恨残杀都具有充分合理的动机，观众理解了艾伦的仇恨，也在见识到更大世界后变得情感复杂，感受到深沉的悲悯。最终揭开了巨人起源、墙外世界的真相，整个故事的格局在这一刻被彻底颠覆，追逐自由的历史叙述被完全摧毁，我们看到的，是一个充满悲剧色彩的世界和一群试图在其中寻找希望的人。",9,神作,2026-2-15 14:00,雪岭Snowii1999,263750,进击的巨人 第三季 Part.2,16,8.7,"9510
3Part1Part2“”",9510 3Part1Part2 “ ”
"心目中的第一，日漫史上难以超越的神作，神在六个方面：
1.最宏大史诗的世界观，能与之比拟的只有冰海战记和来自深渊
2.最紧凑的剧情叙事，没有任何拖泥带水，一环扣一环
3.丰满的人物刻画，每个人都有闪光点，每个人也都有缺点，每个人都对剧情的推动起到了关键的作用
4.泽野弘之极致享受的配乐，无论是op还是ed，还是插曲，在这一部番里可以成称神的不下十首，在其他的动漫里难以看到这种情况
5.极其深刻的思想内核，探讨的主题包括自由，爱，和平与战争，死亡，正义，每一项都是人生的究极话题
6.无数的伏笔与对照，所有的铺垫都会收回，剧情无限反转，出人意料又情理之中",10,超神作,2026-1-20 15:07,yishuihan,263750,进击的巨人 第三季 Part.2,16,8.7,"1
2
3
4oped
5
6",1 2 3 4oped 5 6
"2019-07-01 看完
就原作漫画这一段的剧情，动画改编只需要做到及格线就足够让我无脑五星了。更不用提wit能在工期这么紧张的情况下做到这种水平。",10,超神作,2026-1-7 14:28,躁动的U型锁,263750,进击的巨人 第三季 Part.2,16,8.7,"20190701 
wit",20190701 wit
看完前三季，我认为巨人绝对能担得起21世纪以来日本动画top3，10年以后，再也没有那部动画能兼顾那么多元素的同时还获得如此大的成功，而且作品中所涉及的思想，在如今的日本业界是已经绝迹了的。,10,超神作,2026-1-2 00:18,嚯哈哈哈哈哈,263750,进击的巨人 第三季 Part.2,16,8.7,21top310,21top310
谏山创在原作所编写的震撼剧情，动画组在视听上超凡的表现，还有声优们超水准的翻译，让第三季part2成为了足以留名日本动画史的作品。前半段玛利亚之墙夺回战应该算是动画史上最惨烈的战役之一了吧，谏山创发起狠来真是毫不手软，而动画组的氛围营造与声优演出也让第十八集完全超越了漫画原作的表现力。后期真相的揭露也真是足够震撼，一切的起因，竟然只是一次自由的追寻。海的那边没有自由，有的，只是立场不同的敌人。地下室真相揭露那一刻把我震撼到了，两个不同时代的文明通过一张照片连接，所谓的墙壁也终于坍塌，少年对世界的幻想破灭，一切该何去何从！？,10,超神作,2025-12-16 03:41,almost,263750,进击的巨人 第三季 Part.2,16,8.7,part2,part2
［8+］和之前part1的评价一样，很难说到了顶级水准，能打8.5，8.6的样子，但是说实话9分实在是相对高了,8,力荐,2025-12-8 23:49,真理之环,263750,进击的巨人 第三季 Part.2,16,8.7,8part185869,8part185869
"在一个不大不小的箱庭中上演的勇者浴血之战，在我看来比上升之后的“宏大叙事”要强太多了，
白夜这一段做的真牛逼啊，完美的文戏氛围和节奏，单纯的对话配合上BGM和镜头语言，最高级别的文戏，强无敌。
世界观完全展开，至此不再是简单的驱逐怪兽夺回家园，上升到了人类、理念、民族乃至文明之间的冲突。单论这个阶段的内容来说已经进化到了更高的层次。
伏笔的回收，绝佳的氛围塑造，精妙的作画，优秀的声优表演，密集但又井井有条的信息量，已经铭刻在动画历史上的绝对强者。
就算到了现在我仍然不喜欢巨人这部作品，最后作品的价值摇摆也完全倒向了我价值观的另一边，但就第三季来说值得任何一个人观看。
（点题的进击的巨人那集实在没感觉有多好，二刷觉得更一般了）",8,力荐,2025-12-3 00:10,loili赛高,263750,进击的巨人 第三季 Part.2,16,8.7,"“”
BGM",“ ” BGM
你说这个点题多巧妙吧，倒也说不上，但是我是真没想到一个多年前因为无聊而点开的“名字有点奇怪的动画”能给我这么大的震撼，更没想过它居然还能点题？最后几话大的一个接一个，给我爽麻了，感觉像是个rbq刚gc完还没来得及休息马上被按住继续艹到gc，反复循环好多次爽到开始翻白眼流口水了,10,超神作,2025-12-2 20:26,komaru,263750,进击的巨人 第三季 Part.2,16,8.7,“”rbqgcgc,“ ” rbqgcgc
其实简单点来说就是两个军国主义的国家要打 拒绝沟通 最后灭世 但是其实说实话 这一点也不实际啊 第一没讲战争的来源 用怪诞虫一笔带过 其次 用保护mikasa等人来讲述动机 难道不是美化灭世的行为吗。并且作者完全否定阿尔敏等人的沟通 就像否定千年来人类建立起的外交一样。还有一点我想说的是 堆那么多的世界观基本上就等于压缩主题表达空间 用世界观把读者思维限制 得出一个仇恨确实没法解决的观点 但是这是排外的 不实际的啊 就像一个写不下去的人开始堆结论了一样 想用爱情最后升华一下 既是逃避现实 又是对这种无人道主义的灭世行为的美化。总体来说 世界观，剧情来看可以理解为一个不错的故事 但是当你要扯到一个非常现实的东西——战争时，更需要一个更现实的陈述而非用世界观，爱情和宿命论来糊弄,5,不过不失,2025-11-27 19:37,Taicken,263750,进击的巨人 第三季 Part.2,16,8.7,mikasa,mikasa
"用了59集才将设定完全展开（完全了吗？），直到目前无论是伏笔回收还是父子追求自由的对称式设计都能体现作者的功力，不出意外的话后续就是和战争相关的内容了，大概能猜测出所谓的烂尾是怎么一回事了。
说回正题，这一part无论原作还是演出都比之前的部分强了几个身位，尤其让人印象深刻的是全篇多次出现的bgm突然停止。",10,超神作,2025-11-18 16:28,咸鱼大帝,263750,进击的巨人 第三季 Part.2,16,8.7,"59
partbgm",59 partbgm
2025年11月14日回顾。我对前三季的喜爱不会影响我对最后一个篇章以及结局的失望（直到现在已经多次回顾前三季的动画，但最终季开始直至结局看过一次之后就再也无法看第二遍），同样地，我也不会让我对结局的失望影响我对前三季的喜爱和评价。《进击的巨人》season3 part2毫无疑问是可以载入动画史册的动画，在动作戏和文戏都达到了巅峰造极。至今仍然记得2019年夏天每周最期待的就是巨人，以及即使看过漫画，但看到ep53完全試合（パーフェクトゲーム）、ep54勇者、ep55白夜依然会震撼不已。,9,神作,2025-11-14 23:45,Arthar Artoria,263750,进击的巨人 第三季 Part.2,16,8.7,20251114season3 part22019ep53ep54ep55,20251114season3 part22019ep53ep54ep55
"“我们会死在这里，将意义赋予下一位生者，这是与这个残酷的世界抗争的唯一方法！”对一位日本动画爱好者来说，巨人S3P2是必看之作，《完全試合》、《勇者》、《白夜》三连神回铸就10年代“热血漫”最高峰。“玛丽亚夺还战”之于《进击的巨人》，正如“北之战乱”之于《大剑》，是角色更迭、舞台转换前最恢弘、最盛大的高潮：在封闭的箱庭中，无法交涉的死斗催生出极致的绝望，人性的光辉却在暗无天日的长夜中显得愈发璀璨。亦神亦魔的巨人之力隐喻无法摆脱的“仇恨”,艾尔文与阿明的接替则暗示着迎接众人的未来——被他者束缚的“奴隶”终成祭品，为心怀梦想之人铺平前路。看到大海的少年陷入绝望，墙壁之外等待他的并非自由而是更庞大、更残忍的敌人，巨人的主题随之从“为人类的自由献出心脏“演变为”如何走出仇恨的森林”。“如果你做不到爱别人，同样的历史、同样的错误会不断上演、永无止境”。",10,超神作,2025-10-19 15:48,827349,263750,进击的巨人 第三季 Part.2,16,8.7,“”S3P210“”“”“”“”“”““””“”,“ ” S3P210 “ ” “ ” “ ” “ ” “ ” “ “ ” ” “ ”
2024.1.26：这一季毫无疑问将观感上升了一个高度，前半段的玛利亚之墙夺回之战看得很过瘾，为了自由，献出心脏。特别是ep6的剧情节奏，时刻紧绷着心看着这命运的选择，各种回忆不断涌起，作者埋下的伏笔在重要关头发挥着作用，角色人格的升华。后面开始讲述巨人背后的故事，进一步完善世界观。动画既有热血的战斗场面，也有深刻的语言和心理描写，是一部不错的动画。//2025.10.12：“海的那边是敌人。”再看一遍巨人的高潮情节依旧感到震撼，在这一季动画塑造了两个让我很喜欢的角色。一个是利威尔，强大的实力又有着必胜的决心，另一个是艾尔文团长，有着果断的决策力以及宛如“恶魔”般的领导能力，跟随他意味着要面临各种生死的选择。总之这一季真的很精彩，即使二刷也压不住我心中的热血。,10,超神作,2025-10-12 22:37,沢近愛理,263750,进击的巨人 第三季 Part.2,16,8.7,2024126ep620251012“”“”,2024126ep620251012 “ ” “ ”
以前看切片不知道“士兵们 愤怒吧  士兵们 咆哮吧  士兵们 战斗吧”何意，如今为之无比振奋。还有就是为什么要放弗洛克这样一个脑残出来，明明之前推翻王政府的时候个个聪明人，现在一个挑拨军心，把内部矛盾扩大化的sb，反而生还，这种人可想而知的毒瘤，没啥贡献又会有权有势，死了反倒是益处,9,神作,2025-10-5 11:52,哈里-哈勒尔,263750,进击的巨人 第三季 Part.2,16,8.7,“       ”sb,“ ” sb
"豆瓣标记210219
PS：本季的看海结局称得上是神作的收尾，所谓的最终季从制作到剧情都算是崩坏了。",8,力荐,2025-9-29 18:59,PeacHLuv,263750,进击的巨人 第三季 Part.2,16,8.7,"210219
PS",210219 PS
巨人系列补番体验最高档 感谢wit 感谢原画师们的付出 感谢泽野弘之 今井有文nb 9.5,9,神作,2025-9-26 14:21,白,263750,进击的巨人 第三季 Part.2,16,8.7,wit   nb 95,wit 95
现在回想起来，巨人第三季第二P的53-55话是近些年给予我情感冲击最大的动画剧集了，没有之一,9,神作,2025-9-25 19:57,Destiny Fucker,263750,进击的巨人 第三季 Part.2,16,8.7,P5355,P5355
观看时间：2023年10月。 评分：100分。作画无敌，音乐宏伟，人物深刻，剧情真正开始展现出结构之美，先是热泪盈眶，然后是震撼！无与伦比的享受，看完后怅然若失。我心中Goat级别的作品，伟大，无需多言。,10,超神作,2025-9-15 02:12,Hikarime,263750,进击的巨人 第三季 Part.2,16,8.7,202310 100Goat,202310 100Goat
