content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
万事屋永不完结！这一季的笑点依旧满满，尽管有些单集质量过于水，但高质量的故事不在少数：热血的有四天王篇，无下限的搞笑单集也有ep220、ep231这些。我喜欢这部动画的地方在于，每个角色都极易给人留下深刻印象——他们既遵循着自己的人设演绎，又时常跳脱常规，营造出绝佳的节目效果。而且动画很爱玩黄色笑话，这种搞笑方式总能让我忍不住笑出声，毕竟看着男角色们晃着那打了马赛克的部位，旁若无人地做出各种令人捧腹的举动，也就只有银魂敢这么大胆了。另外，动画该正经的时候也足够严肃，虽是传统的叙事配方，我却依旧吃这一套。一路追着银魂走到现在，它在我心中早已占据了不可替代的位置，真希望银魂的故事永远都不要完结！,9,神作,2025-12-19 16:22,沢近愛理,11834,银魂',19,8.7,ep220ep231,ep220ep231
第二季也是非常顶级，既有葬礼这个段子逆天到突破下限的单集，也有some like its hot这样的名曲和银魂主线中最喜欢的其中一篇之一四天王篇，各种意义上都是毫无疑问的满分。,9,神作,2025-6-23 18:01,乌鲁克国花,11834,银魂',19,8.7,some like its hot,some like its hot
"小时候嫌弃这玩意一把鼻屎一把尿，严重伤害到了我幼小的保守主义严肃文学感情，认为这玩意简直是跟四大民工漫一块被二百条犬那啥啥的。



后来再一看，哇，原来是如此的具有时代特色与前卫的思想，冒犯了。
反观某些本来kirakiradokidoki的作品，怎么成了这么恶心的渡边一条的贵物。",8,力荐,2025-2-25 12:51,Fulcrum233,11834,银魂',19,8.7,kirakiradokidoki,kirakiradokidoki
[8.5]制作还是在线，但是还是有好多和上一季一样公式化的桥段，不过依然还是无节操啊bgm38,8,力荐,2025-2-19 22:36,雪漫,11834,银魂',19,8.7,85bgm38,85bgm38
最喜欢ep229,7,推荐,2025-2-14 21:36,部屋,11834,银魂',19,8.7,ep229,ep229
银魂虽然是搞笑漫画，但是细节上几乎比任何其他幕末相关的作品都更严谨。“四天王”篇和“荆棘流氓”篇两条主线非常好看，次郎长和银时的血战很燃，“Some like it hot”这首燃曲至今难忘。搞笑日常依旧无节操无厘头，有笑有泪，整体质量算是银魂中最优秀的一部。,6,还行,2024-7-31 13:42,稻香蠘歌,11834,银魂',19,8.7,“”“”“Some like it hot”,“ ” “ ” “ Some like it hot ”
一看到组长的访谈就会想起银时，改不了了wwwww,10,超神作,2024-7-8 14:07,小林修治,11834,银魂',19,8.7,wwwww,wwwww
"some like it hot ,好怀念以前还在星空台看国配银魂的日子a",9,神作,2024-6-24 18:08,波奇米亚,11834,银魂',19,8.7,some like it hot a,some like it hot a
空知对人物把握太强了，个个性格饱满。日常已经顶尖了，先人物背后的主线故事也非常绝。ps.空知金句太多了。ps的p，ps的s.我只想大喊牛批！,9,神作,2024-5-25 12:33,三万岁,11834,银魂',19,8.7,pspsppss,pspsppss
"二刷，jump里独具一格的MADAO主角（
另外猩猩的文笔是真的好，完全不会对银时的说教感到厌烦，塑造的真的很有魅力。",10,超神作,2024-5-16 23:22,小岬,11834,银魂',19,8.7,jumpMADAO,jumpMADAO
Gintoki daisuki !!!,0,未评分,2024-3-18 17:25,城北无风,11834,银魂',19,8.7,Gintoki daisuki,Gintoki daisuki
hey！hey！答えて！誰いませんか？ずっと探したよ。有一说一对阅历的要求还有点高，不然有些梗你都看不懂。搞笑之中带着热血热血之中带着感动简直是神,10,超神作,2024-2-4 17:48,xgf,11834,银魂',19,8.7,heyhey,heyhey
"1、成年人的格林童话；
2、充满说教意味的人文关怀，就像是学校里那个最烦你的老师，但离开学校的当下，总会怀恋起他的唠叨；
3、每一集都是神回，没有最推荐；
4、难以跳过的OP、ED；
5、个人最喜欢的角色是MADAO；",8,力荐,2024-1-7 20:38,無敵武士♦Kk16°C,11834,银魂',19,8.7,"1
2
3
4OPED
5MADAO",1 2 3 4OPED 5MADAO
hey、hey、some like it hot ！,10,超神作,2023-12-28 16:50,叶某152,11834,银魂',19,8.7,heyheysome like it hot,heyheysome like it hot
作为媒介的价值有所减退，作为作品的完成度则相对提高//四年的连载促使原作者与制作组成长，尽管原作者仍然驾驭不好小长篇剧情的结构，但塑造角色的能力提升了很多。同时，五年份的感情积累，也使长期戏仿其他作品的本作拥有了戏仿自身的资本。对正经篇章与恶搞篇章的进一步区分，减少了本作的混乱与矛盾。各方面的改善为本作提供了更加稳健的根基，不再依赖于毁灭人设与迫害角色的手段、去博人眼球。要说本作的缺陷的话，则是在成为热门作品后，染上了更多的热血jump漫色彩，去迎合二次元受众喜好。连接社会生活这一媒介价值大幅减退。然后是搞笑手法依赖于“天丼”结构；脚本上又依赖于起承转合结构；循规蹈矩，在故事伊始便限定了收尾阶段的表达范围。缺乏创新能力，作为超长篇，会使观众感到疲倦。制作方面，一期可以说是在逆境中挣扎，从而迸发出不少巧思，顺带着卖惨营业；二期资源充足。就成了样板戏。,5,不过不失,2023-11-24 02:32,kronprinzenwerk,11834,银魂',19,8.7,jump“”,jump “ ”
*myself,0,未评分,2023-11-21 21:47,太知川天止,11834,银魂',19,8.7,myself,myself
单集上下限差距太大的一部tv 37/100,5,不过不失,2023-11-9 18:40,靜水秋風,11834,银魂',19,8.7,tv 37100,tv 37100
搞笑部分很好，感动温情部分倒没感觉。甚至我看齐神都更感动。之前看过一个kabe poster的漫才组合，能把搞笑和温情结合得很好,8,力荐,2023-10-12 15:10,猎人,11834,银魂',19,8.7,kabe poster,kabe poster
