content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
其实吧2年前看过几集，未来补完计划，五年或者十年，现在是不着急看eva的～(￣▽￣～)~//三千标预订，看我是先弃坑还是能熬到补Eva的时候,0,未评分,1d 19h ago,沢近愛理,265,新世纪福音战士,20,8.7,2evaEva,2evaEva
ep3ep4，你们的管理这么宽松的吗···怎么想来就来想走就走··· //前中期是比较常规的战斗题材作品，遇到敌人寻找解法战胜敌人。令人眼前一亮的是对角色内心挣扎的把握，尽管我不太能共情他们，但不得不承认确实相当精准。ep21-23相当精彩，用分晓把故事推向高潮，伏线的回收做的恰到好处。ep24-26则让人摸不着头脑，到底是什么意思，一堆人说着我看不懂的话然后做着我看不懂的事··· //感觉整部作品对心理的侧写有点太隐晦了，就算经过分析能觉察到其精准性，但也因为需要分析才能理解而失去了明见性及其直接的情感冲击,7,推荐,2026-4-10 12:47,Ltimbe,265,新世纪福音战士,20,8.7,ep3ep4 ep2123ep2426,ep3ep4 ep2123ep2426
「Bangumi API test」老人是正确的。,9,神作,2026-4-9 20:58,白鹭,265,新世纪福音战士,20,8.7,Bangumi API test,Bangumi API test
如果现在让我讲看动画的动机。大概就是某个幼儿园的午后，看到电视上水天使将导弹撕成三瓣的那个瞬间，我大概是在那一个瞬间第一次感受到了“看见冰的那个下午”的感觉。我只是一直想找到那个感觉。//等哪天有空了我会再回来看一次，记录下那个时刻的感受//恰好最近失恋了，该打开最珍藏的美酒抚慰一下自己了//才看了四集就快看不下去了，越看越痛苦越难过，很难想象庵野秀明当初是怎么创作出来这样的作品的，我看了四集都快想死了//只要微笑就好了//我只是想再见大家一面而已//在知道谜底之后回头看发现了好多好多之前没注意的细节//奇观动画，看的越多越感慨奇观之宏伟//ep20看完想把自己掐死//我不想接受庵野秀明，但我无法逃避自己//可能是因为真的看了无数遍了，这次回头看才显得更加刻骨铭心//有一个很不一样的点，角色们会对自己说谎//看完第26集，我宣布从失恋的自己走出来了！,0,未评分,2026-4-8 21:50,骨猪的神判,265,新世纪福音战士,20,8.7,“”ep2026,“ ” ep2026
前半段中规中矩，后半段是gainax伟大的创作,8,力荐,2026-4-5 20:44,Daiba_Nana,265,新世纪福音战士,20,8.7,gainax,gainax
"在不带有先入为主的观点来看,我觉得很出色，为数不多喜欢的机战画面，前半段以及共同训练那一部分,让我有一种恋爱喜剧的错觉,,可惜tv后续画面好穷好穷。最后一节结尾,我个人认为也配不上eva这整部作品。",8,力荐,2026-4-5 14:07,the question,265,新世纪福音战士,20,8.7,tveva,tveva
顶级的美学构建，经典而又深刻的人物塑造，时代化的表达，还有其影响力，这些方面Eva毫无疑问的日漫的top0，至今没有超越的。但若要说故事是多么深刻，那确实cjb了。,9,神作,2026-3-28 13:39,不是人,265,新世纪福音战士,20,8.7,Evatop0cjb,Evatop0cjb
现在来看eva旧tv版的整体并不尽如人意，为了真嗣的塑造牺牲了太多角色，不过单就真嗣的塑造来说，它太成功了，即使放到现在来看依旧是超前的，可以说没有本篇的铺垫，《真心为你》的爆发则会逊色许多,7,推荐,2026-3-27 19:50,ELPsyCuCumBer,265,新世纪福音战士,20,8.7,evatv,evatv
理解作品就是寻找“他好看在哪”的过程，从这个角度出发，本作的确需要一些阅历才能看懂。剧情本身很直白，但吐槽写起来有点复杂，详见日志https://bangumi.tv/blog/370493。Eva的故事很简单，一群口是心非的小孩子和大孩子，为了实现心灵深处的需求，做事以退为进，如果被戳破会显得矫揉造作和表演型人格。导演为了最大程度的展现这种复杂、纠结又敏感的性格，设置了一个完全虚构的舞台，角色们只有Eva（此处泛指）一条路，用都合的方式彻底摆脱了现实的引力，让角色可以表演出最大程度的扭曲。,5,不过不失,2026-3-20 19:23,我不是凌列韵,265,新世纪福音战士,20,8.7,“”httpsbangumitvblog370493EvaEva,“ ” httpsbangumitvblog370493EvaEva
绫波丽所居的单元楼本身的复制性，映射了她的身份，房间内始终保留着碇源堂的眼镜象征作为一种可复制的母体被父亲独占，碇源堂对碇唯欲望的过多暴露引发了嫉妒与背叛（律子摧毁了水槽中浸泡的量产绫波丽），丽出于对真嗣的保护欲与子宫天使自爆，不再是顺应父权需求的‘‘玩偶’’，此处呼应了明日香被使徒的精神攻击打倒时，回忆在医院看望事故后遗忘她的母亲，她不再是母亲无可取代的宝贝，一如毁坏的玩偶。最终话以真嗣的内心独白展开，所有审问的声音来自他人，他人也在真嗣的内心寻找着关于自我的答案，起初真嗣在父亲意愿的干涉下驾驶EVA（无休止的战斗在本我和超我之间），讨厌父亲又渴求父亲赞赏，不顾（具有防卫和中介职能的）美里命令主动出击，各种矛盾筑起自我与他人的心之壁，在一个没有干涉的理想世界里敞开心扉，就是补完的终站。,8,力荐,2026-3-18 16:20,thunder,265,新世纪福音战士,20,8.7,‘‘’’EVA,‘ ‘ ’ ’ EVA
BGM打分要是8-10能多一两个档位就好了，感觉好多神作都打9去了,9,神作,2026-3-16 19:32,红A酱,265,新世纪福音战士,20,8.7,BGM8109,BGM8109
久仰eva大名前来观看，原来你们立本人泡沫经济破灭后14岁的初中生都是没有妈妈的孩子啊哈哈哈/看完后最想说的一句话：为什么要压力14岁的小孩儿开eva，全员精神病的典型代表，不过按照设定越精神病越强哈哈哈。设定一堆漏洞没有逻辑（总是莫名其妙的名词莫名其妙的组织闹麻了），感情线约等于没有男主他爸是万人迷哈哈哈。你们立本人原来这么早立人设就喜欢写悲催的原生家庭吗，到底是什么人在共情这种人设，我不想成为碇真嗣这种什么都做不到的人谢谢。机甲为什么要拿着匕首作战，枪的威力更是忽强忽弱。音乐分镜还行，人设确实影响了相当多的后世作品。/放在那个年代来看确实是有一定意义的吧，没经历过我也不想经历所以懒得评价了（反正万字解析一大堆哈哈哈）,6,还行,2026-3-16 13:22,Re_Char,265,新世纪福音战士,20,8.7,eva1414eva,eva1414eva
2026.3.14【8+】“最”字或许有待商榷，但TV版eva确实被过誉了，各种万字解析就是最好的印证。然而这不代表它不是一部优秀的作品，从人设到音乐再到分镜，都可以算作教科书级别，这注定了它会是一部在动画史上留有盛名的佳作。真正把它捧上神坛的原因是这是一部剑走偏锋之作，或许这是第一次有动画的重心完全放在了描写人物心理上。几位主角都有着人格上的缺陷，而这恰是其最引人共鸣之处。没有人的心灵是完全健全的，无论是泡沫经济刚刚破裂的三十年前的日本阿宅，亦或者是三十年后身处全球经济下行时期的Z世代们。而正是因为心理的问题永远存在，这部动画才具有了经久不衰的价值。所以尽管EVA是一部完全被过誉的动画，我依然认为在迷茫的青春期遇上这样一部动画是一件正确的事情//开始重看史上最过誉的动画//2020.10,8,力荐,2026-3-14 01:10,仲夏夜鱼梦,265,新世纪福音战士,20,8.7,20263148“”TVevaZEVA202010,20263148 “ ” TVevaZEVA202010
"10/10
大二时第一次看，随后就为之着迷了。EVA的科幻设定很庞杂，还借用不少宗教符号，但痞子其实无意借此讨论人类未来、信仰之类的宏大议题，他所阐述的其实是个人与社会的关系。
痞子对人心的观察堪称鞭辟入里。主角真嗣，其塑造之复杂、成功，堪称罕见，他各种貌似幼稚、怯懦甚至作死的行为，几乎都带表演性质，本质是希望自己被他人需要、自己价值得到确认，但他无法将自己内心展示出来。剧中大多角色，丽、明日香、美里，行为表现各异，本质都是想被需要、想确认自己在人际关系中位置，但都无法挑明、自我厌恶。所谓心之壁，便是这无法以真心示人的隔阂。
TV最后两集，是我第一次接触“意识流”。起初觉得晦涩，后来再看，惊觉这几乎是痞子贴着脸告知观众作品主题，谜语人的形式，又恰好正如人之间的难以互相理解。这个意义上，EVA结尾形式上的残缺反倒促成了其主题表达上的完美。",10,超神作,2026-3-8 11:12,雪岭Snowii1999,265,新世纪福音战士,20,8.7,"1010
EVA

TV“”EVA",1010 EVA TV “ ” EVA
1200标之猛攻某刚刚三十周年官宣完全新作的传奇神作or冲击波？//特意先看一遍旧版的ep21-24，然而完全没必要，重置的21-24在剧情完成度上明显好的多//EVA对于我来说还挺难评价的，因为被贵为意识流精髓的ep25、26我没看懂，即使又看了一遍+看了解说也只是觉得“原来如此”，可能比起哲理的表达，我更需要的是故事的完成度吧，就剧情而言TV的结局毫无疑问是烂尾，一大堆坑没填，画面也省到极致，不过能在完全万策尽情况下做出这么令人深思的两集，只能说庵野秀明的确天才；回过头说下前面，前13集不算出彩但设定很吸引人，意识流很少且制作也不错，ep14-24虽然制作逐渐捉襟见肘，开始用静止帧水时长，但剧情脱离了前面单调的每集打怪兽单元回，随着主线迅速步入高潮的同时也神回频出，可惜我太不喜欢TV结局，总体来说只能算不完美的神作，但正因为这份不完美而被世人铭记,8,力荐,2026-3-7 23:33,Emiya,265,新世纪福音战士,20,8.7,1200orep21242124EVAep2526“”TV13ep1424TV,1200orep21242124EVAep2526 “ ” TV13ep1424TV
十分只是bangumi的上限，世界上最伟大的动画圣地的最伟大的动画，堪比动画界新的圣经和永恒的经典,10,超神作,2026-3-4 21:11,喀巴拉契,265,新世纪福音战士,20,8.7,bangumi,bangumi
最后来做个总结吧，EVA确实是很优秀的动漫，但是这个动漫得去结合作者＋泡沫经济的日本人的背景去看，光看作品确实品不出什么。论打斗画面确实老套了点，到没有那么令人激动，但是思想深度和人物心理探讨确实非常强。过誉确实有吧，只是剧场版把tv版那些莫名其妙的点扳回来了，例如人类补完计划和莉莉丝与亚当两位使徒，使得25.26反而能让人理解了,7,推荐,2026-2-27 01:47,lese,265,新世纪福音战士,20,8.7,EVAtv2526,EVAtv2526
伟大的载入日本动画时代的作品 有很多看似放在现在比较经典的人设塑造和剧情安排本就来源于本作 因此就这点批判eva是很不公平的 说几点本作的优势吧 1.时髦度 添加的宗教元素和各种术语最大的用处就是提高了时髦度配合颜色靓丽的机设 就算放到今天来看都毫不过时 2.立意 我不理解很多人对tv最后两集的苛责 我认为比起air/真心为你 tv最后两集的价值观输出是更加明确和亮眼的 3.意识流的使用 非常难得一见的叙事手法 在本作里发挥了巨大作用 总而言之本作作为披着机战外壳的描述青少年心理的作品值得一个九分 要说唯一的不足还是tv版经费的受限 有时候画面静止确实有点多 不过旧剧场版也弥补了这一点 这又何尝不是一种人类补完计划呢,9,神作,2026-2-25 00:38,AY,265,新世纪福音战士,20,8.7,eva  1   2 tv air tv 3    tv,eva 1 2 tv air tv 3 tv
很多人锐评真嗣是废物，实际上这个番除了真嗣的，才都是废物吧？只会微笑挨打的丽，超雄舔狗明日香，宇智波巨婴碇源堂。这部剧除了真嗣以外的所有人都是极端的塑造，在观看过程中和monster一样，你感受不到所谓的博弈与智慧，碇源堂谜语人到最后也只是一个，像创造只有我和唯的世界。。宗教要素只是为了加入帅气的名词和时髦度，真嗣更贴近正常可以理解的角色，估计也是因为这是典型的阿宅幻想的自己，阿宅是废物，但是幻想的自己又可以打怪兽，拯救世界，有人爱,7,推荐,2026-2-24 09:00,huhu,265,新世纪福音战士,20,8.7,monster,monster
我的世界就是世界，真嗣从小在孤独缺乏爱的环境中成长，经历了无数的不幸与痛苦。他很懦弱，他不知道什么是幸福，他从来没爱过别人，也没被别人爱过。他没有任何理想，驾驶EVA是的目的仅仅是为了获得父亲称赞。世界存在时，我是虚无，世界归于虚无后，我存在。我的世界是畸形的，他人的世界是恐怖的，单无论如何都要活下去，“真实存在于心中，只要地球太阳月亮还存在，总有机会获得幸福。”,10,超神作,2026-2-22 20:05,豚野郎,265,新世纪福音战士,20,8.7,EVA“”,EVA “ ”
即使是个需要许多后续作品来补全TV版本身的“半成品”，但依然是一部伟大的作品，甚至在一定程度上奠定了后续TV动画的形式，可以说是一个时代的缩影,10,超神作,2026-2-22 18:14,简易拼装,265,新世纪福音战士,20,8.7,TV“”TV,TV “ ” TV
作为我的第1部有生之年，EVA在我心目中拥有相当高的地位，他对于我的影响非常大，远超于我看过的所有番，碇真嗣的经历跟我小时候的经历很像，可能童年没经历过一段曲折看EVA可能像是一群人的无病呻吟。但是对于像我们这般拥有不愉快的童年经历的人，EVA无疑是对于我们观众的内心补完。正如我非常喜欢EVA中的一句话“梦是现实的延续，现实是梦的终点”或许是碇真嗣又或者是我们观众做了一场梦，等到梦醒时方知“今之视昔，亦犹后之视今”，回不去的过往，绕不过的坎坷，终将只是一群人的歇斯底里吧。等到我真正长大的时候，回望过去，不禁眼眶湿润，却只能长叹“春风若有怜花意，可否许我再少年”再见了，所有的EVANGELION!再见了，我所逝去的童年(ಥ﹏ಥ),9,神作,2026-2-22 16:47,博丽神社的巫女大人,265,新世纪福音战士,20,8.7,1EVAEVAEVAEVA“”“”“”EVANGELION,1EVAEVAEVAEVA “ ” “ ” “ ” EVANGELION
仅仅第26话就让EVA突破了平庸作品的限制，开始影响那一代动画观众的人生。,9,神作,2026-2-21 17:44,温顺的良夜,265,新世纪福音战士,20,8.7,26EVA,26EVA
前17集除了碇真嗣出逃的心理描写 其他看的我昏昏欲睡 我就在想 这部作品到底神在哪了？ 不就是机甲打怪兽的经典套路 只不过是出的早了一点 但是出于这部作品的风评 我还是硬着头皮用了一个多月的时间看完了前17集 但是看到ep18 19 初号机暴走 我便开始对这部作品倍感兴趣 深入了解后 庞大的世界观完全不像上个世纪的产物 伏笔一个又一个的埋下 虽然没有尽数回收 导致故事不太完整 但是故事是为内核服务的 而本作的心理描写以及意识流的运用更是空前绝后 孤独自闭的人试图在他人身上寻求价值 这就是泡沫经济少年们的写照 映射到全人类的补完 导演揭穿了这一事实 告诉人们只有相信自己 珍视自己才会存在自我价值 无需寄生在他人的评价中 同时解释了“我”到底是什么这一永恒不变的问题 在当时的日本影响深远 时代意义是这部作品最成功的地方 8.5/10,9,神作,2026-2-21 17:20,ロキシー,265,新世纪福音战士,20,8.7,17       17 ep18 19                 “”   8510,17 17 ep18 19 “ ” 8510
二次元永远绕不开的一部番：小学的时候堂姐给我看EVA TV版（那会还看不懂），初中美术老师在上课的时候放新剧场版序，十年前去日本旅游也是遍地的EVA。在日本旅游途中一口气看完了TV、旧剧场版和新剧场版序破Q，也是别有一番风味的体验。虽然新剧场版制作很好，但是EVA最精髓的那种孤独、逃避、迷茫的时代情绪不看老TV版是体会不到的。我觉得EVA当年在日本的爆火和当下mygo在国内的爆火类似，一部番在特定的时间节点被一群特定的人看见，回应了某种时代性的焦虑情绪，引发了群体性的广泛共鸣。时髦的设定助长了番的传播，三十年前是机战，现在则是少女乐队。而我们此刻恰恰正在经历着跟90年代日本类似的时代困境，一部情绪细腻的番正好成为了迷茫的年轻人共同的发泄出口。,9,神作,2026-2-21 11:51,超人不会飞,265,新世纪福音战士,20,8.7,EVA TVEVATVQEVATVEVAmygo90,EVA TVEVATVQEVATVEVAmygo90
eva是对现象的扭曲化描述。虽说确实是失去三十年的反映，但作品本身并不具备如此时代的功能，而是批评所赋予的。作品没逻辑，之前不太看得懂，意识流抽象，适合东亚缺爱infp。主角除了明日香都没有人类。,6,还行,2026-2-21 11:45,Hurrysonn,265,新世纪福音战士,20,8.7,evainfp,evainfp
不能接受的槽点：1.不明意义的超长静止画面，水时长。2.洗白男主父亲。3.超绝意识流，对此不感冒。总结：很荣幸能看到这么独特的心理表现方式，但是超绝意识流的表现绝对会劝退不少观众，整部片都很穷，能静止帧的地方绝对不会花钱，放图片，ppt，好在好钢用在刀刃上了。还不出有什么过人的地方，普通动画，实在搞不懂,6,还行,2026-2-15 17:27,饿龙ou,265,新世纪福音战士,20,8.7,123ppt,123ppt
