content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
当你对人生失去希望时，想想这目录还放着几百集银魂//不是假发是桂真是贯穿全动漫的台词啊hh// joy cc攘夷志士+新选组的维新时代背景和万能天人外星人设定完美结合// 万事屋企业文化真的每次看了都想笑// 私以为一个接受银魂全部的人生哲理的人一定能活得很开心幸福 // 在严肃的剧情和轻松之间反复跳脱也是一种笑对人生的策略11登势15伊丽莎白16madao转变22sa酱登场23坂本辰马24卷子假发子25火锅29蟑螂双线叙事35坐这高38阿姆斯特朗40星海坊主44忍者58红樱69芙蓉76九兵卫79厕所83将军夜总会86三叶89洞爷湖101真选组139吉原 151理发,9,神作,17h 17m  ago,naimo,247,银魂,23,8.7,hh joy cc    111516madao22sa232425293538404458697679838689101139 151,joy cc 111516madao22sa232425293538404458697679838689101139 151
吐槽太本土化了，其实很多看不懂，观感上最多只有8.5分，不过类型无敌，笑中带泪的搞笑热血漫top1。,9,神作,2026-4-8 17:30,gumbo,247,银魂,23,8.7,85top1,85top1
第1次看get不到的梗，现在能get到。在搞笑番里面的佼佼者,10,超神作,2026-3-28 19:48,动画爱好者,247,银魂,23,8.7,1getget,1getget
"断断续续看了大半年，总算是补完了第一季，由于时间跨度过于久远，就草草的写一些印象深刻的篇章
日常回作为搞笑漫来说相当的优秀，是十分轻松愉快又不乏思考的日常喜剧（空知猩猩无愧为屎尿屁大王），这边给到夯中夯
星海坊主篇8分，神乐可爱捏。红缨篇，作为第一个大主线，虽然出场人物众多，但空知对细节的把控十分出色，布背景，显高光，留伏笔这些方面都做到优秀，给到顶级
芙蓉篇，我最喜欢的篇章，第一个升华银魂关于魂这个主题的大篇章，探讨了空知对于ai自己的思考，9分神中神（小玉十分，我永远支持银玉）。
九兵卫，龙宫，幽灵，都是好故事，但是时间久远，只能给个7分的印象分。印象深刻的还有一个三叶篇，对于十四和三叶，我个人觉得十四是空知想写成默默承受的负责男人，但写出来确是极其别扭且没有勇气去爱自己和所爱之人的刻板印象蛋黄酱人，对这个角色评价一般。后期煽情过度，台词",8,力荐,2026-3-15 19:23,姫ちゃん哒,247,银魂,23,8.7,"8
ai9
7",8 ai9 7
2018/ep38,8,力荐,2026-3-6 18:07,Mokejoegen,247,银魂,23,8.7,2018ep38,2018ep38
ep5 简单老套 但泪目 // 2.23 发现有些情节在现在看来已经有点老套 看得有点累了,7,推荐,2026-2-23 17:58,上学恶魔,247,银魂,23,8.7,ep5    223,ep5 223
看到后面感觉还是前面的日常和主线有趣//隐隐有种大家都在垫给男主的感觉…虽然是群像但作者也太偏心了吧，刻画的多的话很难人气低啊，虽然这种有着悲惨过去一直在保护身边的人、美强惨带点自毁倾向关键时刻靠谱的反差角色确实招人喜欢就是了。喜欢假发和小总，电波系萌，无厘头段子还是很有意思的，但是长篇单元剧很容易有日常战力崩坏不同集之间反差很大衔接不上的问题…长发toshi太美了，但是三叶篇看得我好难受，有股女角色只是为了衬托他的感觉，而且刻意营造一种巧合的悲剧壮烈气氛，其实见一面说开了完全没问题的吧？用力过猛了，红樱篇还是很好看的,8,力荐,2026-2-2 16:32,七海枫,247,银魂,23,8.7,toshi,toshi
gintama是我想要成为的男人的样子,9,神作,2026-1-25 01:19,rotciv,247,银魂,23,8.7,gintama,gintama
通过NipaPlay同步 (观看0/19集),0,未评分,2026-1-11 14:55,Carbonity,247,银魂,23,8.7,NipaPlay 019,NipaPlay 019
Bagumi 8.7 虽然高了，但本作确实厉害了。梗太多，也太好了：我这把刀所能守护的地方，就是我的祖国啊；我就是反对大江户青少年健全育成条例修正案；今宵之月，绝不西沉；那一刻我知道，我的Madao终于开花了。,10,超神作,2025-12-7 14:59,晴天娃娃,247,银魂,23,8.7,Bagumi 87 Madao,Bagumi 87 Madao
兜兜转转花了几年时间也是把201集的银魂第一季看完了，三言两语很难明确地总结我的感想，但过多的文字又会显得过于冗杂。总的来说，银魂在我心中绝对是一部满分的动画，日常有梗有泪，neta融入的自然，吐槽也十分有趣，偶尔也能出现温馨无比的我心目中神回，有着一种能让人在无论何种程度的情绪低谷中都抬起头看向明日的朝阳的神奇魔力；主线该搞笑搞笑，该正经正经，深度塑造了一批会在日后的篇章不断登场的常驻人物的同时，也让几个仅在某几集登场的角色活在观众的心中。如果有人问我十年之后最想重温的动画是什么，我会毫不犹豫地将银魂列入我的回答之中。,10,超神作,2025-11-2 20:55,清嘉,247,银魂,23,8.7,201neta,201neta
想搞耍一下（），因为ban的一星是“不忍直视”，那我觉得还真是（,1,不忍直视,2025-10-16 10:03,刷； ；牙,247,银魂,23,8.7,ban“”,ban “ ”
MADAO速成班，不懂梗会比较坐牢，懂梗或能get到电波就会变成MADAO（说到底不还是MADAO吗阿鲁=-=,10,超神作,2025-7-21 21:03,黄桃糖水_Arduino,247,银魂,23,8.7,MADAOgetMADAOMADAO,MADAOgetMADAOMADAO
近期才看到银魂，只能说具有银魂风的动漫前无古人后无来者。看的1-201话。每个篇章说实话有好有坏，好的比如madao戒酒那篇，月咏篇等。不足的就比如阴阳师篇，这篇看到后面无聊到爆炸。按篇章来评价的话本来最后应该给8或者9分，但银魂强的从来不是神篇，是这与三次元无缝衔接的感觉。很少有制作组水的这么自然，迂回的能让观众觉得就是主角三人组在迂回，仿佛这仨人跳出了动画本身一般。这种迂回手法得益于银魂长篇的制作，以及三人日常的无厘头和搞笑夸张的日常。当赶上原作时制作组还特地制作原创的小剧情，而且一点都不出戏，人物性格保持的很好，原创也没出现脱离人物性格的岔子，可以看到制作组对这部作品的爱！这才是十分的原因。有欢笑有热血有泪点有升华，这不给十分就只能给100分了。,10,超神作,2025-7-16 15:42,Asherate,247,银魂,23,8.7,1201madao89100,1201madao89100
"电波片
到现在还会唱pray和Mr.Raindrop",9,神作,2025-3-16 11:52,rainmaton,247,银魂,23,8.7,prayMrRaindrop,prayMrRaindrop
"madao观察日记也是经典 简直给madao这个角色润色升华了

好看 好笑 好哭

银魂即是如此",10,超神作,2025-1-7 08:24,我是熬夜大王,247,银魂,23,8.7,madao madao,madao madao
