content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
灵魂深处的喜欢，Happy End,10,超神作,2026-4-5 01:10,Hout ZhuoSi,216371,莉兹与青鸟,27,8.6,Happy End,Happy End
看过 TV版 来 剧场版 ，看了10分钟 同性恋有点不适,6,还行,2026-3-30 22:55,风祝,216371,莉兹与青鸟,27,8.6,TV   10,TV 10
happy ending?,8,力荐,2026-3-19 07:11,KONEHENTAI,216371,莉兹与青鸟,27,8.6,happy ending,happy ending
完美，教科书级别，这是看完后第一时间浮现在我脑海里的词。看之前bgm上面8.6的高分我是很怀疑的，但看完后我完全认可。作画，配乐，配音，情节，氛围把控，无一不是顶级。情节虽然简单，但讲的足够好，前后呼应都是有呼应的。作画不同于辉夜姬那种力大砖飞，而是非常的细腻生动，人物的心理完全能通过小动作表现出来，全片的画面都有种淡淡的百合香，非常清新。配音和配乐更不用说，让我这种外行都能感觉出传递的情感。不愧是被火烧前的京阿尼,10,超神作,2026-3-7 18:20,jiayx,216371,莉兹与青鸟,27,8.6,bgm86,bgm86
"nozomi合奏之后跟mizore的台词每句说出来感觉都……扎心，共鸣般的扎心。mizore的就……非贬义的不忍直视。nozomi最后不是对mizore说了「霙のオーボエが好き」吗，感觉霙のオーボエ……代表的是
一种才能，一种存在的状态，干净到不忍直视。
让人无地自容。
最后nozomi说这句话的时候……看着听着，甚至感觉有泄愤和撒气的情绪在，她说的很“随意”又很“平静”，看到最后还和她一起笑了。
可怕的共鸣感。
非常能让人产生感触的动画，有几处小的片段（比如两个人错位一起喊「でも今は」那里）私觉有点突兀所以不打10
其实我想打9.5wwww
另外这部看下来，百合味道并不浓，甚至称不上淡，就基本上是没有所以推荐所有人看……可能没往这方面想。如果说友情也算百合那就能理解了。
希望以后还能有这样的作品(›´ω`‹ )！",9,神作,2026-2-18 15:16,Himiyama_Rei,216371,莉兹与青鸟,27,8.6,"nozomimizoremizorenozomimizore


nozomi“”“”

10
95wwww",nozomimizoremizorenozomimizore nozomi “ ” “ ” 10 95wwww
你赢了京阿尼 青春感太足了 我就像一个吸血鬼看见了太阳 好浓郁的青春感啊 谁还有多余青春.从开头的disjoint到结尾划掉joint真是神来之笔 还记得算法老师讲并查集disjoint_set 为什么不翻译成不相连集合呢 原因是因为对这个集做过最多的操作就是合并和查找.,9,神作,2026-2-13 02:03,xEmotion,216371,莉兹与青鸟,27,8.6,disjointjoint disjointset,disjointjoint disjointset
最初看的时候没get到但越品越有的一部。青春期特有的清新的细腻和惆怅，面上浅淡实际浓烈到难以抑制的爱意，总处于失衡不安中的心理，明明有无数束缚、追逐彼此的理由，但最后她们放开了手。漫长而短暂、美好而充满淡淡的忧伤和希望的故事，文艺感max。,8,力荐,2026-2-11 19:40,若要由我来谈论爱的话,216371,莉兹与青鸟,27,8.6,getmax,getmax
waterlike,9,神作,2026-1-30 20:38,刃下心,216371,莉兹与青鸟,27,8.6,waterlike,waterlike
"感觉会是细腻而极致//T1  8.9分
又又又又超字数了ε=(´ο｀*)))唉，写句结语好了，其他的放日志。
最简约的配乐、最克制的演出、最安静的方式演绎出最汹涌的情感。当少女们在音乐中和解，当青鸟最终飞向蓝天，有关成长与放手的青春诗篇，在打开心之鸟笼的那一刻已奏响，真爱并非占有而是成全。全片最后，希美的“所以 请你等我一下”表明二人关系的新生，她们会在各自的道路上继续前行，但并非隔阂、并非离别，而是以更平等的方式相伴，在理解与释放中，彼此都能自由飞翔。

日志：https://bgm.tv/blog/366951",9,神作,2026-1-18 20:04,Yushiro Yukina,216371,莉兹与青鸟,27,8.6,"T1  89

“ ”

httpsbgmtvblog366951",T1 89 “ ” httpsbgmtvblog366951
“Happy ice cream!”,10,超神作,2026-1-18 07:07,非著名调查员,216371,莉兹与青鸟,27,8.6,“Happy ice cream”,“ Happy ice cream ”
