content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
不可多得的神作，是带领我进入篮球世界的经典，小时候还在思考到底是nba规则权威还是SD的规则权威,8,力荐,2026-1-27 22:00,rotciv,1608,灌篮高手,29,8.6,nbaSD,nbaSD
里程碑式作品，对主角和配角的塑造都非常到位。花道的确是亲儿子，不过个人更喜欢仙道，chill感满分，球技只是他最不值一提的优点。,8,力荐,2025-12-13 13:40,洛汀,1608,灌篮高手,29,8.6,chill,chill
1st，Tab=运动,10,超神作,2025-12-6 20:50,晴天娃娃,1608,灌篮高手,29,8.6,1stTab,1stTab
9/回顧25年溜馬有感，重寫評語。時代的傳承已經開始，仍能從球員態度中找到影子。在我看來灌籃高手不只是描寫少年青春與追夢那麼簡單，是以小見大承載著80 90年代籃球運動員的精神，故事中的籃球與當時的運動員一樣十分純粹。所以我覺得灌籃高手如同琥珀一般，將本該流動的時代傳承定格成靜態的故事。當我每一次見證時代的轉變，新時代球星從傳奇中接過火炬，都能在其中看到這部作品的影子。特別在校園籃球的背景下，其純粹尤為明顯。所有球員只為勝利而奮鬥，學會拋棄個人英雄主義，團結一致，將勝負的責任擔在肩上，也沒有所謂的精致利己主義，只有想方設法傾盡所有，打出球隊特色的團隊籃球，只為一刻的榮耀。這就是為什麼當我看到今年溜馬會如此動容，看到哈利受傷倒地掩面痛哭呼喊not today會熱淚盈眶。因為我看到新時代已經有人接過衣缽，在被商業摧殘的球場上仍堅持著信仰,9,神作,2025-7-12 18:02,界FFLLOW,1608,灌篮高手,29,8.6,92580 90not today,92580 90not today
比赛是有来有回，不过敌队能有三个猛将就顶天了，湘北这全明星配置每次打起来只能让某些人隐身就看得别扭。海南战最精彩，别的队看得有点无聊，特别是陵南就约等于仙道的一人队打了十七集。节奏巨拖，罚球五秒能水三分钟，加上运动镜头很多PPT，不怎么看老番不知道放当时什么水平，放现在肯定是扣分项了。三井的转变我没看懂，不管是不能参加比赛就退部鬼混了，还是“教练我想打篮球”后眨眼就融入队伍了都觉得很迷,8,力荐,2025-5-21 08:31,Zane0707,1608,灌篮高手,29,8.6,PPT“”,PPT “ ”
为什么能这么高...rank100最多了吧,0,未评分,2025-4-27 13:46,め,1608,灌篮高手,29,8.6,rank100,rank100
"小时候被家长拉着看的，我爹说这种青春热血的东西就应该让我这种江田岛健儿（划掉）这种社会主义热血好青年多看，长大了也要成为运动员（虽然我真当了几年）。///对了我爹当年看圣斗士星矢，我们城里人条件宽，90年代想看这种日本毒草还是容易的（唉双规）

当然我现在已经开始研究强迫人留寸头，留长头发反动这思想究竟是不是cultural revolution的遗毒了。

当然作为一个热血漫灌篮高手确确实实是比后世的许多运动题材的都要好的，哪怕我现在一看到肌肉男运动员体育生当兵的就膈应，以及总会给这里面的角色代入以前的某些队员，不过确实是能够作为青少年（指10-17）的群体看的。",7,推荐,2025-3-14 00:01,Fulcrum233,1608,灌篮高手,29,8.6,"90

cultural revolution

1017",90 cultural revolution 1017
怎么这么高？我寻思这灌篮tv主线拖沓原创一坨画面崩坏节奏奇怪问题一大堆上哪有资格8.6？个人7.5,7,推荐,2025-3-10 14:40,SDM-BGST,1608,灌篮高手,29,8.6,tv8675,tv8675
先学的打篮球，先看的NBA，后面15年左右才补的，实在看不下去。动画是好动画。,7,推荐,2025-2-20 15:06,Syaniki,1608,灌篮高手,29,8.6,NBA15,NBA15
"2025年标。
1993年TV，2022年3D剧场版（未看）；老剧场版不打算看了。",0,未评分,2025-2-2 22:32,漫不经心nico,1608,灌篮高手,29,8.6,"2025
1993TV20223D",2025 1993TV20223D
