content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
高达系列中个人最喜爱的作品，对战争与日常的冲突的刻画极为深刻。0080的故事在uc纪元里完全是微不足道的小事，却带来了一回伟大的演出，值得反复评鉴。,10,超神作,2026-4-5 20:58,Daiba_Nana,1015,机动战士高达0080 口袋里的战争,30,8.6,0080uc,0080uc
比起08ms的偶像剧戏份真是高下立判了，角色之间的对立设计给予剧本更上一层楼的纠缠感，ep6神回无疑了,8,力荐,2026-4-4 00:15,zhou,1015,机动战士高达0080 口袋里的战争,30,8.6,08msep6,08msep6
高达里最突出反战主题的一部作品，没有一年战争的英雄人物和地宇主战场，只是讲述了吉翁对side6一次对于一年战争全局几乎完全没有意义的潜入行动，中盘对主角巴尼和阿尔的友情描写很真挚动人，独眼巨人小队的机战打戏相对来说就一般般，最引人深思的就是结局虽然经历过真实战争的阿尔明白了战争的残酷和和平的可贵，但同学却用会有更大更夸张的战争来安慰阿尔，而且过几年也确实有迪拉兹之乱格利普斯战争这些残酷的战乱继续发生，我想编剧也觉得即使战争是没有任何意义的悲剧，但大部分人就没办法认识到这点，只能不断让这类悲剧反复发生且学不到任何教训,9,神作,2026-3-28 13:01,yangwenlich,1015,机动战士高达0080 口袋里的战争,30,8.6,side6,side6
因为我之前在一些混剪里被剧透了，所以对“巴尼，已经不用战斗了”没什么感触。前期一直纠结于巴尼吉翁的身份，虽然联邦也不是啥好人但是小孩猛帮fxs我看着有点纠结情感带入不进去。结果结尾一句“阿尔不要在哭了，战争马上就要开始了”直接震撼到我了，反战神作无需多言,9,神作,2026-3-11 11:54,scp观测员,1015,机动战士高达0080 口袋里的战争,30,8.6,“”fxs“”,“ ” fxs “ ”
异色的钢弹，发挥出OVA优势的短篇精品。ED好听。,8,力荐,2026-2-15 21:34,Pedoleon,1015,机动战士高达0080 口袋里的战争,30,8.6,OVAED,OVAED
OP ED都很好听，不是富野的高达，没有了富野式对话但其设计和故事都很巧妙，6集ova人物都给铺满了。这一部注重无关紧要的小人物战争，可以说是反战主题最突出的一部。,9,神作,2026-2-9 21:23,sunrise,1015,机动战士高达0080 口袋里的战争,30,8.6,OP ED6ova,OP ED6ova
"音画 8.5/10 全是细节的纯手绘作画，能让人抛开画风的老旧来欣赏。
剧情 9.5/10 以孩童视角展现残酷且无意义的一年战争带给side6的伤害，戏剧性的反转与剧情发展更添对战争的讽刺，巴尼的死成为了无意义的必然，全片中不少伏笔都得到回收，好故事一则。",9,神作,2026-2-8 18:21,Her0sen3n,1015,机动战士高达0080 口袋里的战争,30,8.6,"8510 
 9510 side6",8510 9510 side6
Don't-生-War Lie-兵士-War-World,10,超神作,2026-2-5 07:06,Nice_Future,1015,机动战士高达0080 口袋里的战争,30,8.6,DontWar LieWarWorld,DontWar LieWarWorld
第一部不是富野监督的高达作品，却可以说是“出道即巅峰”，成为了整个系列里都能名列前茅的作品。短短六集便能讲述这样一个故事实属令人佩服。0080里没有大杀四方的新人类，也没有能随随便便以一当十的传奇机师。阿尔不过是个小孩，巴尼是菜鸟机师，克莉丝连nt1的30％性能都无法发挥出来，就连独眼巨人小队也因为自杀性质的任务统统送了命。0080通过孩子的视角让我们看到这些战争里的小人物拼命想改变什么，却最终什么也没能改变；而他们的一切汗与血，一切努力和牺牲也不过是联邦高官报告里轻飘飘的一句“只是一件小事”。最后阿尔朋友们的一番话堪称劲爆尾杀。诚如标题所言，这是一场口袋里的战争；它是如此渺小，吉翁没有因为刺杀了新型高达便扭转败局，联邦也没有被新型机的损失拖累胜利的步伐，但它又如此残酷，即使到了三十多年后的今天也令人难以忘怀。,9,神作,2026-1-30 12:38,EVO,1015,机动战士高达0080 口袋里的战争,30,8.6,“”0080nt1300080“”,“ ” 0080nt1300080 “ ”
重温//高达历史上极为重要的作品，是高达第一次试图摆脱元老们构建的社会国家叙事，透过搭建一个古希腊式悲剧舞台，以更深远的角度去讨论人与战争的关系。不论是孩子间的战争游戏或是独眼巨人队的特攻行动，都在诠释着人性中无法摆脱的对野蛮与暴力的向往；而ep5名场景中通过“谎言”对巴尼的呼唤，同样是对人性之中道德、和平以及向往美好生活的先验性的求证。由殖民卫星浓缩进口袋的、在战争中挣扎的，不再是阵营、国家的较量，更是人心中文明和野蛮的斗争。这或许是富野始终无法呈现更理想的高达世界的缘故，毕竟对于万代而言，高达本身就是一个战争游戏,10,超神作,2026-1-5 02:45,夏林氏,1015,机动战士高达0080 口袋里的战争,30,8.6,ep5“”,ep5 “ ”
