content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
"控制左手的人就能称霸整个世界 双脚与肩同宽 双肋想要把人射穿一样打出去 出拳，出拳 慈善没有任何取处 就这样，出拳！呯！石锤丈从孤儿院逃跑那天就没有想过明天会怎么样 沿着贫民窟的那条小溪漂流 一刻也不回的 直到看见不知道什么东西在闪发光的大海东洋 四角囚笼限制不了丈 丈想要的也不是champin这种仅此而已的东西 丈不是被螺旋拳这种东西击败 没有螺旋拳也会自取灭亡 那就是被螺旋拳这种东西击败 无数次选择燃烧充实自己的循环螺旋 在扭曲的做法下 螺旋进奇点
一部简直是做了79集+46集伏笔的史诗 这和还会冒烟的不完全燃烧不一样 会有那么一瞬间绽放出耀眼的光芒 不会有渣 传奇拳手牙不k丈 燃烧殆尽了，只剩下白色的灰",9,神作,1d 19h ago,普通人dhj,67753,明日之丈2,31,8.7,"champin      
7946    k",champin 7946 k
永远在被致敬的传奇神作，无比出圈的梗让所有人都知道这个故事的结局，但即使如此你也很难不为之动容，这就是个无比纯粹的故事。与前作相比最直观的提升就是音画水平，十年的动画技术发展肉眼可见，S1剧情和制作上的稚嫩确实已经到了难以无视年代会影响观感的地步，S2将S1槽点满满的最后一个篇章进行了重置，优秀制作配合出崎统出神入化的演出也补齐了前作的所有短板 ，虽然也不是挑不出毛病，但也足够让观众沉浸在故事中。曾经孤独的野狗已经荡然无存，我只看到了一个潇洒的拳击手，他是那么坚定，那么的一往无前，即使终点是熊熊大火，丈也会冲进去燃烧殆尽，每经历一场比赛，丈所背负包袱都要沉重几分，大叔，叶子，力石，卡洛斯，乃至整个泪桥，明明有那么多在乎他的人，为什么他还是能如此义无反顾，但这就是丈，最纯粹的拳击手，无比厚重的最终战让每个人看后都会说出那句“燃尽了，只剩下雪白的灰”,10,超神作,2026-4-1 23:23,.ZiP,67753,明日之丈2,31,8.7,S1S2S1 “”,S1S2S1 “ ”
"因为梗太有名了，所以这可以算是一部无人不知结局的动画，甚至丈自己都知道。
而在知道丈最终宿命的情况下，每看一集都是在朝“燃尽”靠近。然而即使清楚这些，当丈打完最后一个回合，在裁判宣判胜利方前就闭上了眼，这一刻的冲击力还是如此强劲。
如果是S1的丈是“天生的拳击手”，那到了S2丈就是“注定要燃尽的拳击手”。在丈的生涯中，跟他交手的强大对手不是死就是断送生涯，可以说这是作者的一个恶趣味了，但这点在我看来是完成丈人物升华非常重要的一个坎。力石和金，卡洛斯和荷西，这四场比赛的关系是最紧密的，而且每一次的文戏都相当精彩。
丈的人物性格塑造并不是一条直线上升，而是有起有落的，总体呈上升趋势的。而且对他的强敌们也花了不少笔墨，这样在他们的拳击比赛当中，还有会有理念的碰撞。像卡洛斯这样的就变成了纯粹的战斗：）233，反之就是金。包括叶子和纪子这样的人物也很丰满",9,神作,2026-2-20 20:12,茉兰朵,67753,明日之丈2,31,8.7,"“”
S1“”S2“”
233",“ ” S1 “ ” S2 “ ”
"1.op、ed真好听
2.昭和画风很喜欢。颜色鲜艳饱满，人物画得还是人，不像之后的那么夸张
3.看了10集，不喜欢丈的性格。固执己见，强撑，冲动。要不是叶子请来了卡洛斯，他就会如旁人所说结束职业生涯。这就是昭和男儿？讨厌他不该笑的时候也笑，和“嘿嘿”。
4.终于找到丈的违和感来源了：年纪20出头，声音30+
5.记得《百万美元宝贝》里瞎眼大爷说拳击手都是固执的。看到丈，算是明白了。丈不是用来崇拜的，只是来展示人可以对拳击热爱至此
6.减重事件感人
7.节奏一般快，对我这种急着想看神剧情的来说太慢，但每一集表达的东西都很好，无水。适合。。。每天看一集吧
8.大小姐有多好就不必说了吧
9.对纪子刻画不多，但也是个有性格的人物
10.虽然我到最后也不喜欢他那个烂性格，但怎么说呢，只能说被他折服了，服了。最后也很对得起大小姐
11.会回味",9,神作,2025-11-30 23:51,ginqiang,67753,明日之丈2,31,8.7,"1oped
2
310“”
42030
5
6
7
8
9
10
11",1oped 2 310 “ ” 42030 5 6 7 8 9 10 11
戏里和戏外无时无刻能够感受到一种命运。台上的丈是那个向着完全燃烧一往直前的殉道者，顺应时代而生的命运之子；那么台下随意将自己的影像感性与丈的感性共鸣，具备更加成熟技法与团队磨合的出崎统，能够以80年这个时间点回望属于丈的那个70年代，惊人地展现出ドヤ町这个舞台的风土以及由台下的人们交织出的人間ドラマ，又何尝不是一种命运 // 相对应的原作面就显得有点疲软，拳击台上的设计远远不如1，除了卡洛斯以外缺少一个具有压倒性カリスマ和信念的对手来与丈做竞争，Jose这么个外强骨子里完全不行的的对手比起当最终boss还是当炮灰更加合适。重复过多的力石和卡洛斯的心魔多多少少也削弱了“明天”这个意向。或许丈1力石之死就是事实上明日之丈的结束，2所做的只是一个抵达注定结局所必要的清算而已，更愿意把2看做1的后日谈,8,力荐,2025-10-19 11:35,Desafinado,67753,明日之丈2,31,8.7,8070  1Joseboss“”1221,8070 1Joseboss “ ” 1221
"【Great】燃えた！燃え尽きた！白い灰だけが残っている。对于这样一部作品，我只有无言，我甚至不知道我能否打分。我以为我会放声大哭，到最后却只有无声的泪水。高桥摄影已入化境，杉野人设无可指摘，出崎一人分镜44/47集，毫无疑问已入神域，他真的把构成影像的每一个元素如臂使指。我在凡尔赛玫瑰里感受到的出崎的神性在本作中完全不加掩饰地展露，神爱世人，出崎俯视着作品中的每一个角色并关怀着他们，ep26,27,44。群像塑造大于一期。圣诞夜的卡洛斯神来之笔；扮演父亲角色的大叔；感谢叶子陪丈走到最后；以及丈，时代的孤儿，他来自哪里，要去向何方，他选择了在擂台上燃尽，他可以被毁灭，但绝不会被打败，因为他是明日之丈！本以为这是一个鲁智深的故事，结果是一个悲剧，一个令人无法释怀的悲剧。虽然只是那么一瞬 却能绽放出耀眼的鲜红 最后 只剩下一捧白灰 全部燃烧殆尽。",10,超神作,2025-8-24 01:53,伊吹言諾子,67753,明日之丈2,31,8.7,Great4447ep262744,Great4447ep262744
9.5/10十年之隔，出崎统将已成熟的演出方法论基于原作投入到二期的创作当中，且影像方面相较于S1在动态表现力和线条清晰度上有了质的提升和改善。//昏沉的夕阳景致悬挂在城市的空镜头，好像一缕情一抹悲。在逆境与孤独中成长的浪子矢吹丈，不仅限于看作是一个时代的符号，也可以代表着一种超脱于时代的精神象征。对权的反抗和斗争性，对命运的重新审视与解构，即使得知自己的身体在被拳痴症一步步侵蚀，依然选择去追逐去呐喊“活在当下，迎向明天”野性里的纯粹。是啊，战斗是野狗的宿命，奔跑是野狗的本能，在与荷西的最终对决中，丈完全燃烧着自己，试着迸发出猛烈的亮光和绽放出耀眼的鲜红染尽青春最后一刻，然后只剩下雪白的灰。,9,神作,2025-8-16 00:10,东方椎名,67753,明日之丈2,31,8.7,9510S1“”,9510S1 “ ”
名字是明日之丈，但丈却一直活在昨日（疑问）他一直是个比较自私，更多靠野性本能的角色，非常狭义。和打拳无关的事情他像个温柔细腻的大男孩，而和打拳有关就不允许任何人玷污他的神圣精神场，丈从头到尾的所谓成长更像是被亡灵的执念捕获了，越来越像活死人。如此多种可能性，并非只有打拳才是能完全燃烧自己的方式，而丈后期偏激的打拳几乎像丰川祥子一样伤害了每一个关心他的人。但是，另一方面，这种偏激的塑造让他更加像一个真正的人。人就是会陷入偏激，被某种东西困住。从丈这个概念越来越远离那个要给大家盖医院养老院工厂的街头小子，而是一条偏激野狗，带有日本人光荣切腹的味道。而这也是我会认为megalobox第二季超越明日之丈的原因，无论是酋长joe马克，到最后都是为了自己珍视的人而上擂台，他们喜欢打拳，他们同丈一样不怕死在擂台上，同是野狗的joe终究是在擂台上走的比矢吹丈更远了,9,神作,2025-5-24 07:34,舟安,67753,明日之丈2,31,8.7,megaloboxjoejoe,megaloboxjoejoe
"个人排名 top20-30
因为megalo box来的，花了两天补完了，之前还觉得bangumi排名高了，现在看完感觉排得不赖，个人解读丈没有死，应该是打完昏迷了彻底结束了拳击手生涯或者是变成了像卡洛斯那样的植物人，同样需要结合时代背景来看，明日之丈的剧情内核深度远超EVA了，很难想象这是上世纪70年代的产物，演出太超前了，用现在的眼光来看也能给10分，音乐8.5分，作画8分",9,神作,2025-2-12 06:55,GGodness,67753,明日之丈2,31,8.7,"top2030
megalo boxbangumiEVA7010858",top2030 megalo boxbangumiEVA7010858
友评8.9 ⬥ 对比S1真是切实感受到时代的进步 ⬥ EP10-12.14四连神回，出崎统太癫了 ⬥ 「あいつの素振りは忘れられない」「完」,8,力荐,2025-1-11 23:58,Sawarin𒀭（かわいくねえ版,67753,明日之丈2,31,8.7,89  S1  EP101214,89 S1 EP101214
