content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
孙悟空象征着中华人民的一种精神。没演到五指山，真是惊了//影迷高清修复版：av25319561,8,力荐,2026-3-10 17:14,隔壁的王某某,1962,大闹天宫,32,8.6,av25319561,av25319561
网左说的对，但是万籁鸣1960年至1964年，担任动画片《大闹天宫》的导演。在1964年，因为下集拍摄完成后由于文艺政策的变化，影片的全本没能够上映。文革开始后更因为《大闹天宫》被说成借古讽今，甚至指其有反xxx思想，所以被隔离审查。,9,神作,2026-2-8 17:52,🎏霈鑫⛩️,1962,大闹天宫,32,8.6,196019641964xxx,196019641964xxx
总共114分钟，1961年的上集，到第42分钟，开始下集，写的1964年了。B站弹幕打开还是很有意思的,10,超神作,2025-7-31 11:49,白熊博士,1962,大闹天宫,32,8.6,1141961421964B,1141961421964B
确实是经典，但是其实槽点也挺多的，我觉得最优秀的地方在视觉叙事做的非常具有表现力，或者说寓乐于景，表达出独特的美感，尽管他的BGM其实很单调，但与画面配合的又相当到位。不过大闹天宫毕竟是一个经典故事，导致在剧本上没什么新意，所以如果细节上无法get到的话其实挺枯燥的,0,未评分,2025-7-11 00:17,时崎狂三,1962,大闹天宫,32,8.6,BGMget,BGMget
很简单的道理，孙悟空是国民ip的goat 上美是老动漫厂的goat 等于大闹天宫是goat,10,超神作,2025-6-2 10:24,Real Place,1962,大闹天宫,32,8.6,ipgoat goat goat,ipgoat goat goat
82 水墨电影，制作在当时肯定是上乘。只不过它给我的更像是戏剧而非动画的体验，因为该作对叙事和人物对话进行压缩，转而突出刻画人物的动作、神态，同时我感觉这类人物动作的风格有Tom and Jerry的感觉，但在作画方面更具有观赏性，画面缺乏张力，但很流畅，这应是水墨电影的特点，并且水墨的背景美术无疑是很耐看的。音乐则是充斥着浓厚的中国风。而对于上个世纪六十年代的作品来说，最重要的应当是“艺术内核”这个抽象的概念，是西游记改编题材绝对的经典，也是孙悟空这一人物桀骜与顽皮生动的写照,8,力荐,2024-8-17 21:00,文升中,1962,大闹天宫,32,8.6,82 Tom and Jerry“”,82 Tom and Jerry “ ”
动作上稍欠火候啊，美术上也没什么特别的，但流畅度很高，社会主义好啊 ⬥ 原来我以前看过啊 ⬥ 我草，日系常见的变光束打斗是出自猴哪大战么？？ ⬥ 解析大闹天宫https://www.bilibili.com/video/BV13b421H7DY,0,未评分,2024-6-18 14:15,Sawarin𒀭（かわいくねえ版,1962,大闹天宫,32,8.6,httpswwwbilibilicomvideoBV13b421H7DY,httpswwwbilibilicomvideoBV13b421H7DY
如果一部作品只有历史意义，那么它没有任何意义——还好这部影片不是那样的作品//爽片，在这种意义上和sac1气质接近（// “我们不知道我们要什么，我们只是知道，我们要的不是这个”,0,未评分,2024-2-5 00:03,Phaedo++,1962,大闹天宫,32,8.6,sac1 “”,sac1 “ ”
"怀古伤今论泛滥的现代，“中国第一动画大厂”上美的巅峰之作、“中国动画之父”万籁鸣的初心作、中日动画友谊的象征——《大闹天宫》成为国动爱好者愈加崇拜和缅怀的丰碑。
上世纪60年代前期，日本TV动画和巨大机器人动画起步，展现出旭日东升之姿态；美国动画身处黄金时代，迪士尼经典传布至今。此时也正是中国动画的第一个鼎盛时期（1957-1965），大批早期探索者在上美齐聚，“骄阳烈日”普照四方，烈日中心的《大闹天空》奠定了后世众多西游作品中孙悟空的形象，影响了千千万万名动画爱好者和创作者。电影里中华韵味的绘风、独到细致的物人设计、上影乐团和京剧乐团的传统声乐和不畏强权的反抗精神让后世一窥当年中国动画的明光万丈。
我们的动画曾经辉煌，或不是“九天阊阖开宫殿，万国衣冠拜冕琉”的举世唯尊，但我们亦能坦荡自豪地屹立于世界动画乃至文化之林。今日又是祝愿国动崛起的一天呢",9,神作,2023-9-17 14:16,羽骑霓旌,1962,大闹天宫,32,8.6,"“”“”
60TV19571965“”
“”",“ ” “ ” 60TV19571965 “ ” “ ”
x2难忘的童年回忆，BGM响时落泪。某种天真烂漫的心态，某种不可征服的精神，某种藐视权威的勇气，某种光明磊落的胸襟，某种对于自由的追求。如果在我小时候是无论如何看不出来这些的，虽然我们都知道猴子其实被如来一掌干趴下了，但我还是更接受万籁鸣版的结局，他是手冢治虫的偶像制作时受上层影响。,10,超神作,2023-9-15 21:22,超级自学者小哒,1962,大闹天宫,32,8.6,x2BGM,x2BGM
不用任何现代元素，不站在现代立场去批评这部作品相对的缺点，因为在当时这是顶级的作品，直到现在也没有这样独特风格且完全生机的作品再度出现，唯一的“上美”，最经典的孙悟空，只有他才能在1950s打破一切黑暗的、腐朽的事物，用伟大的造反的力量消灭反动的天庭，开辟属于众猴的花果山。,10,超神作,2023-7-3 21:36,卫星冰咖啡～ice coffee ...,1962,大闹天宫,32,8.6,“”1950s,“ ” 1950s
补豆瓣top250再看的,9,神作,2023-3-29 19:35,Q,1962,大闹天宫,32,8.6,top250,top250
undefined,0,未评分,2022-7-26 21:28,芝居,1962,大闹天宫,32,8.6,undefined,undefined
