content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
依然维持高质量，与前季虫与自然的探讨相比续章更聚焦于人情关系，选题多了许多伦理因果报应。ep12，洞中轮回重复人生，剧本精巧的章节//ep17 虽形状不一样，但本质是一样的，你存在每一个地方//ep18，互相不爱的人最好结局就是分开//ep20，被砍倒的巨树，人与自然互依共存,8,力荐,2026-3-2 22:14,sardine522,106207,虫师 续章 第2部分,36,8.6,ep12ep17 ep18ep20,ep12ep17 ep18ep20
第二季作画明显精细了不少，EP12无敌神回，然而继EP12的超神回后，又迎来了EP13的神回,0,未评分,2025-8-25 00:31,梨咲,106207,虫师 续章 第2部分,36,8.6,EP12EP12EP13,EP12EP12EP13
"ep.2,ep.3小神回，ep.9看的极度不适，这部番一个角色都不喜欢，银古就知道多管闲事，都是人家自己造的孽自己承担得了，老是插一手，我从来都不觉得虫师治愈过。",5,不过不失,2025-4-24 11:25,超电磁炮mygo,106207,虫师 续章 第2部分,36,8.6,ep2ep3ep9,ep2ep3ep9
像是一位久别重逢的故人，六年前给我带来的治愈，一直铭记于心，更是一部艺术品。看第一季的时候还是个涉世未深的小伙子，那时候迷茫、焦虑，直到接触虫师这部动漫，整个人都被洗涤干净了，也留下了许多泪水。即使以现在的眼光看序章，依然是一部能让我潸然泪下的作品。《虫师》作为公路番，我能排到top3。感触最深的三个故事ep12芬芳之暗：没有你才是真正的噩梦，即使是幸福的噩梦，有你在，我也愿意一直做这个幸福的噩梦。ep13残红：这集看哭了(ಥ_ಥ)ep20常之树：人与自然互相理解，互依共存，治愈到了。ep19泥之草，有密集恐惧症的跳过，故事本身还是不错的，这就是报应啊,10,超神作,2025-3-8 18:14,戒,106207,虫师 续章 第2部分,36,8.6,top3ep12ep13ep20ep19,top3ep12ep13ep20ep19
第2部分要好的多，属于是逊色于第1部，而第1部分的话，直接就可以说是不能放在一起比较了，还有第19集还是跳过的好，喜欢虫师的应该不会喜欢这集，20集很好，sp也不错,9,神作,2025-1-21 20:20,向日葵の侍,106207,虫师 续章 第2部分,36,8.6,2111920sp,2111920sp
最后一个故事又是人与自然和谐共生，或许，整个虫师是描述一个个温馨的家庭故事，治愉人心的爱情故事与人与自然和谐共生（总之，不要过渡使用虫）（bushi）,7,推荐,2024-11-29 17:38,野秋怨月影,106207,虫师 续章 第2部分,36,8.6,bushi,bushi
ep17，最喜欢的一集，台词的呼应太有诗意美了，自认为是意境做的最好的一集///单元剧里的神作，对作者丰富的想象力以及动画贯彻始终的宁静氛围感到惊叹，通过无数个感人至深的小故事构筑起了一个以“虫”为核心的古代乡土幻想世界，总的来说是一部艺术性和思想性兼具的作品，以一种平和而深邃的方式探讨了人与自然的关系。,8,力荐,2024-10-10 11:32,Sakari,106207,虫师 续章 第2部分,36,8.6,ep17“”,ep17 “ ”
（7+）S1后期就初露端倪的没活在这季爆发，大半(2-5.7.9)都很无聊，出现的虫子没什么意思，重点是人与人的关系，但刻画得淡然无味，有些人就是好这口吧… ⬥ EP14重女百合是吧 ⬥ EP18结局喜欢,7,推荐,2024-7-27 11:20,Sawarin𒀭（かわいくねえ版,106207,虫师 续章 第2部分,36,8.6,7S12579  EP14  EP18,7S12579 EP14 EP18
几年前看完s1化杜牧一句诗作为短评，现在看来，反倒是s2更符合“人歌人哭”四字，甚至有一集就是讲的水上村的故事。比起人与自然的关系，本季更注重人类社会内部之间的互动，很多故事里虫随便换个别的什么怪力乱神的东西也毫不影响故事本身，这或许是想象力有所衰退的体现。,0,未评分,2024-4-9 00:18,神智を砕く魔女の鉄槌,106207,虫师 续章 第2部分,36,8.6,s1s2“”,s1s2 “ ”
最喜欢ep12 ep13 ep20,9,神作,2024-4-3 19:53,kano,106207,虫师 续章 第2部分,36,8.6,ep12 ep13 ep20,ep12 ep13 ep20
"被前三话的质量震惊了，看来制作组终于调整好了方向啊
半数以上的回数都是佳回，世界只是静静运转，和人们却又相互交织着
ep12 ep13 ep14 ep15 ep17",9,神作,2024-4-1 22:08,昵称已被占用哔哔,106207,虫师 续章 第2部分,36,8.6,ep12 ep13 ep14 ep15 ep17,ep12 ep13 ep14 ep15 ep17
"ep12、ep15、ep18优秀，只有ep20有些达到了第一季的水准/整体观感比上半部好不少，但依然没有达到第一季的高度,可能还是个人对于故事主题的喜好区别的原因,/感觉第一季的着眼点更多在人，而第二季更偏向虫。虫的设定还是适度地模糊处理给人观感更好吧",8,力荐,2024-3-29 23:27,gogogogoday,106207,虫师 续章 第2部分,36,8.6,ep12ep15ep18ep20,ep12ep15ep18ep20
"又回到了一期的詭異空靈, 少了一星的原因無他, #ep19. (bgm38)",7,推荐,2024-2-21 20:22,昼間行灯,106207,虫师 续章 第2部分,36,8.6,ep19 bgm38,ep19 bgm38
比较喜欢ep12 ep17 ep20 续章2期相比1期更有第一季的味道,8,力荐,2024-2-2 16:24,实践空気力学,106207,虫师 续章 第2部分,36,8.6,ep12 ep17 ep20 21,ep12 ep17 ep20 21
1、与第一季相比稍欠，但依然精彩； 2、人与人之间的关系何尝不是人与自然？； 3、文艺青年的最爱； 4、强烈推荐原著漫画； 5、难以跳过的OP与ED；,8,力荐,2024-1-7 20:50,無敵武士♦Kk16°C,106207,虫师 续章 第2部分,36,8.6,1 2 3 4 5OPED,1 2 3 4 5OPED
Moozzi2,0,未评分,2023-12-31 21:16,像这样我听见,106207,虫师 续章 第2部分,36,8.6,Moozzi2,Moozzi2
从「静」的漫画体裁中脱身而出，却又时刻思考着如何返璞归真回「静」的本源。尽管现代影像是带有无可避免的有声的性质，但的确能通过影像与音响的调度实现出维度上的跨越。承袭前作的「土性」，虫仍是归依于某地，作为脉络般寄宿于特定地点之中。而人们与虫产生纠缠、建立关系——与土地息息相关。作品无论是从色设计还是摄影上都细腻地呼应着这点。而拍数上特意设计出的调和：甚至可以说展现出空气之所在的手法，也正是回应了慢流的timing的存在。若仅是一成不变的缓缓的剧中时间，未免太过定性，而针对这点作出的调节正是续章二期的有趣之处——虫师的身份在更多时候显现于居民们主观的对立面上。他们具有了相当程度上的自我，与虫之间真正是平等意义上的交互。而本位的主张与协同剧伴音响的均质前行的动画之间奇妙的离散，便是二期最不同于先前之作品，也是最为出彩的部分。,9,神作,2023-11-19 21:05,小山啓,106207,虫师 续章 第2部分,36,8.6,timing,timing
ep13:神回，细节做得很好 //喜欢13，16，20,9,神作,2023-11-12 11:48,凤凰院 凶真,106207,虫师 续章 第2部分,36,8.6,ep13 131620,ep13 131620
ep12时间轮回，ep13踩影子，ep17伤感，ep18批判封建包办婚姻，ep19兄弟反目，ep20神树,9,神作,2023-10-19 14:11,φbo2,106207,虫师 续章 第2部分,36,8.6,ep12ep13ep17ep18ep19ep20,ep12ep13ep17ep18ep19ep20
ep2，ep3，太精彩了,9,神作,2023-10-14 14:10,梅娅,106207,虫师 续章 第2部分,36,8.6,ep2ep3,ep2ep3
A+（8.8）续章2期有更另我震撼的故事，ep13的影子，为了生存而代替别人，虚无缥缈。ep18的母子，我们看习惯了母爱无私，这一集从母亲的视角展开为何无法爱自己的孩子，封建社会没有自由，被强迫嫁给了不喜欢的人，被强迫生下孩子，如何去爱，对于孩子来说是既无奈又可悲，怪不得母亲，母亲早已陷入绝望的泥潭之中。虫师总是能够将虚幻的“虫”影射到现实的方方面面，从中体会到人的苦涩，包括亲情友情爱情之间的故事。,9,神作,2023-9-1 00:39,沢近愛理,106207,虫师 续章 第2部分,36,8.6,A882ep13ep18“”,A882ep13ep18 “ ”
ep12、17、18、20是比较喜欢的回，这期故事质量比上一期高了不少。进入续章后的虫师在基调上和第一季有着些许不同，虫的作用减小，人虫的连结感更为缥缈且带着明显的人文厚重感，但更多是感到对第一季物哀娴静之风的异观重构。续章一期在对于故事以凄与悲为主导元素偏向上有着忽视之嫌；注重于情，主旨寄托于人但缺乏含蓄的推衍，好在二期的及时补救挽回不少韵致。,8,力荐,2023-2-26 19:07,平静的东西,106207,虫师 续章 第2部分,36,8.6,ep12171820,ep12171820
undefined,0,未评分,2022-7-26 21:35,芝居,106207,虫师 续章 第2部分,36,8.6,undefined,undefined
胜过第一期很多，不仅仅只是原作出彩的缘故，长滨博史导演的演出水准进步非常大，这一季出色的地方很好的压过了了无聊之处，即使是中规中矩的片段也改的很有味道，印象深刻的还是ep18以及ep19，漫画动画皆好，是看完后值得细细品味的剧集。,5,不过不失,2021-10-13 22:20,索巴凯维奇,106207,虫师 续章 第2部分,36,8.6,ep18ep19,ep18ep19
"ep11,ep12,ep13,ep14,ep17,ep18,ep19",8,力荐,2020-8-23 23:12,zzhh0131,106207,虫师 续章 第2部分,36,8.6,ep11ep12ep13ep14ep17ep18ep19,ep11ep12ep13ep14ep17ep18ep19
比前一期更有Senson 1的感觉，但还是没有突破，感觉是选的故事不太行//碧水，雷之侧，常之树,8,力荐,2020-7-16 23:41,Aeieop,106207,虫师 续章 第2部分,36,8.6,Senson 1,Senson 1
第二P致郁的偏多，个人最喜欢E12、13和18,9,神作,2019-10-12 12:34,Destiny Fucker,106207,虫师 续章 第2部分,36,8.6,PE121318,PE121318
很喜欢在睡前看一点虫师（虽然ep19略恶心。。），不知不觉把第二季也看完了。依然很喜欢增田俊郎的bgm，每一首配合剧情都恰当好处。能感受到脚本针对漫画顺序重新调整的用意，本季进一步谈及了抽象的虫，以及人、虫、自然的关系，立意得到提升了。（除了ep14直白了点）另外部分画面和动作采用全帧制作，比较用心又有点违和，比较纠结bgm38。,9,神作,2019-9-22 13:43,龙族小手,106207,虫师 续章 第2部分,36,8.6,ep19bgmep14bgm38,ep19bgmep14bgm38
cut：ep12/ep14/ep18/ep19,8,力荐,2019-1-3 21:50,MedillAli,106207,虫师 续章 第2部分,36,8.6,cutep12ep14ep18ep19,cutep12ep14ep18ep19
比第一期好看很多，最喜欢ep12和ep20,8,力荐,2018-5-23 04:30,腹馬瀬星人,106207,虫师 续章 第2部分,36,8.6,ep12ep20,ep12ep20
ep7.日照雨  ep11.草之茵  ep12.幽香的黑暗  ep18.雷之侧,8,力荐,2018-3-10 13:23,古河飞飞,106207,虫师 续章 第2部分,36,8.6,ep7  ep11  ep12  ep18,ep7 ep11 ep12 ep18
世纪的第三期，续章的续章，不要太棒，第三期的感觉，充满生机，即使事情无法挽回，即使失去，故事里的人物也能带着自己心中的意义延续自己的故事。为stuff打屁股,10,超神作,2017-11-24 00:54,仆酱,106207,虫师 续章 第2部分,36,8.6,stuff,stuff
依旧赶不上第一季的韵味，但比起续章前半部多了些故事性，其中ep12、13、17的“你无处不在”和20观感最好，ep13、19最黑。分镜印象最好的是大地丙太郎回。不过续章的问题在于有时虫离开得太随便，而不是人为。最有共鸣的是“廻陋”，这种好像过去经历过的既视感时有发生。ep19作画失误熊孩子变兔斯基哈哈~,7,推荐,2017-8-10 03:08,Guiu,106207,虫师 续章 第2部分,36,8.6,ep121317“”20ep1319“”ep19,ep121317 “ ” 20ep1319 “ ” ep19
