content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
除去0080以外最佳的高达，uc纪元里最接近光明未来的时期，结果是uc没有未来（）,9,神作,2026-4-5 21:05,Daiba_Nana,9622,机动战士Z高达,43,8.5,0080ucuc,0080ucuc
成熟的作品。相比于0079进步了太多，不管是画面上还是剧情人物上，真正展示了战争的残酷，揭示了人类总是在重复同样的悲剧，彼此之间始终无法达成理解。画面上崩坏很少，动作场面流畅，出色的分镜设计使得马戏看的津津有味，特别是最后的三方大混战极具冲击力；人物上群星璀璨名将云集；夏亚和阿姆罗的人格魅力是突如其来的高，深深体会到了鸭子被束缚自由的无力和绝望之感；卡缪从一个冲动少年成长为越是冷静就越是令人胆寒的新人类，没有选择战争而是战争主动走向他，在接连不断的失去中，最终无可避免地走向了疯狂；在这样的无意义的战场下，每个人都或多或少主动或被动的背叛了自己，徒增悲伤。本来只是为了看懂逆鸭才看的z和zz，没想到z竟然是如此的精彩、压抑和扭曲，看完后不禁感慨，现在的业界已经制作不出这样的50集宏大史诗的年番了。,9,神作,2026-4-1 14:42,wuwangwo,9622,机动战士Z高达,43,8.5,0079zzzz50,0079zzzz50
"辛苦自己了，终于看完了。
Z跟0079虽然剧情相接但实在是风格迥异的片子
卡缪终究只是一个有天赋上限ACE级的少年兵，指望他成为骡子那样一人左右战争局势的高达驾驶员还是要求太高了
不幸的是卡缪本身是一个敏感而脆弱的人，偏偏拥有洞察人心的最强NT之力
难怪最后几集才开始觉醒，因为一旦觉醒而转化战力
卡缪直接精神崩溃了，但从NT来讲，他确实是最强新人类
Z基本就是这样一个少年兵在战争里沉浮无法自主的战争悲剧故事吧

P.S：战场谈恋爱，莫名奇妙感性戏，阻止友军攻击造成更大伤亡，骂卑鄙的大人然后意气用事，意气用事后意外手刃心爱之人，NT聊天室，宇宙男女裸漂鬼，相互理解，神棍之力解决机战战斗
UC才是高达不幸的源头",7,推荐,2026-3-22 19:35,银二,9622,机动战士Z高达,43,8.5,"Z0079
ACE
NT

NT
Z

PSNT
UC",Z0079 ACE NT NT Z PSNT UC
（92/100）依托于0079搭建起来的优良骨架和整体进步的制作水平，富野的思想和才华终于在Z中得到了进一步的展示和释放，或者说，“战争之后的战争”，也许才是身处冷战时期并经历过学运的他真正想讲的故事。凭借一流的叙事能力和超一流的台词设计能力，提坦斯—奥古—阿克西斯—木星，少年、军人、政治家、强化人、新人类，极权主义、女性主义、精英主义、自由主义……势力格局之复杂和思想主旨之多样都令人咋舌，更难能可贵的是即使这样也丝毫没有在叙事上偷懒，就群像塑造和故事曲折而言也是ACG顶级的太空歌剧。当然一些用力不均导致时而晦涩难懂时而重复拖沓的问题也有，但这种需要观众去自发理解拼接作品的大气可以说再适合Z这样宏大的作品不过了。,9,神作,2026-3-15 21:06,1097,9622,机动战士Z高达,43,8.5,921000079Z“”ACGZ,921000079Z “ ” ACGZ
巨大的星星kirakira。,10,超神作,2026-2-23 13:09,魔飯,9622,机动战士Z高达,43,8.5,kirakira,kirakira
上一秒还沉浸在阿姆罗飒爽的战斗和夏亚灵活的脱出中，下一刻就看到z里有德被疯狂修正，卡缪承受巨大外部压力，明明一年战争都结束了，世界却没有任何改变。每次看到0079的老人都还健在，就会感到安心，特别是阿姆罗，骡子一出场就有种能保护所有人并大叫着秒杀敌人的可靠感。反观卡缪，不管是家庭环境还是nt环境都压力山大，我看到那几个强化人头都大了，瞬间理解骡子为什么不想上宇宙了。z相比0079简直就是大混战，对面那都是什么人啊，挽尊哥真的只是和卡缪有私人恩怨吧，每次出场都太难绷了。还有那群强化人，卡缪每次都在话疗，试图解除洗脑，明明他可以直接感应一下谁在背后洗脑的，结果每次都大败而归，实在是看太烦了，简单点打晕绑起来都比纯说服要合理吧。还有意难平的人实在太多了，要是骡子在宇宙就好了，说不定卡兹就不会死了，艾玛也能救回来，卡缪也不至于疯掉了吧，都是遗憾啊。,8,力荐,2026-2-15 14:40,葵生暮冬,9622,机动战士Z高达,43,8.5,z0079ntz0079,z0079ntz0079
2026-02-14【9】：相比开篇的79，这部才是完整阐述战争和新人类的。能看到超多的新机子（虽然大部分是敌人的），高达战和武斗传都不少。卡缪的人物塑造是这一部的核心，通过他能逐渐理解新人类，最终感受到无奈。EP.20/37/46/48/49/50,9,神作,2026-2-14 22:05,星野岚川,9622,机动战士Z高达,43,8.5,20260214979EP203746484950,20260214979EP203746484950
听到《星空のBelieve》还是会胃疼。,0,未评分,2026-2-12 21:10,Pedoleon,9622,机动战士Z高达,43,8.5,Believe,Believe
2022年的6月底，结束了毕业论文的写作后突发奇想开始补UC刚大木系列，两礼拜从GTO补到CCA，不愧是我。相较于0079，0087不论是制作上还是主人公的刻画上，都有了非常显著的进步（也有可能是刚开始看0079那会儿不太适应的原因？），卡缪是我最喜欢的刚大木系列主人公了。剧场那段更是顶中之顶的文戏，唉——被重力束缚的灵魂们啊——,10,超神作,2026-1-28 00:47,予禾,9622,机动战士Z高达,43,8.5,20226UCGTOCCA007900870079,20226UCGTOCCA007900870079
可能是少一场像0079吉翁家族集会那样的场面，一直到最后都像是三个小团体打架b38，中间靠草台班子都合和神秘感情线推动剧情太多次也十分影响观感。但总体是比0079更为精彩，人物塑造更为鲜活的故事。,8,力荐,2026-1-27 16:21,亚瑟邓特,9622,机动战士Z高达,43,8.5,0079b380079,0079b380079
卡缪？这不是女人的名字。高达z高达第二部作品，可变形的zeta gundam是我变形萝卜的启蒙。,8,力荐,2026-1-21 00:56,小米丿馒头,9622,机动战士Z高达,43,8.5,zzeta gundam,zzeta gundam
"真正的4d追番体验。
看着反复上演的强化人悲剧，神人队友白给，tts图图平民，老兵为了保护新人陨落，卡缪没疯呢我先要疯了。
不同于0079基本上是看骡子无双的爽片，z就是不断地迷茫不断地失去不断地痛苦，最终在所以角色死的死疯的疯后留下一地鸡毛什么也没有改变。
最后ed的开朗的花出来，比边缘行者杀伤力还大。",9,神作,2026-1-7 07:33,uuz吃吃吃,9622,机动战士Z高达,43,8.5,"4d
tts
0079z
ed",4d tts 0079z ed
