content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
绝对的神作，看一辈子rick&morty,10,超神作,2026-2-24 00:31,Nero,146457,瑞克和莫蒂 第三季,45,8.5,rickmorty,rickmorty
把之前的时间线都连起来太酷了吧 让summer做后手托底剧情设计的合理性很强 前三季观感上升最好的一季,8,力荐,2025-11-22 09:02,安知,146457,瑞克和莫蒂 第三季,45,8.5,summer,summer
这一季的演出和剧情编排都是前三季里最好的，该爽的地方做得利落，该反转的地方结局也出人意料。还有e01、e07两个神回拉上线&引出主线，风格化与主线推进并行，编排上相当优秀,9,神作,2025-11-10 01:03,Vianaly,146457,瑞克和莫蒂 第三季,45,8.5,e01e07,e01e07
ram一直如此的刻薄残忍而幽默轻盈、处处违和而自成体系的特点其实也变相筛选了核心的观众群体，而这群观众的高接受能力也使得制作方可以将时长分配给更重要的地方，所以我们才能看见ep1、ep7这种只有ram才能在如此短的时长中讲清楚的压缩剧情。这是何等般的奇迹啊，only rick and morty can do it.（例证：拉个路人过来直接看s3e7的话他很难在第一时间看进去。我们高中的班上有人这么试过了。）,10,超神作,2025-10-21 23:17,Orange_JAMGO,146457,瑞克和莫蒂 第三季,45,8.5,ramep1ep7ramonly rick and morty can do its3e7,ramep1ep7ramonly rick and morty can do its3e7
9/10 结尾虽然不够爆但是前面几集又补足了这一点，名场面Rvil Morty,9,神作,2025-10-16 08:39,Z4YINK,146457,瑞克和莫蒂 第三季,45,8.5,910 Rvil Morty,910 Rvil Morty
"印象深的神回：瑞克手撕瑞城和银河联邦，腌黄瓜，还有竞选总统，最后evil morty的话：
“竞选的时候才需要演讲，而现在需要的是行动。”",9,神作,2025-10-1 22:57,C137_Rained,146457,瑞克和莫蒂 第三季,45,8.5,"evil morty
“”",evil morty “ ”
这季的落脚点着重在家庭关系和每个人物性格的完善，迷恋杀戮的Summer，不愿与糟糕的自己和解的Morty，离婚后承认自己缺点的Jerry，假装热爱新生活的Beth，永远用疯狂隐藏自己脆弱一面的Rick。还有番外篇的封神第七集。,10,超神作,2025-9-30 16:31,慢半拍怪人,146457,瑞克和莫蒂 第三季,45,8.5,SummerMortyJerryBethRick,SummerMortyJerryBethRick
够猎奇，够抽象，有足够的隐射。也有足够的剧情，callback也很惊艳，瑞克和莫蒂最佳,8,力荐,2025-9-25 14:45,jm搜索栏词条汇总,146457,瑞克和莫蒂 第三季,45,8.5,callback,callback
"I’m back, motherf**ker.//Ep04本以为是爷孙情，结果瑞克爱的是外人，莫蒂不禁说出了mf word//Ep07神回，生活在城堡里的无数个瑞克和莫蒂，又何尝不是现实。//Ep10瑞克大战漂亮国总统，以及终极幻想：巴以永久和平。",9,神作,2025-9-9 23:48,夜辻freaky,146457,瑞克和莫蒂 第三季,45,8.5,I’m back motherfkerEp04mf wordEp07Ep10,I ’ m back motherfkerEp04mf wordEp07Ep10
"本想给9分来着 奈何ep7当年真的被震撼住了 在我这神回超10分
综合一下还是给10吧
95/100",10,超神作,2025-6-18 14:28,Broh,146457,瑞克和莫蒂 第三季,45,8.5,"9 ep7 10
10
95100",9 ep7 10 10 95100
神中神 meta最高峰 从此对meta不再有新鲜感,9,神作,2025-6-10 02:45,爱拉あいら,146457,瑞克和莫蒂 第三季,45,8.5,meta meta,meta meta
"1、 2集让我觉得瑞克和morty是不是要走下坡路了，ep3让我直呼过瘾，ep6,7妥妥神回，随后一路爽到结局，目前看到最巅峰的一季。",10,超神作,2025-5-11 00:31,Zexal,146457,瑞克和莫蒂 第三季,45,8.5,1 2mortyep3ep67,1 2mortyep3ep67
邪恶Morty出场吧？很期待后续剧情。,7,推荐,2025-5-4 20:16,Fay,146457,瑞克和莫蒂 第三季,45,8.5,Morty,Morty
