content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
"T2-Ⅱ B2 经典的“男孩遇见女孩”式冒险童话。影片构建了一个极其瑰丽的飞行梦境，拉普达的废墟美感与久石让的配乐完美交织，视听层面的完成度无可挑剔。然而，剧本走向显得过于四平八稳，标准化的叙事模式虽然流畅，却也因缺乏变奏而显得略微套路。这种极致的纯粹虽然动人，但在情感厚度与惊喜上稍显单薄，难以留下深长的余韵。//
作品简析：作为正统王道冒险动画，本作以寻找传说中的飞行城市为线索，构建了一场充满想象力的空中传奇。影片将少年的纯真梦想、少女的身份之谜与反派的权力野心巧妙交织，在跌宕起伏的追逐中展现了关于勇气与责任的真挚赞美。其核心魅力在于极致的飞行浪漫与鲜明的善恶博弈，结尾处对权力的弃绝，将故事升华为对生命根植于土地的温情回归，闪耀着极其纯粹的英雄主义光辉。",7,推荐,1d 1h ago,シマエナガ,298,天空之城,47,8.5,T2 B2 “”,T2 B2 “ ”
"宫崎骏最爱的boy meets girls！
说实话我还是没太看懂一些情节。
给我印象深刻的大概是那些像鬼子进故宫那样子。
有一点点人与自然和谐共生，有一点点反战。
但是我最喜欢的是久石让的配乐，那个美丽的天空之城
我从小时候就听起，直到现在才看到了这部剧场版。
说起来这样一座天空之城，真是美不胜收，我理想的世界大概就是这样，湛蓝 空旷 静谧 神秘 凄清 优雅 神圣 和谐。",8,力荐,2026-2-19 02:29,幻术黑猫,298,天空之城,47,8.5,boy meets girls,boy meets girls
依然是充满反战思想呼吁和平的经典bmg故事，不得不说宫崎骏笔下的女性和“反派”都有种独特的魅力在的,8,力荐,2026-2-1 14:21,CyraZm,298,天空之城,47,8.5,bmg“”,bmg “ ”
第一次完整看完整部。宫老的反战主义，和平主义，自然主义尽显其中；强大的拉普德，若是不能好好利用于造福人类，那么早晚也会毁灭，再先进的技术，如果用于战争也是可耻的；当然也不能为了环保和平而放弃一切技术与军事。我无意在bangumi进一步键政，但钦佩宫老的情怀与坚持罢了；人类发展不是注定有如此童话般的结局，还得要靠自身互相尊重，不断努力。,8,力荐,2026-1-25 16:09,一个随便的昵称,298,天空之城,47,8.5,bangumi,bangumi
没太看懂这个故事的表达。故事从希达从天而降开始，进入标准的Boy meets Girl 的模板后，大体可以简单地概括为小情侣的奇幻冒险。但是在故事发展中缺乏有意义的矛盾和立体的反派（最初谋财的海盗奶奶随着故事发展几乎完全变成巴斯的助力，真正的反派只剩下军队和慕斯卡），导致故事的厚度、意旨或者人物的情感、价值无法彰显。具言之，本篇有三处我不甚满意之处，第一剧情略显拖沓，山谷中的情节其实可以删去或者压缩，否则前40分钟几乎没太多有效信息；第二，反派过于扁平，慕斯卡的行为没有什么特别的动机或者逻辑，甚至可以单纯用野心勃勃的坏种概括，导致故事缺乏感染力。然而复国的设定和处心积虑的间谍身份应当有更多值得挖掘之处；第三，设定略随意。巴斯超级小孩的体能和空中之城隔三岔五、恰到好处的入口（机关使然或者炸开）令剧情有刻意的设计感。当然，小情侣的恋爱很甜，这点我很喜欢。,6,还行,2026-1-16 20:11,派客人,298,天空之城,47,8.5,Boy meets Girl 40,Boy meets Girl 40
[25/12.19]四十年前这种画面吗，画面和音乐出色。可能这剧情设定在当时很时髦新颖，但放现在立意有些浅了，太多工具人，伏笔背景也没展开，还是更喜欢风之谷。但刻画的希达和巴斯挺讨喜，希达勇敢温柔巴斯坚强善良，boy meets girl讲得不错,8,力荐,2025-12-19 21:50,随风,298,天空之城,47,8.5,251219boy meets girl,251219boy meets girl
如梦似幻的世界观设定，经典的boy meets girl故事，批判人类对财富和权利的贪欲同时赞颂自然的纯朴与美好，这样纯粹的理想主义精神非常可贵,8,力荐,2025-12-5 14:38,Ichigo_Parfait,298,天空之城,47,8.5,boy meets girl,boy meets girl
补标8.4///文明的真谛在于回归自然本质，而非凌驾其之上。蒸汽朋克风，少年パズー与少女シータ寻找传说中的天空之城laputa的冒险故事。当laputa巨树隐入云海时，它留下叩问：“人类能否在追寻进步时不忘扎根大地？”天空之城是一部宫崎骏式的冒险童话，也是宫崎骏用动画铸就的文明寓言。///本作男女主十分讨喜，《君をのせて》响起的那一刻总是让人只剩下感动与热泪盈眶。,8,力荐,2025-11-27 21:53,ラフィール,298,天空之城,47,8.5,84laputalaputa“”,84laputalaputa “ ”
"【7.5+/10】
纯净的孩子与复杂大人们的故事，也是一部关于人与自然与生命的作品。天空之城所构建的乌托邦城堡因科技的发展而兴盛，也因科技的发展脱离土地，最终陨落。并非像宫崎骏的其他作品那样注重于对内核进行全方位阐述，天空之城的内核简单直白，更像是带有寓言性质的童话，故事的中心更多放在了实际的冒险上，成熟且完成度极高的故事脉络搭配上翱翔于天空的动力和展望自然景观，注视世界的激情，使得这个简单的冒险故事前半段观感尤为出彩。但故事到了Laputa后则有明显的下滑，缺乏深挖塑造，导致人物的扁平化与台词的单一化，主旨展现并没有同类作品来到水到渠成，但关于“人与土地与风”始终关联的台词，则又使得故事保持在了奇幻作品优秀行列，让人能沉下心来，细细品味故事中所呈现的哲思韵味",7,推荐,2025-11-16 09:38,岚瑟,298,天空之城,47,8.5,"7510
Laputa“”",7510 Laputa “ ”
"8.9  宫崎骏巅峰之作  各方面都很好
1.剧情 SS
2.内涵 S
3.观感 SS
4.音乐 SS
5.画面 SS
6.作画 SS  
7.人物 S",10,超神作,2025-11-8 16:15,宇治松千夜,298,天空之城,47,8.5,"89    
1 SS
2 S
3 SS
4 SS
5 SS
6 SS  
7 S",89 1 SS 2 S 3 SS 4 SS 5 SS 6 SS 7 S
看啊，人类就像垃圾一样bgm38,9,神作,2025-10-31 02:58,风间苍也,298,天空之城,47,8.5,bgm38,bgm38
