content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
评分8.0，8分纯情怀分中间葵丝和哈撒韦闹得小孩打架了说是结果给珍愉悦送走了没看懂哈撒韦为什么要杀珍，这部在uc出的梗是真的又多又精啊对于夏亚自己的内心纠结明显能看的出来对地球人的绝望也能认知到自己在干贪得无厌的事，而骡子依旧成熟稳重当之不愧uc第一机师我是真的喜欢牛高达的外观结尾ed在接触逆亚之前就在听好听呢,8,力荐,2026-4-10 17:29,克里斯,4583,机动战士高达 逆袭的夏亚,48,8.5,808ucuced,808ucuced
作画真的非常顶级，一口气从0079看到cca，看着夏亚尤其是从z到cca时期的转变，就非常难过。可惜哪怕引发了阿克西斯的奇迹，但对side里的人来说，对地球上的人来说，还是没能力改变什么……人类仍旧很难相互理解,10,超神作,2026-3-25 08:48,予禾,4583,机动战士高达 逆袭的夏亚,48,8.5,0079ccazccaside,0079ccazccaside
一部标准好的剧场版，既有作画又有故事，故事可以说是有表又有心，表指能让大多人简单理解发生了什么，心指这个故事里面也有能挖的东西。不过也有我看老uctv也有的问题，重故事发展但情感上不来，还有全剧唯一真史最神必的情节哈萨维杀珍，葵丝我都不觉得有多恶心，这个是真的把我恶心坏了，还有nt在洗甚至把问题怪在珍身上就更恶心了。除去这些问题逆亚就真没毛了,8,力荐,2026-3-23 16:31,yangchongYI,4583,机动战士高达 逆袭的夏亚,48,8.5,uctvnt,uctvnt
beyond the time一响起再搞笑的遗言都升华了,8,力荐,2026-3-18 02:04,ouerplay,4583,机动战士高达 逆袭的夏亚,48,8.5,beyond the time,beyond the time
富野的八部半，抛去社会批判的部分不谈，是对人生经验、创作纠葛和个人心态的探讨，终究是关于导演本人的电影。夏亚和阿姆罗的战斗是导演的左右脑互搏，最后导演自己说服自己和人类和解了。其实不看z和zz也行，cca仅仅是0079的续作，理解正题——反题——合题、否定与否定之否定不需要太多前置。,10,超神作,2026-3-16 14:02,鯖,4583,机动战士高达 逆袭的夏亚,48,8.5,zzzcca0079,zzzcca0079
0079到z再到zz，看逆鸭当然不是单纯看逆鸭，而是看骡鸭的收官，也是uc最宏伟的一段历史的收官。如果uc在这里收官，留下阿克西斯奇迹，那故事还有着无限希望，可惜连阿克西斯的奇迹都无法改变任何事情，只让原本善良的人变得更加痛苦,8,力荐,2026-3-15 00:32,zhou,4583,机动战士高达 逆袭的夏亚,48,8.5,0079zzzucuc,0079zzzucuc
作为拉拉二人转的大结局，本季依然也有神秘 New Type 女人与神之一手小孩哥。如今的夏亚再次陷入了自己的执念当中，坚信人类无法互相理解的他只能不断地重演战争的悲剧。而与之相对的，阿姆罗过分的善良往往偏离于腐朽的现实。如果没有最终精神力框架的奇迹，两个人的纠葛会永远持续下去吧（）痛击队友大概是每个优秀驾驶员的必修课,7,推荐,2026-3-14 14:31,星与幻灵,4583,机动战士高达 逆袭的夏亚,48,8.5,New Type,New Type
以一个圈外人的角度来说真的有点无聊 z很好看 水星魔女勉强能看下去  有时代加成给到7分,7,推荐,2026-2-13 04:54,mdk的theory,4583,机动战士高达 逆袭的夏亚,48,8.5,z   7,z 7
"uc纪思想的集大成 最高的山 beyond the time真神曲
“即使奇迹发生 人类依然无法被拯救 但正因为无法被拯救 那试图推动奇迹的双手 才如此值得铭记”看到最后联邦军和吉翁军一起推akxs这一幕还是哭了“我的故乡是地球”人类的历史即是战争的历史 没有人能从这名为仇恨的莫比乌斯环中脱出 但在逆鸭的最后人与人之间跨越种种的鸿沟终于得以相互理解 即使这份理解只是短暂的一瞬间 你可以改变未来 在这时空的彼岸 你可以改变未来 在那黑暗的彼方 我们一起追寻彼此谅解的那一天
在故事的最后被重力束缚而坠落的akxs最终脱离了地球重力的束缚 晚安骡子 晚安鸭子 以及所有的uc世纪战士



0093可能确实是有不少槽点的动画 但0093在我心目中的地位和带给我的感动是其他所有动画都比不了的",10,超神作,2026-1-28 23:01,lizard666,4583,机动战士高达 逆袭的夏亚,48,8.5,"uc  beyond the time
“    ”akxs“”        
akxs   uc



0093 0093",uc beyond the time “ ” akxs “ ” akxs uc 0093 0093
留下了夏亚这一经典动漫反派形象，年幼父亲被害成为流浪王子，0079不择手段完成对扎比家的复仇，Z重拾理想意图改变联邦将接力棒传给下一代，但卡缪的结局和第一次新吉翁战争让他意识到联邦的腐败根深蒂固，对人类彻底绝望的他终于选择在0093背叛自己的理想亲手掀桌子，但桌子真让你掀翻了也是没用啊我看；夏亚是个缺爱、孩子气、有道德洁癖的理想主义者，有做大事的心和能力没有做大事的气量，生为吉翁太子就是他最大的不幸，和宿敌骡子一起死在大气层，临死前还能交交心谈下妈妈那档子事也是对他最好的救赎了,9,神作,2026-1-24 18:34,koi,4583,机动战士高达 逆袭的夏亚,48,8.5,0079Z0093,0079Z0093
