content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
death剪这么碎到底谁看得懂 但另一方面来看破碎的片段与时间跳切更像是对角色心理呈现的补完，我觉得是对TV某种层面的补充，值得被作为单独作品来评价而非单纯的总集篇 这种久违的极端剪辑方式与文字演出还是太独特了，高强度轰炸下来实在是难得的体验 相比之下Air的叙事节奏一下子也显得眉清目秀起来（笑） 再次观看EOE其实会觉得怎么就这么点，根本看不够，但即便知道内容也依然足够震撼，整个revival连着看看爽了,8,力荐,2026-3-21 19:00,awefhio,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,death TV  Air EOErevival,death TV Air EOErevival
tv外另一种结局，剧场版死与新生（true）2，air，真心为你，有空体验与tv的不同，此为记录,0,未评分,2026-3-12 23:25,夜,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,tvtrue2airtv,tvtrue2airtv
"#SIFF#
DEATH: TV总集，高频率的文字演出不太好，时长原因剪得确实比较碎。
Air: 承上启下，相当于真正的TV结局前置。
真心为你：看了终之后再来回顾真心为你，又有不一样的感觉。这次才发现终的很多元素和真心为你是对应的，但是走向不同；真心为你反映的更多是庵野“绝望”的一面，补完的结局正对应旧EVA“人与人无法相互理解”的主题。虽然同样更注重庵野自己的表达，但是相比终还是缺少了一点磅礴的情节→主题转变，显得比较仓促，可能是时长原因。缺少一点终的荡气回肠感，各角色的结局也显得比较赶。但是作为旧EVA的结局是很不错的，在本篇TV崩坏结局后还能花几年憋出这个真结局，实在是很幸运。",8,力荐,2026-2-4 17:12,Picman,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,"SIFF
DEATH TV
Air TV
“”EVA“”EVATV",SIFF DEATH TV Air TV “ ” EVA “ ” EVATV
"DEATH部分评价见新世紀エヴァンゲリオン劇場版 シト新生。/
AIR&真心为你部分见新世紀エヴァンゲリオン劇場版 Air/まごころを、君に。",0,未评分,2026-1-27 02:35,AkariSam,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,"DEATH 
AIR Air",DEATH AIR Air
比起tv更喜欢air,0,未评分,2025-12-23 00:45,拉斯露提尔,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,tvair,tvair
似乎是总集篇与老剧场版的合集？感觉老剧场版还是与95版TV一脉相承的，新EVA感觉还是没有超越老版的EVA，很多东西看起来像是对原有立场的妥协,10,超神作,2025-12-6 17:49,L'innommable,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,95TVEVAEVA,95TVEVAEVA
"补标//隔的有点久了，加上剧场和tv当时是一起补的所以有点混淆了
总之很震撼，掉san值
等以后重看一遍吧",7,推荐,2025-12-6 15:08,十夏开火箭,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,"tv
san",tv san
27SIFF 中间还有休息的,9,神作,2025-6-25 00:30,伊原小糸,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,27SIFF,27SIFF
#SIFF 27th,7,推荐,2025-6-19 19:58,小植野,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,SIFF 27th,SIFF 27th
2025siff27重温，DEATH剪辑很有水平，D大调卡农弦乐四重奏太棒了，大荧幕上看绫波的微笑，至福，DEATH结束速速出去买芬达；Air居然从明日香与二号机再启动那里就开始哭，大人的吻、矶光雄画的二号机vs量产，尊；真心为你来吧甜蜜的死亡一响就开始哭，后面看到剧院实拍画面笑出来了，这种跨越时空的会面太棒了；为角色们无法认识并确立自我而心痛，也为真嗣与香最终选择一个痛苦与爱并存的世界感动;最暴力也是最华丽的补完/骗钱！骗感情！但是被骗得心甘情愿！,9,神作,2025-6-19 16:09,眠い魔女,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,2025siff27DEATHDDEATHAirvs,2025siff27DEATHDDEATHAirvs
"感觉好多人在昨天早上sho这场
death剪的挺有感觉的
前排看真心为你挺好的 最爽的还是补完开始 来吧甜蜜死亡到最后恶心
air/真心为你给了10星 但可能隔了几年也找不回当时心境了",9,神作,2025-6-14 09:12,调饥,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,"sho
death
  
air10",sho death air10
25.6.13&15siff//曾经梦想有一天去影院看EOE，没想到实现的竟然这么快，但是仍希望把死与新生摘掉单独展映EOE两话////2号机血战， 大人的吻，come on sweet death，补完计划发动的全程，’気持ち悪い’....当一个一个无比熟识的名场面涌现在大屏幕上的瞬间，若时光机将我拉回到了第一次观看EOE的夜晚，彼时的心境跨越了时间与空间传递给了此时。真心为你最后配合真人meta演出桥段，银幕中的影院恰逢当下正坐在电影院里的人们，难以言表的感情涌上心头，朦胧恍惚的迷幻感扑鼻而来。“僕の夢はどこ？それは現実の続き。僕の現実はどこ？それは夢の終わりよ”大银幕下的大白丽，人类橙汁化，久久萦绕在心头无法忘怀//多年以后，当我的记忆褪色，忘却一切曾经看过的剧集，唯独这一抹诡谲奇异的奇幻色彩的夜晚仍会永远驻留在记忆深处，随时间无限的漂流下去…,9,神作,2025-6-13 17:07,淡淡的忧伤,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,50,8.5,2561315siffEOEEOE2 come on sweet death’’EOEmeta“”,2561315siffEOEEOE2 come on sweet death ’ ’ EOEmeta “ ”
