content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
明日香：我不就换了个姓吗，怎么被虐的人变成我了？//似曾相识的剧情，截然不同的走向；都说每部EVA都反映了庵野秀明不同时期的心境，目前看下来TV、旧剧场版、每部新剧场版的情绪流确实都不一样，《破》前半的气氛相当轻松，每个人都比TV里开朗许多，仿佛心之壁即将消失，但痞子怎么可能放过你们呢？少年们继续被虐吧～接下来就是真的未知领域了，虽然评分下滑很多，但还是期待一下《Q》,8,力荐,19h 3m  ago,Emiya,3302,福音战士新剧场版：破,57,8.4,EVATVTVQ,EVATVTVQ
优质的影像与音乐加持完整清晰的故事让EVA破成为了一场（伪）王道热血电影，机甲的战斗和特效卡的出没固然亮眼，但日常的情节补充让作品在故事上更加丰富，三号机暴走让剧情急转直下，先前建立好的一切关系与对未来的期望在这场事故下烟消云散，再次被父亲践踏的真嗣在耀眼的夕阳车厢下感到绝望，父子对话的疏离，距离变的更远的不只是二人的关系，还有未来的期望，最后拼尽全力，只为自己的战斗迎来的却是毁灭全世界的-第三次冲击，剧情在不到120分钟的剧情里推进相对来说会稍快，但起承转合完整清晰可见，加持分镜演出与音乐足以让人投入其中,8,力荐,2026-4-7 02:50,Reon,3302,福音战士新剧场版：破,57,8.4,EVA120,EVA120
"2018年初看：画面时髦了很多，但TV版隽永的留白变成了新剧场版粗暴的念台词...观感极差
2026年重看：维持原判。新剧场版更短的篇幅塞进更多的剧情，注定失去了很多必不可少的铺垫",8,力荐,2026-4-4 11:24,kyonkoo,3302,福音战士新剧场版：破,57,8.4,"2018TV
2026",2018TV 2026
本次预计还原TV版18-19集→冬二当被害者没分量啊→让明日香当祭品吧！→明日香序也没出来啊，角色塑造跟不上→那就加入致死量的争风吃醋环节和萌点放出……哥们，重制不出来可以不做，不做又不是Q就出不来了。后面既然都要原创了，为什么非得做这种欲盖弥彰的事情呢，打冬二抱怨冰棍没中奖开始，把角色推入虎口的心思简直如司马昭之心，难道是想故意让看过的搁哪“哇明日香要被弄死了耶还有段傲娇独白塑造的好好噢”，不是吧。而说回18集本身，围绕冬二发生的一系列悲剧与自始至终真嗣被蒙骗都是非常重要的情节，因为与理碇源堂的独断是不好挑毛病的，所以只能与情写真嗣从始至终都不被大人信任（客观上构成蒙骗无视欺瞒），他在真正目睹冬二的惨状时冲击才越强，将理由归结为父亲“连说法都不给”想去“要个说法”才越合理。你把这些都抽了换成明日香合适吗？连整个故事都被矮化成父子因为美少女闹矛盾了。,6,还行,2026-3-23 00:47,请随意修改,3302,福音战士新剧场版：破,57,8.4,TV1819Q“”18“”“”,TV1819Q “ ” 18 “ ” “ ”
光是经费爆炸的演出就值得一看，这一部不同于上一部在剧情上已经有了较大分歧，旧tv版的情感相当扭曲压抑，新剧场版多了很多积极向上的日常剧情，凌波丽的感情线终于补全了，但是男主的情感转折感觉有点儿太快了（虽然旧tv版一直扭曲压抑看的我也非常难受），明日香和旧tv版已经切割了吗（名字都不一样了），旧tv版的明日香一开始是为了“他人”而活，通过别人的认可来实现自我认同，这一部光速和解？,8,力荐,2026-3-20 14:46,Re_Char,3302,福音战士新剧场版：破,57,8.4,tvtvtvtv“”,tvtvtvtv “ ”
细节满满的eva和第三新东京，各种彩蛋与致敬，果体香香与penpen的对称，最棒的一点是补了TV版里缺失的真嗣和绫波丽的感情线，在tv版里由于庵野秀明的疏忽导致的绫波丽感情线的混乱，从第六集里真嗣救出绫波丽好感度拉满后十集左右时间把好感度清零了两人都没有直接的对话于是TV版里真嗣和绫波丽的感情线写毁了，而破很好得补上了这部分， 三小只徒手接使徒的高清细节满满版太棒了，剧场版里将明日香驾驶eva的理由从TV版的为了展示自己的优秀变为了为了自己，将明日香和真嗣一起睡那一段从被动改成了主动，人物性格刻画出的感觉也变了，这里绫波丽提前觉醒并对明日香说出我不是人偶这句关键的话，并没有像tv版一样被扇巴掌，也暗示了二人命运区别于tv版的改变，此后凌波对香说的那句谢谢也将成为香解开心结却走上与tv版不同道路的转折 //最后一段感染力十足,0,未评分,2026-3-8 13:39,czyhz,3302,福音战士新剧场版：破,57,8.4,evapenpenTVtvTV evaTVtvtvtv,evapenpenTVtvTV evaTVtvtvtv
2026.2.8 8.5分 非常喜欢新剧场版的人物塑造，真嗣和零的“自我意识”都得到了突破，在一些剧情上的处理也胜过了原作。但由于剧场版时长的限制，很多过渡剧情被删除，也导致观感有些奇怪，比如香香对真嗣的喜欢和自闭的过程都进行得太快了（新剧场版的香也太惨了QwQ）,8,力荐,2026-3-2 09:50,远山淡影,3302,福音战士新剧场版：破,57,8.4,202628 85 “”QwQ,202628 85 “ ” QwQ
asuka呜呜,8,力荐,2026-2-26 03:12,Kyooma,3302,福音战士新剧场版：破,57,8.4,asuka,asuka
旧版EVA庵野秀明把真嗣当做臭狗关在笼子里蹂躏，而本作片名中的破，是他把关着真嗣的狗笼打破，把他当作人温柔地对待，让他拥有了与外界抗衡的心力，真正成为了人类。前半部分，真嗣比起旧版变得更善于表达自我，丽觉醒了自我意识开始摆脱操纵、主动回应他人的善意，明日香也更加能接纳与他人的联结、稍微放下了刺向外界的矛，此即人物塑造层面的破；后半部分，叙事基调一转，一切急转直下，建立在旧版框架的基础上，却发生着完全无法预料的巨大幅度转变，明日香承受痛苦、真嗣出于只为拯救丽一人的动机主动控制初号机（异于旧版，此处呈现的是真嗣的主观控制），此即叙事层面的破；不过最核心的破应当还是真嗣自己的突破吧。极致的视听呈现，顺滑高速的剧情展开，角色塑造和剧情甚至世界观上的大幅突破，我不知道这是不是EVA的正确形态，但这应该是我想看到的形态。真希波这里出现应该只做铺垫吧。（200标）,8,力荐,2026-2-21 20:04,爆魔土豆,3302,福音战士新剧场版：破,57,8.4,EVAEVA200,EVAEVA200
明明庵野秀明自己都决心创造一个新的eav了，我在看新剧场版的时候却难以彻底摆脱旧eva的影响,9,神作,2026-2-9 21:34,无壳之蟹,3302,福音战士新剧场版：破,57,8.4,eaveva,eaveva
