content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
美式幽默的至高制作，尚记得在acfun上追漫的一点一滴，可惜物语系列和瑞克莫蒂到期后A站也彻底落寞了,7,推荐,2025-12-22 23:27,月C,93377,瑞克和莫蒂 第一季,59,8.4,acfunA,acfunA
极致荒诞的解构下，是S1这种快到飞起的脑洞叙事。最迷人的其实不是科幻点子本身，而是在那一地鸡毛的虚无主义里，居然还能看见一丝极其吝啬的温情。Rick的全知神性与Morty的平庸人性反复冲撞，把那些离奇的太空歌剧解构成了一个个扎心的生活侧写。这不是单纯的爽片，而是在荒谬的冒险缝隙里，逼着我们去直面关于“存在”的真相。这种冷酷的浪漫感，大概就是它足以称为经典的原因,9,神作,2025-12-22 20:13,上野原ayano,93377,瑞克和莫蒂 第一季,59,8.4,S1RickMorty“”,S1RickMorty “ ”
Rick很爱Morty 画面很流畅 非单元剧的故事,7,推荐,2025-11-19 13:09,安知,93377,瑞克和莫蒂 第一季,59,8.4,RickMorty,RickMorty
第一次看这部神作还是在初中用acfun看的，直到不久前还在看最新季。对于R&M的瑰丽奇特的想象力、绝妙的编剧创新力和思想探讨之深度，在我看来是几乎没有多少日漫可以匹敌的。,9,神作,2025-10-6 01:07,夏日终牡鹿,93377,瑞克和莫蒂 第一季,59,8.4,acfunRM,acfunRM
最经典的一季，印象深的神回有：盗梦空间，evil Morty初出场，换宇宙,9,神作,2025-10-2 07:46,C137_Rained,93377,瑞克和莫蒂 第一季,59,8.4,evil Morty,evil Morty
Ep01因为吊带袜天使开始对美漫感兴趣，看了一集确实脑洞大开，茶余饭后可以头脑风暴，换换口味。//Ep04这每集确实都是全新设定，想象力漫游。//Ep06毁灭了现在的世界，去到另外的世界线代替了自己，亲手埋葬自己的尸体，现实在眼前离得是那么近却又那么远。//Ep08没想到埋尸体这段后续还会提到//Ep09疯狂锻炼，爷孙俩最后选择了最简单粗暴的方式伸张正义hhh//Ep11这种跳脱感真不错，魔幻又真实。,9,神作,2025-9-1 10:00,夜辻freaky,93377,瑞克和莫蒂 第一季,59,8.4,Ep01Ep04Ep06Ep08Ep09hhhEp11,Ep01Ep04Ep06Ep08Ep09hhhEp11
"忘不了当年那个即使被提前剧透也被ep6暴击的我
90/100",9,神作,2025-6-24 18:03,Broh,93377,瑞克和莫蒂 第一季,59,8.4,"ep6
90100",ep6 90100
25.4.12/ep10神回,8,力荐,2025-4-12 14:27,绫井,93377,瑞克和莫蒂 第一季,59,8.4,25412ep10,25412ep10
ep2、4、6、8 // 写在看完ep6后：家庭一开始只是人类个体为了维护自身安全而构建的紧密关系。然而在上万年的人类历史中，这种社会关系使得无数人结成与他人的深厚羁绊（俗称亲情）并获得了在这残酷的现实中活下去的动力，而这又使得人们会自发地想去守护这种社会关系，因此也间接回馈了处在这同一社会关系的他人，达成了良好而又显得坚不可摧的循环。然而这种社会关系就在此集直接被不费吹灰之力地取代掉，仿佛一切都好像没有发生过一样。我所认为的那独一无二的羁绊原来换个人对方也能继续履行，完全瓦解了它本应该具备的可靠性，这或许也让Morty自己曾经的认知似乎变成了一个笑话。,8,力荐,2025-4-1 14:55,Anonymous,93377,瑞克和莫蒂 第一季,59,8.4,ep2468  ep6Morty,ep2468 ep6Morty
平行宇宙、多重维度，超脱且荒诞的设定看似天马行空，实则在Rick end Morty中反而作为一个更为贴近的思考面存在。当它们与传统叙事下的道德伦理社会制度相互串联并相互矛盾时，隐喻与讽刺便油然而生。你知道的，这很科幻。,7,推荐,2025-3-12 21:36,Creator,93377,瑞克和莫蒂 第一季,59,8.4,Rick end Morty,Rick end Morty
