content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
7-8/ep1有种剑心追忆篇的氛围,0,未评分,2026-3-24 21:24,gogogogoday,1704,猎人,60,8.4,78ep1,78ep1
本来以为会拖很久没想到很爽快地几乎一口气就补完了。纯净又蓬勃的少年气和环环相扣的剧情编排，兼具兼容性与特色的战力体系和超尘拔俗领先版本太多的角色塑造。像奇犽和酷拉皮卡甚至让我后悔不早点补完没能早日当上厨子，至于西索本身就更是个奇迹了。富坚确实是到达了another level的鬼才，能以更高的社会和人际关系基本原则出发去塑造一段少年们稚嫩但不幼稚的冒险，凭借对于故事走向和底层逻辑的精准把握给出一个简单但绝不平凡的解。动画在节奏把握和氛围塑造上也绝对是数一数二的，上次看少年漫改有这么紧凑流畅的体验还是钢炼了，还有开战列舰那种原创神回。,9,神作,2026-2-7 23:31,妈的阿库娅,1704,猎人,60,8.4,another level,another level
和奇犽一个年龄的时候看的，转头已经double 倍了,9,神作,2026-1-5 02:08,拜托卫星一个愿望,1704,猎人,60,8.4,double,double
更喜欢旧版，佐桥俊彦发挥好，配乐完胜新版的，对里面有些诡异的配乐感兴趣可以看魅影巨神big O和假面骑士空我,9,神作,2025-10-19 15:23,捣乱的老夫,1704,猎人,60,8.4,big O,big O
为什么是要截止到62集，这部分连友客鑫市篇都才一半吧，怎么又单独出OVA了，明明整合在一起评价能更高的,4,较差,2025-7-15 19:05,官世子,1704,猎人,60,8.4,62OVA,62OVA
"10.0（故事性 10，人物塑造 10，画面质量 9，演出音乐 9，个人喜爱 + 0.5）
+ 最喜欢的作品之一，非常经典且具有观看欲望的情节，喜欢赛璐璐风格的作画和营造的氛围，各种角色的塑造也是神乎其技
- 后面的 OVA 略穷了",10,超神作,2025-7-6 19:59,ルーキー,1704,猎人,60,8.4,"100 10 10 9 9  05
 
  OVA",100 10 10 9 9 05 OVA
"全职猎人1999
前期贫瘠的作画无疑是最大的缺点但是镜头美术和改编的剧本无疑是极其优秀的
猎人考试篇
第一次测试的迷幻场景是第一次让我感受到猎人动画组改编的巧妙的地方但在飞船上奇犽与为父亲复仇女孩故事，我认为是比较失败的无论是从人物塑造还是从后面剧情角度来说没有了新版掏心的惊讶新加的孤岛我认为是最成功的一个地方极大的富了考生的人物形象。ep39大战半藏可以说是第一个作画回虽然只有短短的5分钟但是辛苦看了前面这么多PPT做还是感到不容易所以我觉得这个篇章可以给到八分的评价",8,力荐,2025-4-26 20:12,月水優,1704,猎人,60,8.4,"1999


ep395PPT",1999 ep395PPT
前期比较慢热，开篇看似普通的王道热血展开，但是小杰异于常规热血漫主角之处一早已经埋下伏笔，随着冒险的进行故事也变得精彩起来，在友克鑫市到达climax//还是老作品好//酷拉皮卡好,8,力荐,2025-2-28 20:27,海鳴,1704,猎人,60,8.4,climax,climax
"2025年标。
1999年老版TV、2002年OVA1、2003年OVA2、2004年OVA3。
2011年重置版。",0,未评分,2025-2-3 14:06,漫不经心nico,1704,猎人,60,8.4,"2025
1999TV2002OVA12003OVA22004OVA3
2011",2025 1999TV2002OVA12003OVA22004OVA3 2011
从天空竞技场篇开始引入念能力后观感直接起飞，友客鑫市拍卖篇最引人入胜，其中ep56是最喜欢的单集，酷拉皮卡 vs 窝金真让人直呼过瘾,8,力荐,2025-1-11 17:11,上野原ayano,1704,猎人,60,8.4,ep56 vs,ep56 vs
ep1/直接默认人均超人的世界观了233/bgm挺不错/ep7/短短几话就将几人塑造得有血有肉，可见富坚文本功底/ep12/连着看了12集好爽www/ep17轮斧子这段作画挺不错的/ep23/西索这笑声真的是人类可以发出来的吗/ep25/明明你们也可以憋气的233，这样不是更保险一些吗没必要先晕了再让小杰背啊/不知不觉又看了10集，这样一关一关考验的设计方法看上去原始，爽快却是实实在在的，没有延迟和弯弯绕绕（简单说少铺垫少伏笔不用费脑子），同时也塑造了世界观和人物群像，是一种很精明的少年漫解法，而那个时代这么做的漫画家，现在大多也都成功了/ep38/好萌的电梯接待ww/ep45/真是遇到了个好老师/ep56/库拉皮卡vs幻影旅团，神回/ep62内容分割的确奇怪，明摆着很多内容没讲完..//制作精良剧情紧凑人物塑造丰满，值得一看8/8/8,8,力荐,2024-12-29 23:52,答辩鉴赏大师,1704,猎人,60,8.4,ep1233bgmep7ep1212wwwep17ep23ep2523310ep38wwep45ep56vsep62888,ep1233bgmep7ep1212wwwep17ep23ep2523310ep38wwep45ep56vsep62888
8.1，非常经典的少年漫，现在补起来也的确好看。最喜欢的篇章是猎人考试篇，里面的考题设计相当有意思，不是局限于战力而是更偏向智斗，从而塑造各个维度的人物，再加上本身猎人的角色就很讨喜，伙伴之间就是那种纯正少年漫之间的羁绊，观感就更好了。当然不太好的一集也出自这里，比如半藏打小杰，我能懂小杰的坚持半藏的不忍，但这里的确难以把控好度让人难受。不过话说回来，少年漫的经典考试环节真是怎么看都看不腻啊。后面的天空竞技场篇和友客鑫篇，则终于揭露了猎人世界观的战斗机制，看起来有点像气功？酷拉皮卡的誓约机制也挺有趣，感觉自此猎人的走向有点半战力拼点半超能力机制战斗的感觉。另外的，这版的音乐也实属经典，常常是小曲一响，氛围就起来了，相当喜欢op1，清晨的露珠，互道早安的伙伴，就要这个味！,8,力荐,2024-12-20 15:18,三分之五十二倍的NO ...,1704,猎人,60,8.4,81op1,81op1
"先看新版再看的旧版，实际上两边都是各有优劣，旧版（特别是旅团篇）的BGM和气氛雕琢上更胜一筹，但是剧情编排上不如新版，很多集数显得拖沓，最后ova补全的贪婪之岛质量下滑也很严重。
两部都是我非常喜欢的作品，但是不知道是不是因为先入为主，我更倾向于推荐新版",8,力荐,2024-8-13 14:58,Necoboro,1704,猎人,60,8.4,BGMova,BGMova
前面8分，加上友客鑫篇值9，补番来看猎人过了20年有一部分设定的确还是很惊艳的，比如vr，感觉富坚的确擅长设置环环相扣的战斗，反转都是为了进一步推进剧情，而不是为了打之前的脸，在此点名某回战，只能说芥见离了富坚和98几乎就走不动路的样子；老版制作组审美的确一直在线，人物画风的确时髦美型，配乐更好，尤其是酷拉皮卡的戏份更是用心，友客鑫篇把这种长处发挥到极致，酷拉皮卡杀了窝金以后那段祷词做的很完美，只能说这个篇章很难想象能被超越；不过总体来看对原作或者漫画的剧情和人设还是颇有微词的，的确能看到很多作品的影子，但是的确感觉一看就会惹人怜爱或者喜欢的男角色不大对我胃口，当年火现在看起来老套，另外抛开对日常不感兴趣以外，猎人的确剧情很多地方问题很大，最严重的就是确实主角团走到哪里都受到优待，而越边缘的角色的确被忽视或者摆布，这种错位也许是后期奇犽小杰粉丝之争的,8,力荐,2024-7-27 13:02,解临,1704,猎人,60,8.4,8920vr98,8920vr98
他妈的富坚能不能去greed island搞个什么万灵药治好腰病再回来啊,8,力荐,2024-7-22 19:37,Arcticyyyyyy,1704,猎人,60,8.4,greed island,greed island
S（9.4）如果说对这部作品最好的评价那一定就是“有趣”，猎人仿佛有一种魔力吸引我一直看下去，即使有60多集我却觉得很短一般。猎人考试占了整部动画一半的时长（31集），不仅不觉得拖沓还完美刻画了一段美好的友情，而且里面的每一轮的考核设计得也很不错，很多展开都出乎我的意料，让我有种原来还可以这样做的奇妙的感觉。本以为猎人考试结束后就没有什么有趣的情节了，没想到后面的情节一样精彩，先是主角团一起去到杀人家族的家找奇犽同时遇到重重挑战，奇犽事件结束后几个人分开了并约定在一个日子重聚，之后大部分都是小杰和奇犽的基情日常了……最精彩的还是幻影旅团出现在黑帮拍卖会的情节，一直很期待打起来结果结局又往我意料之外的方向展开了。总之动画擅长挖坑并将世界观逐渐扩大，但这些坑（新设定）又十分有趣，一些情节的设计又十分巧妙，让我在追番的旅途中不会那么无聊，这就是猎人的魅力。,10,超神作,2024-5-24 20:54,沢近愛理,1704,猎人,60,8.4,S94“”6031,S94 “ ” 6031
undefined,0,未评分,2023-11-20 22:24,Anime小易,1704,猎人,60,8.4,undefined,undefined
2023.12.01  由好友Nagi入坑，少数漫画观感超过动画的作品，配合漫画同时补完，传统热血少年漫的鼻祖之一。你可以找到后世许多带有自己饭圈文化的热血少年漫画中的拿手好活，但不幸，这都是富坚义博玩剩下的，小杰与奇犽的友情尤令我感动，是绝对值得一补的好作品，如果不喜欢画风，可以尝试漫画，更令人震撼。,9,神作,2023-9-22 11:27,坂上万代,1704,猎人,60,8.4,20231201  Nagi,20231201 Nagi
"8/10,二刷，獵人考試部分原創的內容導致角色性情跟原著比有些許落差，單看動畫應該會有種微妙的怪異感(小傑尤其明顯)？特別想誇友克鑫篇那許多基於漫畫既有內容上的潤色與修剪(比如刪掉芬克斯幾句內心戲而選用神態的變化來呈現/漫畫裡部分角色在首次發動念能力的時候偶有的文字報幕等，比起2011ver.充分運用了影視作品的優勢)，CV整體上個人是更喜歡這版的，作為漫改動畫不是那種一板一眼還原漫畫的解構味，真的很有靈性(蠻喜歡部分原創情節的)。",8,力荐,2023-8-1 19:03,破裂人偶,1704,猎人,60,8.4,8102011verCV,8102011verCV
炎之川字幕//－31猎人考试。其实单看动画，许多据说是原创的集数（比如军舰岛部分）还不错啊。－44念的修行。－50过渡，贪婪岛。－62友客鑫。果然幻影旅团不可能简单结束。四人组也还算可爱，配音也好听，以及酷拉皮卡画太美了（bgm38）。“我一直在等你”雷欧力终于分到一句大的，这片看来没有女主角了。技法上面非常明显的就是广角镜头的大量使用，到了想不注意到都难的程度。还有明明已经省略了很多内容，看下来还是觉得有些地方好长。,8,力荐,2023-7-27 16:48,Chan,1704,猎人,60,8.4,31445062bgm38“”,31445062bgm38 “ ”
11版展示出十多年动画制作的技术进步，但是完全没旧版用心。Yorkshin篇真的是美绝，音乐分镜氛围人物肖像完全吊打11版，可以说是艺术品。顺便被旧版高浓度南通惊到，乡田比藤原的雷欧力要更少年更帅气，幸姐前期有点棒读后期真的很棒。猫猫可爱，全世界应该给猫猫设立巧克力球基金会，猫猫爱。,8,力荐,2023-6-14 16:00,無字文,1704,猎人,60,8.4,11Yorkshin11,11Yorkshin11
因为是长篇所以在我心中的分量更高。心目中的设定top1，最强的战斗系统，在念系统出来后有一种“复行数十步，豁然开朗”之感，有友谊、有智斗、有新意，在嵌合蚁篇又多了探讨人与其他生物的深度。希望有生之年能看见黑暗大陆篇出动漫,10,超神作,2023-6-5 22:54,粿条,1704,猎人,60,8.4,top1“”,top1 “ ”
