content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
crazyyyy,6,还行,21h 49m  ago,叶子,141530,瑞克和莫蒂 第二季,63,8.4,crazyyyy,crazyyyy
"推荐看ep1,3,4,6,10
这一季值得9分",9,神作,2026-2-16 13:44,zzhalex233,141530,瑞克和莫蒂 第二季,63,8.4,"ep134610
9",ep134610 9
"如果说R＆M第一季是天才式脑洞的野蛮生长，那么第二季则是将这些碎片化创意编织得更加严密。相比S1的单元剧风格，S2在保持高频笑点与流行文化解构的同时，明显强化了叙事结构的掌控力——无论是《Total Rickall》里虚实交错的封闭空间，还是《The Ricks Must Be Crazy》中多重宇宙嵌套的逻辑闭环，都展现了不俗的编剧水准。当然，这一季依然带有美式成人动画常见的通病，低俗段子和跳脱的恶趣味确实在一定程度上拉低了观感的上限，对于追求严肃科幻的人来说可能略显多余。 但瑕不掩瑜，本季对Rick角色内核的挖掘，将荒诞的科幻狂想平稳地落脚在了角色的情感共情上，使其成为了比第一季更成熟、也更完整的作品。相对喜欢的单集：ep3,ep4,ep6,ep10",9,神作,2026-2-8 15:38,上野原ayano,141530,瑞克和莫蒂 第二季,63,8.4,RMS1S2Total RickallThe Ricks Must Be Crazy Rickep3ep4ep6ep10,RMS1S2Total RickallThe Ricks Must Be Crazy Rickep3ep4ep6ep10
结局《hurt》响起来的时候宛若回到了看《金刚狼3》的那个夜晚,9,神作,2026-1-19 19:01,今川雷蝶,141530,瑞克和莫蒂 第二季,63,8.4,hurt3,hurt3
最后一集瑞克安排好一切，到酒吧喝完一杯酒转身自首，《hurt》响起，又一次的不告而别。 @2020-01-16 11:51:02,9,神作,2026-1-13 00:31,Rin,141530,瑞克和莫蒂 第二季,63,8.4,hurt 20200116 115102,hurt 20200116 115102
"电池宇宙，制造记忆并繁殖的外星人等等等等
脑洞，想象力，低俗梗…
可能初中深夜藏在被窝里看爱奇艺盗版rm的美好时光及之后记忆的美化确实会对打分起到促进作用，但我永远热爱rick and morty",9,神作,2025-10-25 03:53,灏月,141530,瑞克和莫蒂 第二季,63,8.4,rmrick and morty,rmrick and morty
10/10 前面都是很有记忆点的冒险，结尾一切演出汇成最后一句Everything,10,超神作,2025-10-16 08:37,Z4YINK,141530,瑞克和莫蒂 第二季,63,8.4,1010 Everything,1010 Everything
"印象深的神回是时空裂缝，寄生虫，鸟人婚礼最后那句名台词
“你是因为什么进来的？”
“Everything.”",9,神作,2025-10-1 22:53,C137_Rained,141530,瑞克和莫蒂 第二季,63,8.4,"“”
“Everything”",“ ” “ Everything ”
我太喜欢这一季了，unity，寄生虫，套娃世界，everything,10,超神作,2025-9-30 16:29,慢半拍怪人,141530,瑞克和莫蒂 第二季,63,8.4,unityeverything,unityeverything
Ep01结尾暴揍爱因斯坦。//Ep04物理意义上的杀疯了，结尾居然有个真的。太讽刺了，记忆确实不可靠。//Ep10没想到是这样的结局，当年追番的人要等一年半才有后续…,9,神作,2025-9-7 00:20,夜辻freaky,141530,瑞克和莫蒂 第二季,63,8.4,Ep01Ep04Ep10,Ep01Ep04Ep10
牛逼，waburubudabuda,8,力荐,2025-8-14 18:40,無能のこさき,141530,瑞克和莫蒂 第二季,63,8.4,waburubudabuda,waburubudabuda
"日常回巅峰 ep1.2.4真的太强 ep3第一次深析姥爷的感情 ep5很乐 主线倒没啥感觉
92/100",9,神作,2025-6-24 18:02,Broh,141530,瑞克和莫蒂 第二季,63,8.4,"ep124 ep3 ep5 
92100",ep124 ep3 ep5 92100
25.4.26/ep4，10/everything,8,力荐,2025-4-26 12:52,绫井,141530,瑞克和莫蒂 第二季,63,8.4,25426ep410everything,25426ep410everything
基本稳定双线叙事结构了，冒险方与留置方，各自精彩的同时到最后交汇一处，更多的人物塑造空间和多样的趣味性，rickmorty系列愈发成熟。,7,推荐,2025-3-14 09:52,Creator,141530,瑞克和莫蒂 第二季,63,8.4,rickmorty,rickmorty
wubba lubba dub dub,10,超神作,2024-6-2 12:40,KDHF,141530,瑞克和莫蒂 第二季,63,8.4,wubba lubba dub dub,wubba lubba dub dub
集均神回是他妈什么水平啊！除了Jerry Smith的银镜，yeaaaa you loser and you looove sucking biiiig sweaty dicks haha!,9,神作,2024-4-3 21:56,wohho,141530,瑞克和莫蒂 第二季,63,8.4,Jerry Smithyeaaaa you loser and you looove sucking biiiig sweaty dicks haha,Jerry Smithyeaaaa you loser and you looove sucking biiiig sweaty dicks haha
2024.2.10  个人美漫top1，好看就是好看，你能评价什么，分梗评价吗  我能评价什么，无脑乱吹吗。,8,力荐,2024-2-16 09:52,坂上万代,141530,瑞克和莫蒂 第二季,63,8.4,2024210  top1,2024210 top1
unity那集封神了,10,超神作,2024-1-23 10:27,Miyamizu,141530,瑞克和莫蒂 第二季,63,8.4,unity,unity
7.0。see it with your eyes,7,推荐,2023-11-2 14:54,UNOME,141530,瑞克和莫蒂 第二季,63,8.4,70see it with your eyes,70see it with your eyes
RICK AND MORTY。,7,推荐,2023-9-11 13:13,张寒子川,141530,瑞克和莫蒂 第二季,63,8.4,RICK AND MORTY,RICK AND MORTY
补标。What are you in for？一一Everything.,9,神作,2023-9-3 23:38,綵荳,141530,瑞克和莫蒂 第二季,63,8.4,What are you in forEverything,What are you in forEverything
everything,9,神作,2023-8-16 13:22,衔枚,141530,瑞克和莫蒂 第二季,63,8.4,everything,everything
这下真不如《哆啦A梦》了：续作的故事几乎没有提升，脑洞倒是越来越大了；对社会问题(宗教信仰、核武保护)的讽刺继续停留于“愤青呐喊”，内容也更加血腥低俗猎奇了(性器官还tm能氵那么多内容，成人动画也不是这么做的啊)；情景剧的问题依旧存在(夫妻每集都必定吵架、莫蒂每集都必定受不了瑞克)，镜头语言一个也不会，neta倒是越来越多了。部分实验性内容也没有发挥好：ep.1的时空扭曲画面变化很小(2年前戈达尔的《3D铁三角》可比这先锋前卫多了)；ep.6“套中套中套中套”全季最佳，但也只是提供了个设想而已。《亚特兰大》虽也是单元剧且质量不稳定，但整个故事都扎根于“魔幻现实主义”且氛围营造、镜头语言远比本作扎实。,5,不过不失,2023-6-13 20:05,牛子豪,141530,瑞克和莫蒂 第二季,63,8.4,A“”tmnetaep123Dep6“”“”,A “ ” tmnetaep123Dep6 “ ” “ ”
"你因为什么被抓进来的？ Everything

泪目，看到姥爷被抓了有些难受。

婚姻不过是蛋糕的葬礼罢了。",10,超神作,2023-5-9 22:49,不聪明的亚子,141530,瑞克和莫蒂 第二季,63,8.4,Everything,Everything
万变不离family的迫真虚无主义故事。堆砌了大量科幻点子，但还是——感觉不如海绵宝宝……新奇,7,推荐,2023-4-27 16:50,SoAndSo,141530,瑞克和莫蒂 第二季,63,8.4,family,family
看了三季还是第二季总体最好，9分是给前七集的。ep1-7登峰造极，双线叙事加上优秀剧本打造出最好的单元剧，基本上集集神回。ep8-10一坨答辩，把暴力低俗做卖点当风格，那还是快点爬吧,9,神作,2023-1-30 16:05,寒隐青筝,141530,瑞克和莫蒂 第二季,63,8.4,9ep17ep810,9ep17ep810
开始展现作者的政治态度，脑洞依然是保持大开，unity的女总统太戳我xp了,8,力荐,2022-12-13 13:43,马孔多还在下雨,141530,瑞克和莫蒂 第二季,63,8.4,unityxp,unityxp
比起第一季 在人物和世界观设定上更完善了，脑洞倒是还在继续扩大。Rick and Morty Adventures Forever ！,9,神作,2022-12-5 09:55,阿晴,141530,瑞克和莫蒂 第二季,63,8.4,Rick and Morty Adventures Forever,Rick and Morty Adventures Forever
R&M全系9，仅限2021前,9,神作,2022-9-6 17:55,aprilost,141530,瑞克和莫蒂 第二季,63,8.4,RM92021,RM92021
"大部分挺有意思
2024/06 二刷 ep3/6/7太强大了
ep8 经典水回
ep9 彻底疯狂",8,力荐,2022-7-20 12:50,继续革命,141530,瑞克和莫蒂 第二季,63,8.4,"202406  ep367
ep8 
ep9",202406 ep367 ep8 ep9
"- Hey, what are you in for? - Everything.",8,力荐,2022-5-26 20:50,Hakuma,141530,瑞克和莫蒂 第二季,63,8.4,Hey what are you in for  Everything,Hey what are you in for Everything
TRULY BRILLIANT。,7,推荐,2022-5-3 11:58,𝑴𝒆𝒍𝒕𝒐𝒓𝒊𝒂,141530,瑞克和莫蒂 第二季,63,8.4,TRULY BRILLIANT,TRULY BRILLIANT
"第三话关于爱情, 第十话关于朋友和家人. 不少集数里面morty下半身做事, 惹了好多乱子. 还有Jerry Loser. 我感觉除了rick之外. 都能从不同角色里面看到自己的影子吧",7,推荐,2022-4-5 22:07,墨冷,141530,瑞克和莫蒂 第二季,63,8.4,morty  Jerry Loser rick,morty Jerry Loser rick
荒诞的奇遇，惊人的脑洞，深刻的主题。Rick and Morty 真的是天才的杰作啊。,8,力荐,2022-3-19 23:02,harro,141530,瑞克和莫蒂 第二季,63,8.4,Rick and Morty,Rick and Morty
"To friendship,to love,and to my greatest adventure yet——Opening myself up to others.",9,神作,2022-2-5 14:02,HMS_Warspite,141530,瑞克和莫蒂 第二季,63,8.4,To friendshipto loveand to my greatest adventure yetOpening myself up to others,To friendshipto loveand to my greatest adventure yetOpening myself to others
这玩意不比日本动画好看多了？//期待第三季能有有s1ep10水平的单集,8,力荐,2021-8-16 14:23,Kuuki,141530,瑞克和莫蒂 第二季,63,8.4,s1ep10,s1ep10
for ever,10,超神作,2021-7-13 11:55,wk333,141530,瑞克和莫蒂 第二季,63,8.4,for ever,for ever
"(ep1-7,10) 单元剧保持着超高水准，结局姥爷的黯然神伤让人动容",10,超神作,2021-6-30 14:49,Charlie,141530,瑞克和莫蒂 第二季,63,8.4,ep1710,ep1710
Amazing!,9,神作,2021-2-8 16:14,秋山,141530,瑞克和莫蒂 第二季,63,8.4,Amazing,Amazing
伸手即可抓到流星的男人发现了自己永远无法改变后选择了自杀。后面几集无聊的跟jerry似的,9,神作,2020-11-14 12:32,灼霞,141530,瑞克和莫蒂 第二季,63,8.4,jerry,jerry
除了ep8拉胯，总体比season1更精彩,9,神作,2020-7-19 22:53,张三,141530,瑞克和莫蒂 第二季,63,8.4,ep8season1,ep8season1
"better than s1, that's it.",7,推荐,2020-7-7 02:03,三原羽佳,141530,瑞克和莫蒂 第二季,63,8.4,better than s1 thats it,better than s1 thats it
"枯燥世界中的有趣灵魂。
创作者们看透了这个世界中的所有情感，并且通过 Rick 的嘴巴告诉观众，人类的情感无聊透顶、毫无价值，且无时无刻不对我们进行 PUA。
尤其是在那些“除了能引发人们廉价的刻奇感以外其他什么价值都没有”的商业大片横行的当代，这个片子的出现显得难能可贵。",9,神作,2020-5-29 18:45,qx_qyqy,141530,瑞克和莫蒂 第二季,63,8.4,"Rick  PUA
“”",Rick PUA “ ”
(-)前几集太强了 不得不服 奈何高开低走 12346有多强 789就有多拉胯‖到这一季已经很明显了 既想做cult 又想探讨家庭议题 对此我暂时...不做评价,8,力荐,2020-2-15 23:49,MinalinskY☆,141530,瑞克和莫蒂 第二季,63,8.4,12346 789 cult,12346 789 cult
3 10是印象最深的 bgm太出色了,8,力荐,2020-1-13 23:36,serious,141530,瑞克和莫蒂 第二季,63,8.4,3 10 bgm,3 10 bgm
Jerry这个人塑造的很成功，我不得不承认我很讨厌他。Loser~,8,力荐,2019-10-9 12:17,D.S;Acer,141530,瑞克和莫蒂 第二季,63,8.4,JerryLoser,JerryLoser
始料未及的ending，充满了惊喜。,0,未评分,2019-9-1 09:03,熏泽龙梦,141530,瑞克和莫蒂 第二季,63,8.4,ending,ending
比第一季好看，ep1、2、3、7神回很有意思，角色刻画得不错。SF味kksk！画面制作得也很精良，整个剧尽管不是百分百戳我但每一集都让我觉得时间过得很快，很久没有这种感觉了。,8,力荐,2019-7-19 23:27,稚语,141530,瑞克和莫蒂 第二季,63,8.4,ep1237SFkksk,ep1237SFkksk
比第一季更多的粗口、血腥和猎奇，并且双线叙事中的的主支线配比分得更开了；内容一如既往，叹为观止的脑洞背后予人深思，对上电波后便会有无尽的感慨。insane & wonderful.,0,未评分,2018-12-18 05:57,Oalvay,141530,瑞克和莫蒂 第二季,63,8.4,insane  wonderful,insane wonderful
"What are you in for?
Everything.",10,超神作,2018-7-2 12:46,鳞片,141530,瑞克和莫蒂 第二季,63,8.4,"What are you in for
Everything",What are you in for Everything
EP4 EP6,9,神作,2018-6-6 08:52,魂,141530,瑞克和莫蒂 第二季,63,8.4,EP4 EP6,EP4 EP6
for everything,9,神作,2018-5-21 14:37,两翼生风,141530,瑞克和莫蒂 第二季,63,8.4,for everything,for everything
有几集非常喜欢，有些就...很生硬了，不喜欢最后一集//ep.1、2、5、6,8,力荐,2018-4-17 18:59,肉丸慕斯,141530,瑞克和莫蒂 第二季,63,8.4,ep1256,ep1256
感觉不如一季  后面几集有用重口填补想象力不足之嫌  结尾so hurt,0,未评分,2017-12-16 20:59,Pnyuu🌟,141530,瑞克和莫蒂 第二季,63,8.4,so hurt,so hurt
依旧那么Wubba lubba dub dub,10,超神作,2017-12-8 18:44,nicNY,141530,瑞克和莫蒂 第二季,63,8.4,Wubba lubba dub dub,Wubba lubba dub dub
Don\\\'t know if it can be better. Just love it.,8,力荐,2017-11-2 13:45,mny5577,141530,瑞克和莫蒂 第二季,63,8.4,Dont know if it can be better Just love it,Dont know if it can be better Just love it
不知为何很少会把它当动画。。第二季基本集集神回，shut up and go watch it,10,超神作,2017-10-13 18:17,Blackadder,141530,瑞克和莫蒂 第二季,63,8.4,shut up and go watch it,shut and go watch it
total rickall,8,力荐,2017-9-13 06:26,好吃的铁板烧``,141530,瑞克和莫蒂 第二季,63,8.4,total rickall,total rickall
existential crisis is life itself,9,神作,2017-9-7 23:55,FutureFunkist,141530,瑞克和莫蒂 第二季,63,8.4,existential crisis is life itself,existential crisis is life itself
"Everyone should watch this shit. 
eyehole 太恶心扣一分",9,神作,2017-8-8 14:02,黑边,141530,瑞克和莫蒂 第二季,63,8.4,"Everyone should watch this shit 
eyehole",Everyone should watch this shit eyehole
It began with almost the best and ended with almost the worst.,7,推荐,2017-7-11 13:54,zakufa782,141530,瑞克和莫蒂 第二季,63,8.4,It began with almost the best and ended with almost the worst,It began with almost the best and ended with almost the worst
Fantastic!,10,超神作,2016-11-12 14:49,QH,141530,瑞克和莫蒂 第二季,63,8.4,Fantastic,Fantastic
第二季电波只有3、10对上了，敲碗等S3,7,推荐,2016-8-16 01:19,谷崎🐒一郎,141530,瑞克和莫蒂 第二季,63,8.4,310S3,310S3
