content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
EP1-5：感觉时间过的好慢，到底想表达什么呢，人和人的关系永远是无法穷尽的可能性和组合。毕竟生在世上，伟大属于他人（万神殿），正是因为周围有自己一样的同等算力的他人，人生才充满新鲜感和活着的感觉。EP6: 开始变得有趣了。EP7: 一个人也许觉得别人不够理解TA，但是记住，这句话反过来也成立。即使是亲姐妹也可能不比陌生人多了解多少。EP9-10迷迷糊糊的就过去了。EP11好玩的东西又出现啦，当选择来临的时候静静的走入那个良夜。,8,力荐,14h 7m  ago,RockleeAKQ,493016,异国日记,66,8.4,EP15EP6 EP7 TAEP910EP11,EP15EP6 EP7 TAEP910EP11
ep13 完结，很好的作品，需要静下心来细细品味，推荐观看 //ep9-12 后面几话比较平稳，不知最后一话要做什么，讲一下live？ //ep8 做得真好 //ep1-4 一口气连看四话，不错的，情绪和心理的把控非常真实而细腻，第三话给我看泪目了。好片，期待后续。,8,力荐,16h 28m  ago,风居住的街道,493016,异国日记,66,8.4,ep13  ep912 live ep8  ep14,ep13 ep912 live ep8 ep14
本片最大的槽点在于单调。名为异国日记，实则为沙漠日记，虽然本片想表达人和人之间的交流如同异国一般，但实际演出上对于异国的多样性表现不足。再者，本片设计推动剧情的矛盾也稍显匮乏，尤其是后半段在asa逐渐找到自己的“国”时候，突然通过ogi被医科大拒绝将前面asa妈妈和makio由于选择不同道路而埋下的女性被社会压迫的方面揭示出来，由此而展开的选择自己的人生这主题私以为只有asa的塑造收束了这个主题，其他人估计是篇幅原因，展开稍显不足。asa是被爱包围的，即使她家庭没有通过结婚这一社会承认程序而将她生下来，她依然是被爱包围着的，双亲仍然愿意通过组建家庭的方式给予她爱，而makio也在尽量隐藏自己对自己姐姐的恨意来接纳自己这个侄子，一种无条件爱和另一种给予asa选择的爱共同支撑起了asa在脱缰的人生中仍有权利做出选择的根本。,7,推荐,17h 12m  ago,Ms.Vanderboom,493016,异国日记,66,8.4,asa“”ogiasamakioasaasamakioasaasa,asa “ ” ogiasamakioasaasamakioasaasa
或许是前面的编排太好了，后面第八集女主情绪爆发，意识到父母已去世的场景并没有让我有预想中的感动，可能是我不能感同身受，看不懂这部动漫吧，ep8//最后两集还是很加分，有一种豁然开朗的感觉，而且整体的配乐是真顶级，牛尾还是太权威了，加0.5，ep13。,7,推荐,17h 40m  ago,aoko,493016,异国日记,66,8.4,ep805ep13,ep805ep13
一、私货很多：makio的话语可看成对观众的说教，她中性的外表更是对男权社会结构的挑战，这种强调男女区分秩序等级的结构正是作者所厌恶的，朝对makio的称呼也可以视为一种反叛；朝的闺蜜对父亲、路过男性、表白男生的批判与疏离强烈表达女权视角，特意加上的lesbian美女标签懂的都懂；片中的两个优质男性可以说饱受男权“迫害”；朝的母亲作为顺应着这一结构，压抑着自己与小孩，最后的死亡更是加重了悲剧色彩，而作为悲剧始作俑者之一的父亲可以说完全失能，在作品的叙述沦为母亲的附属品与并压抑着朝的成长；典中典之给女生扣分的大学以及学理科等于男生；选择性不出现在男权社会孕育的优秀日子人男性。二、转场设计很棒，时间、空间和沙漠意境的各种剪辑很丝滑，做出了生活感和时间流逝感，伤口在此间慢慢愈合，弥补了layout本身的不足。三、关于如何活着，关于如何面对死亡。,7,推荐,17h 56m  ago,kkkaiser,493016,异国日记,66,8.4,makiomakiolesbian“”layout,makiomakiolesbian “ ” layout
演出小巧思非常丰富，感觉表达也恰到好处。ep1对沙漠的比喻挺妙。ep3空间关系本身就蕴含着一种感情和态度，迂回地表现出生者死者间的对谈，最后打电话和解那里确实感动。ep4性格和做事方式上都有冲突，但正体现出戏剧性。ep6恰到好处的大人味的恋爱。ep9三个场景交错剪辑到一起，然后收束到寻找自我，非常舒服的叙事。,8,力荐,21h 48m  ago,桂渚浮槎,493016,异国日记,66,8.4,ep1ep3ep4ep6ep9,ep1ep3ep4ep6ep9
本来从待看清单里删除了，昨天回看季度作品评分很高，于是打开一探究竟。实在是非常美妙的作品，演出，音乐，关于孤独的比喻，浑然天成。两人都滋养着对方，小孩渐渐成长出更完整的人格，大人逐渐意识到另一维度的自己。看到Asa慢慢不那么迷惘，走出自己的路，非常感动。想成为Makiyo，冷静的，观望的，微妙的距离感，彻头彻尾善良的人。当然了Makiyo看似是个大 i 人，但身边有这么多好朋友其实也是人生胜利组了（并没有,8,力荐,22h 54m  ago,momoru,493016,异国日记,66,8.4,AsaMakiyoMakiyo i,AsaMakiyoMakiyo i
ep3很不错，上调至8分 // 个人不太喜欢ep4 // 看完了，但之后这么多集再也没有过ep3那种感触过，我一般还挺喜欢这类注重氛围感的片子的但这个可能真的不太戳我。,7,推荐,1d 3h ago,FMNX,493016,异国日记,66,8.4,ep38  ep4  ep3,ep38 ep4 ep3
ep1 你不妨写写日记吧 // ep2 「妈妈每天都给我做饭吃，我每天都觉得很好吃，却想不起来，饺子都加了些什么」//ep3 捨てる / I`ve been reading this book. / 身边有个从10几岁起就认识的朋友...//ep4 物是人非，只是当时已惘然//ep5 假意的规劝与善意的引导，热情的母爱与平淡的毒舌；去做自己想做的事吧，去成为想成为的人吧，去记下独属于自己的经历吧//ep6 一个拥有自己世界的人，但也因此不知道如何与自己国度之外的相处//ep7 那个曾经被视为“严厉符号”的母亲，在回忆中隐藏了自己的痛苦与怀疑，在文字中袒露了自己内心深处的挣扎与爱意，风雨止息的声音//ep8 “我想要的谎言” 用愤怒筑堤、停滞不前的朝，终于被紧追不舍的悲伤与孤独彻底追上//ep9 Feelings Lost in Translation,9,神作,1d 3h ago,leo_grayrat,493016,异国日记,66,8.4,ep1   ep2 ep3   Ive been reading this book  10ep4 ep5 ep6 ep7 “”ep8 “” ep9 Feelings Lost in Translation,ep1 ep2 ep3 Ive been reading this book 10ep4 ep5 ep6 ep7 “ ” ep8 “ ” ep9 Feelings Lost in Translation
"基准3分，制作＋2，观感＋2，意义性＋1，8分吧。//初见8分。@千岁过来学念诗//ep4，我愿称之为神回，直接让我对这部番的评价上一个台阶。//ep7，他们爱的到底是我们，还是他们想象中我们的影子呢。ep9,对自己的孤独叫做迷茫",8,力荐,1d 11h ago,spreaDGlager,493016,异国日记,66,8.4,322188ep4ep7ep9,322188ep4ep7ep9
