content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
圈米（x 水格子  这3D看着感觉有点诡异,8,力荐,2d 9h ago,CyraZm,10291,攻壳机动队2.0,67,8.4,x   3D,x 3D
95攻壳的重制版，剧情没什么好说的。画面质量高了不少，再次看傀儡谣还是很震撼，部分经典场景用了3d演出，3d质量还凑合但是真的好奇怪。合理怀疑本作是来圈钱的，做了几个3d就说是“2.0”，很没有诚意的重制,7,推荐,2025-11-8 14:57,不吃雪菜setsuna,10291,攻壳机动队2.0,67,8.4,953d3d3d“20”,953d3d3d “ 20 ”
《攻壳机动队1995》的重制版。虽然3D被不少人吐槽，但本作的音效确实得到了增强。,10,超神作,2025-5-15 14:54,牛子豪,10291,攻壳机动队2.0,67,8.4,19953D,19953D
片头的跳楼与潜水这两处经典画面改成了cg，这两个场景的cg化与原本的赛璐璐风格的原画有些割裂，以及电子系统画面改成了橙色，与第二部在视觉上相呼应，更多的变化在音效与bgm上，这部分感觉上填补了只有对白时的安静，虽然更像电影了，但效果见仁见智，傀儡摇变的更丰富了，傀儡师的cv换成了女声虽然看着更顺眼些了，但感觉意境不如原来的女相男声的反差感好。,9,神作,2025-4-25 09:48,hua~hua,10291,攻壳机动队2.0,67,8.4,cgcgbgmcv,cgcgbgmcv
更换的完成度算不上出色的丑态3D场景真不如95的2D作画冲击力惊艳，前后观感的参差进一步破坏观感，总之看过95的不必再过一遍了。95版的缺陷是部分场景低分辨率作画强拉分辨率进行数字后期挽救不了（虽然有胶片），如果能以2D的形式重置重扫这一部分就没有缺憾了。—250130,8,力荐,2025-1-30 21:38,其实我也没有上过学,10291,攻壳机动队2.0,67,8.4,3D952D95952D250130,3D952D95952D250130
二刷。说实话看了第二遍已经对CG的部分脱敏了，貌似是照着无罪那种黄乎乎的视觉效果来修改的，主要还是95版本身的赛璐璐底子太厚，但是少佐最后望向无垠的城市那里的CG做得是真好。傀儡师换成了榊原良子阿姨，不知道是不是鸭子有意为之了。,9,神作,2024-11-20 15:30,ChibaCityBamboo,10291,攻壳机动队2.0,67,8.4,CG95CG,CG95CG
3d真low,0,未评分,2024-11-20 05:34,アスカ,10291,攻壳机动队2.0,67,8.4,3dlow,3dlow
比起95版，傀儡师改用榊原良子的声音太对了。没看之前还以为整部片都改成3d了，原来是部分改成3d。开头的名场面改成3d了，更喜欢95的手绘。,0,未评分,2024-6-14 07:06,Ollie,10291,攻壳机动队2.0,67,8.4,953d3d3d95,953d3d3d95
"喜欢场景3d但是真不喜欢人物角色3d,只能说一坨。
这不就是remake?？不明所以。",7,推荐,2023-10-20 23:31,walunt,10291,攻壳机动队2.0,67,8.4,"3d3d
remake",3d3d remake
"重制版的画面质量实在不高。
2.0与95剧场版的区别主要表现在整体色调的调整（2.0以琥珀色为主，95在网络信息战时常以绿色为主），傀儡师声优的替换，素子上传时的画面转变（天使形象的消失），以及一部分场景中的文字、符号的更改，也是有些对比的价值的，可能可以从中得出一些监督在那么些年间的某些审美或观念上的变化。
|| 此外重制版和部分总集篇，其实也没有什么必要排进rank，都有些占空间。",0,未评分,2023-9-19 21:03,Nevermore,10291,攻壳机动队2.0,67,8.4,"20952095
 rank",20952095 rank
部分场面重置了，画面色调也改变了，场景更像无罪时期的风格了，但是大部分都是和95版一致。傀儡师的CV个人认为相较于95版而言，虽然变为了更符合形象的女声，但是反而没那么适应了。如果是喜欢看1995版的话，还是没必要去看这一作了。,7,推荐,2023-8-3 11:07,丶ScRemilia,10291,攻壳机动队2.0,67,8.4,95CV951995,95CV951995
押井守监督1995年剧场版的CG重制版,8,力荐,2023-2-24 11:45,西南方太灵虚皇天尊,10291,攻壳机动队2.0,67,8.4,1995CG,1995CG
88/100 攻壳机动队1995的重制版2.0，画质高清了许多，换了些许声优，换了些场景CG，整体剧本和之前没有太大差别，但是在知名度这个层面上远不如最早原版的经典,9,神作,2023-1-18 09:03,已注销,10291,攻壳机动队2.0,67,8.4,88100 199520CG,88100 199520CG
undefined,8,力荐,2022-12-5 12:31,panty,10291,攻壳机动队2.0,67,8.4,undefined,undefined
在95版已经有4K版本的今天，还是更推荐看95,9,神作,2022-8-28 21:28,笑颜の行方,10291,攻壳机动队2.0,67,8.4,954K95,954K95
比tv版文艺/意识流不少啊……比起讲shell的故事更偏重ghost吗,8,力荐,2022-8-25 18:32,戦闘妖精ミハエル,10291,攻壳机动队2.0,67,8.4,tvshellghost,tvshellghost
补标，95重制版，3d画面一坨，但是副音轨好了许多//9.0↑,9,神作,2022-4-5 19:56,Liebessprache,10291,攻壳机动队2.0,67,8.4,953d90,953d90
"竟然察覺不到聲優換了人和中文翻譯上和95年的分別(比較淺顯易懂),我實在是一個不合格的攻殼廚.除了我不合格外,那些3D也不合格(對比04年的無罪),特別是3D場景和手繪的轉換(跳樓和潛水).不過值得一提的是修復後小倉宏昌像神一樣的背景美術和杜比6.1跟川井憲次的完美搭配,耳朵懷孕",7,推荐,2021-3-10 14:10,烏冬,10291,攻壳机动队2.0,67,8.4,953D043D61,953D043D61
重置版就不打分了，画面画质更好了，画面的配色基调等与第二部无罪相近，部分场景和人物用3D代替但表现力不如原版手绘，缺失了95部分经典的味道，但作品依旧十分强悍，作品进行了重新配音，包括将95原版“傀儡师”原男声配音换为女声配音，这里颇有意思，在一定程度上也体现了傀儡师通过与素子的融合实现的某种意义上的后代繁殖是有别于传统后代繁殖的。,0,未评分,2020-12-14 15:20,Saber,10291,攻壳机动队2.0,67,8.4,3D9595“”,3D9595 “ ”
最后一个场景，无数信息跨过夜空流向比城市中心更远处的一点，或许这就是网络本身的“ghost”,9,神作,2020-8-19 06:18,神智を砕く魔女の鉄槌,10291,攻壳机动队2.0,67,8.4,“ghost”,“ ghost ”
"除了2处格格不入的丑3维外没发现哪里不同……(bgm38)字幕依旧对不上，飞机依旧打转(bgm38)。
看原版就行了。",0,未评分,2020-7-1 02:18,傀誌Cɹaitɕ,10291,攻壳机动队2.0,67,8.4,23bgm38bgm38,23bgm38bgm38
相当于二周目了95，发现了当初很多没有注意到的细节，傀儡师和素子变百合（雾）自己阅片量增长也看了一些解析，算是把很多不明白的地方弄懂了吧。不过3d的部分感觉一般，个人最喜欢的结尾素子眺望远方大楼还是95有味道,0,未评分,2020-4-21 01:27,mgcdhy,10291,攻壳机动队2.0,67,8.4,953d95,953d95
几乎所有用3D替代原版手绘的部分都不成功，尤其是素子跳楼，完全无法还原那种力度和美感。OP中我非常喜欢的以数字代码和键盘敲击声引出的STAFF名单的做法也被替换了。另外不知对某些手绘画面做了怎样的数码处理，是用数码技术重新上色了吗？赛璐璐的质感几乎消失了。傀儡师的声优换成女性，榊原良子的演技的确很好，但我更喜欢原版中男性声音女性躯壳的设计。另外，片尾不应该放傀儡谣。,0,未评分,2020-3-15 07:43,lafs,10291,攻壳机动队2.0,67,8.4,3DOPSTAFF,3DOPSTAFF
傀儡师的声音改成女性这个设计我非常中意！非常中意！比1995版的男声好多了！！！95版男声使我产生世界系的错觉。3D部分比较粗糙，不如手绘有味道。,9,神作,2020-1-5 23:08,Chiyu,10291,攻壳机动队2.0,67,8.4,1995953D,1995953D
磯光雄是神；更换的完成度算不上出色的3D场景反不如旧版的2D作画冲击力惊艳，前后观感的参差进一步破坏观感，建议老版，老版的缺陷是部分场景低分辨率作画强拉分辨率进行数字后期挽救不了（虽然有胶片），如果能以2D的形式重置重扫这一部分就没有缺憾了。,8,力荐,2019-11-5 08:43,cnlolicon,10291,攻壳机动队2.0,67,8.4,3D2D2D,3D2D2D
相比95版开头变成3D，还多了一处3D场景，虽说拥抱新技术是件好事，但我还是更喜欢手绘,8,力荐,2019-4-30 22:22,晴空,10291,攻壳机动队2.0,67,8.4,953D3D,953D3D
不懂。这部除了两个3d画面和一些细节其他根本就是95版的高清复刻，连分镜都没改，最多是在95的原画的基础上重新修了一次，何况十多年来摄影技术的进步有目共睹，即使说不上改进也绝不至于减分，何来「被95从里到外全面吊打」一说？,0,未评分,2019-2-22 22:24,porepoem,10291,攻壳机动队2.0,67,8.4,3d959595,3d959595
听我的，咱们别3D了，好吗？|我决定去把95的8分改成9分,8,力荐,2018-11-26 21:23,ReginaldMorgan,10291,攻壳机动队2.0,67,8.4,3D9589,3D9589
不是很懂这部重制版存在的意义，完完全全彻彻底底从头到尾由里到外被95原版吊打。如果有人打算以这部替代95版观看的话，推荐还是看原版吧。  //  改的两个3d片段看起来很粗糙，色调还一片暗红，没有了手绘原版的震撼，跟前后的其他手绘内容格格不入，甚至损伤了全片的基调。,1,不忍直视,2018-10-19 02:46,Ubisoft,10291,攻壳机动队2.0,67,8.4,9595    3d,9595 3d
18916，十年前日本的3D表现力还是不足，但是音效和制作都略微提升了一点，认真的重新看了一遍，一些没看懂的部分也清晰了。只是关于电子脑灵魂AI，融合进化网络以及少佐的过去心路还是不够充足，我只能靠自己的猜测想了个大概，倒是也说得通。中间的几个长镜头投入进去更加意味深长了。2501获得了生命的特性，素子不在拘束于自我的限制完成了进化，巴特完成了单身狗成就......,8,力荐,2018-9-16 15:28,飞天精灵鼠,10291,攻壳机动队2.0,67,8.4,189163DAI2501,189163DAI2501
第一遍看95版的时候因为人设不太好认以及静态台词多有点没跟上，看明白前后呼应不禁深为折服。个人比起CG还是喜欢纯手绘（上次和无罪标混了orz）,0,未评分,2018-8-20 21:21,魔女凯西,10291,攻壳机动队2.0,67,8.4,95CGorz,95CGorz
无意去和1.0比较，只能说是再刷多少遍依然会有不一样感受的动画。另外这里面有自己最喜欢的一版素子lily,10,超神作,2018-5-15 23:33,秘密金鱼,10291,攻壳机动队2.0,67,8.4,10lily,10lily
《攻壳机动队》作为日本动画电影对我的重要程度难以言喻，但因为反感CG化的片头，我迟迟未观看这个“2.0”版。昨天好莱坞实写版的预告片公布了，就终于乘兴看了。除了用3D替换的画面，其他方面没什么重要改变吧？大概是我对原版的印象也没那么深了，一个半月后的元旦我会重看\\\'95原版，届时是两周年了。【2016年11月】,7,推荐,2017-10-29 16:40,屠龙侠912,10291,攻壳机动队2.0,67,8.4,CG“20”3D95201611,CG “ 20 ” 3D95201611
重置，没看95直接看的2.0，算是设定基础部分。个人喜欢神山的攻壳，觉得两部tv是绝对核心。冲方丁终于滚了，欢欣鼓舞,9,神作,2017-9-4 22:22,Akko Cavendish,10291,攻壳机动队2.0,67,8.4,9520tv,9520tv
