content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
云顶s15入坑补番，很庆幸能在s16之前看到这样一部优秀作品，很美式的艺术风格，剧情可能略微狗血,8,力荐,2026-4-4 23:48,watela,335036,英雄联盟：双城之战,69,8.4,s15s16,s15s16
"完全不了解游戏，纯看动画。这动画太爽了，电影级别的制作，40分钟一集太爽了，而且故事也相当好看，无论是上城视角还是底城视角都有自己的精彩之处，上城点科技搞发展，底城内斗求生存，人物没有绝对的对与错只有立场之分，没有突然降智的剧情，一切都是合乎情理、有铺垫的，靠一个个事件去推动后续剧情诞生，我几乎能理解每个角色行动背后的动机和逻辑，通过无数的巧合构成了这个悲惨的故事，一个难得的好故事。必须提一下，结尾金克斯太帅了，难忘的名场面加一。
我唯一感到奇怪的部分就是爆爆到金克斯的转变，投入希尔科阵营好像没有任何铺垫吧，感觉是不是少看了一集内容，在经历了那些事情之后变成疯疯癫癫的样子还帮助那样子的人，一头雾水，好像游戏中金克斯的人设就是这样的所以不用解释？未免也太粉丝向了。
话又说回来，这个世界潜力很大，以后会出电影不？一定比漫威和DC的超级英雄爆米花好看。",8,力荐,2026-3-2 17:38,云仔whale,335036,英雄联盟：双城之战,69,8.4,"40

DC",40 DC
玩lol本体游戏的看这个就是爽爽爽，个人认为2021年的真神，里面歌曲更是火热，作者很好的表达了自己的意思，让即使不玩游戏的人也可以看懂,10,超神作,2026-2-8 14:36,xewsts,335036,英雄联盟：双城之战,69,8.4,lol2021,lol2021
jinx果然疯了。或许她一开始就不知道自己想要的是什么，究竟是一块三明治，抑或是毁灭城市的宝石/8.7,9,神作,2026-1-25 16:41,Ltimbe,335036,英雄联盟：双城之战,69,8.4,jinx87,jinx87
很优秀的作品甚至于把它与日本季番比较是赖皮的手段，首先二者的制作周期，商业宣传以及受众倾向都有很大程度上的不同，但这部商业动画就是如此优秀。剧情上其实故事的走向很清晰甚至说是简单，通过双线叙事从皮城和祖安两个城区所代表的主人公视角推进剧情，以主角团之间的矛盾亦或者误解一步步引入剧情且从始至终导向本作主题，所谓的阶级矛盾，这也是剧情中的核心矛盾，使得人物之间的传承显得更加合理化。但本作真正令我惊讶的是单集剧情的完整度，每集的叙事排列都如同微电影般围绕该集的叙事目标展开并由此引申出下一个事件的同时将上一个事件在本集交代的相当清楚，40分钟的时长让编剧有了更多的操作空间，各种神ed穿插再搭配电影级别的制作，丰富到爆的教科书式分镜构成，3d场景和2d特效之间的无缝衔接以及身临其境的音画表现和饱和度极高的美术表现，有效的镜头语言，看完只能说出这才是真正的蒙太奇,8,力荐,2026-1-7 23:56,影,335036,英雄联盟：双城之战,69,8.4,40ed3d2d,40ed3d2d
people changes,9,神作,2026-1-2 07:13,seb7,335036,英雄联盟：双城之战,69,8.4,people changes,people changes
制作非常棒，风格化的3d+纯手绘贴图给人耳目一新的感觉，特效和战斗场面颇具视觉冲击力，配合富有节奏感的配乐，构筑起一场视听盛宴。叙事层面，巧妙地将角色间的误解冲突升级为双城的仇视对立，高度繁华的皮城与凋敝破败的祖安形成强烈对比，同时在多线并行的框架下通过精妙的平行剪辑将剧情逐步推向高潮。101老玩家看完真是老泪纵横。,10,超神作,2025-12-12 16:29,游到海水变蓝,335036,英雄联盟：双城之战,69,8.4,3d101,3d101
慢工出细活的典范，画面和bgm的绝妙配合给人留下深刻印象，上城下城这一老掉牙的双线叙事被玩出花来，人物行为符合逻辑，黑化合理。制作有个性且精良，色彩有温度也有张力，线条变化对情绪有正向促进。我基本上全程捂嘴wocwoc地看，很难控制住被制作震惊到，体验绝佳。只可惜故事还略显老套。,10,超神作,2025-10-22 21:10,花阔,335036,英雄联盟：双城之战,69,8.4,bgmwocwoc,bgmwocwoc
21年我真的干了挺多事的，怪不得期末如此火烧眉毛。s赛结束后我在一个月里补完了整个101的设定和故事集，然后开始看双城之战，从动画效果来说，有钱真的不一样，各种画面和打斗特效看起来太爽了，而且确实有美漫那种溅血的刺激粗粝感。剧情上来说，很完整的故事，而且恰到好处的为下一季留出了悬念，姐妹的反目完全符合人物性格的曲线，不会觉得是突然发癫而会责怪这个痛苦的世界。但我还没有看第二季，第一季在我这里会是高分呢，很喜欢这种叙事节奏，冲突铺得很满，各派人物的出场也令人印象深刻，可惜的是，只想问在这个世界里，真的有人获得了幸福吗？还是说，幸福本身就是一个伪概念？抗争的自由，和我追求的高塔，其实都是海市蜃楼，英雄走到末路，才发现挥剑指向的是过去的自己。,7,推荐,2025-10-17 11:17,時杏千尋,335036,英雄联盟：双城之战,69,8.4,21s101,21s101
"Vi太美了
""The Boy Savior""一集足以封神",9,神作,2025-8-28 17:37,堅書直実,335036,英雄联盟：双城之战,69,8.4,"Vi
The Boy Savior",Vi The Boy Savior
