content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
单看这个剧场版只能说中规中矩，人物塑造比旧版差很多。但对于痞子和eva的粉丝来说，它是一个合适的情感宣泄口，大家想看到的是和解，是温柔，是在最后能感慨地说出一句：“再见了，所有的Evangelion。”,7,推荐,2026-4-8 01:00,Lipo,29883,新・福音战士剧场版：终,70,8.4,eva“Evangelion”,eva “ Evangelion ”
"用整部Q的一个半小时，外加终的前45分钟，来写真嗣的无能无望无理无情无意义，宁愿毁掉所有其他角色的塑造也在所不惜，庵野秀明实在是有些过分把自己的宝贝男主角爱护有加了。
明日香很帅很清醒，虽然为了上文所述的原因被迫保留了一些对真嗣莫名其妙的多余责任感和剧情上不得不说的一些突兀的话，但总体来说，担任了终里最让人舒适的角色（有些观众只在乎把她和男主角拉郎配，对此我只能竖起中指）。
美里同理但没能得到类似明日香的在剧情设计上的尊重。
律子这个曾经无比有深度和厚度的角色直接被一巴掌拍平。
绫波丽比律子好一点但不多。
渚薰比绫波丽再糟一点。
源堂变成了一个无聊且失去逼格的纯反派。
玛丽/真理这个新角色纯属为真嗣服务的鸡肋工具人。
结果从始至终，从20年前到20年后，唯一得到善待的角色，有且只有加持良治。
最后的总结：庵野秀明老了20多岁，结果返老还童成了个幼稚鬼",6,还行,2026-4-6 23:21,kyonkoo,29883,新・福音战士剧场版：终,70,8.4,"Q45







2020
20",Q45 2020 20
如果这部剧场版出在20年前那是神作，出在现在，除了它叫EVA，剧情并没有出彩的地方，只能说平庸，因为故事的人物解密，剧情故事，一切的一切都在这30年间的各种ACG作品里发生过了,6,还行,2026-4-6 20:20,戏言跟班,29883,新・福音战士剧场版：终,70,8.4,20EVA30ACG,20EVA30ACG
在2021年给了点大伙爱看的东西，既然庵野秀明都放下执念了，那我觉得所有人都有一个和eva和解的理由,9,神作,2026-4-4 02:41,什么洛澧,29883,新・福音战士剧场版：终,70,8.4,2021eva,2021eva
不EMO的《新EVA》能叫《EVA》嗎？,7,推荐,2026-4-1 21:15,杯葛,29883,新・福音战士剧场版：终,70,8.4,EMOEVAEVA,EMOEVAEVA
总的来讲新剧场版是本末倒置的作品，例如说旧eva着重细腻的心理描写，用谜语人设定作为必要时和读者拉开距离的支撑。这两者在新eva中都变得很尴尬，前者即使不说新eva对角色的内心着墨极大减少，制作组本身也不再如旧eva时轻松捕捉到人物的抑郁与疲态。在序，破时，这致使剧情发展不如旧eva饱满，显得仓促，更多在依靠视听体验去弥补不足的部分；而Q与终则连带着没讲明白的十四年后问题一块爆了。如果说旧角色因过去的塑造，在此处还尚有缓和的空间，那么真希波与铃原樱则可谓是以上种种问题的最大受害者，她们过分单薄的形象却占据了太大的剧情定位，继而观感崩塌的比其他角色更为严重。而后者，其实eva并不是一个像几原那样擅长玩符号的作品，过去旧eva的设定与奇诡演出终归是服务于角色的，而不是说eva本身在这个“符号游戏”中做的多出彩。因此Q和终完全是走了邪路，变得非常难看。,6,还行,2026-3-28 17:09,请随意修改,29883,新・福音战士剧场版：终,70,8.4,evaevaevaevaevaQevaevaeva“”Q,evaevaevaevaevaQevaevaeva “ ” Q
再见了，所有的EVANGELION,10,超神作,2026-3-22 13:26,地平线,29883,新・福音战士剧场版：终,70,8.4,EVANGELION,EVANGELION
值得一提的是，当年就听过很多次one last kiss。所以看这一部的时候老是不自觉的想这首歌会如何插入，害怕自己的期待影响观感。幸运的是，真希波最后的牵手我也曾刷到过，因此转移了我对one last kiss的注意。而当最后二人牵手跑上阶梯，也标志了我对eva动画系列的“补完”。的确是难忘的作品，不过也确实没有真心为你惊艳…//看完后一周：越想越觉得终好看，特别是对丽的补充，只论香和丽的话，我选丽。,9,神作,2026-3-21 23:07,ljyim,29883,新・福音战士剧场版：终,70,8.4,one last kissone last kisseva“”,one last kissone last kisseva “ ”
看完就释怀了 本质是痞子的自我补完 大家都没有像之前一样再互相不理解 而是走向另一个完全不同的结局 每个人都认真面对了自己的过去和不足  前半篇章的小村日常简直是本篇的点睛之笔 让观众也可以一窥如果没有eva存在的世界主人公们会过的怎么样 其中丽更是扮演了很重要的角色 后篇面对第四次冲击 这次真嗣没有选择逃避 而是选择勇敢面对 最后一起奔向现实 说到制作 这也是四部曲里制作最好的一部了 前面几段蒙太奇和鲜艳红色的应用简直不要太好看 每个场景的设置也很用心 作为完结篇有这个质量简直不要太幸福 最后13号机和初号机决战的画面也太特摄了吧！,10,超神作,2026-3-16 02:22,AY,29883,新・福音战士剧场版：终,70,8.4,eva           13,eva 13
"高一看的eva，现在已经大二了。
这部作品真是影响了我很多，肯定也影响了超过一代人。
去年上映院线的时候，因为我去的是GCV影院的特殊场，影院里坐的满满当当，有和我一样同龄的人，也有30.40岁的叔叔和阿姨。

30年，漫长的补完。

这部作品里，我一直都对绫波丽这个角色情有独钟，她因为碇真嗣而形成了自己的人格，获得了自己的灵魂，因为自己所爱之人学会了爱，从空壳，转变成了一个具体的有血有肉的少女。
明日香，祈求着爱与关怀的少女，但最后她却只能作为见证者，旁观者，然后独自舔舐自己的伤口，麻痹自己要坚强的活下去。她热烈明媚，却又有时候敏感疏离，值得痛心。
看到电影最后碇源堂向真嗣阐述内心，揭露伤口的时候，我也是彻底没绷住，不争气的流下了眼泪。他与唯相遇，最后又失去了唯。他失去了自己唯一的光，唯一的慰籍。
大概我窥见了我的未来，便有点黯然神伤。
大家都长大",10,超神作,2026-3-15 23:43,在世界中心呼喚愛的野獸 ..,29883,新・福音战士剧场版：终,70,8.4,"eva

GCV3040

30",eva GCV3040 30
剧情太强行，为了happy end，在负宇宙里的人物行为突出一个这么演就行了。我很容易去纠结设定，时常想剧情里为什么这样就可以，导致不去补设定看的很不尽兴。最后初号机和十三号机打斗属实廉价CG,7,推荐,2026-3-15 23:19,摸鱼的鸽子,29883,新・福音战士剧场版：终,70,8.4,happy endCG,happy endCG
I love you more than you'll ever know.,0,未评分,2026-3-12 13:05,4C_41_49_4E,29883,新・福音战士剧场版：终,70,8.4,I love you more than youll ever know,I love you more than youll ever know
兜兜转转大家都没事，只是回归现实生活了啊。那岂不是除了《情痴老爸寻（真嗣的）母记》外和“梦结局”差不多了。除了eva一贯的瞎抛设定等缺点外，本作说服力要好一些，依我看，EVA吸引人主要还是靠气质吧，不能在逻辑上推敲，6.3/10吧,6,还行,2026-3-8 03:16,浑然半成HoRoHansen,29883,新・福音战士剧场版：终,70,8.4,“”evaEVA6310,“ ” evaEVA6310
"我第一遍看TV版的时候就觉得那些宗教，复杂的设定，还有神乎其神的谜语人都只是添头，其实痞子真正想讲的就是关于一个懦弱，原生家庭缺失的少年成长的故事。终结局的和解某种意义上掐死了对这部作品所有的诠释空间，所以我完全能理解为什么终刚出来的时候会非常两极化。对我来说，真希波拉起真嗣的手那一刻，EVA就被定格为一个关于少年成长的故事了。
一开始我也很难接受真嗣和明日香无法圆满这件事，但是回想了一下那些曾经和自己互相喜欢的女孩子，也释怀了。我也快到穿西装的年纪了啊。",10,超神作,2026-3-6 11:14,Yomi_Inaba,29883,新・福音战士剧场版：终,70,8.4,TVEVA,TVEVA
再见了，所有的Evangelion,0,未评分,2026-3-1 13:34,CingStars0,29883,新・福音战士剧场版：终,70,8.4,Evangelion,Evangelion
one last kiss,9,神作,2026-2-25 18:35,薛定谔的双叶～,29883,新・福音战士剧场版：终,70,8.4,one last kiss,one last kiss
再见了，所有的evangelion。什么叫又有新作,8,力荐,2026-2-25 00:26,蜡屐丶,29883,新・福音战士剧场版：终,70,8.4,evangelion,evangelion
"旧版EVA和EoE是高中时影响了个人审美的影视作品. 老版EVA近乎完美的收场后， 作为粉丝对于新剧场版的情感挺复杂的... 甚至因为讨厌Q，一直等了很久很久才看的终.  
看完结尾， 出乎意料的喜欢. 终究还是无法认同，但终究也还是和解了.",8,力荐,2026-2-23 12:06,GZhan,29883,新・福音战士剧场版：终,70,8.4,EVAEoE EVA  Q,EVAEoE EVA Q
所以是送走了零和明日香，解释了一波老爹是大情种，然后投入了玛丽的怀抱？……比破之后的要强很多，有头有尾的，故事性蛮强，总体来说还是比较「有情怀」，大体感情也是向上的。不过说到底，那些新角色不看其他媒体只看动画的话还是没太搞清楚，到最后都还是早期那几个角色比较能挑大旗，中间sakura和嘴妹加戏甚至有点看不懂。总体来说还行吧，结尾挺有趣的。,8,力荐,2026-2-21 15:53,LO-LOCKY,29883,新・福音战士剧场版：终,70,8.4,sakura,sakura
"再见了，所有的EVANGELION。
暑假看完TV，寒假再补完新剧场版。One Last Kiss 响起的那一刻，有种说不出的感觉。",9,神作,2026-2-17 10:59,Oka114,29883,新・福音战士剧场版：终,70,8.4,"EVANGELION
TVOne Last Kiss",EVANGELION TVOne Last Kiss
因为剧情我看不懂，所以吸引我的只有人物塑造和EVA的打戏了，但人物塑造方面恰恰没有TV版那么全面，但总归还是非常值得一看的作品,8,力荐,2026-2-13 21:52,LuoZu,29883,新・福音战士剧场版：终,70,8.4,EVATV,EVATV
纵使争议不断，但eva终仍然是部被低估的完结篇。超长时间跨度的系列作品，若是世上所有的完结篇都至少能有eva终的落地水平，我也是没有遗憾了,10,超神作,2026-2-13 11:50,以雾，观月,29883,新・福音战士剧场版：终,70,8.4,evaeva,evaeva
大失所望，对观众妥协的生硬补完，HappyEnd的最坏结局,6,还行,2026-2-9 02:11,泪腺轴,29883,新・福音战士剧场版：终,70,8.4,HappyEnd,HappyEnd
#SIFF# 攒了几年终于在siff看掉了。没有想到这么好.. 作为EVA的终篇，直击要害地把主题落在了人的相互理解、少年的成长、孤独和存在主义危机之上，大胆地用多样的表现形式呈现庵野自己的表达，无愧于最华丽的终结乐章。不过也正是太过强调这种表达，使得其他设定都可以凭空捏造出来为表达服务，事实证明细究EVA的各种专有名词和设定真的不重要，必要时都可以有新的设定；另一方面对mari的描绘也有些缺乏笔墨，导致结局时她的突出显得有些突兀。但瑕不掩瑜，仍然是日本动画史上的至高杰作之一。,10,超神作,2026-2-4 17:04,Picman,29883,新・福音战士剧场版：终,70,8.4,SIFF siff EVAEVAmari,SIFF siff EVAEVAmari
"有“心”的凌波，受到“主动”香。
“永别了，所有的evaganlion”“辛苦了，所有的evaganlion”",10,超神作,2026-2-2 23:41,water,29883,新・福音战士剧场版：终,70,8.4,"“”“”
“evaganlion”“evaganlion”",“ ” “ ” “ evaganlion ” “ evaganlion ”
如果说老eva是庵野秀明锋芒毕露的自我表达，新eva则是收敛许多的和解之作。即使许多分镜和演出有致敬真心为你的地方，作画和配乐也是展现制作实力的顶级加强版，但这和我期待的eva相差甚远。这份期待，当我看到真嗣向明日香道谢、当我看到碇司令自我剖析的时候就已经释然了，我明白庵野秀明的状态已经不可能做出第二个老eva了。本作的剧情上除了刚开始的村庄生活都有些乏善可陈，几段本该是视觉盛宴的机战甚至让我产生了疲劳，之后对于父亲的反叛和对主要角色的救赎更是缺乏情绪上的冲击和共鸣。这方面失败的原因还是想讲得东西太多但又想让观众理解，留下一摊明显的叙事漏洞的同时还占用了太多属于情绪流的篇幅。如果庵野秀明心目中的eva该以这种方式结束的话，我也只能选择温柔地和解了，毕竟是带给我太多痛苦与感动的系列，接受并走出来是唯一的可选项。你好，没有evangelion的世界。,8,力荐,2026-2-2 12:02,Hectopascal,29883,新・福音战士剧场版：终,70,8.4,evaevaevaevaevaevangelion,evaevaevaevaevaevangelion
「最后一次参观的卢浮宫，并没有什么特别的。因为曾经的蒙娜丽莎，早已经死去了」 不复旧日，为赋新词。失去了对于心理问题带着见血把玩的eva并不能说是具有太多魅力的作品。直面成长原本并非庸俗的主题，然而脱离了创作实践的创作意图与信口搪塞无异。TV版里，尽管对于角色的处理严肃又癫狂，但理解他本无需了解庵野生平，《终》却正好相反。一二三四，值得被爱与自爱的角色们哑口无言地突兀成长，五六七八，你获得完美的不怕受到伤害的未来。是被告席上的抱怨和告解室里的表演，向神像庄严宣誓本人绝无虚言。于是上帝死了，《终》走向主流的文艺理论：一种流于形式的存在主义，一种缺乏美感和勇气的正确主张的诞生。不属于碇真嗣，不属于碇源堂，一个属于庵野秀明的私故事，演绎得过于平庸的解脱。像脚手架，像玻璃钢，像高楼与大厦，像锻锤砸落的规律回响，像塔式起重机缓慢的回旋，像一厢情愿的假装长大,6,还行,2026-2-1 10:48,野夫,29883,新・福音战士剧场版：终,70,8.4,evaTV,evaTV
再见了所有eva，真丝也牵着手走向了下一班列车，Eva的故事画上了一个大大的句号,9,神作,2026-1-30 20:53,永生的狸猫,29883,新・福音战士剧场版：终,70,8.4,evaEva,evaEva
“永别了，所有的Evangelion”,10,超神作,2026-1-30 14:46,Masahiro,29883,新・福音战士剧场版：终,70,8.4,“Evangelion”,“ Evangelion ”
"四部曲裡我最喜歡的便是Q。那種完全被否定、被拋在困惑的世界裡、無能為力、所做的一切努力都只是傷害他人的困境描寫得如此精彩。但終卻對這一切進行了否定與展開粗糙的和解。

終選擇忽視前面所塑造的「世界對自己的惡意」，迴避了對世界的憤恨該如何解決這個問題。本以為終前半段的田園勞作生活裡的細瑣會是對這個提問的一種解答，結果後面又讓真嗣跟每一個人排隊唸台詞和解反思，好像自己以前的憤恨是一種錯誤，那又何必如此強調Q中所遭受到的世界的惡意？

我期望的是不否定過往對世界的憤恨，既強調世界對自己的惡意，也強調世界對自己的溫柔，以這種姿態去成長，不將自己的過去當作一種錯誤。",7,推荐,2026-1-28 00:12,文影一方,29883,新・福音战士剧场版：终,70,8.4,"Q

Q",Q Q
我是和同学一起去电影院看完终再去完整的补完整部EVA，是种奇妙的的追番体验，但是看完还是不可避免的感受到了庵野秀明的趋于平庸，看在他给我如此高的追番体验（看tv的我：我草这剧情怎么变成终那样的）给个9分吧。,9,神作,2026-1-27 23:46,扶她进来,29883,新・福音战士剧场版：终,70,8.4,EVAtv9,EVAtv9
"初观感7.5/10，看完解析8/10
原评论:和看完《真心为你》的感受差不多，一遍能看懂的都是天才。
我算发现了，对我来说，看电影逻辑的完整圆满是最重要的。哪怕只有一个没搞懂的点，我就会全程带着疑惑的情绪试图搞清楚作者想要表达的是什么，没有功夫去体会情感之类的东西。在逻辑相对清晰的前提下留开放式结局，让观众参与探讨挖掘，是能够接受的。但纯意识流或者故意不把故事讲清楚，完全接受不了。搜了半天解析视频，也没有人把故事至少逻辑理顺……
又看了几个解析视频。故事的逻辑其实应该是很全面的。但世界观庞大，作者又喜欢把各种看似华丽的专有名词堆叠在一起，导致比较乱。另外就是作者想要观众去猜他的世界观。
好吧，再看了几个解析，原来破的最后有彩蛋！非常影响剧情理解啊！我竟然没看到。看eva的解析探讨挺有意思的。",8,力荐,2026-1-25 19:33,中二病就得多看番呐,29883,新・福音战士剧场版：终,70,8.4,"7510810



eva",7510810 eva
只能说补完了，再见了所有的evagelion,8,力荐,2026-1-22 00:27,Kanomi,29883,新・福音战士剧场版：终,70,8.4,evagelion,evagelion
