content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
"复活的奇迹 东海帝王
上一次哭的如此惨还是在cl的时候 每次都莫名其妙的掉泪 三次骨折折不断帝王的毅力 米裕不是恶人 而是英雄 麦昆太遗憾了 只和帝王在一起跑了一次 虽然不了解现实怎么样 命运一直在捉弄帝王麦昆
制作很不错 尤其winng live 还是手绘 马娘在草场上飞驰的时候也非常棒 其中也穿插着一些有趣的故事 很喜欢黄金船",10,超神作,2026-4-5 20:01,悄然流逝,315574,赛马娘 Pretty Derby 第二季,72,8.4,"cl        
 winng live",cl winng live
"因为哈基米梗去看的赛马娘，到第二季终于听到了(bushi
可以说是各个方面相当合适的动漫的，东海帝皇原型历史的三次骨折，目白麦昆的伤病，以及东海帝皇一年复出的奇迹夺冠，如此的难以置信的传奇，而且是真实的，太适合写成动漫了。
音乐做的不错，情感氛围塑造的也不错，跑步做的这么热血也是很强了，在双螺旋给东海帝皇加油的那里看掉小珍珠了。
而且其他配角也塑造的不错，比如米浴真的让人很有触动，我的小天使啊，人物塑造好的动漫总有一种别样的魅力。
倒是百合没有太吸引我，当然做的也不错，两个人的爆哭的部分我也很感动，没有贬义，可能是因为我在第一季的时候感觉没啥东海帝皇跟目白麦昆的互动导致的。
还有特别周的戏份少了不少有点小伤心，但是也没办法，毕竟已经是第一代主角了，历史上也都退役了。
总的来说不枉费因为哈基米去看赛马娘了()",8,力荐,2026-3-28 02:12,天镜映劫尘,315574,赛马娘 Pretty Derby 第二季,72,8.4,bushi,bushi
"T1  9.1分
第一季是起点，那么这一季便是丰碑。虽然不是什么复杂的故事，但是它就是能讲的有打动人心的力量，带来感动和不一样的力量。主角换成东海帝皇，从第一季她的嘻嘻哈哈中走向了一段不断“失去”与“复活”的传奇故事。三冠的希望落空，不败的誓言被打破，在挣扎中三度骨折，希望一次次破灭、期望一次次落空，连奔跑的权利都险些失去，却能一次次站起，不是廉价的励志，而是真实的奇迹。剧情依旧严格遵循现实，狠得下刀子，一刀一刀不断，展现的是马娘在在苦痛中或强颜欢笑、或默默嘶吼。一个个独立的平行但又交错的小故事，都这么完整动人，难能可贵。或许痛苦、或许喜剧、或许希望渺茫，但却从不放弃，就有奇迹能发生。虽然依旧王道，但无需颠覆性的创新，只需要把最朴素的情感，用最扎实的叙事，讲到极致。于虚构的赛场上，感受到真实的生命的魅力；于动漫的载体中，感受竞技体育最朴素本质的光芒",9,神作,2026-3-7 21:51,Yushiro Yukina,315574,赛马娘 Pretty Derby 第二季,72,8.4,"T1  91
“”“”",T1 91 “ ” “ ”
200标纪念！这一部将重心转至用泪与汗对不公命运的抗争。即便一次次遭遇挫折，被命运打倒，也要爬起来继续奔跑；无论是人人欢呼，还是被人看扁，都要为自己的梦想而战。比赛的画面（2D）也比前作更加富有张力，3D就比较难崩了（尤其是受到了烂梗的模因污染之后）。配角的形象比前作更加立体，角色之间的关联也更加紧密，但日常戏没有前作有趣。可能是因为我对这个番的期望过于高了，也可能因为是我看了太多偶像番，已经对这种“梦想”啦、“羁绊”啦、“奇迹”啦、“约定”啦之类的叙事脱敏了，我并没有太多的情绪起伏，几次挫折写的也比较重复和套路化，甚至还有浓浓的前作既视感。ep10是很优秀的一回，ep13总感觉还差点意思，看完了甚至不由得产生了“就这？”的想法。为何让大家相信奇迹并为之赞不绝口？如何让我相信奇迹并为之呐喊流泪？再见了，东海帝王；暂时再见了，偶像番们。我也想被感动啊,8,力荐,2026-2-24 20:59,😋😋😋,315574,赛马娘 Pretty Derby 第二季,72,8.4,2002D3D“”“”“”“”ep10ep13“”,2002D3D “ ” “ ” “ ” “ ” ep10ep13 “ ”
久违的一口气看完一部动画了，劲很大但煽情有些用力过猛？中间换了两集主角感觉有些割裂。3d多少有点难绷但2dlive又挺好看的,8,力荐,2026-2-20 00:21,岛凡,315574,赛马娘 Pretty Derby 第二季,72,8.4,3d2dlive,3d2dlive
如果给本作画一个六维雷达图，大概会是一个流星锤，只有情绪渲染能力是格外突出的。最遗憾的是，制作水平实在欠佳，人物都会偶尔的小崩，间接导致比赛时的分镜一直就那几张来回切。如果能有「金牌得主」的表现力，观感还能再上一个台阶。甚至于情绪渲染也并非常见的「演出+音乐」的组合拳，而是借力了「竞速」这一体育项目带来的天然且理所应当的惯性——你会衷心希望那个你最了解（作品着墨最多）的选手取得胜利，看到她坚强不放弃的模样，会为之动容。不难发现本作的剧情结构过于王道，但王道就说明确实好用，将伤病→沮丧→振作的结构重复了三轮，好在人物极多可以分担篇幅，插入两集个人回，使得这三轮结构的重心有所不同，不然真的会审美疲劳。情绪渲染能力固然厉害，EP2、10、13都让我落泪，可这种体验是即时的，一过性的，没有回味的，标签的角色们无法留在心中，比「四谎」甚至「未闻花名」都逊色不少,7,推荐,2026-2-19 23:14,Whatasiger,315574,赛马娘 Pretty Derby 第二季,72,8.4,EP21013,EP21013
看完ep10，已经把评分顶到10分了，除非后续的表现太让我失望，不然应该不会变。不同于其他的催泪番，赛马娘这种热血向上的运动番，只是讲述一个跌到谷底却最终重回巅峰这样一个最老土的故事，却能让人哭到浑身发抖，制作者对情感闸点的开关控制的太好。在被剧透过这个故事之后，依然哭成泪人，我第一时间想起的是亚瑟摩根，亚瑟走的是无数支线丰满人物的路线，赛马娘走的是跌到谷底之后所有人合力唤醒的路线，本质都是他人的认可，但是一个需要大量时间铺垫，一个是三分钟之内全部定点爆破，两者都是我很喜欢的方式。此外印象最深的看双涡轮冲刺，看着弹幕上所有的“双涡轮”，就像自己心底不断呐喊出的一样，看时幻视了《乒乓》里最后的三声“英雄参上！”。所有人都知道她会赢，但是还是会不由自主呐喊，至暗时刻的那一丝曙光在剧中需要明确的人物来锚定，所有的情感爆发在冲过终点和英雄出现的那刻。,10,超神作,2026-2-19 18:58,pyrojewel,315574,赛马娘 Pretty Derby 第二季,72,8.4,ep1010“”“”,ep1010 “ ” “ ”
"观看预期影响实际评价的实例*1
对我来说这部作品的情绪实在过于波涛汹涌，完全找不到落脚的地方，观看过程中一直在极度的激昂、喜悦、悲伤中无间隙的来回切换，以至于到中后期本人已经进入了一个近乎麻木的状态，有几场戏（尤其是在基本能猜到发展的情况下）完全不知道该以什么情绪来观看。爆论是对情绪和节奏的把控还不如某up用这片做的浓缩mad带给我的体验好。",7,推荐,2026-2-18 21:31,nxkmb,315574,赛马娘 Pretty Derby 第二季,72,8.4,"1
upmad",1 upmad
"喜欢米浴 ep8 ep10好 帝皇麦昆好 喜欢帝皇 很感动 看的时候真的鸡皮疙瘩起来了。
但是为什么我没给9/10呢 ep13最后的演出处理我真的不喜欢
太不像话了 怎么能这么做",8,力荐,2026-2-16 22:29,Na0ya,315574,赛马娘 Pretty Derby 第二季,72,8.4,"ep8 ep10    
910 ep13",ep8 ep10 910 ep13
"心里评分9-9.5分。画面上多少还是存在一些瑕疵。第一次看的时候绝对会被第十集和第十三集所震撼。看完以后二刷乃至三刷会发现第一集第二集第十二集也有很多直击人心的点。至于为什么打10分呢，因为这是我哭的最凶的一部番，和ab,cl,四月，未闻花名等催泪番不同，这是一种激人奋进的感动，而且这种感动竟然能让近三十的我哭到抽搐。目前国内小众是好事，看得人多了自然会有很多黑子风气就很差，至少目前b站的弹幕观感还好",10,超神作,2026-2-15 01:33,千寿夏世,315574,赛马娘 Pretty Derby 第二季,72,8.4,99510abclb,99510abclb
