content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
感觉好多角色都像是被天意裹挟一样追求战争，仿佛所谓的“斗争本能”是一个像nt一样的超能力设定，让我觉得因这些人展开的冲突十分儿戏，有种“子供向战争片”的感觉。与之相对的女王、大小姐、罗兰这三个为数不多没被天意腐蚀的正常人就十分讨喜了，身份互换这个本来以为讲个两集就会结束的设定居然贯穿始终，在离地上月球那一段我们俩一心同体实在是太帅了，最后女王跟了罗兰、大小姐跟了哈利也算是十分浪漫的结局，虽然细想下来迪安娜还是太不负责任了，明明那么被月球子民爱戴，不仅下地时候搞身份互换这种事，最后还把月球交给了别人，哪怕相信姬艾尔能做的比自己更好也实在是...,7,推荐,1d 21h ago,空时灵,3553,∀高达,74,8.4,“”nt“”,“ ” nt “ ”
看完倒A很难不联想到现在知名度更广的AZ，因为后者的剧本明显参考借鉴了前者，但最终二者呈现出来的效果真可以说是天差地别。比如同样是“先进文明与地球落后势力对峙”的二元结构，前者的地球与月球的对立是由历史记忆、文明形态与生存资源三者共同构成的；而后者的地球与火星的对立表面上看是太空版的地缘政治博弈，但越看越能感受到里面战争爆发的根本原因是几个野心伯爵掌握了军权，而并非文明层面的必然碰撞。这种对待自己二元结构方式的区别，也就是两部动画的根本差距了。AZ的失败在于它一边说着不要二元论，却一边演绎着最二元论的剧情；倒A的成功则在于对这种二元论的祛魅：月球并非邪恶的入侵者，地球也绝非无辜的受害者，正是这种立场不同的悲剧性，才让结尾的和解成为可能。这可不是理想主义的说教，而是已经因斗争毁灭过一次人类在吸取足够教训后的反思和对生存方式重构的一次尝试。,9,神作,2026-3-28 20:50,Ningensan,3553,∀高达,74,8.4,AAZ“”AZA,AAZ “ ” AZA
"当看到每一集前12分钟幽默而富有生活气息的日常，罗兰驾驶turnA在众人面前振臂高呼，女王洗衣服时的泡泡飞舞，turnA一次又一次地铸剑为犁，科连喊出的“turnA本来应该可以开拓时代的”，turnA与turnX于月下相拥化茧，结尾已经成长起来的二小姐，以及最后伴随着《月之茧》歌声徐徐展开的每个角色的黄金之秋，倒A这部作品就这样在一点一滴中散发着人文主义的光辉。回过头来看这部作品已经这么多次地令我感情荡漾。“好感动啊”，是我看倒A发出过最多的赞叹。这是富野为亲手打开自己创造出的这个莫比乌斯环而写出的浪漫童话，或许也将是我最爱的GUNDAM，毕竟谁不喜欢这样美好的故事呢。我认为富野在创作的时候是有一种和过去自己和解的理想的わがまま，既然如此我也“任性”地打一个分数吧。
话说当业界都在发癫的时候富野突然从良了还挺有意思",10,超神作,2026-3-24 20:00,本当,3553,∀高达,74,8.4,12turnAturnA“turnA”turnAturnXA“”AGUNDAM“”,12turnAturnA “ turnA ” turnAturnXA “ ” AGUNDAM “ ”
一开始看发现人类重置了的时候，想起阿姆罗奋不顾身推石头结果还是没救回来，心里有点小难过，但看到最后，大家能一起包饺子，又不得不感慨，真是温柔的结局啊。在看之前很难想到，我印象最深的一幕是高达洗衣服的场面，对啊高达就应该做这种事，而不是去打那些愚蠢的战争。而平心而论，我并不觉得这部高达的剧情比其他的要好，反而觉得中间不少剧情都没能讲清楚，以及倒X真的强得变态了。但白富野实在温柔了，好多角色我以为要发便当了的时候，都没有发展到最坏的那步，即便是死了，也尽可能不让人觉得太悲伤。从0079开始看起，把uc高达一路补完，最后能在倒A这里看到一个这么好的剧情和立意，作为一个ip的大结局又能有如此完美的结局，已经是心满意足了。,8,力荐,2026-3-22 01:31,葵生暮冬,3553,∀高达,74,8.4,X0079ucAip,X0079ucAip
开幕民谣电波到了，原来名台词“黑历史”的出处在这，更让我没想到的是黑历史居然是字面意思高达纪录片。菅野洋子神级配乐，卡密！除了最后几集肉眼可见的仓促，瑕不掩瑜，hp收尾很满意，开车那段吉卜力味溢出来了。地球人：你们都是被驱逐出去的人。月球人：你们都是被重力束缚灵魂的人。二小姐声线可爱，以为cv破音姬，判断失误。刚开始女王、大小姐的身份晕头转向（我不是百合豚，仅限此部磕女王、大小姐），后来能辨认出来但也悟了，其实没必要纠结，你就是我，我就是你。魔怔高达哥真男人！红队！闻香识女人的红头苍蝇面具男一句：“罗兰助我！”帅哭了。节目效果爆炸的挽尊姐，后期连挽尊哥都登场“我要挽回名誉！”。倒A的台词趣味十足，还经典，有时候没憋住笑了“小鬼是不会了解母亲的可贵的”“弹幕很薄哦”“你们这些人…居然算计我！”俩年前才接触uc系，如今差不多也补完了，uc个个都是经典,9,神作,2026-3-14 11:59,戒,3553,∀高达,74,8.4,“”hpcv“”“”A“”“”“”ucuc,“ ” hpcv “ ” “ ” A “ ” “ ” “ ” ucuc
因为过去纷争的历史是错误的所以被终结成为黑历史，终结黑历史的逆a在罗兰的手里也可以是开拓未来的白色人偶，无论是罗兰所说的“既然你是人类智慧的造物，那就去为人类造福吧”还是王女的那句“我们的眼睛鼻子嘴唇都是一样的，在身体上没有月之民和地球人之分，我们都一样是人类”1999年播出的逆a所要表达的一切更像是一个祈愿，对即将到来的新世纪的祈愿，祈愿人们在新世纪真的能够别在重蹈过去错误的历史,10,超神作,2026-3-4 21:50,桐切沙织,3553,∀高达,74,8.4,a“”“”1999a,a “ ” “ ” 1999a
两个人换身份这个设定实在是太都合了。剧情上生硬勉强的地方也多。虽然一直想烘托一种童话氛围，但经常还是挺出戏的。有时候我甚至在想，富野是不是其实还是腹黑，看着观众对这种破绽百出的“童话”感动得不得了，然后心里暗笑“你看，愚蠢的人类”hh 另外机体有点丑吧,7,推荐,2026-2-27 21:37,□,3553,∀高达,74,8.4,“”“”hh,“ ” “ ”
"月球人和地球人在谋求和平共处的路上的诸多冲突都有详细描写，歧视偏见，资源冲突，仇恨...要克服这些并不容易。女王和姬艾尔同心同形的设定表达了双方都是长着相同的脸的人类的同时，也为剧情发展和二者人物刻画起到了关键作用。
近乎完美的作品，但是最后十集上月球的剧情发展太快了，刻画不够，金卡拉姆和阿古利帕几乎就是纯吸仇恨背锅的，特别是阿古利帕前面铺垫这么久，最后就随随便便被反水干掉了。前面要谋杀女王的菲尔上尉也是最后几集见到后就马上归顺....
但瑕不掩瑜，上月球前的剧情太精彩。非常喜欢Turn A Gundam的设计，很美。",9,神作,2026-2-25 17:29,瓦全,3553,∀高达,74,8.4,Turn A Gundam,Turn A Gundam
8.5/10月光洒下大地，化蝶为茧皆有看尽繁华。站在世纪末聆听过去的回响，跨越新世纪对未来的期盼，过去时与未来时的历史轮回，唯不变的是，人心总向往着田园诗的回归。///虽然收尾稍显仓促，但最后的《月之茧》响起结合《turn A》的人文主义关怀基调，实在梦幻而浪漫美丽。,8,力荐,2026-2-24 23:23,东方椎名,3553,∀高达,74,8.4,8510turn A,8510turn A
神ED × 2,0,未评分,2026-2-13 01:15,Pedoleon,3553,∀高达,74,8.4,ED  2,ED 2
