content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
"我宣布辉夜3是最强恋爱喜剧。
赤坂应该给辉夜3的制作组磕一个响头。
为什么辉3不是辉夜完结，那样会长就不会从恋爱智斗超人变成炒面超人了。
会长学技能篇是精髓。
最后的loveiswar的双向奔赴看的太爽了。",9,神作,2026-4-10 16:47,XerxesBreak,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,"3
3
3

loveiswar",3 3 3 loveiswar
sbcbm,8,力荐,2026-4-9 13:17,陈蔚蓝cwleste,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,sbcbm,sbcbm
last kiss究极浪漫,10,超神作,2026-4-6 14:25,老千の花,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,last kiss,last kiss
cbm祖坟冒青烟求出来的作品，不得不承认，辉夜时期的cbm在不惦记着他b主线的时候确实很牛逼，这些小情节真的很有笑点，也真的很甜。其次a1真是神了，以后要是有人问我什么是动画组厨力放出，答案可能有很多，但我第一反应就是辉夜，太尽力了，太会改编了，太有数值了。三季以来，看着这两个人互相拉扯，最后修成正果，真的很有感触，要恋爱主线有恋爱主线，要日常搞笑有日常搞笑，这个时代，恋爱喜剧的天花板之作应该是没跑了，没有缺点的作品，10分在我看来非常合适。,10,超神作,2026-4-4 00:49,yuzu,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,cbmcbmba110,cbmcbmba110
评分8.7，A1top级的演出属实为原作加分不少,8,力荐,2026-3-30 17:23,让jean,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,87A1top,87A1top
love comic的神之一 这一季辉夜剧情有点少了 但是补充了很多人设,6,还行,2026-3-15 21:40,Mmmidsummer,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,love comic,love comic
2026.2.24  8分  喜欢的感觉回来了(｀・ω・´)这一季的制作和剧情的搞笑方面都相当出色，但可能是前面给了我太高的期望，以至于最后两话比我预期的差了一点hhh,8,力荐,2026-2-24 18:41,远山淡影,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,2026224  8  hhh,2026224 8
个人榜最强恋爱喜剧——制作组厨力大爆发，各种细节、彩蛋看得让我觉得人生满足了（bushi）,10,超神作,2026-2-24 16:14,枸杞叶,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,bushi,bushi
"2026-02-23 开始观看&看完
最后几集很通畅的感觉 看的很舒服～

一定不要看b站源，在重要的地方瞎jb剪，搞得氛围都没了",7,推荐,2026-2-24 02:03,Wqr_,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,"20260223 
 

bjb",20260223 bjb
究极优秀的恋爱喜剧，这一季不仅有依旧高质量、充满创意的演出，还有更加甜蜜的发糖回，这个告白的环节真的不要太浪漫！（给我当场看扭曲了，这就是恋爱吗？）对有深度的内容描写也进步了很多。总的来说应该是我目前看过最好的以恋爱为主题的番，A1厨力大爆发，恐怖如斯！8.7//联想到漫画后面烂完了的情节，cbm还是快快自裁罢（无慈悲）,9,神作,2026-2-16 17:04,路人二次元的养成方法,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,A187cbm,A187cbm
最好看的恋爱喜剧，cbm你真得给A1磕一个吧,8,力荐,2026-2-11 22:09,凤凰苑胸针,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,cbmA1,cbmA1
9.1  21世纪最强恋爱喜剧，论全力a1有多可怕,9,神作,2026-2-10 22:35,郁文,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,91  21a1,91 21a1
个人喜剧top1 9.0,9,神作,2026-2-5 00:30,SunXTDei,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,top1 90,top1 90
确实是超级浪漫，会长和辉夜kiss的那里/8.5,9,神作,2026-1-25 16:33,Ltimbe,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,kiss85,kiss85
真是超级符合标题“究极浪漫”的一季≧ ﹏ ≦在双方满好感的情况下还能让感情再上一层，再再上一层，心动之后是更加心动，隔着屏幕我仿佛都能感受到两人呼出的热气，连周围的空气都仿佛在摇摇晃晃，快要让人无法呼吸了……怎么会这么心动啊！！！后半段奉心祭会长全程c也太帅了、、、提前那么久布好的超大局，一切都在他的掌控之中，，，奉心祭的氛围感塑造得也超级好……bgm加大分，不是全程无忧的傻乐，而是处处萦绕着恋爱真实的担忧和淡淡的不知何处而来的伤感，仿佛都能闻到那些清晨和傍晚有些凉爽带着冷意的空气。总之我看哭了……心脏kyukyu不行了、、、把喜剧和恋爱都做得这么顶级，很神的一季〒▽〒,9,神作,2026-1-20 16:50,紧紧,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,“”  cbgmkyukyu,“ ” cbgmkyukyu
"22年读高二那会看的，辉夜大小姐，终于来到了第三季
作为动画党，听说奉心祭篇是全篇的第一个小高潮，然后质量也很高，期待值拉满了
本季以秀知学院的奉心祭为故事舞台。石上补全了过去入学生会的背景故事，并在跑步中完成了角色弧光，同时也跟燕学姐的感情取得了进一步的发展。弥子圆满着完成着她想做的任务，书记全神贯注着玩着她的侦探游戏（可惜被会长死死拿捏着）最神的会长，动用自己的学识和手里的资源，完成了恋爱番历史上足以载入史册的一场告白。在全校的浓郁气氛见证下，悄悄地夹带着自己的私心。浪漫是真心浪漫，论哪个女孩不会沦陷
同时一直很喜欢动漫里，明明是以现实世界为背景，校园番恋爱番却仍然能划出来一个具体的篇章什么篇什么篇，剧情取得阶段性发展芙的情节设计
你永远可以相信a1对辉夜的爱与厨力，以前没什么感觉，现在回头看辉夜这质量真的稳得不行",8,力荐,2026-1-20 02:16,豌豆鸡,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,"22



a1",22 a1
"终极浪漫
演出，氛围，叙事节奏无可挑剔
三季积累情绪的一次完美的爆发
本来是在看过漫画之后知道剧情心灰意冷都不打算看了，但是无论如何，赞美a1！
快乐，惊叹与感动无可替代

这一季前半对于早坂的描写很有意思，关系上算是白辉感情中的一点酸，但是无足挂齿，本质是早坂本人对于正常女孩生活向往的一部分，辉夜是她唯一真正袒露心扉的姐妹，朋友和雇主，她想让辉夜更重视她一点，对于她为了辉夜的辛苦更正视一点，包括“勾引”白银的行为都表达出她想脱离主仆的关系而更贴近姐妹亦或朋友的关系",10,超神作,2026-1-18 20:31,冉礼物让,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,"a1


“”",a1 “ ”
"2019-2022，动画三季，究极浪漫告白。恋爱喜剧的一座大山，能越过去的只有自己。
PS：A1厨力。ep5 ED发力。OP ED给力，ED有种幻想般的美感。OP依旧空耳：爱我～爱我～爱我～哭泣里带点苦味~。",9,神作,2026-1-18 13:06,黃昏,317613,辉夜大小姐想让我告白-超级浪漫-,83,8.3,"20192022
PSA1ep5 EDOP EDEDOP",20192022 PSA1ep5 EDOP EDEDOP
