content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
这种不是happ end的结局我不甘心啊  这些虚伪的存求 和平的结局 哪里是真正想得到的  每个都是在背叛和谎言中 所诞生的祈愿 长久后必定会坍塌,8,力荐,2d  ago,tomoItoru,8,Code Geass 反叛的鲁路修R2,85,8.3,happ end,happ end
"这才叫照应标题“反叛的”，在与自己父亲和母亲的相遇对话后了解到人的本质是自私的，都想创造一个利己的世界，当时鲁路修就已经得知自己和父母的期望实则同出一辙，然而他并不愿自己未来创造的世界是在恐惧与威慑生存之下的世界，于是就和童年的死党朱雀一起立下誓言，化身殉道者，将这个世界所有的罪恶归结于自身，再由正义之士“Zero”歼灭，这就是“零之镇魂曲”（Zero Requiem）吗

但是对于捏造的牢中形象我觉得过于刻板了",8,力荐,2026-4-4 21:50,Fancybow,8,Code Geass 反叛的鲁路修R2,85,8.3,“”“Zero”“”Zero Requiem,“ ” “ Zero ” “ ” Zero Requiem
Zero Requiem，让最痛恨王权的人以独裁者的身份定格在了历史的长河之中，最开始只想保护爱的人最终却让珍爱的人痛哭。,8,力荐,2026-3-30 20:16,ハサミ,8,Code Geass 反叛的鲁路修R2,85,8.3,Zero Requiem,Zero Requiem
49集或缓慢或加速的冗长过程最后只为汇集成流血的Zero Requiem。许久看动画没有哭过了，这或许是我目前最喜欢的动画结局，顺着剧情的跌宕观众不难猜出结尾的真相是什么样，但当它真正发生时，我们才看清了一切，众人的一切，以及去掉假面的鲁路修的一切。「俺が世界を壊し、そして世界を創る」,8,力荐,2026-3-29 15:21,NIKOKK,8,Code Geass 反叛的鲁路修R2,85,8.3,49Zero Requiem,49Zero Requiem
如果说R1是夯的话，那R2就是夯爆了。R1的登神长阶在R2得到了释放。一切的完结，世界的大同，用自己的生命为千千万万的人民做个了解，用自己的生命撒下和平之音。,10,超神作,2026-3-28 22:50,穗娜,8,Code Geass 反叛的鲁路修R2,85,8.3,R1R2R1R2,R1R2R1R2
依旧能保持密集的爆点，但不再像第一季那样具有将舞台演员妥善就位、齿轮紧密咬合的游刃有余，百万撤离-中华联邦-建立超合众国的中期剧情问题最为严重，反转靠设定空降，政治戏一秒都不能多想，几乎是辆外壳四面漏风刹车失灵的破车在失控边缘勉强运行，后期观感回升明显可惜再没见到足以比肩ep22的优秀单回。对补完计划的强力反击和没有把现实世界作为里空间的附庸值得称赞，假面-谎言-多重身份不仅多次促使角色转变立场合理地制造爆点，同时与主题相联系——叙事技巧很厉害，可我并不喜欢其中传达的理念——朱雀身上体现的身份认同危机与抵抗路线的选择与否问题被简化为过程/结果论的二选一，“零之镇魂曲”更是如鲠在喉，一股浓浓的去政治化意味，只要一位弥赛亚承担此世全部之恶就能换来一个崭新干净的新世界，以这种谎言创造的（注定无法持久的）和平又与geass，与强制的“善意”有何本质上的区别？,7,推荐,2026-3-2 22:04,境界-司,8,Code Geass 反叛的鲁路修R2,85,8.3,ep22“”geass“”,ep22 “ ” geass “ ”
"依旧有趣，不过现在更多的是看llx的经历了，自血染尤菲之后就从人为主变为人和g各一半了//说实话刻板印象看着挺难受的，尤其它运动发展起来就更难受了//好多突兀反转
ep8虽然能成功不太合理，但胜在确实是个把多个剧情冲突解决的好手，也没必要太去关注他的不合理性了/话说这可是一百万人啊，现实中百人千人就可以干很大的事儿了，能动员百万级别可能编剧对百万人没啥概念吧（但说没概念又不对，只是万人之国确实没啥好提的）//ep9.还挺有活，我没招了/话说回来这集的各种东西都有点儿草率的感觉//ep11有点儿草率
截止re，说到底只是个动画而已，不过想要表达的还是挺值得关注的
对技术的乐观，对未来的乐观，同时也是对生命的乐观
责任和担当，有了力量，就要对得起力量来源的的责任，要有担当，但在担当责任之时，也就失去了无责任的自由，但话说回来责任不就是来源于对生命",8,力荐,2026-2-14 22:59,ahnkw,8,Code Geass 反叛的鲁路修R2,85,8.3,"llxg
ep8ep9ep11
re",llxg ep8ep9ep11 re
看到一半，先评价，综合评价等看完，？？？第二季nmd怎么开始降智了，全程有一种小孩子过家家的感觉，开始做出不符合人设的举动。鲁路修展现出的就是有勇无谋。开始详细吐槽，1.和全体zero流放国外勉强说的过去，但暂住中华联邦本质上和日本特区没有区别。2.ep9和二皇子下棋，对面王送到脸上？且鲁路修因为自己的‘骄傲’而不要？3.ep10既然和星刻目的相同，那为什么不找机会说明白？然后被迫成为对手。4.妹妹也要开始搞圣母那一套了？你做哥哥的也不能找机会讲清楚吗。5.都什么时候了，还想着把朱雀给收编？已经结下这么大梁子了。6.鲁路修第一季的智谋去哪了？所有人都开始半场开香槟，卡莲被抓了，鲁路修就急了，破防了，你的解决方案呢，你的淡定呢。7.鲁路修的geass成符号和摆设了。吐槽太多，写不下了,0,未评分,2026-2-13 02:38,qkdd,8,Code Geass 反叛的鲁路修R2,85,8.3,nmd1zero2ep9‘’3ep104567geass,nmd1zero2ep9 ‘ ’ 3ep104567geass
仇恨集于一身，破坏世界再拯救一切这便是名为鲁路修传奇的一生，最喜欢的主角之一，深刻体会到了鲁殿的一切安排和布局再一次感觉到了伟大之处，好久没有看到主角如此孤独又承受了一切的压力，最后对妹妹终于知晓了哥哥安排的一切。枢木朱雀也被施加了名为永恒的假面这个ギアス，最后对朱雀释怀了，虽然对他有五味成杂说不清的感觉但是最后零之镇魂曲的实行一切回归了日常，c.c.又孤独的一个人，ギアス不仅是人们的愿望也是希望，鲁殿在最后的镇魂曲埋下了种子，zero和娜娜莉以及迈向未来，荣耀尽属鲁路修！！！,9,神作,2026-2-10 13:01,湊,8,Code Geass 反叛的鲁路修R2,85,8.3,cczero,cczero
如果鲁路修的第一季是循序渐进、爆点不断的教科书一般的展开，那么第二季的它则在依旧有着不间断的爆点的情况下，展现出了惊涛骇浪般的暴走。Geass的神秘，亲友的死亡，篡国的走向，核弹级武器的登场……狂野的剧情展开带来了更甚于第一季的酣畅淋漓，过于紧凑和飞跃的剧情，也令叙事的节奏变得难以捉摸，中华联邦篇与不列颠皇帝的篇章，便显得十分跳跃。也因此，相较于第一季，第二季毫无疑问有着更明显的缺陷，但第二季的结局，却带来了超越以往的完美。当“Zero”的剑刺下的那一刻，“零之镇魂曲”便为这个故事写下了数字“0”一般完美的闭环，刺杀者身份的完美选择，赋予了背负罪孽而死的结局独特的象征意义，形成了名为“正义”的符号，突破了逻辑缺陷的枷锁，将过往的一切完美地串联，起点为终点铺路，终点与起点相连，以“完美”去形容也不过如此。这样令人悸动的结局，便是鲁路修给予观众最大的惊喜,9,神作,2026-2-7 00:58,qmt,8,Code Geass 反叛的鲁路修R2,85,8.3,Geass“Zero”“”“0”“”“”,Geass “ Zero ” “ ” “ 0 ” “ ” “ ”
100万个zero太傻了缓了好几下…………,7,推荐,2026-2-5 20:54,ありふれた,8,Code Geass 反叛的鲁路修R2,85,8.3,100zero,100zero
EP25零之镇魂曲//无需多言。All Heil Lelouch！,9,神作,2026-1-21 02:26,Rloles,8,Code Geass 反叛的鲁路修R2,85,8.3,EP25All Heil Lelouch,EP25All Heil Lelouch
拖下神坛的一部续作，我觉得挺垃圾的，geass这种东西知道的人一旦多了S1的所有桥段所有念想都好似个玩笑，情感线写的也一团糟，这个第二季和革命机差不多，皇兄公布geass的时候黑色骑士团的人都不会怀疑是否皇兄也有geass么？按道理应该会引发大恐慌互相猜忌才对（好比大王冠），咋就能联手了呢？尤其更不能理解为啥要背叛父母的理想世界，敢于弑双亲的人对妹妹连个geass都舍不得用这不算人格分裂吗，斩断亲情，方能成王，所以鲁路修永远也无法成王，至于零之镇魂曲，算是中二幻想般的结局吧，怎么说也比艾伦强，只有妹妹一个人受伤的世界达成了，要一视同仁的话这个在我这就跟半吊子革命机一样啊，6分,6,还行,2026-1-20 10:39,锦木万束,8,Code Geass 反叛的鲁路修R2,85,8.3,geassS1geassgeassgeass6,geassS1geassgeassgeass6
零之镇魂曲(Zero Requiem)，我看过的动漫最神结局，虽然有点让之前做的事情功亏一篑但仔细一想是为了吸引仇恨的话意外觉得还可以理解，但都是很小的问题而已不影响我给他满分，ALL HAIL LELOUCH!,10,超神作,2026-1-13 00:13,Desgg,8,Code Geass 反叛的鲁路修R2,85,8.3,Zero RequiemALL HAIL LELOUCH,Zero RequiemALL HAIL LELOUCH
「All Heil Lelouch」 - “王来承认，王来允许，王来背负整个世界。”,9,神作,2026-1-12 07:55,OrangeCat_Bangumi,8,Code Geass 反叛的鲁路修R2,85,8.3,All Heil Lelouch  “”,All Heil Lelouch “ ”
