content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
我对班固米的评分很失望，这一季拍的很碎，有着很强的不连续感，水平较1、2季明显下滑，评分绝不应该超过第一二季，当然一二季评分也明显偏低，尤其是第二季，我认为第二季仅次于最终季和3part2，也是几近完美。巨人在最终季part2的ep.80，也就是地鸣发动的前后，这是一道分割线，之后的巨人故事我就看不懂了,8,力荐,2026-3-28 23:02,再也不喝可乐了,217300,进击的巨人 第三季,97,8.3,123part2part2ep80,123part2part2ep80
不过政变的部分也是谏山创野心的初显现//wit你改编了个啥，不过本作看点并非前半段的“政变”而是最后几集对肯尼的塑造，“所有人都是某种事物的奴隶”这句话贯彻始终，也是补全艾伦的一个伏笔,7,推荐,2026-3-27 20:44,ELPsyCuCumBer,217300,进击的巨人 第三季,97,8.3,wit“”“”,wit “ ” “ ”
在第一季的热血战斗、第二季的悬疑之后，迎来了第三季 Part 1 的政治斗争——也确实展现了谏山创的创作能力，什么都能写。「攘外必先安内」，从情节合完善性以及叙事节奏上都必须有的一季，也是在为 Part 2 的爆发做了铺垫。可政治斗争戏码本身，即使放眼ACG界可能已经相当优秀，但以我对本作的预期来讲，还是有些乏善可陈、略显儿戏了（似乎有动画删减过多的原因）。最好将其视为纯粹的文戏季度，毕竟中间几集呈现了本作迄今为止观感最差的动作戏，连画面表现都很平庸。世界观的真相推进了不少，虽然几乎都在狂抛设定，缺失了 S1 那种徐徐展开的流畅感。对肯尼这个传奇角色的塑造，以及意味深长的亡语，是 S3P1 最具看点的地方。结尾大战将至的欢声笑语暗藏了一种悲壮，角色们越开心，我便越揪心一分。故事向着最高峰一去不返，就看 S3P2 是否足够震撼了，已有此预感，令人期待。,7,推荐,2026-3-26 22:13,Whatasiger,217300,进击的巨人 第三季,97,8.3,Part 1  Part 2 ACG S1  S3P1  S3P2,Part 1 Part 2 ACG S1 S3P1 S3P2
这一季的制作非常顶级。兵长vs肯尼（即兵长运镜名场面、立体机动装置的高光时刻，运镜天花板，4分钟烧1800万日元）；超巨型奇形种；新政府，女王登基。,10,超神作,2026-3-26 00:11,浮梦,217300,进击的巨人 第三季,97,8.3,vs41800,vs41800
依旧精彩，op和ed也是，关于希斯托利亚和艾伦的两首歌非常好，尤其是最后的ed中穿插的片段，让人对后面的剧情反转充满期待。,9,神作,2026-3-19 17:34,Hanged,217300,进击的巨人 第三季,97,8.3,opeded,opeded
"音乐建议听前两季的。(个人觉得音乐不如前两季)
  毕竟是过渡篇章，情节紧承前两季，画风虽然说换了一家社，但幸好画面问题不大(听说是原班人马)，剧情方面开始抛问题，引发观众去猜想，巧妙的设置悬疑加上接连不断的疑团，很吸引观众往下看。虽然说part2比 1 更好看(ー_ー)!!",9,神作,2026-2-18 15:35,博丽神社的巫女大人,217300,进击的巨人 第三季,97,8.3,part2 1,part2 1
虽说也有政变一段挺难绷的情节，不过好在不长。本季在接近真相时对节奏的处理和回忆桥段抒情的把控都恰到好处。特别提一嘴音乐副歌部分在剧情高潮情节当中还是扮演了一个相当不错的角色，可你拿这些曲目随便remix一下变变奏就直接放到抒情桥段真有点那啥…,7,推荐,2026-2-4 22:16,死鸦. 梅尔菲斯,217300,进击的巨人 第三季,97,8.3,remix,remix
"2019-05-06 看完
旁观者巨人文戏巅峰。但我还是忍不住要骂，这OP画的什么几把。感觉你妈的这一季连人设都换了。江原康之的立体机动镜头画得比今井有文好看，S1E11艾伦三笠比S3E2的兵长更有立体机动的感觉。",8,力荐,2026-1-7 14:26,躁动的U型锁,217300,进击的巨人 第三季,97,8.3,"20190506 
OPS1E11S3E2",20190506 OPS1E11S3E2
ep7神回——“婴孩切断了与神相连的脐带，决心以丑陋的、短暂的、痛苦的——人的模样——降生于世。”,8,力荐,2025-11-19 19:14,OrangeCat_Bangumi,217300,进击的巨人 第三季,97,8.3,ep7“”,ep7 “ ”
"2025年11月13日回顾。//《进击的巨人》从第三季开始才真正有一种”史诗”得感觉，准确来说是第三季part2。part1的优秀之处在于极佳得动作戏（如中央宪兵追击兵长、雷斯家族地下的战斗戏）以及er48《旁观者》，这一话的“不是特别的就不行吗”，“毕竟他可是生在这个世界了”，这句话不仅对艾伦来说是一种压力的解脱，对屏幕之外的不甘平凡却又无能为力处处碰壁的观众来说，亦是一种解脱。除此之外是剧情的跌宕起伏与世界观的徐徐展开，至今仍记得当年第一次看时的震撼。part1的问题还是在于“政治”部分有些突兀，尤其是兵团政变和希斯特里亚加冕女王。
另外，从第三季开始画风有了很大变化，更加接近漫画，但我还是更喜欢第一季和第二季那种粗线条的描边，更有特色、张力。",8,力荐,2025-11-13 00:31,Arthar Artoria,217300,进击的巨人 第三季,97,8.3,20251113””part2part1er48“”“”part1“”,20251113 ” ” part2part1er48 “ ” “ ” part1 “ ”
王政篇就不只是打巨人了，而是更多的政治阴谋、人性博弈，毕竟与人斗其乐无穷。从女王切入展开的王室血统线索开始展开，女王的挣扎、矛盾和转变、决绝表现得极好，角色描绘满分。//ep12也是相当有意思，夺还作战前夜，一切都是那么的慷慨激昂，就像登雪山一样，仿佛下一会儿就冲顶成功了//在神ed神插入的加持下，ep11堪称封神，什么才是伟大？不是特别的就不行吗？甘于平凡就算失败的话，这我也不认可//政变太水了。//战斗画面仍是顶级，立体机动下的冷热兵器交战也别有一番风味...,10,超神作,2025-11-12 21:41,ryza,217300,进击的巨人 第三季,97,8.3,ep12edep11,ep12edep11
part1-2一起看的，质量保持，前段调查兵团和人形兵器团的高速战斗真的爽得爆批，后段夺墙的战斗相较于第二季稍为逊色但也很不错了，高光时刻和震撼片段都不少；这一季大体世界观终于清晰了，期待第四季如何表现吧（虽然早已听闻烂尾，但仍想亲自见证）,9,神作,2025-11-11 15:58,nocedjames,217300,进击的巨人 第三季,97,8.3,part12,part12
"文戏感染力非常强大，结合上声优的表演适时响起的BGM，能调动起每个观众的情绪。叙事实在是太密集了，这信息量都能给别的动画拍两季的量了，感慨已经很少有这种恨不得每集都信息量拉满但又充实的作品了。
S3的怒涛展开，伏笔回收，并在最后将气氛推至下季那最大的期待点上，厉害。
话又说回来，这人类内斗的把戏老实说很无聊，不好看，全靠制作和氛围塑造撑起来，前中期看的我厌蠢症要犯了。可能是整部巨人中最无感的一场戏。
巨人大部分篇章都是优秀的，这其中绝不包括王政篇。",7,推荐,2025-11-3 00:52,loili赛高,217300,进击的巨人 第三季,97,8.3,"BGM
S3",BGM S3
手绘立体机动装置动画惊为天人，对part1的最大印象就是这段动画,10,超神作,2025-10-17 08:43,Mint,217300,进击的巨人 第三季,97,8.3,part1,part1
“不是特别的就不行吗？我不这么认为哦，至少这孩子不需要变得多伟大”。叙事节奏较前两季有所放缓，视角从墙外探索转回墙内纷争。“希斯塔利亚对命运的反抗”成为S3P1的主干，愈发宏大、愈发复杂的设定也让巨人的世界观发生质变。文戏比重显著增加但打戏水准依旧精湛，今井绘制的“兵长巷战”大概是10年代最高水准的“类马戏”作画。以基斯教官的回忆为主线的EP48《傍観者》无疑是本季最佳单集，先用寥寥数笔勾勒出平凡之人面对时代洪流时的无奈，再以“母亲”之口道出超越仇恨、灾难、战争的“人间大爱”——即便二刷，卡露拉那句“你看他多可爱啊，这孩子已经很伟大了，毕竟他可是出生到这世上了呀”所蕴含的力量，依然令我动容。肯尼临终所言“所有人都是某种事物的奴隶”不仅暗示了巨人结局的走向，也昭示着被各方势力裹挟的艾伦耶格尔的唯一选择——“进击”。,7,推荐,2025-10-14 22:24,稻香蠘歌,217300,进击的巨人 第三季,97,8.3,“”“”S3P1“”10“”EP48“”“”“”“”“”,“ ” “ ” S3P1 “ ” 10 “ ” EP48 “ ” “ ” “ ” “ ” “ ”
jsc，政治戏不会写就别瞎jb扯，跟个小孩子过家家似的,6,还行,2025-10-3 19:15,Z_spike_sq,217300,进击的巨人 第三季,97,8.3,jscjb,jscjb
最后一集ED吓哭孩子了，很难想象当时追番的孩子等得是如何抓耳挠腮2333霸权社也太坏了。肯尼大叔与王室之间的情感，金毛小女王的口碑在这一季应该开始暴涨了吧，以前的盲从到现在的自主思考也算是完全成长了。再就是艾伦和训练营团长还有艾伦爸这两代人的情谊也看的心里酸酸的。从来就不是对某个人单独的刻画，不是哪个人的成长史，也不只是只有友情和亲情。不过part2才是重头戏啊啊啊,9,神作,2025-9-24 16:19,isshiki_i,217300,进击的巨人 第三季,97,8.3,ED2333part2,ED2333part2
kami！TwT,9,神作,2025-8-24 00:36,hnzero,217300,进击的巨人 第三季,97,8.3,kamiTwT,kamiTwT
滑向血缘论的一季。但是该怎么说，我好像突然领悟了巨人世界观里有某种默认的私欲/公共福祉的二元对立（总统和团长的马车对话），以及每个角色的“平凡性”都被定义为欠缺统治/公共利益的觉悟的自利者（连前两季展现过强烈克里斯玛的团长最终某种程度也只是执着于童年从父亲那里继承的“真相”罢了）。在“王之力”存在的背景下，故事最终沦为一种悲剧的讽刺性结局突然就合理了（但这是读者/观众期待的吗？）。或许这也是我始终没办法跟这个故事产生共鸣的原因之一吧。 | 笑死，这个政变我完全看不懂，一个非政教合一的高度军事化国家的权力中心竟然不是一开始就是军事最高领导人（aka大总统），也太奇怪了吧。于是看到王政派要抢艾伦的时候我的内心：谁当初把艾伦给调查军团的 => 大总统 => 大总统人呢 => 大总统带兵出现推翻了王政，我：在演三小。,6,还行,2025-8-20 23:54,NgNgNg,217300,进击的巨人 第三季,97,8.3,“”“”“”  aka,“ ” “ ” “ ” aka
S3的文戏感觉比1和2还强，个人认为最动人的还是艾伦老妈的那句话：“他已经很伟大了，毕竟他可是成功来到了这个世界。”,0,未评分,2025-8-10 17:58,FireFeather,217300,进击的巨人 第三季,97,8.3,S312“”,S312 “ ”
