content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
"这二位每天不断发生的日常是多少人梦寐以求的幻想中的恋爱，每个暧昧期的故事都堪称不敢去想象能发生在现实中的奇迹。
emo了，校园恋爱，没经历过只见过的校园事件，只存在于文学作品的描述中，不敢去想象自己置身于其中的场景啊。市川跟山田的日常真的太甜了，让人羡慕。
看完我心危很难不去回想我自己的“恋爱”故事，回想起来，小学的那一段时光甚至有点像是青春版的我心危呢，哎，14岁小学毕业，都十多年过去了，那会真的是无忧无虑的幸福生活啊，每天跟自己喜欢的女生玩，放了学可以去她家里打双人游戏，快到饭点的时候小心翼翼地离开生怕遇到对方家长，遇到了也只敢小心翼翼地说叔叔好然后红着脸走开。甚至被她跟她闺蜜同时在意似乎还间接导致她俩绝交。谁能想到我居然还经历过这样有趣又青春感的故事，现在像是死人一样了啊，我在干嘛呢？
感谢我心危让我回想起那段让人回忆起来就感到幸福经历。",9,神作,2026-3-16 22:27,Skemper,441795,我心里危险的东西 第二季,99,8.3,"emo
“”14",emo “ ” 14
2026/3/6 可惜夜op太好了 作画也不错耶 #3这个幻想京太郎真的太鬼畜了 #5山田确实递了很多机会 但是最后的关键一步总是市川主动鼓起勇气的 而不仅仅是在等待 这也许就是足够成为主角的原因吧 喜欢和爱一定不是占有 反而是明明有强烈的独占欲却要克服自己的独占欲 希望对方能开心能够成为理想中的自己 整个生命更加充盈完善 她只需要做她自己就好了 因为我喜欢的就是她在人群里面闪闪发光的样子啊 若非如此 内向的我也不会能够接触到她 那是只有我自己一个人绝对给不了她的东西 就算这样之后不在我身边也无所谓 #6 其实我觉得这种角色导致不自信的就是外形容貌啦 站到人前面就会想 它会不会觉得我很矮啊 好难克服 即兴演讲进步斐然 #也许是因为很细腻吧 明明没有什么刻意的情节 但是关系在缓慢地推进 作者很有功力 动画节奏也很好 分镜演出稍微差了点,8,力荐,2026-3-8 23:41,012606,441795,我心里危险的东西 第二季,99,8.3,202636 op  3 5              6,202636 op 3 5 6
应该是我心里双主角模式下的最佳恋爱番了…我对发糖作品从来都是意兴阑珊，而我心危反而让我看得津津有味。各种意义上都很棒，无比细腻又写出了十足的青春感，山田的刻画真是相当出彩。每个篇章几乎都是有作用的而不是纯粹的发糖，配角们也在有限的出场时间里刻画出了特色。//男主的很多情境下的思考与感悟都是我曾经有过的，所以给我带来了很深的共鸣，当然与此同时……我也老了。//EP11-13真是让我喜欢得不行。,9,神作,2026-3-6 11:06,仿生纱,441795,我心里危险的东西 第二季,99,8.3,EP1113,EP1113
披着恋爱番的外皮谈论阴角青春的成长番。成长的路上能遇到属于自己的soulmate 就是奇迹。救赎与成长的故事,10,超神作,2026-2-24 23:40,Murasame6996,441795,我心里危险的东西 第二季,99,8.3,soulmate,soulmate
ep13演出做得很棒！本番中二阴暗娇羞(?)男主+(装)傻开朗天然女主的互补人设十分讨喜，而男主面对女主的汹涌(攻势)时丰富的内心ps和虾头情节承包了恋爱喜剧一大元素。“媚宅”和尬点更显青春期的真实，而男女主的责任感也让人真心为其关系所牵动。如果说第一季的亮点在于在固定视角下两人关系丝滑而张弛有度的推进，那本季就是对男主成长弧光的聚焦了。诸如制巧克力、演讲“神回”等等，男主在一次又一次自损“脑子有问题”后的选择都不是退缩。他在与女主的关系发展中真切地改变了自己的阴沉，而不变的是像第一季ep1结尾扔车的“莽劲”，是困难险阻前永不变质的诚心。从这里来看，ep13的表白也就更富内涵了。不过这真的是初中生吗？,8,力荐,2026-2-14 03:26,zmdayo,441795,我心里危险的东西 第二季,99,8.3,ep13ps“”“”“”ep1“”ep13,ep13ps “ ” “ ” “ ” ep1 “ ” ep13
"完美还原稚嫩的少男少女之间的感情，甜甜甜//这集真神了，AB两个part都对上了。两人互相关心，情绪的转移，迸发出的爱已不可抵挡，我心危塑造人物心里转变一绝啊//ep23,这集对和哥们的关系作了一个收尾，比较中二但是情绪转变塑造一如既往的优秀，看完没有觉得很违和，大家也希望哥们也有一个好的cp塑造啊//ep24,这剧情铺陈与情绪转变太神了！//完美完结，男主这情商与细心，完美表白，多么纯洁的感情啊，明白了为何番剧爱写与学生时代的恋心，这就是人类为何歌颂初恋啊！",8,力荐,2026-2-10 23:24,一个随便的昵称,441795,我心里危险的东西 第二季,99,8.3,ABpartep23cpep24,ABpartep23cpep24
个人最喜欢的恋爱动画，这一部讲两人关系之间的细腻关系特别好，好多集看下来我嘴角都没下来过，另外，op与ed我都超级喜欢，很好听。很希望会有下一个我心危的出现。说回本部，我心危第二部我认为其堪称恋爱番的顶点，它将男女主之间的关系变化，男女主因为慢慢喜欢上对面所做的一些改变都刻画地极其优秀。看恋爱番不仅要看发糖，更要看为什么发糖怎么发糖，我心危做到了，整部番看下来我嘴角都没落下来过，这就是我想要的看恋爱番所带来的快乐，它给了我所有我想象中的恋爱番该有的甜。最后我还是要说op和ed都超级好听，我甚至更喜欢ed，感觉非常符合我口味。我心危好看!,10,超神作,2026-1-29 18:53,圣园三力,441795,我心里危险的东西 第二季,99,8.3,opedopeded,opedopeded
好看好看 甜甜甜甜甜甜 op ed神了！最最最喜欢的恋爱番了！,9,神作,2026-1-3 18:12,小冉冉冉冉冉,441795,我心里危险的东西 第二季,99,8.3,op ed,op ed
"看的时候I'm like ""这也是你们play的一环吗？！""",7,推荐,2026-1-2 15:53,细小,441795,我心里危险的东西 第二季,99,8.3,Im like play,Im like play
依旧豪华音乐 || 前三集整体的观感比 S1 好了很多，有不少经典桥段但是处理都不错 || ep.3 爱上萌子了怎么办？|| 无法复刻的是穿着校服的放学后约会啊，/ll || 终于像个恋爱番了，但是看的我好尴尬啊啊啊啊 || ep.7 op 神插入 || 卒业演讲 + 留宿回 || 和我抢萌子？和我抢萌子？和我抢萌子？去死吧下头男 /fn || 这个内心独白笑死我了，“最喜欢你的人可是我啊” || 这还能拉扯？ || 这样可爱温柔天然呆的会默默在背后支持你会认真倾听会被你的一言一语所感动会和我一起走出人生阴霾会吃醋会撒娇的杏奈谁能不爱上呢 /ll || ep.11 战斗爽眼前一亮 || ep.13 终究落入俗套但神回，情节、作画、音乐和节奏给人的感觉就是“满足”。这部作品可能不神但无疑优秀 || 爱人是一种成长，碎有言“自己是自己最应该去喜欢的人”,8,力荐,2025-12-18 12:28,起汐,441795,我心里危险的东西 第二季,99,8.3,S1   ep3  ll    ep7 op        fn  “”     ll  ep11   ep13 “”  “”,S1 ep3 ll ep7 op fn “ ” ll ep11 ep13 “ ” “ ”
