content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
童年经典弥补了小时候没看完的遗憾。对主题曲记忆犹新，神曲，忧郁的杀马特黄毛。小火田作品特有的成为神镜头，既有龙傲天的爽点，又有成长型主角的闪光点，时常还夹杂着不俗的笑点，配乐超一流的气氛烘托，角色的塑造也是一绝，台词设计耐人寻味，ed更是神插入。关于sai的身份展开顶级智斗的桥段，一群棋痴疯魔了，精彩。职业考试篇森罗万象，社畜为梦想奋斗的心酸，场外的博弈之哭笑不得的泄压方式，进藤，越智，塔矢三角关系犹如上演了一场缠缠绵绵的韩剧（我再也不会出现在你面前了）ep55.56最期待的俩集史上最强vs现代最强，俩次不欢而散，这次终于没有束缚，见证了超越时空的战斗，送上塔矢的震惊表情。ep70（神回）寻求自我，即使彷徨无助，我们也要结伴而行，奔向未来，这就是成长番独有的魅力。从第一集就已经大致猜到结局，还是难以接受，就像杀老师一样。朴实无华的收尾，那么的感人肺腑,10,超神作,1m ago,戒,605,棋魂,100,8.3,edsaiep5556vsep70,edsaiep5556vsep70
至ep30 搁置中//做得都很完美，不会围棋也能津津有味看下去，音乐非常无敌，特别喜欢每次ed插进来的感觉。但男主塑造看得太心累了，感觉身边所有人都在给他当垫子，，小明这个角色更是被召之即来挥之即去冲着哈气，，但是大家都只会说哎呀男主还是小孩子，，最后sai塑造得真的非常非常非常好....,8,力荐,2026-3-16 20:04,12：22,605,棋魂,100,8.3,ep30 edsai,ep30 edsai
"凌晨两点半 熬夜补完
在真人剧和漫画都那么火的情况下首次接触是动画且无剧透补完很难得
虽然料到了Sai的结局依旧让人眼睛湿湿的
不过平复心情后发现这番气人的时候更多
后期青梅 加贤 围棋社大赛完全没戏份 
Sai和行洋名人一战却是相当精彩 确实比起看小孩下棋更愿意看到佐为
小光也一直有成长并没有全让佐为接手 越来越想独立下棋 
亮和光之间互相追赶的青春羁绊莫名的…好磕？
把棋局内容全部呈现 群像配角塑造好 还有催泪离别戏码都是优点",7,推荐,2026-2-26 02:56,普通人dhj,605,棋魂,100,8.3,"Sai

   
Sai",Sai Sai
"棋魂
剧情（权重0.5)：9
画面（权重0.2)：8.5
音乐（权重0.2)：9
题材（权重0.1)：9.5
加权总分：8.95
bgm评分：9（9.15-8.4)",9,神作,2026-2-24 20:32,雪兔睿睿,605,棋魂,100,8.3,"059
0285
029
0195
895
bgm991584",059 0285 029 0195 895 bgm991584
叙事节奏非常好   情节编排也很恰到好处  完全不会让人感到无聊    对弈时通过配乐去展现棋局的形势  小光的成长线写得尤其好  佐为作为小光的亦师亦友  点明了传承这一主题  佐为消失后  小光从自责 放弃围棋到通过再次下棋领悟到 见到佐为的唯一办法是下棋  这段超级感人   亮和光  一生的劲敌 从亮追光(sai) 到光追亮  这个转变相当自然  本篇虽然是以小光为主视角  但群像戏也相当精彩  伊角 和谷等人的角色塑造同样优秀  最终话   放op1绝杀  群像魅力时刻  每个人都向着未来前进   唯一的缺点就是制作一般  ppt偏多了  但无伤大雅  剧情太优秀了,9,神作,2026-2-24 02:20,啪嗒啪嗒,605,棋魂,100,8.3,sai               op1         ppt,sai op1 ppt
"20260218 这是一轴献给热爱与传承的温柔画卷,于方寸棋盘间铺展千年风骨与少年意气.它不诉喧嚣,不饰浮夸,以黑白对弈为韵,以灵魂相逢为诗,将执念、初心、追逐与告别,藏进每一次落子的沉静里//千年夙愿不曾褪色,少年热忱终迎曙光,那些无声的坚守,炽热的追逐,让棋盘之上不止有客观的胜负,更有堵上未来的羁绊,代代相承的胸襟//它以诗意画执意,以温柔叙成长,将最纯粹的热爱描画得动人心魄.无需跌宕蹒跚,便让人心生感慨;不必矫揉抒情,便让人热泪盈眶//它是藏在黑白经纬里的信仰,是刻进时光深处的少年朝气,是镌刻进时光的永恒赞歌//时隔一周看完,只觉荡气回肠,意犹未尽.当结尾Get Over (Original Mix)响起时,只留下两行清泪.",9,神作,2026-2-18 21:13,雅娜,605,棋魂,100,8.3,20260218 Get Over Original Mix,20260218 Get Over Original Mix
"喜欢。。。亮光99！宿敌99啊啊
sai你好萌呀...萌神降临！",9,神作,2026-2-15 14:13,怪癖小短腿,605,棋魂,100,8.3,"9999
sai",9999 sai
"ep1装了个大笔可太爽了/ep5/原来还是天赋怪/ep14/终于开始摆脱佐为外挂了/ep18/以网络来成全小亮和佐为的全力对决，同时也给了光成长的上限，可以说很妙的设计/变成悬疑片了哈哈，你追我跑/ep19/有个好老师的确非常重要，这是刻意练习不可或缺的一环反馈机制/ep26/无形装逼最为致命~说的就是你小光，用着外挂还要超绝不经意泄出来/ep36/光又开始嘴贱了/ep42/这几集互相搞心态笑死了/ep47/终于要开始最刺激的阶段了，古代最强对现代最强/ep48/全部跑来看sai下棋笑死了/ep53/光这说话确实太没方寸，现实中不要学哦会得罪人的/ep63/有些东西失去了才懂得珍惜,这也是sai给小光上的最后一课/ep75完结撒花/高开高走平收，爽点基本围绕光的谜团展开有些可惜，后期看腻了/有大量真围棋教学，可以说爱好者必看了//7/8/7",7,推荐,2025-12-21 17:23,答辩鉴赏大师,605,棋魂,100,8.3,ep1ep5ep14ep18ep19ep26ep36ep42ep47ep48saiep53ep63saiep75787,ep1ep5ep14ep18ep19ep26ep36ep42ep47ep48saiep53ep63saiep75787
"那些令我们感到悲惨的日子，依然萦绕于心，不过我们并非独自一人，因有你相伴！
原来想见你的方法，就是下棋啊！

还有绪方老师喝醉那集，绪方老师追逐了“神之一手”和sai的影子那么久，但当真相以最意外、最不可能的方式降临在他面前时，他却处于无法真正“确认”和“铭记”的状态。醉意模糊了现实与梦境的边界，让这场命中注定的对弈笼罩在一种巨大的恍惚和宿命感中。多么残酷，这是永远的错过！这一场过于真实的梦，心中莫名汹涌的、巨大的失落，空洞，如梦似幻，也转瞬即逝",10,超神作,2025-12-4 22:04,秋猫上树,605,棋魂,100,8.3,“”sai“”“”,“ ” sai “ ” “ ”
被塔矢亮的美貌引诱进来，没想到连性格都那么合我胃口，简直名场面制造机。亮光99！看来不是我脱腐了，而是新时代作品普遍实在难嗑。作者绝对是腐女，这俩gay得要是跟女人恋爱结婚，完全是坑害别家姑娘。可惜我完全不懂围棋，损失不少乐趣，只能观赏情节和角色互动。可惜女性角色的质和量都远远不如男性配角，完全无法通过女权审查。佐为消失相关片段建议关弹幕，两人沟通拧巴、弹幕的过量哭丧和掐架令人烦躁；听说佐为消失后收视率暴跌、集英社收到海量投诉，可能漫画腰斩也与此有关，啧，角色功成身退、促成迭代有那么难理解吗？准备补漫画,8,力荐,2025-11-24 20:36,常夜,605,棋魂,100,8.3,99gay,99gay
