content,rate,rate_label,time,user_name,subject_id,anime_title,clean_content,segmented
看了Mygo就不得不吃的史。人物全是货真价实的精神病，最后一集的大转变更是令人昏厥。三分全部给歌好听。看Mygo的爆典至少会觉得好笑，母鸡卡的爆让我的血压一集更比一集高。,3,差,1d 20h ago,狗头鸵鸟,454684,颂乐人偶,MygoMygo,MygoMygo
【D】补标，大烂尾时代的又一力作。炒作、热度与噱头，充分践行着剧内人的“商业化”乐队进阶方针，在此基础上不断毁灭Mygo里那些令人坚信的事物。独具形式感的演出，歌唱所带来的情感力量，以及角色言语间隙所产生的另一种联结，在Ave Mujica里我宁可希望它们能荡然无存，但是不，柿本广大最终将这些手段彻底背离成它们曾经所代表的反面（喜欢我人格分裂、家族财阀、近亲伦理、悼明小团体、烤羊时刻与独角小剧场的点子吗），也顺带把前作一同拉下水（刻骨铭心烂作的必备项）。最后一集好歹能聚焦于纯粹的舞台演奏，在自我催眠的前提下总算能收获一些本应值得双向奔赴的狂欢。,1,不忍直视,2026-4-30 16:27,思路乐悲,454684,颂乐人偶,D“”MygoAve Mujica,D “ ” MygoAve Mujica
柿本根本就不懂AveMujica，比较失望吧,4,较差,2026-4-28 22:25,迷你大锅饭,454684,颂乐人偶,AveMujica,AveMujica
要是能穿越回24年底第一件事就是把想追mujica的自己的手打断,4,较差,2026-4-25 08:46,1232,454684,颂乐人偶,24mujica,24mujica
平心而论啊，不去考虑逻辑，就作为一个乐子番来说演出效果还是挺好的。烂番也有高低贵贱，怎么说都不该跟京吹3坐一桌，毕竟一个看着恶心，一个看着乐笑了。//收回前言，第十回看反胃了，虽说商业作品多少都含有媚俗的成分，但像这样一部纯粹为了媚俗而生的作品也是商业作中的神人了，就像是吃了全是调味料的预制菜，一点食材都没有，纯是味精。要说最近有什么作品能匹敌本作的kitsch程度，我觉得只有狒狒食肆7.0了。,3,差,2026-4-22 23:06,Multidimensional,454684,颂乐人偶,3kitsch70,3kitsch70
這導演可以把MYGO!!!!!努力經營了人物設定，用個3集就可以全部毀面了唷。導演的小腦袋可不可以不要干涉綾奈由仁子老師。請換我綾奈由仁子老師,1,不忍直视,2026-4-20 21:39,Balance_Boy,454684,颂乐人偶,MYGO3,MYGO3
烧脑大作+爆点拉满+音乐这块给上最高评价，特别喜欢Imprisoned XII。/看到去年看了一半躺电脑里就补了，认真来讲不知道怎么说这个作品，就是不知道好在哪里也不知道烂在哪里，可能就是中期后期叙事和定位混乱了吧，人设被为了制造爆点带着走的感觉。/总结，我不无聊就OK了,5,不过不失,2026-4-18 18:51,未来永远,454684,颂乐人偶,Imprisoned XIIOK,Imprisoned XIIOK
saki酱orz,4,较差,2026-4-18 10:05,绵绵,454684,颂乐人偶,sakiorz,sakiorz
对于当年刚看完mygo，一集一集追着看mujica的人毋庸置疑是一次巨大的背刺，不推荐任何喜欢mygo的观众观看,2,很差,2026-4-16 17:56,老板夹菜我转桌,454684,颂乐人偶,mygomujicamygo,mygomujicamygo
或许是史上野心最大的tv动画，20000+的评分数，以及史上最高集均评论数也证明了它有多吸睛,10,超神作,2026-4-15 08:21,12345,454684,颂乐人偶,tv20000,tv20000
