content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @悠穹绝 :老兄，你知道fgo2.3么？,2019-08-02 01:41:36,65,0,鬼夜阴月,5,1,1608918,1,英灵召唤,Fate/Zero 第一季,fgo23,fgo23
回复 @ShishenWhy :尺子哪里来的冠位呀……,2019-08-18 19:59:28,26,0,金石胶漆,6,1,1608918,1,英灵召唤,Fate/Zero 第一季,ShishenWhy,ShishenWhy
回复 @48592839337_bili :他情人节的礼物是不死药，说实话找他把科技资料，人造人技术(给自已弄了个仙人身体)在彷徨海这整出啥不意外,2019-08-22 19:43:24,46,0,灵武道,6,1,1608918,1,英灵召唤,Fate/Zero 第一季,48592839337bili,48592839337bili
因为开始分集了，以前的都是每一集公用一个评论区hhhhh,2021-12-05 20:32:35,344,0,账号已注销,0,1,421840575,2,虚假的战争,Fate/Zero 第一季,hhhhh,hhhhh
回复 @zhcnhan :[笑哭]但是弹幕还是以前的 时间轴甚至有部分对不上,2021-12-26 12:23:49,90,0,事柠檬叶,6,1,421840575,2,虚假的战争,Fate/Zero 第一季,zhcnhan,zhcnhan
回复 @Colognetampo :只要不是无脑塔塔开现在都算深奥,2026-01-21 22:58:06,0,0,水宫艾,5,1,421840575,2,虚假的战争,Fate/Zero 第一季,Colognetampo,Colognetampo
“要造反啊”（指UBW线）,2022-01-11 12:22:15,61,0,账号已注销,0,1,421840575,2,虚假的战争,Fate/Zero 第一季,“”UBW,“ ” UBW
这里就看得出fz和fsn对呆毛的塑造有区别,2024-12-26 21:58:29,75,4,口罩man,6,0,719299921,3,冬木之地,Fate/Zero 第一季,fzfsn,fzfsn
fsn的呆毛性格可以用一句话概括，“她首先是一个王，然后才是骑士”,2025-01-02 16:50:38,66,0,Noooooovice,6,1,719299921,3,冬木之地,Fate/Zero 第一季,fsn“”,fsn “ ”
回复 @喵淼缪妙 :并非改变，都多久了，蘑菇自己早就说了是虚渊玄自己给saber人设写偏了,2026-03-17 15:01:50,1,0,神秘地雷女,6,1,719299921,3,冬木之地,Fate/Zero 第一季,saber,saber
继续第三集的简单科普：Servent的职阶会赋予从者自身不具备的能力，Archer职阶则提供了名为单独行动的能力，能让Servent自身存储更多的魔力，失去Master也能靠这多出来的魔力独立行动更久或是发动宝具。也因为吉尔伽美什的单独行动等级为A，可以离开Master的魔力提供单独行动一周，所以时臣常常掌握不了他的位置，他则在这个时间里在街上闲逛。Assassin之所以能有复数，是依靠了代号为“百貌”的哈桑的宝具“妄想幻想”，这个哈桑活着时是一个多重人格，在切换人格时肉体外貌也会变化，具备的知识、使用的语言、肉体习惯也会改变，因此十分适合暗杀。成为英灵后这个超能力升华成了宝具，能让每一个人格分裂出独立的个体，最多拥有80个，每一个Assassin都具备气息折断的能力，但是由于每一个分身都只能分得本体的1/80的能力值，所以个体非常弱小，到了常态化的战斗性Master也能一战的水平。而这次在时臣的策划下，成功利用其中一个人格的表演，让其他人认为Assassin已经退场，然后暗中监视其他所有敌人，收集情报。,2021-11-24 10:49:41,3053,14,灰白颜色,6,0,719299921,3,冬木之地,Fate/Zero 第一季,ServentArcherServentMasterAMasterAssassin“”“”80Assassin180MasterAssassin,ServentArcherServentMasterAMasterAssassin “ ” “ ” 80Assassin180MasterAssassin
