content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @nekopanchi :徐伦：就不能看着栅栏的钢管么,2019-11-30 15:44:48,1336,0,agent黄,6,1,75958759,1,侵略者迪奥,JOJO的奇妙冒险,nekopanchi,nekopanchi
回复 @agent黄 :看到了那个看守[doge],2019-12-01 00:07:53,117,0,我永远爱空条徐伦,5,1,75958759,1,侵略者迪奥,JOJO的奇妙冒险,agent,agent
回复 @FFF团咸鱼x1 :又到了乔尼被CUE的日常,2019-12-01 10:17:03,18,0,风中之呢喃,6,1,75958759,1,侵略者迪奥,JOJO的奇妙冒险,FFFx1 CUE,FFFx1 CUE
回复 @nekopanchi :“来吧，普奇神父！”,2019-12-01 10:36:05,23,0,风中之呢喃,6,1,75958759,1,侵略者迪奥,JOJO的奇妙冒险,nekopanchi “”,nekopanchi “ ”
回复 @agent黄 :草hhhhhhhhhhhhhhhhh,2019-12-01 12:33:39,1,0,瓶瓶软木塞,6,1,75958759,1,侵略者迪奥,JOJO的奇妙冒险,agent hhhhhhhhhhhhhhhhh,agent hhhhhhhhhhhhhhhhh
回复 @agent黄 :回复 @agent黄 会近视,2019-12-02 22:10:03,0,0,鸡2020,5,1,75958759,1,侵略者迪奥,JOJO的奇妙冒险,agent  agent,agent agent
回复 @SummeR微凉_ :仗助在这呢？,2022-01-28 22:22:44,12,0,锦鲤promax5,6,1,891851196,2,来自过去的书信,JOJO的奇妙冒险,SummeR,SummeR
DIO，这个男人一生强运:在他121年的生命中，有100年在棺材里，剩下的时间中有13年备受欺凌。[tv_doge],2021-11-27 20:57:20,7762,29,轻枕_海棠,6,0,251832484,3,与迪奥度过的青春,JOJO的奇妙冒险,DIO12110013,DIO12110013
wryyyyyyy,2022-01-29 20:31:32,3,0,FlameWingman,5,1,251832484,3,与迪奥度过的青春,JOJO的奇妙冒险,wryyyyyyy,wryyyyyyy
回复 @Axt2005 :那个时候箭没做出来恩雅婆婆都没有,2022-04-12 23:06:57,14,0,嗜血的派大星,6,1,251832484,3,与迪奥度过的青春,JOJO的奇妙冒险,Axt2005,Axt2005
回复 @Axt2005 :有世界的迪奥也只能和jo级生物夜间互殴，毕竟卡兹无论如何都是不死的，到了白天迪奥就只能跑了，第三部承太郎能赢，毕竟不怕太阳……迪奥除非能克服太阳不然是赢不了的，承太郎还能一直压制的着卡兹然后慢慢想办法把卡兹送上太空，但是迪奥怕太阳的弱点让他不能打败卡兹……虽然替身能力超越全部生物世界能压着卡兹打但是怎么办也杀不死卡兹的……,2022-06-15 07:15:41,51,0,歌剧诗,5,1,251832484,3,与迪奥度过的青春,JOJO的奇妙冒险,Axt2005 jo,Axt2005 jo
回复 @xoahdf :承太郎也够呛,2022-06-19 09:34:55,5,0,朝比奈樱雪,5,1,251832484,3,与迪奥度过的青春,JOJO的奇妙冒险,xoahdf,xoahdf
回复 @bili_38796114946 :超越天堂是达到心中所想的真实，根本设定上无需触碰，只要一想就能达到真实,2023-01-25 04:50:51,3,0,账号已注销,0,1,251832484,3,与迪奥度过的青春,JOJO的奇妙冒险,bili38796114946,bili38796114946
Ko no dio da[tv_坏笑],2021-12-02 18:17:40,95,0,身手胜极易,6,1,591770614,4,波纹疾走,JOJO的奇妙冒险,Ko no dio da,Ko no dio da
回复 @bili_507676850 :只要不是真人，她都叫动画片[doge],2022-01-19 21:17:33,42,0,你是来问路的吗_,6,1,721783213,5,黑暗的骑士们,JOJO的奇妙冒险,bili507676850,bili507676850
"请问人体电压是多少伏呢(   )
A.0.2V
B.0.02V
C.0.07V
D.0.01V",2022-09-02 21:16:29,19,0,扮猪吃hu,6,1,721783213,5,黑暗的骑士们,JOJO的奇妙冒险,"A02V
B002V
C007V
D001V",A02V B002V C007V D001V
回复 @Sunny-北晨 :我的评价是，老实人,2022-03-06 13:34:39,6,0,猫与梓,6,1,294313733,6,明天的勇气,JOJO的奇妙冒险,Sunny,Sunny
回复 @星星数字 :@虹层BLUE @啊拔啊拔 @wxhjdtbxhw,2024-03-23 14:22:09,3,0,元气压把发,5,1,764326683,7,继承者,JOJO的奇妙冒险,BLUE  wxhjdtbxhw,BLUE wxhjdtbxhw
回复 @LOALFHLFHUL :?什么意思,2021-12-05 21:46:58,16,0,51c馒头,6,1,676759691,9,最后的波纹!,JOJO的奇妙冒险,LOALFHLFHUL,LOALFHLFHUL
史特雷不喜欢作恶，他只是单纯追求青春和活下去，只要确定JOJO是威胁，他就不惜一切去杀死JOJO。同样的，他可以不惜一切去试探JOJO不是威胁。,2022-12-10 20:42:59,148,0,账号已注销,0,1,549353760,11,游戏高手,JOJO的奇妙冒险,JOJOJOJOJOJO,JOJOJOJOJOJO
回复 @bili_511247244 :因为他无敌的外孙叫他老东西[doge],2022-06-08 17:27:45,26,0,狮心神泣,6,1,421823240,12,柱之男,JOJO的奇妙冒险,bili511247244,bili511247244
回复 @犇犇Rachel :荒木没有洗法西斯的立场[OK],2022-08-16 23:00:00,64,0,爱的框森特,5,1,251851616,13,JoJo vs. 终极生物,JOJO的奇妙冒险,Rachel,Rachel
冷知识：二乔飞机上看那本漫画书原来是超人的，动画组改成了荒木老师另一部比JOJO更早的作品《巴欧来访者》，里面的改造人巴欧是被一只军国主义下的医疗团队制造的，就是恶名昭彰的731部队，从荒木老师的其他作品（包括JOJO）都能看出他坚定的反战思想，这在日本可是禁忌，只因为JOJO大火，即使有知晓真正历史的日本新人也不敢碰这个话题,2023-06-25 18:52:26,70,0,账号已注销,0,1,251851616,13,JoJo vs. 终极生物,JOJO的奇妙冒险,JOJO731JOJOJOJO,JOJO731JOJOJOJO
"我发现每集都有人说这个实力问题，不知道是真的有相关设定还是怎么的。但是好多人说大乔傻是单靠蛮力取胜，二乔是纯靠运气/智力，这个我觉得也太过了。大乔三次对上迪奥哪次没靠自己的应变力，溺水的时候潜向湖底，点手套破冷冻法不都是凭他的聪明和坚毅为自己和队友赢得生机？都被选择性无视了？说二乔只靠智力没实力，这说法也挺无赖的。先不说智力算不算实力的一部分，智力是在战斗中起了决定性的作用，但他是自己战场C又不是指挥官，智谋奏效也得建立在自身体术耐力过硬的基础上啊。。。新手打一吸血鬼加四柱男够地狱难度了，哪场不是搏命啊，合着非要他直接莽上去把人打成灰才叫有实力[藏狐]。
本来每个JOJO都是智勇双全型的，而且这个系列每个人发挥在不同部甚至同一部都有时不均衡，比较起来意义不是很大，不过每个人心里多半还是有自己的主观标准。但是非说谁只靠蛮力还是只靠运气，那也太云了。",2021-12-06 05:37:28,8000,31,金鱼茶,6,0,421831044,14,来自太古的终极战士,JOJO的奇妙冒险,"C
JOJO",C JOJO
回复 @bili_89613146955 :大乔生活的时代在第一次工业革命那里。2乔是第二次工业革命。中间差了那么多年，肯定出现了其他更多的东西。,2022-09-17 00:42:40,57,0,走神的卤蛋,5,1,421831044,14,来自太古的终极战士,JOJO的奇妙冒险,bili89613146955 2,bili89613146955 2
回复 @黑洞热流ciao :第一次工业革命是18世纪，大乔是19世纪。第二次工业革命是20世纪初，二乔是1938～1939年,2023-01-10 12:12:18,8,0,厉害的工具箱world,3,1,421831044,14,来自太古的终极战士,JOJO的奇妙冒险,ciao 18192019381939,ciao 18192019381939
其实好像还蛮甜的，后面瓦姆乌又不是说或许我徘徊了一万年之久，就是为了与你相遇吗？jojo，还是第一个和jojo“结婚”的人[热词系列_知识增加],2022-02-27 14:05:52,162,0,m小姐的灵魂剧场,4,1,379256579,15,主角的资格,JOJO的奇妙冒险,jojojojo“”,jojojojo “ ”
回复 @Hao_China :二乔,2022-04-18 21:40:47,11,0,cifnfhdld,5,1,379256579,15,主角的资格,JOJO的奇妙冒险,HaoChina,HaoChina
回复 @cifnfhdld :哦哦我知道了，谢谢！不过叫二乔老东西就只是因为他五十岁了吗？[笑哭],2022-04-18 22:58:32,9,0,账号已注销,0,1,379256579,15,主角的资格,JOJO的奇妙冒险,cifnfhdld,cifnfhdld
回复 @ddDdDdddDcdd : 可能新冠没了,2025-03-01 21:44:09,2,0,卡吕冬之子派派,5,1,676873121,16,波纹教师莉莎莉莎,JOJO的奇妙冒险,ddDdDdddDcdd,ddDdDdddDcdd
回复 @钟老爷子O :为啥JOJO用细丝的时候要缠在死去的代理师傅手上？,2022-04-05 14:53:29,6,0,SHHSSHHS加油,5,1,676752545,17,深布陷阱!,JOJO的奇妙冒险,O JOJO,O JOJO
回复 @16408120966_bili :他喜欢花难道就要把它摘下来让他闻一闻？,2021-12-27 08:50:10,131,0,东阁筋骨剑弓射,6,1,506805992,19,向死亡的悬崖疾冲,JOJO的奇妙冒险,16408120966bili,16408120966bili
回复 @麻雀Miranda :对啊,2022-02-19 20:26:43,19,0,粉翠海鸥的僵尸s,5,1,506805992,19,向死亡的悬崖疾冲,JOJO的奇妙冒险,Miranda,Miranda
回复 @Rock_Paranoia :听他们说是翻译出错了,2022-05-19 11:21:18,95,0,菜博博,5,1,251838233,20,西撒的孤独青春,JOJO的奇妙冒险,RockParanoia,RockParanoia
回复 @Rock_Paranoia :泡泡是音译成中文并润色的，原句无义，但是“鸽子”确实有,2023-03-25 17:27:14,187,0,水银-去意义化,6,1,251838233,20,西撒的孤独青春,JOJO的奇妙冒险,RockParanoia “”,RockParanoia “ ”
"西撒用最后的波纹，换回了JOJO接下来毫无顾虑的战斗，此刻二乔的心得是有多疼啊，他迄今都很后悔为什么会对西撒说出那些话，甚至没来得及对他说一句“对不起”
西——撒——!让我送给你崇高的敬意!你不仅仅是一位出色的战士，更是让JOJO引以为豪的挚友!",2021-11-27 20:31:11,5511,16,陆王主义者,6,0,251838233,20,西撒的孤独青春,JOJO的奇妙冒险,"JOJO“”
JOJO",JOJO “ ” JOJO
