content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
c said(^_se k,2025-06-14 19:49:00,0,0,要好运哟,6,1,77031527,1,被恶灵附身的男人,JOJO的奇妙冒险 星尘远征军,c saidse k,c saidse k
回复 @adxhd :因为jo家人世世代代都是绅士,2021-12-04 18:09:06,15,0,TheGUOKui,6,1,209251429,2,由谁进行制裁!?,JOJO的奇妙冒险 星尘远征军,adxhd jo,adxhd jo
那个时候还不知道lisalisa 是他妈，可以原谅,2021-12-06 15:13:01,266,0,高岭之柏,5,1,251849295,3,迪奥的诅咒,JOJO的奇妙冒险 星尘远征军,lisalisa,lisalisa
回复 @Taeyeonbutterfly :不剧透，只能说珍惜现在这个战斗力在巅峰阿强[拥抱],2021-12-04 14:31:10,59,0,炸薯不蘸酱,6,1,421788190,4,灰色之塔,JOJO的奇妙冒险 星尘远征军,Taeyeonbutterfly,Taeyeonbutterfly
"空条承太郎
       LV6
白金打印机  已解锁
 流星指刺     已解锁
白金吸尘器  15级解锁",2021-11-25 10:07:00,9405,22,HIGHThight,6,0,336781941,6,暗蓝之月,JOJO的奇妙冒险 星尘远征军,"LV6
  
      
  15",LV6 15
回复 @theVirgil :哈哈哈哈哈哈哈哈,2022-02-10 15:46:41,8,0,账号已注销,0,1,721760618,7,力量,JOJO的奇妙冒险 星尘远征军,theVirgil,theVirgil
回复 @imdhj :他可以咬烂波波的盔甲，某种意义上来说还是很强的[doge][doge],2021-12-28 13:51:52,76,0,有只猫的不加,6,1,806822586,8,恶魔,JOJO的奇妙冒险 星尘远征军,imdhj,imdhj
回复 @climax巅峰 :你刀我,2022-12-19 02:56:12,4,0,帅哥加天才一枚,5,1,634294380,11,皇帝与倒吊人 其二,JOJO的奇妙冒险 星尘远征军,climax,climax
回复 @Goalltheway随性而为 :真的，搜2000版OVA，巨好看大美人儿,2021-12-19 20:25:16,280,0,CafeVD,6,1,764295817,14,正义 其一,JOJO的奇妙冒险 星尘远征军,Goalltheway 2000OVA,Goalltheway 2000OVA
回复 @Goalltheway随性而为 :是真的,2021-12-27 23:54:29,17,0,逍遥子喵QAQ,6,1,764295817,14,正义 其一,JOJO的奇妙冒险 星尘远征军,Goalltheway,Goalltheway
回复 @CafeVD :什么，还有旧版jojo的吗？,2022-01-01 15:53:34,25,0,一只豸辞,6,1,764295817,14,正义 其一,JOJO的奇妙冒险 星尘远征军,CafeVD jojo,CafeVD jojo
回复 @CafeVD :在哪看（好奇）,2022-01-01 18:49:16,13,0,一只豸辞,6,1,764295817,14,正义 其一,JOJO的奇妙冒险 星尘远征军,CafeVD,CafeVD
帅爆了[Cat2_Boom!],2021-12-03 22:16:56,163,0,正在吸收日月精华,6,1,506794672,15,正义 其二,JOJO的奇妙冒险 星尘远征军,Cat2Boom,Cat2Boom
回复 @吉良jo吉影 :那个时候经常推JOJO的燃剪，我是好奇心过强。。。入坑的[歪嘴],2022-01-04 16:54:25,2,0,水渚肉片,6,1,506794672,15,正义 其二,JOJO的奇妙冒险 星尘远征军,jo JOJO,jo JOJO
回復 @2287539648 :第二部op结尾翻译是紧握于手 和紧握手手很像就看错了[脱单doge]（,2022-08-28 16:23:57,15,0,SLIP杏崎,6,1,976798636,16,恋人 其一,JOJO的奇妙冒险 星尘远征军,2287539648 op,2287539648 op
回复 @2287539648 :紧握手手是第2季op里面的，第2季op最后一句是紧握于手,2022-09-24 21:39:00,2,0,勿忘我不是一枝花,6,1,976798636,16,恋人 其一,JOJO的奇妙冒险 星尘远征军,2287539648 2op2op,2287539648 2op2op
回复 @fgsdxgfdg :啊，确实,2021-12-06 13:16:33,93,0,メイハウ,6,1,591805050,18,太阳,JOJO的奇妙冒险 星尘远征军,fgsdxgfdg,fgsdxgfdg
回复 @LVLittlEPa :哈哈,2022-02-28 23:24:11,13,0,高墙之下,5,1,506770990,19,死神13 其一,JOJO的奇妙冒险 星尘远征军,LVLittlEPa,LVLittlEPa
还有p5的mona猫猫,2023-03-26 23:47:07,9,0,正义之太阳骑士,6,1,506770990,19,死神13 其一,JOJO的奇妙冒险 星尘远征军,p5mona,p5mona
确实，看一遍担心一遍，但是又有点小期待（bushi[热词系列_知识增加],2021-12-06 02:31:20,146,0,Aladdin_Insane,6,1,764313634,20,死神13 其二,JOJO的奇妙冒险 星尘远征军,bushi,bushi
回复 @Wry课 :雀食，都prpr过原材料了,2021-12-16 20:51:53,523,0,梅讶雪,6,1,764313634,20,死神13 其二,JOJO的奇妙冒险 星尘远征军,Wry prpr,Wry prpr
回复 @梅讶雪 :原来波波已经tian了吗 我看阿强出场打断 以为他不用t了[保卫萝卜_哭哭][跪了],2023-01-07 23:23:16,15,0,香凛羽悠,6,1,764313634,20,死神13 其二,JOJO的奇妙冒险 星尘远征军,tian  t,tian t
回复 @CaydeUnit :6,2023-07-21 13:29:32,0,0,-冰岛热咖啡-,6,1,764313634,20,死神13 其二,JOJO的奇妙冒险 星尘远征军,CaydeUnit 6,CaydeUnit 6
