content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
你需要吸点纯氧冷静点[Cat2_Pinch!!],2021-12-01 17:12:21,178,0,天落玄,6,1,677076951,1,石之海,JOJO的奇妙冒险 石之海,Cat2Pinch,Cat2Pinch
神父：pardon？,2021-12-01 17:31:09,126,0,你懂我要说什么jpg,6,1,722058241,2,石之自由,JOJO的奇妙冒险 石之海,pardon,pardon
回复 @AntennaBaby :虫箭作用不一样，觉醒的是觉醒的，镇魂曲是镇魂曲,2021-12-01 21:44:24,13,0,东天不夏羽,5,1,379538329,3,会见人 其一,JOJO的奇妙冒险 石之海,AntennaBaby,AntennaBaby
乔家命运debufff来了也得大削,2021-12-01 21:51:23,1491,0,灰兔子--小栗帽,6,1,337052833,5,爱的囚徒,JOJO的奇妙冒险 石之海,debufff,debufff
回复 @坏孩子の天空 :写过jo4之后荒木自己也在反思命运究竟能不能被打破，于是就有了丧心病狂的5跟6,2021-12-01 22:14:31,765,0,我的荡漾紫长直,6,1,337052833,5,爱的囚徒,JOJO的奇妙冒险 石之海,jo456,jo456
回复 @坏孩子の天空 :设定上jojo家的命运就是帮神父上天堂，建议喷荒木：画了六部jojo了，还信命运呢,2021-12-01 22:36:23,199,0,mchfje,5,1,337052833,5,爱的囚徒,JOJO的奇妙冒险 石之海,jojojojo,jojojojo
带孔乙己就行 用act1在神父心里数合数(doge,2021-12-01 22:59:54,74,0,acland坤,6,1,337052833,5,爱的囚徒,JOJO的奇妙冒险 石之海,act1doge,act1doge
回复 @ChloeWell :懂了，监狱是给替身养蛊用的[doge],2021-12-02 13:46:41,736,0,这就是Hera,6,1,422032456,6,艾梅斯的贴纸,JOJO的奇妙冒险 石之海,ChloeWell,ChloeWell
回复 @鄙人不擅打狙 :hhhhhh,2021-12-02 14:16:26,5,0,佩可莉姆゛,6,1,422032456,6,艾梅斯的贴纸,JOJO的奇妙冒险 石之海,hhhhhh,hhhhhh
回复 @浮光TheHistory :淦我也是准备复习期中考的来着[脱单doge],2021-12-02 12:44:18,5,0,十里香victoria,6,1,379582468,7,有六个人！,JOJO的奇妙冒险 石之海,TheHistory,TheHistory
回复 @02最愛のdarling :谢谢，我英雄,2021-12-04 16:56:12,1,0,还不吃饭尼玛,6,1,379582468,7,有六个人！,JOJO的奇妙冒险 石之海,02darling,02darling
回复 @暗影猎手ShadowHunter :石之自由=隐者之紫+白金之星,2021-12-02 05:38:15,106,0,井盖只会心疼giegie,6,1,764514882,11,野人花园行动（向中庭进发!） 其二,JOJO的奇妙冒险 石之海,ShadowHunter,ShadowHunter
回复 @暗影猎手ShadowHunter :石之自由=隐者之紫+白金之星 所以6乔等于2乔+3乔 2乔的智慧加3乔的无敌,2021-12-02 05:40:25,844,0,井盖只会心疼giegie,6,1,764514882,11,野人花园行动（向中庭进发!） 其二,JOJO的奇妙冒险 石之海,ShadowHunter  623 23,ShadowHunter 623 23
回复 @井盖只会心疼giegie :不应该是2×3么[doge],2021-12-02 09:04:40,78,0,Cx330丶灬,6,1,764514882,11,野人花园行动（向中庭进发!） 其二,JOJO的奇妙冒险 石之海,giegie 23,giegie 23
回复 @暗影猎手ShadowHunter :JOJO都是智斗,2021-12-02 10:14:59,24,0,圣地守护者-停滞圣权,6,1,764514882,11,野人花园行动（向中庭进发!） 其二,JOJO的奇妙冒险 石之海,ShadowHunter JOJO,ShadowHunter JOJO
确实，特别是被c moon来了一拳的时候,2021-12-02 13:04:01,7,0,魔法少女狗子,6,1,764514882,11,野人花园行动（向中庭进发!） 其二,JOJO的奇妙冒险 石之海,c moon,c moon
回复 @暗影猎手ShadowHunter :从第二部开始就几乎全是智斗了，尤其第三部，阿强(大决战之前)只有力速双A，明明三页就能欧拉完，但是每个敌人都打了一到两集，主要还是拼脑子。个人感觉第三部最好看的两集是赌徒达比那地方。,2021-12-02 13:45:30,66,0,英格兰小黄毛迪奥,6,1,764514882,11,野人花园行动（向中庭进发!） 其二,JOJO的奇妙冒险 石之海,ShadowHunter A,ShadowHunter A
c-moon也有，不过比较呆,2021-12-01 21:14:17,937,0,不知名屑哔咔,6,1,719510863,12,集中暴雨警报发布,JOJO的奇妙冒险 石之海,cmoon,cmoon
s  h   i   t,2021-12-01 22:25:40,65,0,穿黄衣的husta,6,1,719510863,12,集中暴雨警报发布,JOJO的奇妙冒险 石之海,s  h   i   t,s h i t
我觉得ff的蜉蝣更类似于hp姐的替身能力，钢链手指更像把物体接回原处，而ff和hp姐的能力是把原本空失的寻求新的替代品（本身具备生命性），钢链和疯钻是恢复原处，而黄体则是赋予生命后再做替代,2022-09-02 10:22:46,24,0,你一定想要圆圆的东西,6,1,560025200,14,爱与复仇之吻 其二,JOJO的奇妙冒险 石之海,ffhpffhp,ffhpffhp
"第六部：君王有君王的领域，厨师有厨师的舞台，［替身也一样，没有强弱的概念］
第三部：太慢了，太慢了，The world是最强的替身[doge]",2022-09-01 17:00:01,8940,39,晴天で离殇,6,0,472550312,15,严密戒备禁闭牢房,JOJO的奇妙冒险 石之海,The world,The world
回复 @夏官明渊Official :是这么个感觉,2022-09-01 19:53:02,5,0,在不可及处,5,1,472550312,15,严密戒备禁闭牢房,JOJO的奇妙冒险 石之海,Official,Official
jojo里面救场的情况一般存在于准备结局，jo4的决战就是jojo一次经典团战,2022-09-04 16:27:33,82,0,高低贵贱尬,6,1,557527198,16,狱警伍斯伍德的秘密,JOJO的奇妙冒险 石之海,jojojo4jojo,jojojo4jojo
对jojo来说，救场就是ooc[doge],2022-09-18 15:10:23,22,0,也读拜,6,1,557527198,16,狱警伍斯伍德的秘密,JOJO的奇妙冒险 石之海,jojoooc,jojoooc
回复 @薄暮与科学巫术与RT :旦亚:勿cue,2022-09-23 22:39:54,2,0,我要赤绝活染惜,6,1,557527198,16,狱警伍斯伍德的秘密,JOJO的奇妙冒险 石之海,RT cue,RT cue
回复 @ZzzzzSX_ :有444喽，米斯达狂喜[妙啊][妙啊][妙啊][妙啊][打call],2022-09-06 13:26:21,5,0,互联网拥有记忆,5,1,302634038,19,「绿色」的诞生,JOJO的奇妙冒险 石之海,ZzzzzSX 444,ZzzzzSX 444
回复 @tennychen :确实不高他们又不缺钱[doge],2022-09-06 19:03:03,59,0,风剑语,5,1,560136202,20,F.F 目击者,JOJO的奇妙冒险 石之海,tennychen,tennychen
