content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"回复 @筒井光 :Eoh三乔:就算你是我祖先我也不会客气，我要揍你。大乔:大家都是好孩子呐。
DIO:切(JOJO怎么得出这个结论的)",2018-11-01 12:58:33,267,0,好大米干饭把子肉,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风,"Eoh
DIOJOJO",Eoh DIOJOJO
回复 @99787222520_bili :二乔要叫茸茸一声叔叔,2020-01-04 15:37:52,96,0,杋棂,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风,99787222520bili,99787222520bili
这就是黄金精神吗hhhhh[2233娘_卖萌],2020-05-14 23:13:19,3,0,Gloria-LI,6,1,33696108,2,布加拉提到来,JOJO的奇妙冒险 黄金之风,hhhhh,hhhhh
每个JOJO都是这样，绝对不会伤害无辜的人（第三部jo太郎暴打酒馆平民除外）,2020-02-28 14:16:48,30,0,可爱阿诺酱,6,1,34175464,3,前往会见监狱中的黑帮,JOJO的奇妙冒险 黄金之风,JOJOjo,JOJOjo
回复 @Rm-智慧树 :44444444,2020-02-09 17:16:43,9,0,bili_364284270,5,1,34649760,4,黑帮入门,JOJO的奇妙冒险 黄金之风,Rm 44444444,Rm 44444444
回复 @峰峰的第玖碗rice :米四达讨厌4[脱单doge],2022-08-14 10:25:58,2,0,月见爱弥斯,6,1,34649760,4,黑帮入门,JOJO的奇妙冒险 黄金之风,rice 4,rice 4
出现了！JOJO的其妙比喻！！！wryyyyyyyy,2018-10-27 10:00:09,32,0,苇名城铁匠,6,1,34649760,4,黑帮入门,JOJO的奇妙冒险 黄金之风,JOJOwryyyyyyyy,JOJOwryyyyyyyy
hhhhhhhhh,2019-12-31 10:16:55,3,0,で爲靈願獨ぐ,6,1,35134199,5,目标是波尔波的遗产！,JOJO的奇妙冒险 黄金之风,hhhhhhhhh,hhhhhhhhh
hxd，4444个赞，牛b啊,2021-06-16 21:40:46,0,0,抽象带师常仔,6,1,35134199,5,目标是波尔波的遗产！,JOJO的奇妙冒险 黄金之风,hxd4444b,hxd4444b
回复 @就叫一一了咯 :yes I am,2021-06-23 15:18:41,1,0,HIGHThight,6,1,35134199,5,目标是波尔波的遗产！,JOJO的奇妙冒险 黄金之风,yes I am,yes I am
