content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @搪瓷starry :有没有把后宫带过来啊[doge][滑稽][doge],2020-08-25 10:20:23,17,0,星之幻梦吖,4,1,2540946,1,终焉与起始,OVERLORD,starry,starry
回复 @搪瓷starry :2022，《异世界舅舅》播出。,2022-07-12 00:58:02,3,0,账号已注销,0,1,2540946,1,终焉与起始,OVERLORD,starry 2022,starry 2022
hhhhhh,2019-01-26 17:45:39,46,0,vcec123,6,1,2540946,1,终焉与起始,OVERLORD,hhhhhh,hhhhhh
回复 @丨foolish丨 :哈哈哈nb,2020-05-28 02:13:58,13,0,qaznht,6,1,2540946,1,终焉与起始,OVERLORD,foolish nb,foolish
回复 @丨foolish丨 :说好不提的啊,2020-06-06 21:43:43,14,0,无情手杀,6,1,2540946,1,终焉与起始,OVERLORD,foolish,foolish
回复 @SilverCrow灬:羞涩中(再多一点也是不介意的(๑• . •๑)),2015-07-21 23:44:32,5,0,见杰思齐,6,1,2606917,3,卡恩村之战,OVERLORD,SilverCrow,SilverCrow
这是我看过最奇特的日本热血番了。去他的，辛苦练级被虐再练级再被虐最后无奈开挂才打赢。老子就是一开始100级到新手村来虐菜，先装B，装完B站着让你们这群菜B打，还不掉血，最后一招秒掉，要的就是真酸爽！7月番中个人唯一5星推荐！,2015-07-29 00:44:16,37207,1065,KDJ大师,6,0,2642699,4,死亡支配者,OVERLORD,100BBB75,100BBB75
回复 @FFF枪刑执行官 :61级的细菌没有等级的空气[滑稽],2019-07-19 11:48:54,292,0,九卿X,6,1,2680848,5,两位冒险家,OVERLORD,FFF 61,FFF 61
"作为&amp;lt;&amp;lt;Overlord &amp;gt;&amp;gt;WEB版的翻译, 以及文库版的英文与德文翻译/校对, 请允许鄙人跟大家说一些推心置腹的愚见:

毫无疑问,Overlord 无论在国内还是西方都享有非同小可的人气. 随之而来的也有很多质疑: 这究竟是不是一部披着骷髅外衣的”龙傲天”作品？它的卖点是否在于靠着佛挡杀佛，所向披靡的主角来宣泄观众平时的压力与不满？

答案显而易见，都不是。

诚然，Overlord中与传统美型格格不入的骷髅形象（众人：明明帅呆了）给了很多观众耳目一新的冲击；毫无拖沓但不失华丽的战斗（众人：你想说“碾压”吧）更是充满着酣畅淋漓的快感。但是Overlord 的成功与廉价的“个人带入”与“情感发泄”并无直接关系。该作品的重点并非在于连篇累牍地给我们的“黑暗系”英雄唱赞歌，而是通过他内外的不同视角来展现作品宏大的世界观与复杂的人物设定。有些西方观众曾抱怨动画节奏“太慢”，虽然这点见仁见智；但鄙人认为，Overlord最大的看点之一就是人格魅力满分的角色塑造和细致入微的背景设定，相信只要细心品读，大家都会发现这些埋藏在表面下的闪光点。

其实原作者丸山老师在文库版的后记已说的很明白：“也许评价会很两极，但Overlord的主角并非那种只处理眼前状况或危机的类型，而是为了达成目的主动出击。。。所以，我想把本作品写成比较少见的侵略者角度的故事，而非相对常见的被侵略方的物语。”

这点也可以看出，作者在塑造主人公安兹是费了一番功夫的。某种意义上，他跟“春物”里自持清高，抱着画地为牢的心态在社会中挣扎的大老师有着异曲同工之妙：他们并非寻求带入与认同的空壳，而是引领我们反思的镜子。得益于他的社会人经历，安兹拥有相当的察言观色的能力，但是这也为他埋下了很多不利的种子。由于极端害怕被人讨厌或者唾弃，他必须谨小慎微地维持自己“无上的统治者”形象，然而这也让本性事无巨细的他陷入疲于奔命的窘态。导致自己不得不拼命回报下属的幻想与期待，从而一步步走向充满冷血与霸道，与自己内在判若两人的“邪道”。。。

随着故事慢慢步向高潮，我相信Overlord 会给大家更多的惊喜。这里感谢大家的陪伴。



",2015-08-04 23:14:20,14360,187,留学生BoBo,6,0,2680848,5,两位冒险家,OVERLORD,"ampltampltOverlord ampgtampgtWEB  

Overlord   ””



Overlord“”Overlord “”“”“”“”Overlord

“Overlord”

“”“”“”

Overlord",ampltampltOverlord ampgtampgtWEB Overlord ” ” Overlord “ ” Overlord “ ” “ ” “ ” “ ” Overlord “ Overlord ” “ ” “ ” “ ” Overlord
"这里首先感谢耐心看完的大家。如果有任何纰漏或者语病欢迎指出，毕竟鄙人很小就出国了，语文底子相当薄弱，还烦请大家不要见笑。

另外也不要忘了感谢那些付出辛勤劳动的民间译者。作为他们的一分子，我对那些彻夜爆肝，甚至牺牲自己自由和休息时间的日日月月感同身受。

也感谢科普君的辛勤劳动与大家的精彩吐槽。与你们追番是我的荣幸. 

由于马上要攻读研究生了（MIT的Civil 和Environmental Engineering 专业），所以下一次见面可能就是最终话的完结感言了（跟四谎，路人女主，吹响等一样），届时还请大家捧场。写的目的就是锻炼一下平时很少用到的中文，所以有什么不足请务必提出来，鄙人定会虚心接受。
",2015-08-04 23:15:18,938,0,留学生BoBo,6,1,2680848,5,两位冒险家,OVERLORD,MITCivil Environmental Engineering,MITCivil Environmental Engineering
"回复 @留学生BoBo :MIT高材生……
膜拜一下。
感谢你的翻译。
辛苦了。
（话说总觉得以前见过你？在记录的地平线的评论里）",2015-08-04 23:19:54,333,0,小剑FOX,6,1,2680848,5,两位冒险家,OVERLORD,BoBo MIT,BoBo MIT
"这番的大体剧情:
众人:“xxx是来自哪里的xxx，具有xxxx赋予的xxxx，实在是太强了”
男主:“不排除比自己强的可能”
5分钟后
“哈？”",2018-02-02 16:15:44,5448,16,sch123a,6,0,2759386,7,森林贤王,OVERLORD,"“xxxxxxxxxxxxxx”
“”
5
“”",“ xxxxxxxxxxxxxx ” “ ” 5 “ ”
回复 @o-O-o-oO-o :毕竟他只是一个辅助 是他们工会战斗力最弱的一个,2021-06-06 23:24:55,8,0,JACT青雨,5,1,2759386,7,森林贤王,OVERLORD,oOooOo,oOooOo
回复 @JACT青雨 :第9,2021-07-25 05:11:35,11,0,账号已注销,0,1,2759386,7,森林贤王,OVERLORD,JACT 9,JACT 9
回复 @ZRY1:有那么反感么´&amp;lt;_`,2015-09-02 20:22:19,28,0,汪汪队投大稿,6,1,2846101,9,漆黑的剑士,OVERLORD,ZRY1amplt,ZRY1amplt
"回复 @The Planet Uranus :娜贝（对着某人类）：恶心的低等生物（蟑螂），给我闭上你的嘴，信不信我用勺子把你的眼珠挖出来
恐怖公：才没有被伤到呢……才没有……",2015-09-03 22:19:58,75,0,魂5ODLI,6,1,2846101,9,漆黑的剑士,OVERLORD,The Planet Uranus,The Planet Uranus
"回复 @vxzykvdyb:他的头像6666
我快笑死了",2015-09-08 20:03:44,4,0,拔丝月饼,6,1,2846101,9,漆黑的剑士,OVERLORD,vxzykvdyb6666,vxzykvdyb6666
"63级战斗女仆 VS 30级死灵法师&amp;amp;骨龙
100级死之王 VS 30级女盗贼

死灵法师：你知道什么是强者吗
战斗女仆：我只知道你是虫子
女盗贼：不拿出全力，你就死定了
死之王：我绝不会出全力，你放心好了

那么问题来了：到底谁在装逼？",2015-09-02 02:38:40,2831,26,松岡梨沙,6,0,2846101,9,漆黑的剑士,OVERLORD,"63 VS 30ampamp
100 VS 30",63 VS 30ampamp 100 VS 30
