content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @冷树树 :hhhh，这个pia我给满分,2018-01-16 11:46:26,622,0,桃桃小海獭,6,1,18138224,1,绝望序幕,OVERLORD Ⅱ,hhhhpia,hhhhpia
"针对本话的情节，我们整理了一些动画中没有详细提及的设定，在此列出，以帮助大家观看和理解剧情。
Q：我现在有点搞不清方位，蜥蜴人的具体位置在哪？主角安兹所在的大坟墓离它很近吗？
A：先说下安兹的纳萨力克大坟墓的位置。在东边的巴哈斯帝国和西边的里•耶斯提杰王国之间有一座界山，名叫安杰利西亚山脉。位于其南端山麓有一片广大森林，名叫都武大森林。其附近有一座小村落，即第一季安兹在这个异世界初登场的卡恩村，另外安兹的纳萨力克大坟墓也在都武大森林附近。

   而在都武大森林以北，有一座方圆约有二十平方公里、分成上下两个部分的湖泊。下方湖泊的南端有一大片湖泊与湿地交杂的地方，蜥蜴人聚落就位于此。

   在第一话，安兹差遣守护者亚乌菈前往都武大森林建立新的据点作为诱敌的假大坟墓和物资储备基地，而不论是这个假基地，还是真的纳萨力克大坟墓，都离蜥蜴人聚落非常近。
Q：我现在有点搞不清方位，蜥蜴人的具体位置在哪？主角安兹所在的大坟墓离它很近吗？
A：先说下安兹的纳萨力克大坟墓的位置。在东边的巴哈斯帝国和西边的里•耶斯提杰王国之间有一座界山，名叫安杰利西亚山脉。位于其南端山麓有一片广大森林，名叫都武大森林。其附近有一座小村落，即第一季安兹在这个异世界初登场的卡恩村，另外安兹的纳萨力克大坟墓也在都武大森林附近。

   而在都武大森林以北，有一座方圆约有二十平方公里、分成上下两个部分的湖泊。下方湖泊的南端有一大片湖泊与湿地交杂的地方，蜥蜴人聚落就位于此。

   在第一话，安兹差遣守护者亚乌菈前往都武大森林建立新的据点作为诱敌的假大坟墓和物资储备基地，而不论是这个假基地，还是真的纳萨力克大坟墓，都离蜥蜴人聚落非常近。",2018-01-16 23:38:48,1147,0,默识科普君,6,1,18377609,2,启程,OVERLORD Ⅱ,"Q
A

   

   
Q
A",Q A Q A
哇...昨天被同学拉去打dota2了来晚了....,2018-01-17 21:53:27,11,0,空の柠檬茶杯,6,1,18377609,2,启程,OVERLORD Ⅱ,dota2,dota2
回复 @MintMango :天机不可泄露，大概第3、4话，你就知道它的厉害了,2018-01-18 18:35:11,11,0,默识科普君,6,1,18377609,2,启程,OVERLORD Ⅱ,MintMango 34,MintMango 34
"安兹·乌尔·恭，即是骨傲天，一位深谋远虑的伟大意志、志在天下的无上至尊，世界臣服在他的王座前，万年之国委身于他的庇护下。本史官经过反复琢磨，终于给这位前无古人后无来者的万魔之王征服世界的宏伟计划列出表格。
计划一共分成四步：
1.	与空气斗智斗勇；
2.	与鶸土著尔虞我诈；
3.	与低等异族勾心斗角；
4.	与自家NPC决战紫禁之巅。
不愧是安滋大人，如此谨慎、如此聪慧、如此贤明、如此谋略，不论何等智谋之士都看不穿安滋大人深渊般的思绪。
迪米，等下，我写的不好吗，为什么要拉我去造羊皮纸(ﾟДﾟ≡ﾟдﾟ)!?",2018-01-16 23:10:38,41601,795,红发色魔阿豆鲁,6,0,18377609,2,启程,OVERLORD Ⅱ,"1	
2	
3	
4	NPC",1 2 3 4 NPC
回复 @CGmax:对，我也不理解,2018-01-16 23:30:09,269,0,YXGStrange3,6,1,18377609,2,启程,OVERLORD Ⅱ,CGmax,CGmax
回复 @CGmax:小说到现在唯一有难度的战斗就是单挑夏9了,2018-01-16 23:31:09,606,0,挠挠888,6,1,18377609,2,启程,OVERLORD Ⅱ,CGmax9,CGmax9
回复 @euhc:哈哈，热评倒无所谓啦，这个作品确实个人非常喜欢，希望少一点对这个作品的误解，我多发几遍就好2333,2018-01-24 00:26:20,193,0,夏夏夏夏夏敖,6,1,18640220,3,集结、蜥蜴人,OVERLORD Ⅱ,euhc2333,euhc2333
回复 @FREEDOMの云 :走你，上热评,2018-01-24 13:25:21,0,0,泽中无水,6,1,18640220,3,集结、蜥蜴人,OVERLORD Ⅱ,FREEDOM,FREEDOM
回复 @Edwiy:活了，后来还训练仓助来着,2018-01-24 01:04:34,0,0,西园寺々,6,1,18640220,3,集结、蜥蜴人,OVERLORD Ⅱ,Edwiy,Edwiy
回复 @夜猫君丶:你TM笑死我了233,2018-02-07 01:20:20,13,0,苍蓝色的悸动,6,1,19227831,5,冰结武神,OVERLORD Ⅱ,TM233,TM233
回复 @发狂的big :这就是那些人可以ky的理由？呵呵。影响观感的弹幕真的是多。,2018-02-14 09:16:14,22,0,柿叶ye,6,1,19551518,6,拯救者与被拯救者,OVERLORD Ⅱ,big ky,big ky
"回复 @cuidashi8:哇，扎心了，我真不知道这手机客户端如何在消息里恢复评论。还是在热门评论里翻到最下面才能回复的。
其实上不上去都无所谓啦，热评的科普君实至名归",2018-02-21 00:14:34,82,0,霓光w,6,1,19822555,7,苍蔷薇,OVERLORD Ⅱ,cuidashi8,cuidashi8
回复 @镜面Lelouch :那辛苦你了,2018-02-21 00:17:45,2,0,cuidashi8,6,1,19822555,7,苍蔷薇,OVERLORD Ⅱ,Lelouch,Lelouch
回复 @Scorpio丶天蝎 :“靡靡之音”吗？,2018-02-28 10:36:03,6,0,kerten,6,1,20141782,8,少年的想法,OVERLORD Ⅱ,Scorpio “”,Scorpio “ ”
回复 @morhen :道出了正解的人反而没有坚持这个推论，最后和真相失之交臂了(´･_･`)。,2018-03-07 22:28:06,126,0,嗣熏,6,1,20445253,9,飞舞的火星,OVERLORD Ⅱ,morhen,morhen
ID好评，刚补完eva，嗣薰党+1  （￣▽￣）,2018-03-08 22:58:12,5,0,自己喜欢的才是最好的,6,1,20445253,9,飞舞的火星,OVERLORD Ⅱ,IDeva1,IDeva1
回复 @wtkst :(°∀°)ﾉ,2018-03-09 00:41:54,2,0,嗣熏,6,1,20445253,9,飞舞的火星,OVERLORD Ⅱ,wtkst,wtkst
回复 @甜到爆炸的柠檬君:对！哈哈哈哈，但是第一反应就是“卧槽，我是不是哪里做的不好？是不是没有猜到安兹大人的本意？是不是影响大人的计划了？”real耿直了,2018-03-20 23:44:47,545,0,酒喵喵呀,6,1,21015831,11,亚达巴奥,OVERLORD Ⅱ,“”real,“ ” real
回复 @我是Niko喵y :安兹还很害怕小迪发现自己其实并没有那么聪明而背叛，这主忠二人的心理真是非常有趣,2018-03-20 23:47:25,884,0,辰砂kaylf,6,1,21015831,11,亚达巴奥,OVERLORD Ⅱ,Nikoy,Nikoy
回复 @我是Niko喵y:对于属下体贴的想法，安滋只想说，我只是个公务员而已，别这样对我2333,2018-03-20 23:47:36,134,0,我想成为一里小姐的狗,6,1,21015831,11,亚达巴奥,OVERLORD Ⅱ,Nikoy2333,Nikoy2333
回复 @sintancoscot:骨头是作为冒险者过来打八指的 然后途中看到有人打起来就来了  结果发现是小迪。。。 骨头不知道小迪在做啥方的要死,2018-03-21 00:26:14,125,0,33I58,6,1,21015831,11,亚达巴奥,OVERLORD Ⅱ,sintancoscot,sintancoscot
一家人就好整整齐齐 hhhhhhhhhh,2018-03-28 04:04:20,28,0,畸形的鸭梨,6,1,21302594,12,动乱最终决战,OVERLORD Ⅱ,hhhhhhhhhh,hhhhhhhhhh
六臂众人: I&#39;m fine 法克 you.(ノ｀⊿´)ノ,2018-03-28 04:45:24,17,0,恶面i,6,1,21302594,12,动乱最终决战,OVERLORD Ⅱ,I39m fine  you,I39m fine you
回复 @夜月AyueBA :那就是夏提雅，不追是因为迪米乌哥斯特地嘱咐了她们不要杀史莱克,2020-02-19 17:16:18,171,0,立直一发全部交代,6,1,21595634,13,最强至上的王牌,OVERLORD Ⅱ,AyueBA,AyueBA
回复 @果子poison :谁知道人家怎么想的，自己想要更多就要，有什么必要去让别人跟自己一样,2020-05-05 03:48:11,7,0,゚瀨名紫阳花,6,1,21595634,13,最强至上的王牌,OVERLORD Ⅱ,poison,poison
回复 @哇哈hahahah:,2018-04-04 07:45:35,4,0,Holyminder,6,1,21595634,13,最强至上的王牌,OVERLORD Ⅱ,hahahah,hahahah
