content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
belike视奸,2025-01-23 11:06:38,7,0,复星fixing,4,1,286113704,2,旋律的…圣调理人,中二病也要谈恋爱！,belike,belike
回复 @ArceidTVT :声优一样，再加上建模相似,2026-04-02 11:14:42,0,0,星奏星音星之声,6,1,968611756,3,异端的…双马尾 ,中二病也要谈恋爱！,ArceidTVT,ArceidTVT
"1、欧尼酱你有洞 
2、结尾有正片 
3、一色真男人
4、结尾彩蛋 
5、吃饭 睡觉 打六花 
6、我叫正片 
7、邪王真眼是最强的！ 
8、五十八秒六花洗脑转手指 
9、一分零九秒六花洗脑抖屁股 
10、请选择您的英雄 
11、I wanna 啵 非凡～ 
12、我叫彩蛋 
13、崩坏吧现实！爆裂吧精神！放逐吧这个世界！
14、漆黑烈焰使是仅次于邪王真眼的存在
15、被漆黑的烈焰吞噬吧！
16、A1高闪来一个好吗秋梨膏！
17、老板换显卡
18、丹妈操碎了心
19、好听吗？好听就是好头
20、亲，币，懂？
纪念亿下逝去的青春[拥抱]",2020-06-21 21:19:03,5573,22,彭格列之初,6,0,968611756,3,异端的…双马尾 ,中二病也要谈恋爱！,"1 
2 
3
4 
5   
6 
7 
8 
9 
10 
11I wanna   
12 
13
14
15
16A1
17
18
19
20",1 2 3 4 5 6 7 8 9 10 11I wanna 12 13 14 15 16A1 17 18 19 20
谁会看这么尴尬的番啊death,2023-04-18 21:14:59,0,0,不显山不露腿,5,1,753505705,4,可恨的…黑暗圣典,中二病也要谈恋爱！,death,death
回复 @17287445429_bili :超 好不容易忘了[大哭],2023-01-28 21:48:46,1,0,伍佰柒拾陆,5,1,541111336,7,追忆的…失乐园,中二病也要谈恋爱！,17287445429bili,17287445429bili
回复 @Important-person :你头像,2020-11-29 08:14:26,0,0,墨水源冰,6,1,541111336,7,追忆的…失乐园,中二病也要谈恋爱！,Importantperson,Importantperson
回复 @colo-r3217 :唉,2023-04-29 15:42:45,2,0,AAA彩黑头子冰川日菜,5,1,201078068,8,仅属于两人的…逃避之旅,中二病也要谈恋爱！,color3217,color3217
"每次回顾老番到中二病时，总是笑着笑着突然无法欺骗自己其实我只是拿二次元当做一种逃避，逃避困难，逃避交流，逃避现实。
我不是天才，也不够努力，没有足够的能力。

我也想像勇太那样潇洒的&#34;从中二病中毕业&#34;，但又害怕会像六花那样消失了搞不清楚的东西，其实我可能根本没能力自律，也无法不去逃避，我只能在看到第十集矛盾最激烈的时候时，趁着情绪，关上夜灯，把头捂进被子里，告诉自己&#34;为了后天的期末考试你要拼尽全力&#34;。

我很少发言，甚至没有名称，但我永远喜欢中二病。
我只希望有一天，我回来能完整的看完时，不是因为逃避。

夜已深
不多言
陌生人
祝好梦

bilibili- ( ゜- ゜)つロ 乾杯~",2020-06-20 04:12:05,15528,143,67856254968_bili,5,0,583547991,10,圣母的…便当盒,中二病也要谈恋爱！,"34343434









bilibili",34343434 bilibili
bilbil干杯！,2020-06-21 12:23:45,6,0,张不禾几,6,1,583547991,10,圣母的…便当盒,中二病也要谈恋爱！,bilbil,bilbil
回复 @作者同学 :是买了 右上都有bilibili独播了 所以画质字幕之类的都全面提升了 是好事,2020-06-19 22:35:03,80,0,Paster牧师,6,1,841108727,11,单翼的…堕天使,中二病也要谈恋爱！,bilibili,bilibili
回复 @Paster牧师 :感觉字幕没原来的好啊[笑哭],2020-06-20 01:22:30,1,0,游手好闲的青达人,6,1,841108727,11,单翼的…堕天使,中二病也要谈恋爱！,Paster,Paster
"一直喜欢丹生谷这个角色，果然丹妈是过来人，丹妈一直在避免同学知道自己的过去，为了销毁“森大人”的巨作“黑暗圣殿”而加入了社团，虽然丹生谷的中二毕业，但是对于六花以及凸守的中二，丹生谷从来没有嘲笑，而是用一个过来人的眼光去对待她们，保持着理解与尊重。而丹妈在剧情中，一直在撮合男女主，也许没有丹妈，勇太和六花很难在一个频道上交流吧。
动漫中（个人理解）凸守早就知道丹生谷就是森大人，但是凸守知道过去的“森大人”再也不会回来（丹生谷在开学时的演讲让凸守很失望），所以才会与丹妈单向“中二联机”（丹妈已经断网了）。
原著没有意思，十分难理解。剧情与原著毫无关联，仅仅是借鉴了原著的人设（京都还是nb啊）	《紫罗兰永恒花园》的原著也是如此，全篇平淡无奇，无用生硬的形容词堆积在一块……
当然每个人的理解不同，观感也不一样。一千个人就有一千个哈姆雷特。
这部番算是我入宅后看的第三部番，也让我彻底喜欢上纯爱。（第一部当然是猿粪的填空）一直喜欢Rikka，一直喜欢中二病，一直喜欢这部番。",2020-06-21 21:16:38,10377,54,B4cchiri_cheese,6,0,926068856,13,闪光的…圣爆诞祭  ,中二病也要谈恋爱！,"“”“”
“”“”
nb	

Rikka",“ ” “ ” “ ” “ ” Rikka
回复 @YXRed :原作就没有学姐和凹守,2020-08-23 21:45:03,121,0,Nibelungen1,6,1,926068856,13,闪光的…圣爆诞祭  ,中二病也要谈恋爱！,YXRed,YXRed
