content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @小米君- :今年不能领了好像，改年费会员折扣了。。。四级满98减25代金券，五级是49代金券，六级是74代金券。。。顺带一提iOS不支持使用代金券emmm,2018-10-09 11:53:20,247,0,maki酱的丈夫,6,1,32836144,1,暴风龙维鲁德拉,关于我转生变成史莱姆这档事,98254974iOSemmm,98254974iOSemmm
回复 @Calendula金盏 :好惨哦,2018-11-26 16:59:05,19,0,柴柴脆骨肠,6,1,33917020,3,哥布林村中的战斗,关于我转生变成史莱姆这档事,Calendula,Calendula
@survival幸存者 无鸡之谈,2018-11-29 21:12:19,26,0,霸王不加茶几,6,1,33917020,3,哥布林村中的战斗,关于我转生变成史莱姆这档事,survival,survival
回复 @bigfishman :我也想到罗德岛战记，经典,2018-10-23 16:57:11,11,0,北国的波塔斯基,6,1,34394751,4,在矮人王国,关于我转生变成史莱姆这档事,bigfishman,bigfishman
回复 @织田YoKiXi :关我碧事(｀・ω・´),2018-10-23 17:00:24,9,0,是禾喵不是禾苗,6,1,34394751,4,在矮人王国,关于我转生变成史莱姆这档事,YoKiXi,YoKiXi
回复 @Forerunner143 :小火汁啊╮(￣▽￣)╭,2018-10-30 10:54:01,3,0,Zircon233,6,1,34879533,5,英雄王加泽尔·多瓦格,关于我转生变成史莱姆这档事,Forerunner143,Forerunner143
"回复 @lisa工房 :矮人王是可以读深层意识的，
只不过矮人王读心的能力是技能独裁者的一部分，
同为xx者的大贤者可以对其进行阻拦，本来是可以完全拦截的，但是大贤者只拦了深层读心。",2018-10-30 11:54:29,181,0,一HeaW一,6,1,34879533,5,英雄王加泽尔·多瓦格,关于我转生变成史莱姆这档事,"lisa 

xx",lisa xx
所以国王的替身是达比的替身吗。YES!YES!YES!YES!YES!,2018-10-30 12:33:56,31,0,疏通肠道,6,1,34879533,5,英雄王加泽尔·多瓦格,关于我转生变成史莱姆这档事,YESYESYESYESYES,YESYESYESYESYES
好像还没有人科普那个“我不是坏史莱姆”的梗，这段话出自勇者斗恶龙，最开始把史莱姆萌化的作品，里面有很多种类的史莱姆，有些蓝色的史莱姆作为npc，会告诉你一些有用的信息，它们的常用句式就是：“哔叽！不要打我呀，我不是坏史莱姆，告诉你一件事，相信我吧！”因为这种史莱姆npc很喜感，这段句式又太经常出现在勇者斗恶龙里，所以只要玩过这个游戏的人都知道,2018-11-06 12:46:11,21650,154,葫芦娃今天的屎健康吗,6,0,35367951,6,静,关于我转生变成史莱姆这档事,“”npc“”npc,“ ” npc “ ” npc
1/144惨案；话说一开始还以为是qb,2018-11-06 21:54:00,70,0,刘包袱,6,1,35367951,6,静,关于我转生变成史莱姆这档事,1144qb,1144qb
正传5、6、7、8、11，外传DQH2都有这个卖萌梗(°∀°)ﾉ,2018-11-06 23:45:31,14,0,Z喵unofficial,6,1,35367951,6,静,关于我转生变成史莱姆这档事,567811DQH2,567811DQH2
回复 @白圈_ :emmm？？怎么看的？？tv里不是说了听同乡说过嘛...,2018-11-07 00:54:29,20,0,花菱りっか,6,1,35367951,6,静,关于我转生变成史莱姆这档事,emmmtv,emmmtv
回复 @R9NR9 :不想剧透，但是我能告诉你后面十分的带感,2018-11-07 12:24:40,0,0,不淡定的乖喵,6,1,35367951,6,静,关于我转生变成史莱姆这档事,R9NR9,R9NR9
回复 @随风321 :天灾级的魔王sama,2018-11-21 12:37:32,2,0,绿色是猪会自爆,6,1,35833132,7,爆炎支配者,关于我转生变成史莱姆这档事,321 sama,321 sama
回复 @16夜逆回 :文库班12卷之前在wenku8可以看，贴吧有个精品贴是第13卷，前两天刚翻好。14卷貌似作者还没写完。急着知道结局可以找一下web版，不过那个只有10卷就完结了，后半段剧情会和文库班差很多。,2018-11-20 03:41:56,94,0,暗黑十字架,6,1,36328570,8,继承的愿望,关于我转生变成史莱姆这档事,16 12wenku81314web10,16 12wenku81314web10
回复 @E1onMusk :6级号骚话就是不一样。,2020-04-01 12:02:15,9,0,ksar激推,5,1,36818011,9,大鬼族的袭击,关于我转生变成史莱姆这档事,E1onMusk 6,E1onMusk 6
回复 @钉钉DuangTalk :但萌王无性[滑稽],2020-08-28 07:43:41,3,0,静尘白羽,6,1,36818011,9,大鬼族的袭击,关于我转生变成史莱姆这档事,DuangTalk,DuangTalk
"欢迎攻打副本〈讨伐猪头帝〉
难度:炼狱
推荐等级:LV99
您的等级:LV9999

是否攻打副本
         〈屠杀〉             〈从善〉

我方周树银抠掉了您的从善键
最后祝您身体健康，再见

来晚了，上不去了(=・ω・=)",2018-12-18 19:03:00,24262,174,老鱼球,6,0,37873347,11,加维鲁登场！,关于我转生变成史莱姆这档事,"LV99
LV9999",LV99 LV9999
回复 @浪Joe :只离开手机30分钟，但却满脸蒙逼的我(▔□▔)/,2018-12-18 19:29:30,36,0,老鱼球,6,1,37873347,11,加维鲁登场！,关于我转生变成史莱姆这档事,Joe 30,Joe 30
"官方公布信息，如下:
第23话( 正篇最终话)
第24话( 外传:黑与假面)
追加角色和声优迪亚波罗CV:樱井孝宏
迪亚波罗 外号:大波萝  原初恶魔  原初之黑
讲述的是静与迪亚波罗相遇的故事
第25话 闲话《维鲁德拉日记》讲述的是傲娇龙的中二的变形记
     科普:萌王吸收完猪头帝，以达到魔王种s-(还弱得很，下集真挂b出来，连弟弟都不如233)
获得技能:
通过与特殊技能【饥饿者】的统合，特殊技能【捕食者】进化为了特殊技能【暴食者】 
特殊技能【暴食者】的能力【捕食、胃袋、拟态、隔离1以及新加入的[腐食、接收、供给】 共七个能力。

      腐食:对对象物进行腐食，赋予腐食效果。生物则腐败，魔物尸体则吸收获得其部分的能力。

      接收:获得影响下的魔物能力。

      供给:对影响下，或有着灵魂连系关系的魔物授予部分能力。这就是新能力的性能。
【胃袋】随着统合后，容量提升了一倍以上
盖鲁特，命名进化成了与猪头帝同格的猪头王。
获得了特殊技能(美食者]。拥有(胃袋、接收、补给] .这三个能力。虽然【接收】和【补给】仅限于同族，不过【胃袋】能供部下的两千人一同使用
猪头族命名后，进化为猪人族(为什么总是向人进化呢？答:因为萌王潜意识原因)
问:些次15万猪头族命名萌王要用多少魔素呢？
答:没用到(个别例外，如盖鲁特)
因为萌王用暴食者捕食了因饥饿者影响下，猪头族c+的魔素，再用来命名，使其进化为猪人族C 
题外话
番外内容(就是中二龙日记)
为什么树妖精作为森林管理者要把盟主之位让给萌王呢？
答:因龙(好骗多拉)消失，树妖精觉得有必要要再找一位作为龙的继承者管理树林，谁让萌王提出成立大同盟的，不找你找谁啊，树妖精早想甩锅了，你却好233(￣_￣ )
这集萌王师兄矮人王登场，差点忘了应该有人会问，为什么伽比鲁都有名了，为什么萌王还能命名？答:腹黑大贤者的锅
我祝给我点赞的站友都是猪

年能找女朋友的人，萌新小小愿望，能行不？( ^ω^)",2019-01-15 00:30:15,22526,597,大家好我叫萌新,6,0,40728086,15,鸠拉森林大同盟,关于我转生变成史莱姆这档事,"23 
24 
CV
     

25 
     sb233

 
1 

      

      

      


 

15

cC 



233",23 24 CV 25 sb233 1 15 cC
回复 @DKaze :同阿，估计和番外差不多，小说就一句带过静和大波罗之关系，补设定吧，也为大波罗与萌王留伏笔吧,2019-01-15 00:38:40,10,0,大家好我叫萌新,6,1,40728086,15,鸠拉森林大同盟,关于我转生变成史莱姆这档事,DKaze,DKaze
回复 @头像coser是谁告诉我 :人家决定一个名称都需要一个星期,2019-01-28 22:41:03,10,0,千灯hs,6,1,41317109,16,魔王米莉姆来袭,关于我转生变成史莱姆这档事,coser,coser
"关于我转生成为史莱姆17话
前情提要：与利姆露签订协议的矮人王，把在多瓦贡无所事事的贝斯塔带了过来做科研人员。魔王米莉姆对利姆露他们产生了兴趣，亲自来朱拉大森林一探究竟。米莉姆和红丸他们发生了摩擦，最后由利姆露塞蜂蜜给米莉姆吃才完事。
关于上一集所删减的：
朱拉大森林的不可侵犯条约：此条约的废除并不是想废除就废除的，但是在场的有四名魔王，想废除就很简单了。
关于米莉姆的出现：其实米莉姆出场没有这么中二啦[2233娘_无言]，原文只说了你是这个城镇最强的，所以来和你打招呼了[2233娘_吐魂]
现在可以公开的情报：
别看米莉姆外表只是一个小孩子，作为龙皇女的她，拥有相当高的智商，明辨万物是非，所以她通常不会经历过程，她会直接用行动彰显答案。所以被其他魔王当成了肌肉笨蛋[2233娘_卖萌]
利姆露的蜂蜜来自于她之前命名的两只虫型魔物，一只叫泽奇恩，另一只叫阿比特。与他们相遇是在探索森林的时候，遇到了奄奄一息的他们，于是就把他们收了下来。等级判定：在命名前由于他们可以击败相当于b级魔物的孤刃虎，所以推测等级为b-b ；命名后可以推测为b -a级。
在盖扎王离开后还有相当多的种族前往利姆露的城市交流。第一个前往的是狗头人的部族。该部族擅长经商，经过许可在利姆露的城市里面取了一席之地来生活。
这一集的话估计就是米莉姆在魔国联邦的生活日常了[蛆音娘_卖萌]
这一次的科普就结束了，有什么问题或者我有什么错误欢迎指正哦[2233娘_耶]，我是喜欢史莱姆的科普君。",2019-01-29 00:30:00,15947,712,凯露桑,6,0,41954051,17,聚集而来之人,关于我转生变成史莱姆这档事,"17






bbb b a",17 bbb b a
666赞get！,2019-02-05 00:56:57,3,0,悠悠蓝的bili1000km,6,1,42635768,18,悄悄接近的恶意,关于我转生变成史莱姆这档事,666get,666get
回复 @金MINGG :不，是姐姐[小电视_害羞],2019-02-12 12:24:04,12,0,时间的初始生命的尽头,6,1,43231921,19,暴风大妖涡,关于我转生变成史莱姆这档事,MINGG,MINGG
"我就是来抢楼的：哦吼 米莉姆~利姆鲁~
米莉姆洗脑：
av42101253 ，av41876107
米莉姆x利姆鲁 （还有亲亲？！）：
av43487354 ， av42302739
恶搞配音，这是另一个番？！：
av43126676 ， av43985467",2019-02-19 00:31:13,54,0,茵陈之末,5,1,43977527,20,优树·神乐坂,关于我转生变成史莱姆这档事,"av42101253 av41876107
x 
av43487354  av42302739

av43126676  av43985467",av42101253 av41876107 x av43487354 av42302739 av43126676 av43985467
