content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
di san第三季上半部好像都嘴炮，下半部开始和圣教会打一场又嘴炮结束,2024-11-16 17:30:44,7,0,我和小眼镜,5,1,113470234167870,50,圣人的思虑,关于我转生变成史莱姆这档事 第三季,di san,di san
回复 @bili_58199543756 :主要是没钱了,2024-12-11 16:35:13,9,0,x1aojund,6,1,113470234167870,50,圣人的思虑,关于我转生变成史莱姆这档事 第三季,bili58199543756,bili58199543756
objection！,2024-11-20 22:11:29,4,0,渴望魔法,6,1,113508419111783,52,各自的职责,关于我转生变成史莱姆这档事 第三季,objection,objection
回复 @alriy饿了 :看这个建设水平估计上四休三早九晚五还包吃包住五险一金[脱单doge],2024-12-02 02:49:03,17,0,错过的TNT,5,1,113548801934539,53,两翼会议,关于我转生变成史莱姆这档事 第三季,alriy,alriy
回复 @murensheng :漫画我在看，就在等这波呢[笑哭],2024-12-04 18:41:27,3,0,天降之魂,6,1,113590677799391,54,迫近之人,关于我转生变成史莱姆这档事 第三季,murensheng,murensheng
回复 @_yzmcat :有个包子馅叫大葱猪肉馅，哪怕是你要吃纯肉的，也得放葱姜水花椒油十三香，这连续开会就是纯肉包了个包子，除了加了点盐尝尝咸淡啥都不放啊。,2024-12-04 22:36:42,4,0,天降之魂,6,1,113590677799391,54,迫近之人,关于我转生变成史莱姆这档事 第三季,yzmcat,yzmcat
回复 @Jason皓 :咦！哪一部啊,2024-12-16 16:16:47,1,0,bili_78164284071,3,1,113627285753583,55,圣魔激战,关于我转生变成史莱姆这档事 第三季,Jason,Jason
回复 @bili_78164284071 :美丽的魔物公主（史莱姆）日记,2024-12-25 22:06:03,1,0,牛奶吐司1,6,1,113627285753583,55,圣魔激战,关于我转生变成史莱姆这档事 第三季,bili78164284071,bili78164284071
他有没有喊fight!,2024-12-18 21:13:09,59,0,最后一颗冻干,6,1,113661947413392,56,扣错位的纽扣,关于我转生变成史莱姆这档事 第三季,fight,fight
回复 @xxxccxuu :挡伤害啊，反正有备份,2024-12-18 18:23:58,167,0,海市蜃楼般的梦,6,1,113661947413392,56,扣错位的纽扣,关于我转生变成史莱姆这档事 第三季,xxxccxuu,xxxccxuu
"本集要素过多，真的是绷不住了
1.女枪打不过拔腿就跑
2.一堆人以为有多强，结果solo一下就被胖揍
3.忍者被吓到光速投降
别的不说，单看这些还是很有意思的[doge]",2024-12-25 19:04:45,888,5,猫雷丶,6,0,113700082028514,57,七曜密谋,关于我转生变成史莱姆这档事 第三季,"1
2solo
3",1 2solo 3
回复 @假面骑士Cronus :梁静茹给的勇气,2024-12-26 23:17:08,2,0,白金追踪者,6,1,113700082028514,57,七曜密谋,关于我转生变成史莱姆这档事 第三季,Cronus,Cronus
回复 @初音小B :两位姐姐≥漫画小说&gt;吃萌王的饭&gt;其他,2025-01-09 09:49:13,17,0,爱喝牛奶的空灵呀,5,1,113779320819452,59,和解与协定,关于我转生变成史莱姆这档事 第三季,B gtgt,B gtgt
[Neuro sama收藏集_认同][Neuro sama收藏集_认同][Neuro sama收藏集_认同],2025-01-08 18:13:55,132,3,吃饺子的早苗苗苗,6,0,113779320819452,59,和解与协定,关于我转生变成史莱姆这档事 第三季,Neuro samaNeuro samaNeuro sama,Neuro samaNeuro samaNeuro sama
回复 @MS9030 :勇者篇里有提到过一句，游戏里做出来了,2025-01-09 01:07:33,42,0,爱喝牛奶的空灵呀,5,1,113779320819452,59,和解与协定,关于我转生变成史莱姆这档事 第三季,MS9030,MS9030
回复 @初音小B :我就说，石头配奇依的时候和雷恩说过可男可女可以女体化，但是在石头的演技下听的很自然，原来如此原来如此也算是对恶魔的一种解释and大菠萝的,2025-02-14 01:15:41,19,0,小鲁Freelancer,6,1,113977778504378,64,红丸的受难,关于我转生变成史莱姆这档事 第三季,B and,B and
回复 @宇宙之墙 :恭喜史莱姆 喜提4月新番称号(doge,2025-02-19 21:13:35,3,0,寻诶,5,1,114018614248054,65,闪光勇者,关于我转生变成史莱姆这档事 第三季,4doge,4doge
回复 @Ben_tannis :是啊，开会，随便写，又不用画,2025-02-20 07:52:53,3,0,千鸟ob,6,1,114018614248054,65,闪光勇者,关于我转生变成史莱姆这档事 第三季,Bentannis,Bentannis
回复 @Angel妖姬 :可以水字数嘛[doge],2025-03-02 16:10:44,3,0,1qazwsxe9,6,1,114057520613801,66,宾客如云,关于我转生变成史莱姆这档事 第三季,Angel,Angel
回复 @香蕉_StatTrak :我倒是不急，因为我知道后面是什么展开[FGO_汗],2025-03-06 18:27:01,12,0,新世界鸢一折纸,6,1,114097735598992,67,前夜祭,关于我转生变成史莱姆这档事 第三季,StatTrak,StatTrak
回复 @1---栗子---1 : word版几年前更完了，但是有些剧情会不一样，结局我觉得挺好的没烂尾,2025-03-12 19:34:21,19,0,崔佛与听话的小罗,6,1,114136323198738,68,开国庆典,关于我转生变成史莱姆这档事 第三季,11  word,11 word
