content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"这周不行啊  总共只更新了0.1集，提出批评（doge）
[doge][doge][doge]",2021-01-12 23:30:14,18559,83,熬夜俱乐部顶级VIP,6,0,798729459,25.0,利姆鲁繁忙的每一天,关于我转生变成史莱姆这档事 第二季,01doge,01doge
这...我...这没毛病[Kizuna AI_震惊],2021-01-13 01:50:47,3,0,蝶语清澜,6,1,798729459,25.0,利姆鲁繁忙的每一天,关于我转生变成史莱姆这档事 第二季,Kizuna AI,Kizuna AI
"虚假的Boss:看起来就造型霸气神秘强大的各种怪物，
真实的Boss:仿佛一阵风就能吹倒的骷髅，炮灰般的史莱姆，弱小的蜘蛛，[doge]",2021-01-19 23:30:06,31946,317,今天又是核平的一天啊,6,0,246193085,26.0,与兽王国的交易,关于我转生变成史莱姆这档事 第二季,"Boss
Boss",Boss Boss
回复 @夜夜MoKou :别人是推理猜测，不算剧透的吧,2021-01-27 00:32:49,72,0,朱迪_阿尓瓦雷兹,6,1,246311298,27.0,乐园再临,关于我转生变成史莱姆这档事 第二季,MoKou,MoKou
回复 @lbc2014 :说白了还是社畜呗[笑哭],2021-01-27 00:47:11,3,0,小让娜,6,1,246311298,27.0,乐园再临,关于我转生变成史莱姆这档事 第二季,lbc2014,lbc2014
好家伙600赞能干过下面1w赞的,2021-02-10 19:54:14,6,0,里克大叔,5,1,844036623,29.0,灾厄的前奏曲,关于我转生变成史莱姆这档事 第二季,6001w,6001w
"回复 @_N_Ryu :换咱原来算欺君之罪，要杀头的[W-哈哈]
“毕竟不是啥小事，还凭自己的意愿瞒着王，当自己多大的官吗？这是在王头上动土吗？”我觉得王应该这么想，才有王的威严。",2021-02-24 12:34:13,386,0,佐仓四叶,6,1,671860794,31.0,绝望,关于我转生变成史莱姆这档事 第二季,"NRyu W
“”",NRyu W “ ”
"看漫画的我：呀～谬兰能活下来真是太好了！
看动画的我：萌王这一拳怎么没把你们三个nt干碎？？

还是想吐槽下这个节奏太怪了，看漫画的时候觉得尤姆和谬兰的行动相当合理，感情也很充沛，到这以后该详说的内容变成一笔带过，可以略说的搞了长段的对话，结果弄成了萌王养了仨白眼狼，完了还得救他们的命，还得委以重任，我寻思你搁这美末2呢？萌王这下给整的比乔尔还不如了",2021-03-03 00:13:27,42914,405,RADON222,6,0,756888893,32.0,希望,关于我转生变成史莱姆这档事 第二季,"nt

2",nt 2
"哦，我的老伙计！
这该死的感觉就像是，从百草园到三味书屋，草到家了！
噢，是的，不得不说，希望下次的会议，能变得实在那么一些。
哦，不，我的意思是，希望阁下还能按时参加下一次的会议……
当然，你如果非要彻底地问我是哪一个会议？
我只能负责地告诉阁下，是“关于小紫挂后复活率高达3%那件事”的会议。
另外，比较有趣的一件事是——那场会议，会议上的每一个参与者都“十分高兴”，但是看那场会议的观众，却不能够深刻领会会议中的精神，观众他们意见比较大，哦，我的伙计儿，怎么说呢？……难道他们是s b吗？
[笑][doge]",2021-03-11 18:38:48,766,0,The_Last_Wizard,6,1,417026235,33.0,赌上一切,关于我转生变成史莱姆这档事 第二季,"“3”
“”s b",“ 3 ” “ ” s b
回复 @Single木兮 :哈哈哈,2021-03-30 23:56:16,5,0,巨帅的土豆王子,5,1,544764715,36.0,被解放之人,关于我转生变成史莱姆这档事 第二季,Single,Single
回复 @Thinks_ :Fu是吗[妙啊],2021-07-08 01:40:13,1,0,bili_13299340,6,1,333891714,37.0,纷至沓来,关于我转生变成史莱姆这档事 第二季,Thinks Fu,Thinks Fu
回复 @dhhhhe :嘛，红和黑如果想的话也可以女体化就是了[脱单doge]（萌王：打咩）,2021-07-10 23:58:07,8,0,砚玺,6,1,333891714,37.0,纷至沓来,关于我转生变成史莱姆这档事 第二季,dhhhhe,dhhhhe
回复 @白月魁qwq :ko no 迪亚波罗哒[doge],2021-07-27 23:27:44,0,0,西卡Eterun,6,1,334434953,40.0,会议频频,关于我转生变成史莱姆这档事 第二季,qwq ko no,qwq ko no
回复 @gie良gie影 :被紫苑锤的嗷嗷叫,2021-08-04 00:12:42,19,0,-百色印ing,5,1,974620455,41.0,会战前夜,关于我转生变成史莱姆这档事 第二季,giegie,giegie
回复 @时晴yanshu :只有红和米莉姆这种超规格的魔王，萌王自己也做不到，但是得到中二龙几乎无穷无尽的魔素支持才做得出来。,2021-08-04 00:13:04,337,0,一只小耗纸,5,1,974620455,41.0,会战前夜,关于我转生变成史莱姆这档事 第二季,yanshu,yanshu
回复 @Addicted_to_D :关于克雷曼的问题在后面的帝国篇会揭晓,2021-08-11 18:17:00,238,0,可詩nn,6,1,249636890,42.0,诸位魔王,关于我转生变成史莱姆这档事 第二季,AddictedtoD,AddictedtoD
