content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
https://www.bilibili.com/video/BV198411N7LG/?vd_source=157a13ec9c098dd7973fc46824775ca7,2023-02-27 18:53:49,0,0,喵噗喵-,3,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记,httpswwwbilibilicomvideoBV198411N7LGvdsource157a13ec9c098dd7973fc46824775ca7,httpswwwbilibilicomvideoBV198411N7LGvdsource157a13ec9c098dd7973fc46824775ca7
回复 @_WayneW :说真的我甚至怀疑帝国篇开始就是找个水货代笔了....,2021-05-13 01:11:10,10,0,英格拉姆98式MK2,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记,WayneW,WayneW
https://b23.tv/ss4129 是这个,2021-05-31 23:35:58,14,0,xcujq,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记,httpsb23tvss4129,httpsb23tvss4129
回复 @吾目Wimbledon :怪物之子啊,2024-04-10 21:28:04,0,0,谷様,5,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记,Wimbledon,Wimbledon
回复 @Mywife狂三 :老大哥的感觉，谁不想结交一个成熟稳重靠谱的老大哥呢,2021-05-10 00:51:10,213,0,馥郁浸霓裳,6,1,502885190,3,鸠拉的夏天,关于我转生变成史莱姆这档事 转生史莱姆日记,Mywife,Mywife
回复 @Annie-粥 :现在这个也是猪头帝了，但是是二代啊，感觉大部分人都认错了,2021-05-10 17:45:56,140,0,梦切里史尔特,6,1,502885190,3,鸠拉的夏天,关于我转生变成史莱姆这档事 转生史莱姆日记,Annie,Annie
回复 @Louster1 : 红丸和谁结婚啦？我先磕[星星眼][星星眼],2023-08-28 02:50:33,0,0,xp万岁A,3,1,418118600,4,穿泳衣过一天,关于我转生变成史莱姆这档事 转生史莱姆日记,Louster1,Louster1
那为什么会有女装呢，还是说明意识觉得物质[Cat2_Hoop!],2022-05-02 16:21:26,9,0,不关润润的事,6,1,418118600,4,穿泳衣过一天,关于我转生变成史莱姆这档事 转生史莱姆日记,Cat2Hoop,Cat2Hoop
"“这叫爱得深沉”
kdlkdl[doge][酸了]",2021-05-16 12:53:55,406,2,在野溯,6,0,418118600,4,穿泳衣过一天,关于我转生变成史莱姆这档事 转生史莱姆日记,"“”
kdlkdl",“ ” kdlkdl
回复 @苏维埃のxswld鸽子 :草,2021-05-23 12:06:02,1,0,xswld鸽子,6,1,845735997,5,重现夏日庙会,关于我转生变成史莱姆这档事 转生史莱姆日记,xswld,xswld
"第6话 官方剧情简介
盂兰盆节到了。静带着鬼火回来了！打算来看看模仿自己的样貌生活的利姆鲁…居然看到了兔女郎样子的利姆鲁。
本集主要制作人员
剧本:被炉蜜柑
分镜:小岛正士
演出:深濑重
作画监督:入江笃、镰田均、萩原省智、齐藤香织、松下纯子、酒井启史、松村康功、佐佐木洋也、Zearth Sato
总作画监督:中山みゆき",2021-05-30 12:07:05,419,0,活着没有价值,5,1,418356759,6,物换星移,关于我转生变成史莱姆这档事 转生史莱姆日记,"6 





Zearth Sato",6 Zearth Sato
有问题，我们现在都用win8了，不用xp了（,2021-05-30 12:36:51,16,0,爆更小约,6,1,418356759,6,物换星移,关于我转生变成史莱姆这档事 转生史莱姆日记,win8xp,win8xp
回复 @bearquyang :并不是，米莉姆本身就非常聪明，只是懒得去想那么多，不然她的智商，还有暴风龙的智商都很高，分析能力非常强，只是是两个逗比,2021-06-06 22:08:36,156,0,独自走过约定的地方,6,1,588413979,7,魔王来了,关于我转生变成史莱姆这档事 转生史莱姆日记,bearquyang,bearquyang
回复 @贝贝珈今晚吃魔王Queen :说了是本集嘛，难道我能把小说里面表现出来的都说说一下？,2021-06-06 22:56:30,1,0,利姆露_Sama,6,1,588413979,7,魔王来了,关于我转生变成史莱姆这档事 转生史莱姆日记,Queen,Queen
回复 @夏色 :我看到米莉姆被控制，第一印象就是不可能，就算是克雷曼也没有那个实力控制米莉姆的，除了最终boss君以外，但是就算是最终boss君应该也不能完全控制米莉姆吧？因为就算是最终boss的实力应该也没有到创世龙的级别，为什么不叫他的名字，因为我讨厌这种主角干什么一出现坏事就变成敌人背后操作的情况，正片后半的剧情不知道会如何。,2021-06-13 16:10:30,278,0,神曌紫薇,6,1,588413979,7,魔王来了,关于我转生变成史莱姆这档事 转生史莱姆日记,bossbossboss,bossbossboss
利姆鲁用自己的史莱姆状态洗澡是明智之举，可以避免很多麻烦目前是跟谁混浴都没问题（不过朱菜会阻止利姆鲁跟她哥那群男性混浴、后面日向也会拒绝利姆鲁跑女汤），没想到米莉姆不按套路出牌，用利姆鲁来搓澡，果然米莉姆很聪明nanoda，难怪大贤者想要进化，再不进化萌王随时都会被抢走。,2021-06-10 09:24:05,5394,21,C家冷饭危机香不香,6,0,588413979,7,魔王来了,关于我转生变成史莱姆这档事 转生史莱姆日记,nanoda,nanoda
回复 @Fianna :都让你高完了,2021-06-13 13:27:57,24,0,超重熊猫,6,1,846077705,8,丰收的秋天,关于我转生变成史莱姆这档事 转生史莱姆日记,Fianna,Fianna
回复 @呆毛一直晃 :Ohhhhhhh！,2021-06-14 22:15:26,2,0,一方西瓜君,6,1,846077705,8,丰收的秋天,关于我转生变成史莱姆这档事 转生史莱姆日记,Ohhhhhhh,Ohhhhhhh
回复 @_neuron_ :后面变白发更像了[doge]期待动漫做到那,2024-10-05 19:15:34,3,0,wdfkccc2,3,1,716210769,9,冬天来到,关于我转生变成史莱姆这档事 转生史莱姆日记,neuron,neuron
"给兄弟们说一下
其实这俩虫子在第一季就出现了，当时萌王在森林闲逛，发现一只已经死亡的b级魔物剑齿虎，旁边是一个黑色的甲虫，甲虫以为萌王是来追杀他们的，所以二话不说就攻击萌王，后来蜜蜂从树后面出来请求萌王保护他们，萌王就问：你会采蜜吗？  蜜蜂点了点头，之后萌王就用自身的细胞修复了泽奇恩的甲壳，并且把他和蜜蜂命名为“泽奇恩”“雅皮托”之后这俩就一直在树人族森林待着泽奇恩负责守卫森林，雅皮托负责采蜜，到时间就给萌王送蜂蜜，第一季和米莉姆打平手的蜂蜜就是雅皮托酿的
顺便一提，雅皮托和泽奇恩不是情侣，算是幼驯染",2021-06-20 15:51:03,8179,228,变成光守护真冬小姐,6,0,716210769,9,冬天来到,关于我转生变成史莱姆这档事 转生史莱姆日记,b  “”“”,b “ ” “ ”
回复 @Yu_Yan :应该是指同时间段里的小说内容，,2021-06-20 17:38:52,17,0,印度硝饮料,6,1,716210769,9,冬天来到,关于我转生变成史莱姆这档事 转生史莱姆日记,YuYan,YuYan
回复 @霜飞万里 :aki99画过同人本,2021-07-05 01:13:59,3,0,流萤明,6,1,291490101,11,圣诞老人在哪里,关于我转生变成史莱姆这档事 转生史莱姆日记,aki99,aki99
回复 @xy_light :笑死，刚从学校回来[歪嘴],2021-07-11 12:13:49,7,0,千夜千夜桑,6,1,461532209,12,享受正月,关于我转生变成史莱姆这档事 转生史莱姆日记,xylight,xylight
