content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
这种我不敢怎么说，但我可以肯定是他对于悬疑番都是不愿意思考的，有些人看冰菓都是来这里找动漫男神头 但是却忽略了这部剧需要思考的地方想那个ice cream给他想半天估计都不知道意思是I scream,2025-08-10 20:02:26,9,0,雀门的门徒,5,1,4044639,1.0,深具传统的古典文学部之重生,冰菓,ice creamI scream,ice creamI scream
回复 @Angel圣女 :[笑哭],2025-08-17 21:51:08,0,0,恶俗代言人,5,1,4044639,1.0,深具传统的古典文学部之重生,冰菓,Angel,Angel
ertw a f f,2022-01-04 18:25:36,3,0,盖亚五五开,5,1,806828803,2.0,值得夸耀的古典文学部之活动,冰菓,ertw a f f,ertw a f f
"6月24日星期日，古典部四人齐聚千反田家讨论冰菓事件真相，并得到一个初步结论。不过，千反田的疑问还是没有完全解开。从下集预告的标题来看，事情似乎也没这么简单。
这一集中我们见识到了在阵出地区拥有很大庭院的千反田家宅，不愧是富农大小姐[doge]动画前几集夕阳斜照下的部室以及阵出地区下雨的场景很漂亮，与古典风格的bgm也很搭，这也是冰菓的魅力之一[打call]",2021-11-23 21:29:46,3825,12,琼华夏凉,6,0,719355231,4.0,绽放荣光的古典文学部之过往,冰菓,"624
bgm",624 bgm
回复 @Dodgersz :哈哈哈,2022-04-17 20:02:46,2,0,流年似羡,6,1,634312354,8.0,去参加试映会吧！,冰菓,Dodgersz,Dodgersz
回复 @BeefHamburger牛牛堡 :中国没有饮酒年龄规定吧？日本是未成年不能喝，所以感觉他们能吃酒心巧克力还挺神奇的hh,2023-02-11 05:26:10,17,0,-Ciaccona-,6,1,764296458,9.0,古丘废村杀人事件,冰菓,BeefHamburger hh,BeefHamburger
回复 @BeefHamburger牛牛堡 :中国没有饮酒年龄规定吧,2023-08-04 18:45:37,2,0,82191494596_bili,5,1,764296458,9.0,古丘废村杀人事件,冰菓,BeefHamburger,BeefHamburger
回复 @82191494596_bili :就跟未成年人请勿吸烟一样，他要想整这种东西没人管得了,2024-02-08 06:50:29,1,0,竹灯笙影,6,1,764296458,9.0,古丘废村杀人事件,冰菓,82191494596bili,82191494596bili
"本集为京阿尼的原创回，而且是收录在BD里没有在电视上播放的，所以推理的严谨程度有所下降。但这集为前后两个大篇章「愚者的片尾」和「库特利亚芙卡的排序」起到了很好的衔接作用。
在前一个故事中我们折棒同学被女帝利用伤透了心，而这集小千的安慰“折木同学对我来说是特别的”却让奉太郎心神荡漾，让他从巨大的打击中稍微恢复了过来，千反田真是功不可没呢[鼓掌]本集的小甜饼着实把我噎死了",2021-11-28 14:44:14,3944,14,節能主義專家,6,0,421800361,11.5,应该持有之物,冰菓,"BD
“”",BD “ ”
回复 @snafugod :@snafugod 多看几遍就好，看的多了自然而然就懂了[tv_点赞],2024-09-10 18:28:59,0,0,依生相随,6,1,421800361,11.5,应该持有之物,冰菓,snafugod snafugod,snafugod snafugod
回复 @snafugod :每新一集看评论，同步看高级推理弹幕，暂停思考,2024-09-18 19:05:27,0,0,DUNE-SEA,5,1,421800361,11.5,应该持有之物,冰菓,snafugod,snafugod
