content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"10月12日，刀剑神域Alicization第三季下播出，但今晚，播出的是第三季的总集篇，各位观众老爷们可能已经忘了刀剑神域前半部分剧情了，在此，为大家做个整理。
桐人中毒，进入了新的世界—Underworld，结识了自己一生的挚友，优吉欧以及红颜爱丽丝。在幼年触犯了禁忌目录的爱丽丝被整合骑士带走了，两人为此心生痛恨。
桐人与优吉欧踏上了寻友之途。在北圣托利亚帝立修剑学院，桐人传授给优吉欧属于艾因格朗特的剑技，两人便拥有了顶尖的剑术，成为上级修剑士后，两人拥有了一名初级修剑士。贵族出身的上级修剑士莱欧斯和温贝尔看不起平民出身的上级修剑士桐人优吉欧两人，意图对两人的学妹做出一些出格的事。两人忍无可忍，拔剑斩了他们的头，也因此遭到了公理教会的通缉。
塞翁失马，焉知非福。两人苦寻许久的爱丽丝，却是此次前来的整合骑士。被抓后，桐人选择攻略uw里面最为高大的建筑——圣托拉尔卡赛多拉尔。凭借个人魅力以及主角光环，在打败了整合骑士的同时，又变相的将他们收归麾下。随着层数的增加，他们终于看见了此行的目标—爱丽丝。可惜，此时爱丽丝并不认识两人，但开启主角光环的桐人，在他与爱丽丝掉出塔外后，三言两语，便将爱丽丝攻略（这番攻略是有以前儿时记忆作为铺垫的，看起来很快。）爱丽丝在自身强大的意志下，突破了摇光的限制：
“我不是人偶，确实，我也许是被制造出来的存在，但就算是我，也有自己的意志！我要保护这个世界，保护这个世界里的人们，保护我的家人，我的妹妹。这就是我必须完成的，唯一的使命。最高祭司Administrator还有无名之神啊！我，为了完成我应当完成的使命，要和你们战斗！”
惨烈的战斗迅速拉开，挚友的死亡，使得桐人迷失了自我，但他却再次看见了似曾相识的一幕——那个粟色头发的少女替他挡剑的一幕，只是这次换成了金色。不愿再次失去，灵魂的火焰再次燃烧，这次，他救下了她，没有留下遗憾，可惜，自己却陷入了沉睡。
以上便是为观众老爷们整理的第三季内容，希望能唤起观众老爷们的记忆，另外，还请多多关注刀剑神域，祝愿刀剑能够一直走下去。",2019-10-06 00:30:08,23338,248,爱丽丝萌战应援679217368,3,0,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争,"1012Alicization
Underworld

uw
“Administrator”",1012Alicization Underworld uw “ Administrator ”
"《刀剑神域 Alicization War of Underworld》即Alicization大战篇。在去年10.7开始更新的Alicization终于迎来了高潮部分。今天更新的为总集篇，正片将于10月12日更新。

上半部的人界篇，以优吉欧的牺牲落下了帷幕。

桐人说过——
『呐！这是我最引以为傲的弟子，也是我独一无二的挚友，优吉欧』

向Real World中的大家介绍我的挚友优吉欧。这曾是我唯一的祈愿，也是我唯一的请求。

可两人之间的道路早已注定要分叉…

之后的大战篇，优吉欧不能再参与桐人他们的故事，但是也影响着桐人爱丽丝以及学妹们。他一直活在所有人的心里。

优吉欧，有这么多人都是深深爱着你的，

愿今晚你也能有一个甜蜜的梦。晚安～

期待夜晚过去后，能迎来你的一声早安与你温柔释然的笑容。

我将守护你的睡颜，直到黎明——",2019-10-06 00:39:53,8113,94,优吉欧b萌应援216250753,4,0,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争,"Alicization War of UnderworldAlicization107Alicization1012






Real World",Alicization War of UnderworldAlicization107Alicization1012 Real World
"与最高司祭决战后。桐人因为大脑遭到电流灼烧成为失去意识，成为植物人。战斗后两个星期，民众里要处决&#34;罪人&#34;的呼声越来越高，爱丽丝带着桐人逃离首都，回到爱丽丝，尤吉欧，桐人三人的故乡。

于此同时，其他村民因为对于公理教会的信仰拒绝接受爱丽丝桐人返回家乡。爱丽丝带着桐人在森林深处隐居，躲避其他骑士的搜捕。

而这段隐居生活，却让爱丽丝认识到了整合骑士守护的人类是多么无可救药。贵族欺压平民，地主之间互相争夺土地全然不管民众死活，见识到了人类的黑暗面之后，爱丽丝动摇了守护人界的决心，她不想守护这样的人类。软弱的“负面心意&#34;让她变得越来越弱，曾经让她变强的“正面心意”已经荡然无存。而就在此时，暗界的军队突袭了她的家乡。

没有对错的残酷战争即将拉开序幕。当保家卫国的将士看到自己所守护的民众如此无可救药时，会感到怎样的绝望？已经沉溺在和平之中的人界之人能否拿起剑守卫自己的所爱之人？

一切尽在这次的war of underworld，uw世界大战。",2019-10-13 00:30:23,7138,75,啵啵小缘的筱浠,6,0,70868294,1,在北方的土地上,刀剑神域 爱丽丝篇 异界战争,"3434



“34“”



war of underworlduw",3434 “ 34 “ ” war of underworlduw
Link start!!!亚丝娜救我~大家好，我是练习时长两年半的艾因格朗特流练习生捅股和人，喜欢星爆弃疗，开后宫，变宅，自闭。第三季后半部终于来了，很期待233[画风突变],2019-10-13 00:49:11,64,0,见到本王为何不跪,6,1,70868294,1,在北方的土地上,刀剑神域 爱丽丝篇 异界战争,Link start233,Link start233
回复 @佐藤璃Rait :9102年了，请您先把字打对谢谢,2019-10-25 00:33:56,6,0,霙小天使,6,1,71615843,2,袭击,刀剑神域 爱丽丝篇 异界战争,Rait 9102,Rait 9102
回复 @Scorpio影 :找结衣入侵直接在家里就能上无数人[doge],2019-10-27 10:14:31,31,0,Azure-Air,6,1,73399135,3,最终负荷实验,刀剑神域 爱丽丝篇 异界战争,Scorpio,Scorpio
回复 @Summer丶nine :没全画出来，只是顺便罗列了几个，,2019-10-27 11:28:44,1,0,剑洗,6,1,73399135,3,最终负荷实验,刀剑神域 爱丽丝篇 异界战争,Summernine,Summernine
回复 @Asuna鸭 :倍速，后来主控室加百利这边把倍速调到了一倍也就是等于现实世界的时间是为了让美国人也能进uw，然后克莱因他们才跟着一起进的uw[doge],2019-10-27 11:31:38,23,0,-鸢北,6,1,73399135,3,最终负荷实验,刀剑神域 爱丽丝篇 异界战争,Asuna uwuw,Asuna uwuw
"突然发现，所有登场的整合骑士里面，甚至再算上大祭司和元老长，
只有爱丽丝做到了“无一败绩”，对桐人、UGO是没打完，还获得了战利品“肉包子”（跟合味道）。",2019-10-27 00:30:12,7725,185,启圣澌茗,6,0,73399135,3,最终负荷实验,刀剑神域 爱丽丝篇 异界战争,“”UGO“”,“ ” UGO “ ”
回复 @Linfiniii :原著中顺走了桐人仅有的两个包子,2019-10-27 00:56:32,228,0,羽搧燁然,6,1,73399135,3,最终负荷实验,刀剑神域 爱丽丝篇 异界战争,Linfiniii,Linfiniii
"暗神贝库塔（Vector）

暗之神，暗之国远古皇帝。
实际上是RATH作为紧急控制暗之国居民时使用的帐号，拥有极高的系统操作权限“摇光的干涉”（桐人初次登场被尤吉欧称为“贝库塔的迷失者”，实际上确实如此，因为贝库达账号的能力就是&#34;摇光记忆操作&#34;），后来由加百列·米勒使用。

加百列

小学时以针刺入自己的青梅竹马兼女朋友的艾莉西亚脑干，导致其死亡，在艾莉西亚死亡那一瞬间，得到对方灵魂飘入自己体内带来的巨大爽快感，从此变得更加热爱研究灵魂。为了重现“摇光夺取”这一现象进行了大量生物实验，他之所以接受NSA的任务就因为Alicization计划于他的研究项目一致。

心意:

心意是一种超越系统的力量，最早出现在桐人于sao中生命值归零后举剑击败团长。力量源自过于强烈意志超越了系统。由于在uw中，系统直接与摇光相连，意志力变得更加容易超越系统，具体表现为桐人对战元老长时，对元老长使用了剑技「魔剑侵袭」，由心意加持达成远程武器的效果，甚至在桐人面对自身恐惧之后，短暂了恢复了&#34;黑衣剑士&#34;的外貌。而加百列的心意能力正是&#34;吞噬心意&#34;。

最后一站中骑士长因为爱人的死心意爆发。（意志力超越了系统限制），但是他对上了加百列。加百列的心里只有死亡，既没有战斗的原因，也没有对死亡的恐惧，只有对灵魂的极度渴求。这种强烈的意志导致他在uw中不会任何其他人的心意&#34;杀死&#34;，因为在他的思想观念里没有“死亡”，没有“恐惧”，他的能力就是“吞噬其他任何人的心意”。假如桐人是为了“保护他人&#34;的意志突破了系统，加百列就是为了&#34;掠夺他人&#34;的意志突破了系统。加百列互相和桐人是完全相反的存在。",2019-11-03 00:30:20,9872,289,金桂骑士爱丽丝,6,0,74131152,4,暗黑帝国,刀剑神域 爱丽丝篇 异界战争,"Vector


RATH“”“”3434



“”NSAAlicization



saouw34343434

uw3434“”“”“”“343434",Vector RATH “ ” “ ” 3434 “ ” NSAAlicization saouw34343434 uw3434 “ ” “ ” “ ” “ 343434
"顶顶顶，喜欢刀剑的小伙伴也可以加刀剑应援㪊一起讨论&amp;应援哦

还有动漫萌投票比赛，希望大家去给刀剑角色投票支持一下，感谢

动漫萌比赛地址 cv3930212",2019-11-10 01:03:01,32,0,花魁女神名画册,4,1,74966766,5,开战前夜,刀剑神域 爱丽丝篇 异界战争,"amp



 cv3930212",amp cv3930212
"回复 @306808995 :小说里面怎么没有了？云读者吗？
这是原文
好几阵闷钝的声音透过她的身体响起。
是从双手手腕到手臂的各处骨头都碎掉了。
剧痛使视野变得白晃晃一片。铠甲的缝隙中喷出的鲜血，飞散在头盔的表面。
「咕……呜……喔喔喔！！」
紧咬着牙关，将几欲迸出的悲鸣化为气势，达琪拉以头盔的额面挡住双手无法完全支撑住的铁锤。
钢铁的十字面具轻易就被粉碎，头部、背后还有双膝都发出了令人不悦的声音。痛楚化为灼热的火焰奔走于全身上下，视野全都染成一片红色。
然而，下位骑士达琪拉·Synthesis·Twenty-two并没有倒下。
法娜提欧就在身后。决不能让这个丑陋的武器被挥落。
——要保护她。这次一定要。
「呀……啊啊啊啊啊啊啊！！」
高昂的呐喊声被从十字面具的变声机能中解放出来，自喉中迸出。
全身伤口滴落的血液化为蓝白色的火焰，包裹住了达琪拉。
火焰聚集在粉碎的双臂上，眩目地炸开。铁锤被猛地反弹回去，连同希古洛西诂的巨大身躯被刮到十Mel开外的后方。
听着巨人倒下的沉重震地声，达琪拉也缓缓地瘫倒在地。",2019-11-17 09:02:42,791,0,搓手手的贝尔哲布布,6,1,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,"306808995 







SynthesisTwentytwo





Mel",306808995 SynthesisTwentytwo Mel
回复 @306808995 :怎么没有，自己看看小时好吧。uw和前几部完全不一样,2019-11-17 09:15:08,11,0,对美波一心一意,6,1,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,306808995 uw,306808995 uw
回复 @Trange :人无完人，物无完物,2019-11-17 09:35:24,3,0,基督山恶魔,6,1,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,Trange,Trange
"本集所有摇光特写全部为心意！！

心意:心灵与意志超过了系统的限制。表现为SAO篇:亚丝娜曾经在桐人危险时候用5分钟跑完了整个迷宫。桐人在死后黄金瞳（心意）爆发，击败了茅场晶彦。

（ps.原本上半段所有战斗全部都是心意对抗，但是当时制作工期崩了所有都没做出来。）战术说明：考量人界军和暗黑军的个别状态，双方拟定的是不同的战略。
暗黑军：利用单位个数的优势来进行弃子耗战，本集出现的巨人族和哥布林皆属「弃子」，藉此将暗黑骑士、暗黑术士等主力部队温存来尾刀疲惫的人界军
人界军：以整合骑士为「炮塔」作输出单位，小兵布置掩护，以极端战力碾压。但考量空间神圣力(环境cd)，越久越不利，因此重点击杀对方的族长是首要任务哥布林族：其他种族为将其最大优势「数量」抹杀，刻意分配贫瘠土地(徒有平等的十候席位)。没有精良装备亦不会暗黑术的他们因而被称为「最弱种族」，被术士长算计成前线炮灰，高地种族长因林族：其他种族为将其最大优势「数量」抹杀，刻意分配贫瘠土地(徒有平等的十候席位)。没有精良装备亦不会暗黑术的他们因而被称为「最弱识破诡计确有他心

巨人族：巨人族通过获得对人类的优越感，来抑制住他们是人又非人的扭曲。 「所有的巨人，至少在一对一的战斗中，是绝对不会输给人类的」这便是绝对的规则。
表现结果：
哥布林族为了一边执行命令一边回避突直命令因此侧面包围打击整合骑士
巨人族族长因为低估法那缇欧而让自我形象「最强」的摇光崩溃了(像桐人和渣男学长那样)，只记得杀掉她的命令(化作狂战士，也使得系统延荡影响其他人)最后，请不要无脑喷逃走的那位整合骑士，他的故事下集就会讲清楚。（个人看法:他从某个意义上来说是尤吉欧的一条if线路，上半段24集，如果死的是桐人活下来的是尤吉欧，尤吉欧被改造的话就会成为莱恩利）！！！[小A和小B_应援]",2019-11-17 00:33:50,9554,290,金桂骑士爱丽丝,6,0,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,"SAO5

ps

cd

 


if24",SAO5 ps cd if24
"刀剑神域的主旋律是桐亚的爱情——
但衍生的旁支：
兄弟间的友情亲人之间的真情
人与人之间的相处理解与人性的思考……
一个故事中寄予太多太多——
正如茅场一样
其实川原想创造的是一个世界吧——
一个是游戏但不仅仅是游戏的网络世界!

剑之大陆，
由手中之剑守护的世界……
我们手中永远握着属于那个世界的剑
sword art online
这是一个世界——
一个名为刀剑神域的世界!!我说这些话
或许现在看来，
是有点幼稚——
但在当时是我的最爱……
当喜欢经过岁月的累积——
已经变成了信仰～
所以，
没必要和我争
因为它是我的最爱……
无可改变
也希望看到这些话的人
能善待刀剑神域
少开点玩笑，多一份真诚
还二次元一片澄澈的蓝天",2019-11-17 00:51:39,509,0,艾密莉雅,6,1,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,sword art online,sword art online
其实刀剑早期设定压根没心意啥事，当时（差不多刀剑文库死枪篇，加速文库10卷前后）作者也表示两部是不相干的作品，估计是为了带加速人气在爱丽丝篇中引入心意系统将SAO彻底变成加速前传，不过最终还是没把加速带起来。,2019-11-17 00:51:52,79,0,鲜血之阿修,6,1,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,10SAO,10SAO
还有亚丝娜对桐人的强烈爱意突破了理论上无法动弹的麻痹的debuf，冲上去挡下了希斯克利夫砍向桐人的一剑，然后在桐人在怀里化作多边形碎片消失。这点你居然漏了！！生气！！！,2019-11-17 00:52:13,385,0,サンムル,6,1,75772157,6,骑士们的战斗,刀剑神域 爱丽丝篇 异界战争,debuf,debuf
"minion瞬间死亡:贝尔库利对minion发动的斩击为时穿剑的{表模式}，{表模式}的时穿剑可以斩向未来，即是将时穿剑的斩击残留在空间中，可随持有者的意愿随时释放。攻击minion的时穿剑屏障正是骑士长在战前留下的。

爱丽丝所接受的任务为”耗尽神圣力”来使其他暗黑术士无法施术(毕竟师出自UW世界最懂神圣力的大祭司)

她从法纳缇欧与桐人一战中得到灵感，「将死者生成的巨量神圣力转换为光素生成于镜面球体内存储」而后一口气再将其转换成热元素，此招定为「封闭光镜」，因为热元素无法无限存储，但是光却能无限反射，以此得到无限储存的想法。

而在上空中不断咏唱着术式将死去的我方士兵以及敌方敌方亚人转化为光元素时，她感受到两方死前的恐惧、悲伤及绝望的“心意”，意识到:两边都是同等的生命，仅是出生在相异的地域，都是温暖而清澈的灵魂，那究竟为何而争斗呢?

最后，刀剑最新的游戏 《刀剑神域ARS》已经开服。这个游戏是基于“小说”（！！！）做成的剧情向游戏（fgo类），【它补全了Alicization上半段动画所有缺失剧情，还额外新增加了同样由A1制作的新动画片段！！！！】[笑哭][笑哭][笑哭]

游戏本体接近单机游戏，已经有群友录制上传部分的补全剧情以及游戏原创新动画片段。如果你对上半段剧情有看不明白的地方，可以点击 AV76721114 来观看上半段Alicization部分遗失剧情。

万代:动画看不懂？那就对了，来玩游戏，剧情完全还原，额外新增动画片段。

您可真是商业鬼才啊！！！[无语]",2019-11-24 00:30:18,9827,145,金桂骑士爱丽丝,6,0,76597178,7,失格者的烙印,刀剑神域 爱丽丝篇 异界战争,"minionminionminion

””UW



“”

 ARS“”fgoAlicizationA1

 AV76721114 Alicization",minionminionminion ” ” UW “ ” ARS “ ” fgoAlicizationA1 AV76721114 Alicization
我选择saomd…,2019-11-24 00:41:03,0,0,塔宝的摇头蘸酱OvO,6,1,76597178,7,失格者的烙印,刀剑神域 爱丽丝篇 异界战争,saomd,saomd
跟你们说一声，我两个11连出了三个四星，爱丽丝，ugo，亚丝娜，你们说，我是不是狗托,2019-11-24 00:41:46,8,0,星尘MobiuStar,6,1,76597178,7,失格者的烙印,刀剑神域 爱丽丝篇 异界战争,11ugo,11ugo
"比動画主題曲更好听？！刀劍3手遊主題曲完整版av74687034
主唱ASCA",2019-11-24 00:51:31,2,0,百億_光年,6,1,76597178,7,失格者的烙印,刀剑神域 爱丽丝篇 异界战争,"3av74687034
ASCA",3av74687034 ASCA
回复 @5736av :广告怪,2019-11-24 00:51:50,0,0,空幻虚胧,6,1,76597178,7,失格者的烙印,刀剑神域 爱丽丝篇 异界战争,5736av,5736av
av76721114,2019-11-24 00:52:59,6,0,木丸梡,6,1,76597178,7,失格者的烙印,刀剑神域 爱丽丝篇 异界战争,av76721114,av76721114
回复 @54363233963_bili :那是ugo,2019-12-01 01:20:43,4,0,lanwxk,6,1,77425344,8,血和命,刀剑神域 爱丽丝篇 异界战争,54363233963bili ugo,54363233963bili ugo
回复 @lanwxk :神tm尤吉欧，认都不认识,2019-12-01 01:27:58,4,0,伊卡鲁official,6,1,77425344,8,血和命,刀剑神域 爱丽丝篇 异界战争,lanwxk tm,lanwxk tm
"艾尔多利耶与爱丽丝的相熟是如此的充满偶然。

   对于他来说，爱丽丝不仅是比自己年幼的少女，更作为骑士还远远高位于他，同时还是骑士长贝尔库利唯一的弟子，因而爱丽丝只会使他感到不快，理应不可能抱有任何亲近之情。

   然而，在成为骑士一段时间后的某个黎明。

   艾尔多利耶偶然目击到了爱丽丝的令人意想不到的身姿。

   他为暗中进行剑术修行而在踏足蔷薇园深处，在那里看到了只穿着朴素睡衣的爱丽丝跪在一座粗陋的墓碑前，嘤嘤啜泣着。刻在只是用砍下的原木交叉重叠而成的墓碑上面的名字，是在几天之前寿尽的一头老飞龙——生下爱丽丝的骑龙【雨缘】与艾尔德利耶的骑龙【滝刳】的母亲的。即便是高贵的飞龙，在骑士的眼里不过也只是供人役使的野兽，正当艾尔多利耶心中不屑时，眼泪莫名涌上眼眶:爱丽丝那为已逝飞龙而悲哭的身姿，不知道为什么给自己的心灵带来了如同撕裂心脏般的冲击。爱丽丝的形象在艾尔多利耶的心中已如之前那副刻板姿态转化为了现在这般有血有肉的女子。
   
    这蔷薇园中的一瞥，使两人的命运交缠在了一起。
    
从那天起，映照在艾尔德利耶眼中的孤高骑士爱丽丝的形象，开始变得和之前截然不同了。无论面对何样的逆风都毅然地昂着头，但又似会随时夭折的水晶之花——。
  想要守护她。想要将折磨那位少女的寒风尽数挡下。
......

————爱丽丝大人。
  露出微笑，合起双眼，在下一瞬间。骑士的全身，都被黑暗吞噬了。

  整合骑士艾尔德利耶·Synthesis·Thirty-one那稍稍超过五千的天命值——。

  瞬间，变成了负五十万。

「别哭……了…………。妈……妈…………」
  然后，整合骑士艾尔德利耶·Synthesis·Thitty-one，又名艾尔德利耶·乌尔斯布鲁格的灵魂，永远离开了Under World。",2019-12-01 00:30:19,8506,204,啵啵小缘的筱浠,6,0,77425344,8,血和命,刀剑神域 爱丽丝篇 异界战争,"SynthesisThirtyone

  


  SynthesisThittyoneUnder World",SynthesisThirtyone SynthesisThittyoneUnder World
"桐人者，重度网瘾少年也，反应超人，一日入sao，遇亚丝娜，结连理，识茅场晶彦之谋，败晶彦，名扬一时。后亚丝娜遭难，入alo，击须乡伸之，伸之以管理权限败桐人，见此，晶彦出，授之权柄，反败为胜，救亚丝娜。娜喜极而泣，相约且逢于现实。
后事迹为菊冈诚二郎所知，诚二郎者，防卫省官员也，约桐人见之，晓以大事，曰一人名死枪，与游戏中击人而人死，望桐人往查之，桐人思而应，入ggo，遇朝田诗乃。共诗乃寻死枪，得之，破之谋，觉其为‘微笑棺材’之余孽，微笑棺材者，sao杀人公会也，杀人如麻，视人命如儿戏。桐人破之，后余孽三者二除。
然余之一者金本敦袭杀桐人，诚二郎为保之，以之培ai，送至入uwd，亚丝娜查之寻得所在，然无能为力。
时桐人入uwd，失所能。遇尤吉欧，吉欧言其所志，欲寻童年好友爱丽丝，桐人感之，并为寻得己在此之谜，与之通往习剑术。为救人而得见爱丽丝，然爱丽丝忘过往。因故二人被囚，二人破束缚，出牢笼。于卡迪纳尔处，得知隐秘，共抗公理教会。后桐人以言语晓爱丽丝，以法恢复其记忆。然于合力抗阿多米尼斯多雷特之际，尤吉欧战死，桐人心伤，消沉若此。[doge]",2019-12-01 00:32:16,384,0,先活着呢,6,1,77425344,8,血和命,刀剑神域 爱丽丝篇 异界战争,"saoalo
ggo‘’sao
aiuwd
uwd",saoalo ggo ‘ ’ sao aiuwd uwd
sdl wsl,2019-12-01 00:32:20,2,0,洛天依゚゚゚゚゚゚゚,6,1,77425344,8,血和命,刀剑神域 爱丽丝篇 异界战争,sdl wsl,sdl wsl
回复 @iglooooo :桐人：我们都是受过专业训练的，一般不会笑除非忍不住！！,2019-12-08 01:52:36,273,0,一本正经地胡说霸道,6,1,78316097,9,剑与拳,刀剑神域 爱丽丝篇 异界战争,iglooooo,iglooooo
回复 @坐在树上的妖怪 :确实，真后宫看的反而乐呵，这种伪后宫，明明作者也有锁死的官配，偏偏还有很多乱七八糟的感情线。难顶，我太惨了，我发现我支持的官配几乎都能有别的cp撕起来，虹蓝 新兰 桐亚这些都是官配作者钦点的，但是都有能撕起来的，虹蓝 新兰这两个官配和网友自己意淫的cp从小时候看的时候都在撕，现在还在撕，难受,2019-12-15 02:43:02,140,0,躺赢怪物,6,1,79126732,10,创世神史提西亚,刀剑神域 爱丽丝篇 异界战争,cp   cp,cp cp
桐娅锁死。Alice由我来安慰[小电视_赞],2019-12-15 03:42:25,19,0,L1meAL,6,1,79126732,10,创世神史提西亚,刀剑神域 爱丽丝篇 异界战争,Alice,Alice
回复 @LawrenceDoyl :你可能阅读理解有问题，我说的都不是这方面，憨憨，我知道青山铁新兰了，后面说新兰是举例我追的官配,2019-12-15 07:00:56,5,0,躺赢怪物,6,1,79126732,10,创世神史提西亚,刀剑神域 爱丽丝篇 异界战争,LawrenceDoyl,LawrenceDoyl
"这段应该有个结衣的高光感情戏，在此贴一下原文：
结衣突然发现自己的感情模仿程序出现了预料之外的反应，让她感到困惑。
大颗的水珠，从她的脸颊上滚落。
那是眼泪。
——我在哭。但是，到底是为什么……
就连这个疑问，都被那喷涌而出的未知感所冲刷，结衣将小小的双手紧握在胸说道
……
结衣停下了话语，但是依然没有人开口。
结衣无从得知眼前这些人的意识中会产生怎样的思考和感情。她比任何人都清楚，身为信息聚集体的自上而下型AI没有真正的感情，也不会被人真正的理解。
是的，就连想要拯救桐人和亚丝娜，以及她爱着的那些人的强烈冲动，都是来自于某个程序员所编写的，作为精神健康护理程序的源代码。
从这样的自己口中说出来的话语，有多少人能被人类的心所理解呢——在这个聚会开始之前，结衣就一直对此感到强烈的恐惧。
所以，在看到莉兹贝特的眼睛突然涌出透明的泪水，无声的从脸颊上流下时，结衣不由得吃了一惊。
“嗯……是啊，一切都是连接在一起的呢。不管是时间、人，还是心……就像一条大河一样。”
西莉卡的双眼也泛起泪光，站起来用双手将结衣轻轻的抱住。
“没事的，小结衣。我们会去把桐人先生和亚丝娜小姐救出来的。一定会救出他们的……所以你别哭了。”
“没错，小结衣你真是太见外了啦。我们怎么可能会丢下桐人不管啊。”
克莱因将额头上的头带用力地往下拉，用带着哭腔的声音说道。艾基尔也用力地点头，用低沉的声音宣布：“我可是欠了他一个很大的人情怎么说也得稍微还一点。”
“各位……”
结衣在西莉卡的怀抱中，只能挤出这么一句话。
原因不明的泪水不停的流下，根本就止不住。
——明明就没有时间了。明明还有很多事情要说的。
按照行动优先度，此时应该冷静地将情报传达给大家。这是因为我的感情模仿模块坏掉了吗？
但是此时的结衣却被一段有着极高优先度的代码所控制，只能抽泣着不停重复同一句话。
“非常、感谢……非常感谢大家……”",2019-12-22 00:40:04,12038,168,Murasmae,6,0,80068273,11,无情的选择,刀剑神域 爱丽丝篇 异界战争,"AI



“”

“”
“”
“”
“”





“”",AI “ ” “ ” “ ” “ ” “ ” “ ”
"来晚了蹭个楼    其实结衣的能力已经超越茅场晶彦的控制了
发一下小说最新篇中对结衣的侧面评价
&gt;和相比我【私】大出不知多少岁的你【君】这样子对话，不论经历了多少次还是会觉得不可思议呢。
&gt;对于现在的你【あんた】来说，好像已经没有时间这个概念了吧？只要硬件资源允许，你应该可以无限提升思维的密度吧。
&gt;虽然理论上是这样，但实际可没那么简单。如今国内的超级计算机基本都在《她》的监控下吧。
&gt;原来如此，真是讽刺啊。毕竟你居然会被自己随手制作后又遗弃掉的程序威胁到了脚下呢。
&gt;不，对我来说反而相当愉悦啊。小小的种子在网络的一角生根发芽，开枝散叶……光是想象一下未来，就觉得原本应该和物理身体一起消失不见的感情正在复活了。
&gt;纵使没有了躯壳，你这浪漫主义的想法还是一点都没变啊。那么……你托付给我，不，应该是《他》的另一个种子，其生根发芽产生的无数世界，你又打算对它们怎么做呢？只是满足于继续观察吗？",2019-12-22 02:16:40,83,0,二三三三呢,6,1,80068273,11,无情的选择,刀剑神域 爱丽丝篇 异界战争,"gt
gt
gt
gt
gt
gt",gt gt gt gt gt gt
