content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"这部是刀剑神域进击篇：无星之夜的咏叹调
遗憾的是三部曲的第一部，也就是这部，没有引进国内影院。
不过好在现在啊b买了版权，没补的可以在啊b补一下这部。
过几天第二部刀剑神域进击篇：黯淡黄昏的诙谐曲，就要引进国内影院了。
大家可以在啊b补完第一部，再去影院观赏第二部。[脱单doge]",2023-05-20 10:06:30,37553,405,Amatsukayui,6,0,741219885,正片,,刀剑神域进击篇：无星之夜,"bb

b",bb b
"本剧场版因为加入了小说没有的原创角色，导致了剧情出现了不同于小说的原创变化，于是原作者川原砾为本剧场版撰写了全新的两个短篇小说《Memorable Song》和《开服次日》，补充了剧情，有兴趣的可以自行搜索阅读
同时还用两个广播剧补充了西莉卡和莉兹贝特开服时的故事BV1bR4y1W7TG
建议配合本剧场版观看",2023-05-20 10:16:31,1605,0,安須由美子,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"Memorable Song
BV1bR4y1W7TG",Memorable Song BV1bR4y1W7TG
回复 @Love奏的天使熊 :真棒。希望真能引进吧。审核制度不是特别好，柯南m26都没引进，不知道后面有没有,2023-05-20 10:20:24,19,0,飞萤焰华,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,Love m26,Love m26
"这里我结合小说正篇 进击篇 特典小说 番外小说 评论音轨 广播剧 等资料
为大家盘点一下 
这部刀剑神域进击篇剧场版无星之夜的咏叹调 
中出现的30个彩蛋或者细节以及各种延伸的补充
时间是按照BD标注的 可能会对不上
因为有五千个字 所以都发在楼中吧[doge]",2023-05-20 10:00:13,11904,233,界之星,6,0,741219885,正片,,刀剑神域进击篇：无星之夜,"30
BD",30 BD
"一：
首先剧场版开头26秒处
米特第一人称视角的右上方处有贝塔测试标志
从小说中可以得知此时封测的最前线是第十层千蛇城
根据小说原文 SAO的封测时间是整个八月
距离封测结束还有1分钟也就是说 
开头这段的时间点为2022年8月31日
几名封测玩家正在尝试突破迷宫区 抵达BOSS房间的门口
哪怕是看到一眼BOSS的模样 也是极大的情报",2023-05-20 10:00:27,1423,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"26


 SAO
1 
2022831
 BOSS
BOSS",26 SAO 1 2022831 BOSS BOSS
"二：
接着来到42秒处
画面右侧的蛇形怪物按照小说的描述名字应该是「禁卫兵‧大蛇」或者「蛇魔‧精英护卫」
（前者出自进击篇1 后者出自进击篇5）
画面左边格挡住蛇形精英怪物的封测玩家
的确就是迪亚贝尔 
除却样貌和装备 
决定性的证据是川原在进击篇剧场版1的评论音轨中说
迪亚贝尔同样看到过此怪在1分13秒处释放的技能
这段可以与之后76分51秒处的地精领主的技能做个对比
确实是一模一样 
被包围时使用的范围技能 附带麻痹效果
进击篇中桐人对于封测时期第十层的回忆可谓是极其糟糕
不断的吐槽这层的迷宫和怪物是多么的变态
这边也顺便补充一下 
进击篇与正篇为一个世界一条时间线
而并非什么平行世界
虽然有很多设定矛盾的地方 但大家可以将其视为优化补丁
（当然也有很多单纯的就是设定出问题的地方）
归属正篇的最新篇章UR篇就与进击篇的内容遥相呼应
ME番外中的蜜月甜蜜时光也经常回忆起进击篇中发生过的往事 
而旧TV第一季第二集其实也是改编的进击篇的内容
（进击篇连载于2011年8月1日-4日 那时动画第一季都没官宣制作）
因为我发现好多朋友都搞错了这些点 所以这边提一嘴",2023-05-20 10:00:37,900,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"42

1 5

 
 
1
113
7651
 
 


 


 

UR
ME 
TV
2011814",42 1 5 1 113 7651 UR ME TV 2011814
"四：
封测的结尾 1分53秒处 
这里只有桐人一人打开了BOSS房间的大门
可即使如此
按照进击篇小说的描述 
桐人还是没能看到这其中的第十层楼层BOSS武士领主的样子
如此理解的话就和小说相照应上了
而这个BOSS武士领主也在剧场版序列之争中出现过",2023-05-20 10:00:55,563,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"153 
BOSS

 
BOSS

BOSS",153 BOSS BOSS BOSS
"五：
接下来来到现实 这部分的细节或者彩蛋是最多的
首先2分23秒处
从评论音轨的透露我们可以确定 
画面的背景是东京标志性的地标涩谷十字路口
而亚丝娜的手机中显示了她的成绩
71.6的偏差值属于是超级学霸的范畴
而背后大屏幕中播送的滚动字幕正是
11月6日下午1点 SAO正式开服的消息",2023-05-20 10:01:05,529,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"223
 


716

1161 SAO",223 716 1161 SAO
"七：
镜头回到餐桌
4分11秒到56秒处
我们可以看到亚丝娜的爸爸 结城彰三
拿着一份英文报纸
这个（4分23）画面中 报纸最大的可见标题的意思是
lnveslment tech startups slumps 科技初创企业下滑
而另一个画面中可以看到报纸的名字是
THE IDNI JOURNAL 某种架空的国际日报
这个细节就很符合亚总父亲企业家的人设",2023-05-20 10:01:34,494,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"41156
 

423 
lnveslment tech startups slumps 

THE IDNI JOURNAL",41156 423 lnveslment tech startups slumps THE IDNI JOURNAL
"八：
接下来5分46秒开始
让我们随着亚丝娜来到她目前就读的学校
位于东京港区的私立永恒女子学院
其原型是始建于1908年的圣心女子学院中学部
是一所贵族女校
这所学校在刀剑神域乃至川原的另一部作品加速世界之中都有很强的存在感
很多渊源纠葛都起始于此 （简而言之就是大BOSS的邪恶大本营） 
不过这边就不多细说了",2023-05-20 10:01:42,436,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜,"546


1908


 BOSS",546 1908 BOSS
