content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"对于hiro来说，从目睹灭门的血案再到将杀害双亲的凶手绳之以法的漫长经历贯穿了他整个童年和少年时代，这其中将他从失语的阴霾中拯救出来的zero是像太阳一样耀眼的存在。
同样是在天台，三年前的11月6日为了救zero的hiro赶上了；然而仅仅一个月后的12月7日，或许只差一步之遥，波本就能阻挡那颗击穿苏格兰心脏的子弹，但降谷零却无法将被警视厅内鬼出卖的诸伏景光从那场既定的死亡中拯救。
命运的玩笑却不允许他留住那个陪伴自己、一路从校服走向警服再一起沉入黑夜的诸伏景光。他们十年如一日地陪伴着彼此，人生中最重要也最普通的日常都一起度过，直到一起跳入黑暗的漩涡，但他们却再也没有机会一起携手回到光明下了。
对于松田阵平来说，小时候在一片“杀人犯的儿子”的恶意中长大，萩原研二能接近他并且两个人亲如手足的缘故一定是因为hagi毫无保留的真诚的友情打动了他。
警校篇中的22岁的诸伏景光看似顾虑很多优柔寡断，实则在面对生死抉择的时候毫不犹豫。而22岁的松田阵平对萩原研二说“我只会踩下油门前进”，实则在萩原研二死后的四年里一直执着地等待、不厌其烦地发着永远不会被已读的短信，不停地递交调换部门的申请，一直准备为他复仇的人还是松田阵平。
景零和萩松彼此之间的羁绊是纯情、决绝又难以释怀的。世界是那么大，谁的离开带走了谁的风景。",2023-03-18 11:46:57,124,0,长安一隅的摘星人,6,1,651193792,原版,,名侦探柯南：万圣节的新娘,"hirozero
116zerohiro127

“”hagi
2222“”",hirozero 116zerohiro127 “ ” hagi 2222 “ ”
啊啊啊啊万圣节的新娘！！！真好看电影院看完b站继续看！！！！55555,2023-03-18 12:57:15,1,0,北极星滴恋曲,5,1,651193792,原版,,名侦探柯南：万圣节的新娘,b55555,b55555
"[夏日冰品_打CALL]
https://b23.tv/Qwn3ofg M25来了！
被无数柯南爱好者评价为“近年表现最出色的一部剧场版”---《名侦探柯南:万圣节的新娘》现已开播！
少年侦探团盛装登场，警校五人组银幕首秀，尘封的往事，宿命的对决，一切的谜团都在等待着你一探究竟！
相信阿购，这世间的真相只有一个--那就是你永远都可以相信柯南！https://b23.tv/UWwIjp6",2023-03-18 10:01:25,3894,27,哔哩哔哩会员购,6,0,651193792,原版,,名侦探柯南：万圣节的新娘,"httpsb23tvQwn3ofg M25
“”

httpsb23tvUWwIjp6",httpsb23tvQwn3ofg M25 “ ” httpsb23tvUWwIjp6
回复 @Burial北鹤 :同期待～只是大概率要到10月才上映了…[笑哭][笑哭],2023-03-19 14:05:50,1,0,6749名柯破案ZhuXian,5,1,651193792,原版,,名侦探柯南：万圣节的新娘,Burial 10,Burial 10
回复 @Burial北鹤 :嗯，是啊[妙啊],2023-03-19 18:04:10,1,0,6749名柯破案ZhuXian,5,1,651193792,原版,,名侦探柯南：万圣节的新娘,Burial,Burial
回复 @lxxhzjt :m8以后就没有好的，异次元的狙击手我无聊到中间睡着，平时再无聊我也还是不会睡的[笑哭]m8真的是绝唱啊，话说现在愿意看剧场版，还是前8部打下的底，这么多年还没有耗光,2023-03-23 23:15:20,4,0,李饮炊,6,1,651193792,原版,,名侦探柯南：万圣节的新娘,lxxhzjt m8m88,lxxhzjt m8m88
"昨晚熬夜了，刚迷迷糊糊睁开眼，看到推送，日常划掉……
等等what？！万圣节的新娘？！！！
迅速打开B站，居然是正片，这我可就不困了[妙啊]",2023-03-18 12:29:09,63,0,千纪-,5,1,651193792,原版,,名侦探柯南：万圣节的新娘,"what
B",what B
回复 @kpop女团OO爱好 :贝克街的亡灵，柯南剧场版的巅峰之作了,2023-03-18 18:31:47,35,0,一条咸鱼游大海,6,1,393727635,中文,,名侦探柯南：万圣节的新娘,kpopOO,kpopOO
回复 @奈落之妖星 :我从M15看到这部，确实算得上这十年里剧场版的前三，矮个里面拔高个，这部节奏配乐都很好，剧情也可以，警校组的回忆、降谷的羁绊、佐藤高木的塑造、boss的设计都可圈可点。就是最后的足球挺生草，但也算不错了,2023-03-19 03:05:25,26,0,祭酒368,6,1,393727635,中文,,名侦探柯南：万圣节的新娘,M15boss,M15boss
回复 @海瑟薇e :我要为绀青之拳说句话，绀青之拳最后传达出了“战争促进科技革新”的思想，当时的时代背景是新加坡高官发言“新加坡是很小的地方，一旦卷入战争新加坡就没了”（不是原话，但大概意思是这样的），然后柯南剧场版就拍了个关于新加坡的战争的故事，还是很耐人寻味的,2023-03-19 23:12:13,55,0,账号已注销,0,1,393727635,中文,,名侦探柯南：万圣节的新娘,e “”“”,e “ ” “ ”
是我平时中配看少了吗？我觉得居然这次中配得还挺不错的，左上角要是配个CCTV6就更有那味了[支持],2023-03-18 12:31:20,563,21,夏天里的小明,6,0,393727635,中文,,名侦探柯南：万圣节的新娘,CCTV6,CCTV6
回复 @困的睡不着zZ : 一开始取消台配后都是感情过于丰富的朗读腔调，全是感情没有人物的灵魂，听着确实别扭，都切到原版看去了，奈何从小就是看中配的日配也看不习惯，差不多都快要弃坑了，不过现在也带入角色了，说明内地Cv也发展很好了,2023-05-30 06:34:42,12,0,VjEd,6,1,393727635,中文,,名侦探柯南：万圣节的新娘,zZ  Cv,zZ Cv
哈哈今天cctv6还真播了,2024-02-18 17:05:42,3,0,烟雨归处,6,1,393727635,中文,,名侦探柯南：万圣节的新娘,cctv6,cctv6
这确实在C6播了 去年年底M26上映前首播的[脱单doge],2024-11-26 14:15:03,0,0,小约翰薯片袋,6,1,393727635,中文,,名侦探柯南：万圣节的新娘,C6 M26,C6 M26
