content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @XINTA0 :刀片管饱,2020-10-03 02:16:10,290,0,一枚魂淡,6,1,457273039,1,两面宿傩,咒术回战,XINTA0,XINTA0
回复 @XINTA0 :就没有几集是没在不打的，闲的没事停下来也是在准备打的路上，打着打着就增强了角色塑造，塑造着塑造着成型的角色就在打戏中领便当，可能你看着这个角色前一集把flag吃回去了，过几集又给吐出来了。,2020-10-03 02:36:28,4138,0,安Adachisakura,6,1,457273039,1,两面宿傩,咒术回战,XINTA0 flag,XINTA0 flag
回复 @Evralies :领便当的有没有把便当吐出来的[热词系列_知识增加],2020-10-03 02:53:18,237,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战,Evralies,Evralies
Eve主唱的OP主題曲完整版指路BV1W54y1k7MZ/,2020-10-03 02:58:25,39,0,RyokuShaka,3,1,457273039,1,两面宿傩,咒术回战,EveOPBV1W54y1k7MZ,EveOPBV1W54y1k7MZ
回复 @Evralies :jojo直呼内行,2020-10-03 10:07:48,56,0,屑の魔女き,6,1,457273039,1,两面宿傩,咒术回战,Evralies jojo,Evralies jojo
回复 @Silver_Winter :那我姑且先观望一下[tv_鬼脸],2020-10-03 12:59:33,13,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战,SilverWinter,SilverWinter
回复 @歇洛克・福尔摩斯 :不是信口开河5t真能单杀20指宿傩，但是单杀不了19指1头十影宿傩,2025-09-30 13:09:11,56,0,幽默上了,5,1,969983283,2,为了自己,咒术回战,5t20191,5t20191
回复 @KatenDenka :....,2020-10-18 08:49:36,4,0,ゆきしろ_,6,1,542467017,3,铁娘子,咒术回战,KatenDenka,KatenDenka
回复 @KatenDenka :23333,2020-10-27 19:12:15,6,0,枫子不中二,6,1,542467017,3,铁娘子,咒术回战,KatenDenka 23333,KatenDenka
回复 @KatenDenka :这波是猜剧本太准了了hhhhhh（ ﾟдﾟ ）,2020-10-31 12:28:10,222,0,关沐夕月,5,1,542467017,3,铁娘子,咒术回战,KatenDenka hhhhhh,KatenDenka hhhhhh
回复 @bbnmko :漫画是直接护住了才没事的，动画是先肉身撞穿几栋楼才护的，惠原来你也是个猩猩[笑哭],2020-10-31 09:12:38,1328,0,阿阿阿阿阿卡林,6,1,627505948,5,咒胎戴天 二,咒术回战,bbnmko,bbnmko
回复 @zeroeven :其实还是有点奇怪的，咒术回战里的战斗系统突出一个“公平”，有得必有失，他爹甚尔逆天的肉体能力是靠献祭了所有的咒力得来的，伏黑惠的咒力这么强还这么抗揍其实不科学，比较合理的解释应该是靠咒力抵挡了部分伤害,2020-10-31 09:55:12,1581,0,枯叶雨飒飒,6,1,627505948,5,咒胎戴天 二,咒术回战,zeroeven “”,zeroeven “ ”
回复 @zeroeven :那个天与咒傅不能遗传的吧,2020-10-31 10:02:46,56,0,墨蛋清343,6,1,627505948,5,咒胎戴天 二,咒术回战,zeroeven,zeroeven
"回复 @冯小瑾 :咒术回战 no
猩猩惠战 yes",2020-10-31 11:59:19,107,0,藤野dark树,6,1,627505948,5,咒胎戴天 二,咒术回战,"no
 yes",no yes
"woc,nb",2020-11-14 19:40:09,14,0,辰风的叶子,6,1,457694053,6,雨后,咒术回战,wocnb,wocnb
回复 @____IKobe :不，更强，基本就是天花板守门员，楼主说比他强的不超过十个实际上已经很保守了，现在能暴打他的只有天花板，这以下的基本都是被他暴打的,2020-11-14 01:46:05,11059,0,蓝魔法,6,1,500328093,7,急袭,咒术回战,IKobe,IKobe
咒回两大天花板都他自己招惹的，怪谁hhhhhh,2020-11-14 01:50:20,7280,0,快捷言灵,6,1,500328093,7,急袭,咒术回战,hhhhhh,hhhhhh
回复 @23729045371_bili :乙骨目前实力还不明，但是由惠召唤出来的虚魔罗拥有专门针对咒灵的退魔之剑以及最强的适应性能，古时还杀过和五条一样六眼无下限的五条家主（当然现在的五条老师肯定比哪个五条家主强），宿傩一开始开领域都没能把他切死，我觉得算是天花板之一,2020-11-14 01:59:42,2459,0,蓝魔法,6,1,500328093,7,急袭,咒术回战,23729045371bili,23729045371bili
"回复 @Silver_Winter :不[妙啊]
从这仨打闹弄脏5t5超贵衬衫那里可以看出，惠也经常被迫害[Cat_pressure]",2020-11-21 09:11:26,3069,0,Silver弹丸,6,1,712850969,8,无聊,咒术回战,"SilverWinter 
5t5",SilverWinter 5t5
回复 @Silver弹丸 :嗯？？求5t衬衫被弄脏出处,2020-11-21 11:34:38,139,0,57880396139_bili,4,1,712850969,8,无聊,咒术回战,Silver 5t,Silver 5t
回复 @57880396139_bili :漫画一百多话的小番外,2020-11-21 11:37:41,81,0,秦秦秦秦秦秦gin,6,1,712850969,8,无聊,咒术回战,57880396139bili,57880396139bili
回复 @5t5跳舞m7m骑马 :谢啦～惠是挨揍了嘛哈哈,2020-11-21 11:41:10,42,0,57880396139_bili,4,1,712850969,8,无聊,咒术回战,5t5m7m,5t5m7m
回复 @57880396139_bili :漫画126话开头野蔷薇受重伤时的走马灯回忆（老实人伏黑总是吃亏的那个）。动画估计拍不到吧。,2020-11-21 11:41:20,259,0,adnap0627,6,1,712850969,8,无聊,咒术回战,57880396139bili 126,57880396139bili 126
回复 @adnap0627 :的确半年番不知道能不能涉谷篇哦。。心疼蔷姐～谢谢你的回复,2020-11-21 11:42:08,91,0,57880396139_bili,4,1,712850969,8,无聊,咒术回战,adnap0627,adnap0627
回复 @adnap0627 :只有惠被5t揍了嘛哈哈,2020-11-21 11:42:33,57,0,57880396139_bili,4,1,712850969,8,无聊,咒术回战,adnap0627 5t,adnap0627 5t
回复 @57880396139_bili :五条老师对学生很友善，怎么会为了区区一件25万日元的衬衫就生气呢23333,2020-11-21 12:24:11,276,0,adnap0627,6,1,712850969,8,无聊,咒术回战,57880396139bili 2523333,57880396139bili 2523333
回复 @Silver弹丸 :什么时候的事，[妙啊][妙啊]漫画第几话,2020-11-21 12:40:50,9,0,人一口鸟_,6,1,712850969,8,无聊,咒术回战,Silver,Silver
回复 @57880396139_bili :感觉25只能做到交流会结束顶多往后来一点,2020-11-21 13:28:26,30,0,c罗nikoUZI,6,1,712850969,8,无聊,咒术回战,57880396139bili 25,57880396139bili 25
回复 @bluegreenpink2333 :乙骨只是太乖了吧[笑哭]其实也算不上尊敬（他还吐槽五条来着）但其他人确实是一点都不尊敬,2020-12-05 10:44:14,300,0,四一de养成日记,6,1,245581288,10,无为转变,咒术回战,bluegreenpink2333,bluegreenpink2333
回复 @MILAOWUUUU :他俩大概只会互相拆台拆到打起来（确信）,2020-12-05 11:14:55,142,0,printscanf,6,1,245581288,10,无为转变,咒术回战,MILAOWUUUU,MILAOWUUUU
冷知识：5t5目前28岁，七海27岁，伊地知先生26岁,2020-12-12 02:19:28,38818,204,聪明的凯罗斯,6,0,245558954,11,守旧愚蠢,咒术回战,5t5282726,5t5282726
回复 @进击的nensa :艾伦和吉克•耶格尔[doge],2021-01-23 15:02:24,67,0,凯尔瓦城的斯戴芬,6,1,801297455,15,京都姐妹校交流会-团体战①-,咒术回战,nensa,nensa
我也是hhhhhhhh,2021-01-23 15:33:09,2,0,看到什么你,6,1,801297455,15,京都姐妹校交流会-团体战①-,咒术回战,hhhhhhhh,hhhhhhhh
朋克老头hhhhhhhhh,2021-02-15 23:23:08,64,0,我家的小猩猩,6,1,671718780,18,贤者,咒术回战,hhhhhhhhh,hhhhhhhhh
回复 @SKi梅知故 :hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh离谱,2021-02-16 04:16:41,2,0,我的建议是爪巴,6,1,671718780,18,贤者,咒术回战,SKi hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,SKi hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
我satoru了！,2021-02-21 04:39:29,87,0,LiYst,6,1,246756747,19,黑闪,咒术回战,satoru,satoru
