content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
hahahahahaha,2023-08-31 20:30:33,33,0,一鸭一呀呦,5,1,960342479,2,怀玉 -弍-,咒术回战 第二季,hahahahahaha,hahahahahaha
回复 @墨七同学official :艹,2023-09-28 23:07:48,10,0,快播星探,6,1,958890085,6,这么一回事,咒术回战 第二季,official,official
天元突破番外篇.JPG，咒术官方游戏http://infopage02.tokyosaga.com/UuPcEE,2024-12-20 17:04:12,25,0,画图题目是啥意思,4,0,406665699,7,前夜祭,咒术回战 第二季,JPGhttpinfopage02tokyosagacomUuPcEE,JPGhttpinfopage02tokyosagacomUuPcEE
"L 

   
    0@。。。。
  。。。。。。。。。",2023-10-20 22:39:58,4,0,Relfea_時音,5,1,747313014,9,涩谷乱变 开门,咒术回战 第二季,"L 

   
    0",L 0
回复 @猛戳cpu :动漫里有说，因为5t5不确定0.2s的领域展开对特级咒灵的影响，判断不一定能瞬杀，所以选择先救人,2023-10-25 15:24:05,310,0,ccs酱,6,1,747313014,9,涩谷乱变 开门,咒术回战 第二季,cpu 5t502s,cpu 5t502s
回复 @猛戳cpu : 五条悟主要攻击手段全是核爆，这里都是平民啊-平A估计秒不掉真人，这点还是宿傩厉害，估计就一个斩的事,2023-10-28 01:11:14,172,0,乙骨丶忧太,6,1,747313014,9,涩谷乱变 开门,咒术回战 第二季,cpu  A,cpu A
回复 @ZeronLim :没有枪头就捅不死人吗[doge],2023-11-09 23:59:17,11,0,呆瓜茄子,6,1,790692570,12,钝刀,咒术回战 第二季,ZeronLim,ZeronLim
哈哈哈哈那边都玩上cosplay了哈哈哈,2023-11-17 11:54:07,151,0,想自律的小檀_,5,1,875906274,13,赫鳞,咒术回战 第二季,cosplay,cosplay
回复 @JKIRn :那个芬达海差点把我笑死,2023-11-18 13:36:59,13,0,橘子百香果,6,1,875906274,13,赫鳞,咒术回战 第二季,JKIRn,JKIRn
Mappa:我们已经尽力在c了，无奈作者不重视自己的亲人，我们也没办法[笑哭],2023-11-18 17:44:06,90,0,BAKAの转转,6,1,875906274,13,赫鳞,咒术回战 第二季,Mappac,Mappac
回复 @Mr丶绅士 :我看了好几年番了，从城市猎人、鲁邦三世到eva、gto，从犬夜叉柯南到死笔野良神，再到宅腐恋这种相对小众的番，国漫就更不用说了，也算看过不少，我也不知道。,2023-12-08 07:56:02,152,0,l一笑而过l,6,1,964099478,15,摇荡-弍-,咒术回战 第二季,Mr evagto,Mr evagto
回复 @bili_56548118467 :为了凸显高速动作下的震撼感，业界会使用那种，以帧为单位在闪烁的背景，一秒24帧可能就12帧亮12帧暗，亮暗帧交替。人眼察觉不到明显闪烁，但是会觉得视觉效果很震撼，画面张力很足。但是闪烁的时候亮度差过大会让一部分观众光敏性癫痫，所以电视播出的版本会被电视台手动调低亮度，之后发售的bd则不会有这个问题，能享受最好的视觉体验。一直亮着就没有这样高频闪烁的视觉效果,2023-12-08 10:29:32,104,0,123shaki,6,1,964099478,15,摇荡-弍-,咒术回战 第二季,bili56548118467 241212bd,bili56548118467 241212bd
回复 @bili_56548118467 :公主连结第二季的op中间高潮部分也是高速运镜把画面调暗了 只能说看番不够多了,2023-12-08 11:20:58,18,0,摩可摩可酱,6,1,964099478,15,摇荡-弍-,咒术回战 第二季,bili56548118467 op,bili56548118467 op
回复 @bili_56548118467 :我懒得吐槽了[辣眼睛]建议多看,2023-12-08 11:29:22,4,0,Mr丶绅士,6,1,964099478,15,摇荡-弍-,咒术回战 第二季,bili56548118467,bili56548118467
回复 @Mr丶绅士 : 啊这，问个问题不是很正常吗，而且连看个动漫还要分圈内圈外吗66,2023-12-08 12:36:25,25,0,神金居士,6,1,964099478,15,摇荡-弍-,咒术回战 第二季,Mr  66,Mr 66
回复 @翊之逸 :如果说的是四大特级咒术师的话，都比四天灾厉害，首先夏油自己可以操作各种强力特级和使用其力量自然不说，乙骨咒术量拥有满手指宿傩一半也很强了，99自身拥有领域（虽然未使用）的情况下还有小型黑洞这种杀招。，5T5咒术师天花板不用评价。4天灾最强的壶宝根本碰瓷不了4特级,2023-12-14 21:30:05,210,0,刘abcdefg,6,1,494628217,16,霹雳,咒术回战 第二季,995T544,995T544
回复 @SALIL :前十肯定碰不了；宿傩、五条、脑花、乙骨、九十九、夏油杰这就六个了；下来秤、万、高羽三个准特、鹿紫云一没领域不好说，里梅能不能比漏壶强要看领域，有领域里梅也强于漏壶，目前来看，漏壶要跟石榴龙争前十,2023-12-14 22:12:36,23,0,账号已注销,0,1,494628217,16,霹雳,咒术回战 第二季,SALIL,SALIL
宿傩开放式领域是半径140m，但是光看动画表现力我以为是半径1.4公里[doge],2023-12-21 21:58:17,9812,101,KongqiYa,6,0,750041729,17,霹雳-弍-,咒术回战 第二季,140m14,140m14
领域半径是200m，这里为了不伤害伏黑惠改到140m了。动画的表现力像是半径几公里,2023-12-21 22:54:21,912,0,Rhinesto,6,1,750041729,17,霹雳-弍-,咒术回战 第二季,200m140m,200m140m
回复 @此面向敌Claymore :[大哭],2024-01-05 17:27:08,1,0,大大的无常君,5,1,878161565,19,理非-弍-,咒术回战 第二季,Claymore,Claymore
回复 @neuro_ : 是改造人,2024-01-07 18:33:42,3,0,starlightverse,6,1,878161565,19,理非-弍-,咒术回战 第二季,neuro,neuro
