content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
可御可萝su ki[芮小凸小凹_心动],2023-01-12 00:17:41,36,0,蓝色黑色红色白色,6,1,990019235,1,防御特化与圣诞节。,因为太怕痛就全点防御力了 第二季,su ki,su ki
回复 @-Archbishop- :太刀！平板！小丛雨！,2023-01-12 00:50:39,38,0,活骸零,6,1,990019235,1,防御特化与圣诞节。,因为太怕痛就全点防御力了 第二季,Archbishop,Archbishop
回复 @ememmmmmmmmm :评论的选项里有图片的选项,2023-01-11 23:59:31,61,0,_-此账号已注销-_,6,1,990019235,1,防御特化与圣诞节。,因为太怕痛就全点防御力了 第二季,ememmmmmmmmm,ememmmmmmmmm
回复 @在睡了在睡了但睡不着 :时间有点儿久我忘记具体内容了，当初看的说法好像是这东西本来是应该在后面的层拿到线索再回来打的隐藏boss，属于藏在开放上限60级地区的80级团本这样的感觉,2025-10-06 16:12:04,3,0,永夜的圆舞曲,6,1,477934343,2,防御特化与第五层与第六层。,因为太怕痛就全点防御力了 第二季,boss6080,boss6080
"一般来说都是一些麻烦不好画的运动镜头用3d,动得快也不会让3D太明显，但这连一些简单的对话特写镜头都用3D了，说明那几卡找不到人画无耐只能丢给3D一起搞了",2023-01-26 13:04:53,80,0,時见tKim,6,1,523333240,3,防御特化与第七届活动。,因为太怕痛就全点防御力了 第二季,3d3D3D3D,3d3D3D3D
可能是剧情需要，第二层的怪所有技能都是纸质的，可能2D搞起来由花经费效果也一般，3D倒是把“纸质”这一点很好的表现出来了,2023-01-26 14:40:30,19,0,羽亦娑,6,1,523333240,3,防御特化与第七届活动。,因为太怕痛就全点防御力了 第二季,2D3D“”,2D3D “ ”
低成本的洗礼下，除了Q版没背景的省钱法，大场景全3D省钱是我觉得最靠谱的了。反正现在技术也越来越好了，多点3D保证质量也没啥问题,2023-01-26 15:13:05,11,0,慵懒De小咸鱼,6,1,523333240,3,防御特化与第七届活动。,因为太怕痛就全点防御力了 第二季,Q3D3D,Q3D3D
回复 @Bullepop :有没有可能从第一季开始，那几个策划就是3d的样子[doge],2023-01-26 18:08:52,80,0,残破丿灬岁月,6,1,523333240,3,防御特化与第七届活动。,因为太怕痛就全点防御力了 第二季,Bullepop 3d,Bullepop 3d
回复 @莫允NOneY :所以这下横也不是竖也不是，太难为银链和大沼心了[笑哭],2023-01-26 01:06:22,25,0,繁华谜诚,6,1,523333240,3,防御特化与第七届活动。,因为太怕痛就全点防御力了 第二季,NOneY,NOneY
回复 @你狼哥z :9494,2023-02-03 11:26:49,1,0,超级阿八怪,5,1,693728454,4,防御特化与塔攻略。,因为太怕痛就全点防御力了 第二季,z 9494,z 9494
回复 @随意AAAAA :其他玩家可以不用挑战最高难度啊，一开始说了分难度了,2023-02-01 23:59:11,122,0,游梦调转的梦游憨憨,5,1,693728454,4,防御特化与塔攻略。,因为太怕痛就全点防御力了 第二季,AAAAA,AAAAA
回复 @唯爱portrait :她自己速度不快但有坐骑和变身，速度还是挺快的,2023-02-02 00:07:09,57,0,嗜血灬幽冥之殇,6,1,693728454,4,防御特化与塔攻略。,因为太怕痛就全点防御力了 第二季,portrait,portrait
建议百分比伤害，或者百分比debuff,2023-02-02 00:10:51,17,0,紫薇大魔仙,5,1,693728454,4,防御特化与塔攻略。,因为太怕痛就全点防御力了 第二季,debuff,debuff
回复 @cgy2468 :我去 什么mc,2023-02-09 02:09:48,17,0,_Tokisaki_,6,1,481396479,5,防御特化与触手。,因为太怕痛就全点防御力了 第二季,cgy2468  mc,cgy2468 mc
回复 @cgy2468 :是被打断的触手掉地上的,2023-02-09 03:09:51,36,0,依然漂泊心,3,1,481396479,5,防御特化与触手。,因为太怕痛就全点防御力了 第二季,cgy2468,cgy2468
hhhhh,2023-03-30 00:21:38,15,0,很酷一只小熊猫,6,1,994242484,7,防御特化与寻找宝石。,因为太怕痛就全点防御力了 第二季,hhhhh,hhhhh
tv在这里表现不行，双胞胎的一套平a，对非血牛或者高抗性的怪都是秒杀，第四层层主boss都扛不住双胞胎一下，双胞胎的输出能力是全服唯一天花板，而这个副本的一个小怪能抗住一下，对一般玩家而言其肉度可想而知,2023-04-27 21:56:06,27,0,未来de每一天,6,1,312325657,9,防御特化与建立据点。,因为太怕痛就全点防御力了 第二季,tvaboss,tvaboss
回复 @chris0603LL :对，他们只是出演了小说里的路人角色。逻辑上不一定是同一个人，如果有下一季的话两次大型活动估计还要参演各种路人[吃瓜],2023-04-14 02:19:51,17,0,血梦神愿,6,1,312325657,9,防御特化与建立据点。,因为太怕痛就全点防御力了 第二季,chris0603LL,chris0603LL
overload？,2023-06-03 17:52:49,3,0,赤开团时,5,1,613972152,10,防御特化与新搭档。,因为太怕痛就全点防御力了 第二季,overload,overload
回复 @心思单纯癫心素 :日本这种pc或者主机的大作都是买断制游戏，不过按照目前的内容来看，估计售价和gta5大表哥一个级别，,2024-12-04 09:52:18,2,0,saide番薯,6,1,613972152,10,防御特化与新搭档。,因为太怕痛就全点防御力了 第二季,pcgta5,pcgta5
行，三大顶级公会联合组队，最后boss是不是得来个25人副本[doge],2023-05-25 02:08:57,830,11,夜的休止符,6,0,613972152,10,防御特化与新搭档。,因为太怕痛就全点防御力了 第二季,boss25,boss25
回复 @bili_24384024 : 建议认真看下第一季，公会战大枫树排名第十[辣眼睛],2023-06-17 02:45:10,45,0,ゼノビア,5,1,869379333,12,防御特化与大决战。,因为太怕痛就全点防御力了 第二季,bili24384024,bili24384024
回复 @GR7878 :哈哈哈哈哈哈,2023-06-17 13:05:44,1,0,玉居酱,5,1,869379333,12,防御特化与大决战。,因为太怕痛就全点防御力了 第二季,GR7878,GR7878
俩妹子的队是一个buff姬一个狂战士，一男一女是男狙击手女召唤师兼buff（合力能一发直接干出女主锁血）,2023-06-08 01:10:44,648,0,殒梦华殇,6,1,869379333,12,防御特化与大决战。,因为太怕痛就全点防御力了 第二季,buffbuff,buffbuff
