content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @Esson丶Z :也是叫波奇[doge],2023-04-14 01:27:13,203,0,夏之森,6,1,312421175,1,卡克的差事 | 王子和金钱,国王排名 勇气的宝箱,EssonZ,EssonZ
回复 @Esson丶Z :一个人oo的日子,2023-04-14 01:29:35,60,0,夏之森,6,1,312421175,1,卡克的差事 | 王子和金钱,国王排名 勇气的宝箱,EssonZ oo,EssonZ oo
回复 @艾梦友 :一里波知，念做hitori bocchi（独自一人），一个人OO的小日子的主角,2023-04-14 09:46:25,39,0,一条大橘猫丶,6,1,312421175,1,卡克的差事 | 王子和金钱,国王排名 勇气的宝箱,hitori bocchiOO,hitori bocchiOO
回复 @亮CHN-PJ :有的我喜欢,2023-04-14 17:32:20,0,0,夏之森,6,1,312421175,1,卡克的差事 | 王子和金钱,国王排名 勇气的宝箱,CHNPJ,CHNPJ
回复 @ivyliketree :不是很清楚[微笑],2023-04-14 01:47:42,6,0,咕咕w嘎嘎,6,1,312421175,1,卡克的差事 | 王子和金钱,国王排名 勇气的宝箱,ivyliketree,ivyliketree
回复 @呱呱A1 :回复 @呱呱A1 :什么是热血的子供番的意思啊？,2023-04-14 09:15:35,2,0,爱睡的乖乖,5,1,312421175,1,卡克的差事 | 王子和金钱,国王排名 勇气的宝箱,A1  A1,A1 A1
回复 @juinv :神说不上，没有乱搞就行,2023-04-29 15:12:20,2,0,夏之森,6,1,612903690,3,希琳的旧友 | 戴达与魔法,国王排名 勇气的宝箱,juinv,juinv
goodluck[保佑],2023-04-29 14:02:19,0,0,LSYever,6,1,612903690,3,希琳的旧友 | 戴达与魔法,国王排名 勇气的宝箱,goodluck,goodluck
回复 @myst_aa :那你不好把作品名改成《米兰乔的救赎》、《我要去米兰乔为妻》、《我是米兰乔之两代国王爱上我》？,2025-08-02 11:39:09,0,0,已经改好了的陈金默,5,1,443460608,5,冥府的规定|坠入爱河的白马 | 善良的士兵霍库洛,国王排名 勇气的宝箱,mystaa,mystaa
和我们一起来追原作漫画吧，传送门:https://manga.bilibili.com/detail/mc31122?from=czxcdnx,2023-06-05 15:18:40,962,0,哔哩哔哩漫画,6,0,356303563,6,成为国王的波吉 | 戴达王的烦恼,国王排名 勇气的宝箱,httpsmangabilibilicomdetailmc31122fromczxcdnx,httpsmangabilibilicomdetailmc31122fromczxcdnx
回复 @WiJn_13 :欧肯被治好了了啊，德斯哈接受国王排名第一，让欧肯恢复，然后他也失忆流浪le,2023-05-19 18:05:28,9,0,YAINHOLMES,6,1,356303563,6,成为国王的波吉 | 戴达王的烦恼,国王排名 勇气的宝箱,WiJn13 le,WiJn13 le
回复 @YAINHOLMES :哦好像是，正片有点忘了，你说流浪我就想起来了,2023-05-19 19:32:11,2,0,WiJn13,6,1,356303563,6,成为国王的波吉 | 戴达王的烦恼,国王排名 勇气的宝箱,YAINHOLMES,YAINHOLMES
回复 @bili_99834289910 : 米兰乔是从小就很惨所以才变坏的，当然后期做的坏事也牵扯到了很多无辜的人,2023-05-20 21:06:52,5,0,chiban-shadow,5,1,356303563,6,成为国王的波吉 | 戴达王的烦恼,国王排名 勇气的宝箱,bili99834289910,bili99834289910
回复 @bili_41932847524 :最后一集最后吧，以及后期漫画,2023-05-21 00:27:48,0,0,YAINHOLMES,6,1,356303563,6,成为国王的波吉 | 戴达王的烦恼,国王排名 勇气的宝箱,bili41932847524,bili41932847524
漫画党，集合！传送门:https://manga.bilibili.com/detail/mc31122?from=czxgben,2023-06-05 10:35:54,955,2,哔哩哔哩漫画,6,0,911816930,8,卡克的憧憬 | 伟大的母亲,国王排名 勇气的宝箱,httpsmangabilibilicomdetailmc31122fromczxgben,httpsmangabilibilicomdetailmc31122fromczxgben
回复 @千代田桃_Official :我去，桃，,2023-06-18 19:48:04,0,0,干饭貔天禄,6,1,911816930,8,卡克的憧憬 | 伟大的母亲,国王排名 勇气的宝箱,Official,Official
回复 @Roloff :这么形象,2023-06-09 19:21:33,1,0,Jerry999X,6,1,912043309,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,Roloff,Roloff
回复 @Samxqp20 : 童话基本都是鞋垫,2023-07-17 23:14:26,3,0,ZG扎根,6,1,997211437,10,剑王复活,国王排名 勇气的宝箱,Samxqp20,Samxqp20
