content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
一个人的OP，一个人的ED，一个人撑起一部剧，一个人拿下4月第一,2016-04-09 10:50:06,26729,40,御夜萌泷,6,0,4305747,1,一年2班 坂本君,在下坂本，有何贵干？,OPED4,OPED4
回复 @YPHeng:七八年就能学到吗，太轻松了吧...,2016-04-30 08:30:05,24,0,未来在群星之中,6,1,4497569,3,跑腿小弟坂本,在下坂本，有何贵干？,YPHeng,YPHeng
回复 @Fatery :对啊，前几集的蜜蜂也是，好多人都怂恿坂本拍死蜜蜂，结果他用圆规夹住放出去（这尼玛谁做得来啊！），操场那条走丢的狗也是即使注意到。,2016-05-06 19:06:34,300,0,Raime雾雨,6,1,4569184,4,坂本是色狼吗,在下坂本，有何贵干？,Fatery,Fatery
回复 @沇惜 :所以说这是值得我们追的番呀~很少动画有这么多细节了~（不要在意坂本のzb方式233,2016-05-07 11:20:37,12,0,Fatery,6,1,4569184,4,坂本是色狼吗,在下坂本，有何贵干？,zb233,zb233
低仿球(ಡωಡ)hiahiahia,2016-05-13 09:25:21,7,0,人类最强一米-,6,1,4635354,5,超凡脱俗的不良少年8823学长,在下坂本，有何贵干？,hiahiahia,hiahiahia
回复 @孤屿sad :＋10086，吹爆王大头,2019-05-02 17:53:11,0,0,温带寂风,6,1,4635354,5,超凡脱俗的不良少年8823学长,在下坂本，有何贵干？,sad 10086,sad 10086
回复 @孤屿sad :介绍一下b站暴走叫啥,2020-06-23 07:25:28,0,0,某up粉丝,6,1,4635354,5,超凡脱俗的不良少年8823学长,在下坂本，有何贵干？,sad b,sad b
回复 @murochin :嗯，只有直条式意大利面是这样下锅的~~煮水加油盐，水滚开了撒花散开插入意大利面~~,2016-05-20 12:54:56,139,0,夏柏的丙烯,5,1,4705284,6,放学路上的规则,在下坂本，有何贵干？,murochin,murochin
回复 @Shiu酱 : 你了解坂本想吃意大利面的心情吗23333 吃货坂本,2016-05-20 17:50:10,51,0,夏柏的丙烯,5,1,4705284,6,放学路上的规则,在下坂本，有何贵干？,Shiu  23333,Shiu
阈下知觉（subliminal perception）低于阈限的刺激所引起的行为反应。作用于各种感受器的适宜刺激，必须达到一定的强度才能引起感受。那种刚刚引起感受的最小刺激量，称为绝对感觉阈限。低于绝对阈限的刺激，虽我们感觉不到，但却能引起一定的生理效应。,2016-05-20 10:09:40,9200,204,jump轻松熊,6,0,4705284,6,放学路上的规则,在下坂本，有何贵干？,subliminal perception,subliminal perception
为什么不是extrasensory perception 23333,2016-05-20 19:19:46,64,0,grass_mud_horse,6,1,4705284,6,放学路上的规则,在下坂本，有何贵干？,extrasensory perception 23333,extrasensory perception
回复 @TUTEN哒 :だから,2020-02-18 23:58:32,3,0,咲夜丶丿,6,1,4775518,7,坂本果然是色狼吗?,在下坂本，有何贵干？,TUTEN,TUTEN
na lu ho do~,2020-04-02 11:33:13,2,0,重生之偶是一瓶口香糖,5,1,4775518,7,坂本果然是色狼吗?,在下坂本，有何贵干？,na lu ho do,na lu ho do
回复 @池袋暴君平和岛:wwwww对哇对，好暖男,2016-06-09 19:33:28,32,0,本咸鱼抱着你家咸鱼,5,1,4846969,8,忧郁的文化祭,在下坂本，有何贵干？,wwwww,wwwww
回复 @SilentGate:boqi？,2016-06-17 13:39:00,0,0,用户名字被狗吃了,6,1,4996796,10,魔王,在下坂本，有何贵干？,SilentGateboqi,SilentGateboqi
回复 @海未酱poi:可以，这很8823,2016-06-18 21:15:26,160,0,坂本゙゙゙,6,1,4996796,10,魔王,在下坂本，有何贵干？,poi8823,poi8823
回复 @金珂刺秦王:interesting,2016-06-25 19:50:35,7,0,危险人物b,6,1,5072788,11,不要温度,在下坂本，有何贵干？,interesting,interesting
hhhhhhhhhh,2016-06-28 22:49:51,3,0,赤風,6,1,5072788,11,不要温度,在下坂本，有何贵干？,hhhhhhhhhh,hhhhhhhhhh
呵呵 1111GET,2016-06-24 09:29:37,108,0,爱蜜莉雅,5,1,5072788,11,不要温度,在下坂本，有何贵干？,1111GET,1111GET
回复 @mbwzxc :请问这位会员在落第的精彩评论在第几集,2016-07-03 01:07:22,0,0,无英,6,1,5154880,12,再见 坂本君,在下坂本，有何贵干？,mbwzxc,mbwzxc
说一说，这话原本不是ova，是和毕业那里连到一起的，但是由于熊本地震，第13话改为BD发售。(逸站本来就买了13话),2016-10-09 00:28:03,35993,177,账号已注销,0,0,6601286,13,TV未放送,在下坂本，有何贵干？,ova13BD13,ova13BD13
"看完过后我还是有点蜜汁感动  虽然很多人说坂本是部挺无聊的番  但我觉得坂本作为一部搞笑日常动画还是不错的  虽然比坂本笑料多的番有一大堆  但坂本这种装逼配合大家的弹幕看起来是最棒的  坂本若是单纯的看番肯定比不上在B站看来得欢乐  说白了  坂本看的就是一个气氛  大家一起刷着“参见逼王”“可怜你帅不赢坂本大佬”“牛顿气哭”之类的  我不知道别人感受怎么样  总之我个人觉得欢乐十足  这集估计是真没了  以后都没了
再见了，逼王！再见了，坂本！",2016-10-08 23:13:47,24193,202,14具碎尸,6,0,6601286,13,TV未放送,在下坂本，有何贵干？,B      “”“”“”,B “ ” “ ” “ ”
