content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
hhhhh我想到的是哪个十四岁北大的作家,2023-02-12 14:19:54,0,0,蒲公英的无忧,5,1,9698756,1,妹妹与不可进入之屋,埃罗芒阿老师,hhhhh,hhhhh
回复 @6yyy6颜 :二十一了都哈哈哈哈哈,2023-02-21 20:17:33,2,0,牛肉拉面胡辣汤,6,1,9698756,1,妹妹与不可进入之屋,埃罗芒阿老师,6yyy6,6yyy6
回复 @陆饮溪-deer :2023考古[脱单doge],2023-04-08 17:32:41,0,0,傲龙-凌雪,5,1,9698756,1,妹妹与不可进入之屋,埃罗芒阿老师,deer 2023,deer 2023
回复 @SunbreakJohn :[热词系列_递话筒],2021-09-05 20:50:21,2,0,忄京忝_吙喍亻,6,1,9854952,2,现充班长与无畏妖精,埃罗芒阿老师,SunbreakJohn,SunbreakJohn
"《俺妹》和《黄鳗》其实都是非常成功的人生。

京介：平凡的高中生攻略超多妹子，单手吊打我们单身狗

桐乃：14岁就成为模特，写的轻小说被动画化，用自己的工资入了超多galgame，吊打你们Steam库和Origin库。

正宗：小学五年级写网络小说（轻小说内容），升入初中就成为轻小说作家，高一已经小有名气，更新速度快，拥有完结作品，稿费养活自己和妹妹，生活自律精神自强。

纱雾：最大的BUG人物，九岁（正宗上初中）就成为插画家并帮正宗画插画，竟然还是工口向的！十二岁已经成为大画触，没事搞搞网络直播，做点游戏实况（轻小说内容），直播素质很专业，长得清甜可爱，前途一片光明。

我：无法自律生活，作息一片混乱，白天学校挂机，晚上玩游看番。整天想着干大事，至今一事无成。

看了这么励志的人生，这么精彩的人生，我这种死宅有什么资格在电脑前看番，我要赶紧去奋斗成为人生赢家啊！！",2017-04-23 01:00:12,10521,81,哲♂学号阿姆斯特朗炮,6,0,10024652,3,全○之馆与堕落之主,埃罗芒阿老师,"14galgameSteamOrigin



BUG",14galgameSteamOrigin BUG
回复 @最高速GO :拐回个daguzi怎么办,2017-04-23 09:00:10,15,0,夜下之森,6,1,10024652,3,全○之馆与堕落之主,埃罗芒阿老师,GO daguzi,GO daguzi
回复 @最高速GO:hhhre:ceater,2017-04-23 09:41:16,6,0,账号已注销,0,1,10024652,3,全○之馆与堕落之主,埃罗芒阿老师,GOhhhreceater,GOhhhreceater
回复 @最高速GO:re:c?,2017-04-25 18:14:22,0,0,Cerdinal,6,1,10024652,3,全○之馆与堕落之主,埃罗芒阿老师,GOrec,GOrec
回复 @团子即是信仰 :I will be back[阴险],2020-01-22 23:28:54,2,0,你也变了,6,1,10184012,4,埃罗芒阿老师,埃罗芒阿老师,I will be back,I will be back
回复 @Damingscarlet :怀念啊兄弟，你这个画风突变的表情已经没了。,2020-02-08 15:20:31,0,0,゚南极大虾,6,1,10184012,4,埃罗芒阿老师,埃罗芒阿老师,Damingscarlet,Damingscarlet
(ಡωಡ)hiahiahia2020年2月12日啊！,2020-02-12 10:54:14,0,0,u难难难u,6,1,10184012,4,埃罗芒阿老师,埃罗芒阿老师,hiahiahia2020212,hiahiahia2020212
我们一起来提议吧o(&gt;﹏&lt;)o,2017-04-30 12:46:56,500,0,辉夜尼特姬,6,1,10184012,4,埃罗芒阿老师,埃罗芒阿老师,ogtlto,ogtlto
没事，PSP里面桐乃和京介没有血缘，伏见老贼也承认PSP的脚本他进行过更改。,2017-05-28 10:02:34,281,0,七万桑,6,1,10366622,5,和妹妹一起创造轻小说计划吧,埃罗芒阿老师,PSPPSP,PSPPSP
回复 @bili_99831182768 :？？？怎么就两年半了,2020-01-02 23:33:57,0,0,w0desh0uha0leng,6,1,10534927,6,和泉征宗与一千万部的宿敌,埃罗芒阿老师,bili99831182768,bili99831182768
回复 @bili_94109116495 :是窃格瓦拉,2020-04-25 06:02:07,2,0,拂_晓前线,6,1,10534927,6,和泉征宗与一千万部的宿敌,埃罗芒阿老师,bili94109116495,bili94109116495
作为前黑猫党成员，表示十分同情征村&lt;(ToT)&gt;,2017-05-21 02:27:15,442,0,大呀嘛大绅士,6,1,10698862,7,妹妹与世界上最有趣的小说,埃罗芒阿老师,ltToTgt,ltToTgt
回复 @PeterJarvis:典型的浪输局（敲黑板）,2017-05-21 11:11:56,45,0,舞迷,6,1,10698862,7,妹妹与世界上最有趣的小说,埃罗芒阿老师,PeterJarvis,PeterJarvis
握草直接笑出声，你diao你diao,2017-05-21 10:58:50,123,0,混沌的包子,6,1,10698862,7,妹妹与世界上最有趣的小说,埃罗芒阿老师,diaodiao,diaodiao
回复 @北冥ALIVE :兴致全无(｀・ω・´),2018-12-17 21:03:20,7,0,晓来酱,6,1,11221428,10,和泉征宗与年幼的前辈,埃罗芒阿老师,ALIVE,ALIVE
回复 @57411619129_bili :俺妹是轻小说(´･_･`) psp那作在小说中期就已经出了,2019-01-04 09:48:01,12,0,蕾嘉特,6,1,11221428,10,和泉征宗与年幼的前辈,埃罗芒阿老师,57411619129bili  psp,57411619129bili psp
回复 @暗叶凋零Withered :应该学学路人女主里面的摄影师，那才是全B站最敬业的摄影师,2019-07-25 05:15:50,158,0,原地爆炸坐等飞升的ZZ,6,1,11400032,11,两人的相遇与未来的兄妹,埃罗芒阿老师,Withered B,Withered B
new game的摄影师[画风突变],2019-08-09 19:24:12,7,0,复读姬不会交互,6,1,11400032,11,两人的相遇与未来的兄妹,埃罗芒阿老师,new game,new game
回复 @Polarday-night :哈哈哈哈哈哈，天天大鱼大肉[吃瓜],2019-10-16 10:21:25,6,0,進撃の牛奶,5,1,11400032,11,两人的相遇与未来的兄妹,埃罗芒阿老师,Polardaynight,Polardaynight
￥JxqBYIj15mo￥,2019-11-03 20:45:54,0,0,是星河涅,6,1,11400032,11,两人的相遇与未来的兄妹,埃罗芒阿老师,JxqBYIj15mo,JxqBYIj15mo
"为！什！么！还！不！买！O！V！A！
埃罗芒阿老师在1月发售了《山田妖精的情歌》和《和泉纱雾的初吻》两部ova，反响相当不错，制作方甚至表示这两部ova的销量决定了有没有第二季，所以
小伙伴们顶我上去让b站看到啊！！",2019-03-28 00:30:12,74619,1822,是林喑啊,6,0,11597976,12,埃罗芒阿节,埃罗芒阿老师,"OVA
1ovaova
b",OVA 1ovaova b
回复 @_晨辰 :在上面搜埃罗芒阿老师OVA，下面有2个用户上传的OVA1 和OVA2,2019-06-12 00:29:38,106,0,有梦想的咸鱼也是咸鱼,6,1,11597976,12,埃罗芒阿节,埃罗芒阿老师,OVA2OVA1 OVA2,OVA2OVA1 OVA2
回复 @spring桐乃 :转眼7月了,2019-07-07 17:00:02,11,0,山楂味酸奶,6,1,11597976,12,埃罗芒阿节,埃罗芒阿老师,spring 7,spring 7
茄子：WDNMD,2019-08-21 21:09:24,4,0,一个盒饭,6,1,11597976,12,埃罗芒阿节,埃罗芒阿老师,WDNMD,WDNMD
