content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @kuntou :我感觉收到了假的回复,2017-01-14 20:06:13,8,0,ヘし切長谷部,6,1,7961887,1,史上最强女仆、托尔！(毕竟是龙嘛),小林家的龙女仆,kuntou,kuntou
回复 @34gLe :河蟹（●─●）,2018-10-22 23:33:37,1,0,多比奥-弗兰特,6,1,7961887,1,史上最强女仆、托尔！(毕竟是龙嘛),小林家的龙女仆,34gLe,34gLe
回复 @Jasonli843 :电表转到999999归0了，这就是用电不高的原因,2017-01-19 01:25:26,2077,0,湊-aquin-official,6,1,8084513,2,第二头龙、康娜！(剧透全开呢),小林家的龙女仆,Jasonli843 9999990,Jasonli843 9999990
"估算有误
一般家用电路电流有上限
1500亿千瓦时怎么也得几百万天吧
所以康娜其实不用多少电
破坏效果可能是依靠mana或直接操纵质能转化
而飞行可能依靠自身质量/自身重力的改变。我更倾向操作重力，不然小林无法承受如此高的G。
当然，采用立场/其他改变自身的空气动力结构也是必要的
否则小林会直接被吹到窒息。
除此之外，操作电磁波以达到隐身效果也是很有必要的。
甚至可能具备改变熵/时空构造的能力，用来修复房子。
好我编不下去了，叫阿虚吧╮(￣▽￣)╭",2017-01-21 23:22:15,834,0,你妹政府型,6,1,8084513,2,第二头龙、康娜！(剧透全开呢),小林家的龙女仆,"1500

mana
G",1500 mana G
回复 @Dfarewell:买的不会那么快的吧,2017-02-02 23:06:54,3,0,恶紫夺朱非正色,6,1,8334007,4,康娜、去上学！(虽然没有这个必要),小林家的龙女仆,Dfarewell,Dfarewell
回复 @54Fivefour :能活过25已经是大佬了(´；ω；`),2019-07-20 18:42:09,12,0,休伯利安舰长马特霍纳,6,1,8334007,4,康娜、去上学！(虽然没有这个必要),小林家的龙女仆,54Fivefour 25,54Fivefour 25
"这集原创回给人感觉很不错啊。这集从原作家长会的那集改编而来，但是这集原创丰富了很多剧情。
首先是一开始托尔和小林对话，小林回忆自己当初运动会的时候父母也是因为忙于事业而不能参加，而如今自己成了康娜的&#34;母亲&#34;之后，也面临着和当时一样的抉择，康娜后面的行为和基友的对话让小林意识到自己成为“母亲”应有的和过去的自己不同并且和过去的父母不同的改变，所以选择了加班提前完成工作。这里的改动我认为更加体现小林持家的能力，原作里是直接请假，而这里小林选择了加班，在完成工作的前提下去了运动会，这就和之前回忆中小林的父母完全不一样，更能突出小林对康娜的那种母亲的爱（宁可累到自己，也要满足孩子，差不多这个意思）。
第二个，这集还有之前托尔去小林公司的那回都有提及，小林逐渐开始改变，和之前的自己不一样了，这里我认为小林代表的是相当大多数的职业ol（甚至范围更大），不愿改变，做着和父母一样的事情，日子平淡过下去（这点在买文具和做便当都有很明显的体现），但是托尔和康娜的到来改变了这样一成不变的生活，生活更加戏剧化了，所以才渐渐有了改变，这样的改变怕不是会一直铺垫下去，在最后说不定会有令人震惊的结局（妹抖龙已经全部制作完毕）。
至于后面运动会的部分，由于分镜是新人做的，作画班底也马马虎虎，也就那样。
顺便这集加班部分，基友给小林递巧克力那段，在京吹2里也出现了同样的分镜，是明日香给久美子糖，来安抚或者表明我和你一起的这种感情，满满的既视感挺有趣的。
相比之下，下一回也是借了原作圣诞节篇的自由发挥，是石原+藤田的回，个人表示非常期待，石原老贼本身就很逗比，藤田好像也解锁了逗比属性，预告里那个从垂直改水平的夜景镜头，怕不是石原的京吹后遗症。石原老贼：即使只有一张图，焦外虚化给我往死里上。剧团这种全新的设定相信石原也是可以很好发挥的，毕竟做过京吹这种全篇剧团的佳作。
这集静止画和ppt略多，之前没有出现的bgm略多，怕不是偷懒开工紫罗兰(
赞美我京",2017-03-09 00:28:02,12902,200,猪仔包_zzb,6,0,9042355,9,运动会！(没有什么特别的意思呢),小林家的龙女仆,"3434“”
ol

2

pptbgm",3434 “ ” ol 2 pptbgm
我觉得接力那一段分镜和bgm很赞哇，是我naive吗,2017-03-09 01:04:45,14,0,章鱼猫94740,6,1,9042355,9,运动会！(没有什么特别的意思呢),小林家的龙女仆,bgmnaive,bgmnaive
回复 @hi94740 :接力那一段我个人认为，分镜主要是康娜那种毫无表情很淡定但是有一点认真的表情，不能算很出色啊（如果是你京的传统，那一段变成腿部动作的渐渐超过还有手部的动作说不定会更有意思，通过描写动作让观众猜测人物的内心），bgm是之前没有出现过的，稍稍有点意思，怕不是要填充ost(,2017-03-09 01:35:55,18,0,猪仔包_zzb,6,1,9042355,9,运动会！(没有什么特别的意思呢),小林家的龙女仆,hi94740 bgmost,hi94740 bgmost
回复 @Helly :恩2513楼才是复制粘贴,2017-03-23 22:29:03,5,0,Bili_9051391,5,1,9326290,11,年末年初！(并没有漫展的戏份),小林家的龙女仆,Helly 2513,Helly 2513
