content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
绝对是亲妈(๑&amp;gt;؂&amp;lt;๑）,2015-08-05 07:25:21,8,0,风灵鈺袖,6,1,2680857,4,小埋与竞争对手,干物妹！小埋,ampgtamplt,ampgtamplt
no zuo no die,2015-08-06 20:46:06,8,0,挫折禁止,5,1,2686499,5,小埋与暑假,干物妹！小埋,no zuo no die,no zuo no die
我去，一天没看到底发生了什么(=・ω・=)，sm号是sm26840551，有兴趣的人可以去看一下，原视频里说明的好像是本来就有潰瘍性大腸炎，结果还勉强模仿了这个吃法，一开始可能有些误导了orz,2015-08-06 22:49:16,53,0,lightuserzwh,6,1,2686499,5,小埋与暑假,干物妹！小埋,smsm26840551orz,smsm26840551orz
"_(:3」∠)_前，排放空耳，需要自取
av2579303
有木有wifi有木有wifi
有而且耐用五毛的！
有木有wifi有木有wifi
有而且耐用五毛嘞！
一直淡定坚信着物都一样烧饼当网线
我懂，我懂，但那心唯有奥特曼
命难于鸡汁咖喱难以用力
一朝又崛起萌动来！


耳机没了，哭都搞不定
就猛叫，多点可乐，可闹心的
大哥本子呢！我的激萌电影！
他说看不到，你那没？可惜哟~
当天趴下哭饶，可是忘了他不答应
阿鲁！哭诉让他玩，有理都含泪
打联盟，肝不动呀，要不，看北京JK
好啦！肯看，不哭打啦狠心的！
上空大，行，有我
一直断电，姑奶奶啊上边弄啥，来物管吧
只等，只等，game玩多我都急
欧尼酱玩起鼻息点灯
骑头，骑头，又弄熄灯鼓了掌呢
我告麻麻吼~不带你玩
待你死定了无赖该戏
有木有wifi有木有wifi
有而且耐用五毛的！
有木有wifi有木有wifi
有而且耐用五毛嘞！耶！
嗨！爱戏妹！",2015-08-06 03:15:50,12974,181,丧病空耳黄字君,6,0,2686499,5,小埋与暑假,干物妹！小埋,"3
av2579303
wifiwifi

wifiwifi













JK



game




wifiwifi

wifiwifi",3 av2579303 wifiwifi wifiwifi JK game wifiwifi wifiwifi
jomonmoono,2015-08-06 07:01:42,2,0,魔法的时间结束了,6,1,2686499,5,小埋与暑假,干物妹！小埋,jomonmoono,jomonmoono
跟着唱起来了&amp;quot;(º Д º*),2015-08-06 09:45:29,7,0,明明辣么萌,6,1,2686499,5,小埋与暑假,干物妹！小埋,ampquot,ampquot
"第一次看:这妹妹好烦人，我要是哥哥早把她打死了。
第二次看:好像也没那么讨厌，还有点可爱
第三次看:有没有wifi有没有wifi",2017-04-30 00:37:45,159,1,我的月未圆,5,0,2725180,6,小埋的生日,干物妹！小埋,wifiwifi,wifiwifi
高仿。。(&amp;lt;_&amp;lt;),2015-09-03 05:46:35,5,0,getsuyoubikirai,6,1,2850500,9,小埋与情人节,干物妹！小埋,ampltamplt,ampltamplt
"_(:3」∠)_前，排放空耳，需要自取

有木有wifi有木有wifi
有而且耐用五毛的！
有木有wifi有木有wifi
有而且耐用五毛嘞！
一直淡定坚信着物都一样烧饼当网线
我懂，我懂，但那心唯有奥特曼
命难于鸡汁咖喱难以用力
一朝又崛起萌动来！


耳机没了，哭都搞不定
就猛叫，多点可乐，可闹心的
大哥本子呢！我的激萌电影！
他说看不到，你那没？可惜哟~
当天趴下哭饶，可是忘了他不答应
阿鲁！哭诉让他玩，有理都含泪
打联盟，肝不动呀，要不，看北京JK
好啦！肯看，不哭打啦狠心的！
上空大，行，有我
一直断电，姑奶奶啊上边弄啥，来物管吧
只等，只等，game玩多我都急
欧尼酱玩起鼻息点灯
骑头，骑头，又弄熄灯鼓了掌呢
我告麻麻吼~不带你玩
待你死定了无赖该戏
有木有wifi有木有wifi
有而且耐用五毛的！
有木有wifi有木有wifi
有而且耐用五毛嘞！耶！
嗨！爱戏妹！",2015-09-10 03:16:58,11689,171,丧病空耳黄字君,6,0,2885313,10,小埋与现在与很久以前,干物妹！小埋,"3

wifiwifi

wifiwifi













JK



game




wifiwifi

wifiwifi",3 wifiwifi wifiwifi JK game wifiwifi wifiwifi
本集中出现了海老明送来的秋田稻。而之前就有日本商家打着“海老明家的米”的旗号，300g左右的大米售价450日元。。。（好放肆=_=）,2015-09-17 03:17:38,6132,92,废柴之歌,4,0,2915568,11,小埋的每一天,干物妹！小埋,“”300g450,“ ” 300g450
回复 @Dark Tranquillity：是一个地名，东京到名古屋的高速上面有个很大的服务区就在那儿，所以能被很多人知道,2015-09-18 13:03:20,13,0,电龙之尾,4,1,2915568,11,小埋的每一天,干物妹！小埋,Dark Tranquillity,Dark Tranquillity
"百度伪声吧(或者伪音) 然后各种献膝盖 ..都是变声期后学的 ,他们说变声期之前千万不要学伪声_(: &amp;gt;」∠)_",2015-09-17 16:20:22,52,0,土里埋起来,4,1,2915568,11,小埋的每一天,干物妹！小埋,ampgt,ampgt
干物妹！小埋MAD av84290900,2020-01-21 00:58:57,0,0,pushdota,6,1,2946335,12,小埋与大家,干物妹！小埋,MAD av84290900,MAD av84290900
回复 @LetmeC丶 :切绘不是认不出小埋吗,2020-01-26 22:30:48,0,0,泉名人,5,1,2946335,12,小埋与大家,干物妹！小埋,LetmeC,LetmeC
