content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"这番的两个主题
1:有没有WiFi？
2:胡萝卜辣不辣？",2017-10-09 12:33:27,23046,91,小玉的烂活日记,6,0,15219724,1,干物妹归来,干物妹！小埋R,"1WiFi
2",1WiFi 2
回复 @卷勒YW :Thank you sir♂,2018-10-24 23:19:48,69,0,Mukden_Wanderer,6,1,15219724,1,干物妹归来,干物妹！小埋R,YW Thank you sir,YW Thank you sir
"回复 @InterNetGhost :@未闻荡漾 @大橘猫不会游泳 @暗中观察队队长中分 @创世青森 @InterNetGhost 
这个楼层的第四楼我的评论被举报了，然后还被删了，我在系统消息里面看见了，肯定是你们其中的一个人举报的！",2018-12-03 21:46:20,6,0,渊雯YW,5,1,15219724,1,干物妹归来,干物妹！小埋R,InterNetGhost     InterNetGhost,InterNetGhost InterNetGhost
"我知道了
第三季就叫《干物妹！小埋SR》
第四季就是《干物妹！小埋SSR》
……(｀・ω・´)",2017-10-09 09:00:23,68890,1229,账号已注销,0,0,15219724,1,干物妹归来,干物妹！小埋R,"SR
SSR",SR SSR
@原神 @G-NI姐姐 @闪耀暖暖 @迹录Fount @装扮小姐姐 @温意湘 @UnoAkina,2023-02-04 03:01:26,0,0,面菜条,5,1,15428084,2,小埋和阿历克斯,干物妹！小埋R,GNI  Fount   UnoAkina,GNI Fount UnoAkina
回复 @94300551825_bili :第二集去看电影出现的侦探王南柯,2021-03-11 09:34:49,1,0,张颖琪12138,6,1,15428084,2,小埋和阿历克斯,干物妹！小埋R,94300551825bili,94300551825bili
回复 @夜に咲く青い花 :hhh，两年前写这条评论的时候还在写作业，现在上了大学，依然忙着各种“作业”,2020-02-11 12:29:31,2,0,杨迪拉巴,6,1,15634281,3,小埋和朋友,干物妹！小埋R,hhh“”,“ ”
回复 @_Drowsiness_ :打破[2233娘_大笑],2020-03-20 04:53:11,19,0,埋了Melody,5,1,15634281,3,小埋和朋友,干物妹！小埋R,Drowsiness,Drowsiness
回复 @YyDnc28:没事，还有主子陪我,2017-10-30 20:04:37,3,0,绝望と希望,6,1,15843465,4,和大家一起开派对,干物妹！小埋R,YyDnc28,YyDnc28
回复 @Rikutud:我决定欺负你这个专欺负老实人的,2017-11-06 09:16:44,27,0,旷世古今之超奇才领袖,6,1,16052342,5,哥哥的出差,干物妹！小埋R,Rikutud,Rikutud
重大消息:最新消息，最新消息，干物妹小埋没完结，完结的是干物妹小埋R，只不过是换了名字叫干物妹小埋G，将在《Young Jump53号》杂志上连载！！！！！！！所以小埋没有完结只不过是换了个名字继续连载！！！！！,2017-11-06 18:34:10,13931,196,NOWwonifm,6,0,16052342,5,哥哥的出差,干物妹！小埋R,RGYoung Jump53,RGYoung Jump53
回复 @mvxgk:的确是好消息。,2017-11-06 18:39:20,58,0,NOWwonifm,6,1,16052342,5,哥哥的出差,干物妹！小埋R,mvxgk,mvxgk
"荒矢田高校4大超能力者：
土间埋，变身能力者，可从160cm身高的少女变成50cm左右的仓鼠精。其兄长也拥有变身能力，但只能将头发的刺延长。
海老名菜菜，蒸汽能力者，可从头部散发出高热度的水蒸气，其兄长与她拥有一样的能力。
橘 希尔芬福特，瞬移能力者，似乎是从其母亲身上继承而来，能力略弱于其母，只能在旋转时瞬移。
本场切绘，隐身能力者，与其他几名能力者不同，她似乎是通过常年想要隐藏自己修炼而成而非通过遗传获得的能力。根据为其兄长并未发现具有类似的能力。",2017-11-13 00:37:10,20498,370,生命圣经早饭后第五版,6,0,16266495,6,小埋与梦想,干物妹！小埋R,"4
160cm50cm",4 160cm50cm
回复 @-Sigma- :黄+黑=绿（迫真）,2019-03-14 13:59:48,6,0,账号已注销,0,1,16266495,6,小埋与梦想,干物妹！小埋R,Sigma,Sigma
回复 @Kynon卡农 :草，我要被你活活的笑死,2019-06-19 21:07:23,1,0,温和争辩求同存异,6,1,16266495,6,小埋与梦想,干物妹！小埋R,Kynon,Kynon
回复 @hjb199706:如果哥哥很完美的话应该不会嫌弃吧，整天看番打游戏的就……,2017-11-20 21:51:51,425,0,議會の承諾,6,1,16484542,7,小埋与游乐场,干物妹！小埋R,hjb199706,hjb199706
回复 @cosmos403 :但现实中崩巴这样的哥哥比大平这种完美的哥哥要多得多嘛，所以.......(￣3￣),2017-11-20 22:54:05,689,0,热爱coh2的阿斌,6,1,16484542,7,小埋与游乐场,干物妹！小埋R,cosmos403 3,cosmos403 3
回复 @cosmos403:不会呀，我也是成天看番打游戏，和妹妹关系很好的。,2017-11-21 15:01:23,9,0,诺言雨诺,6,1,16484542,7,小埋与游乐场,干物妹！小埋R,cosmos403,cosmos403
回复 @GMleo:26岁左右吧，毕竟十年前他在高中,2017-11-27 12:50:20,15,0,第戎自由市,6,1,16692945,8,小埋与小光,干物妹！小埋R,GMleo26,GMleo26
回复 @dfguggg:朱自清《背影》？,2017-12-04 23:12:54,144,0,Amstertom,5,1,16909753,9,干物妹与回忆,干物妹！小埋R,dfguggg,dfguggg
我们不一样，每一个人都不一样~||Φ|(|T|Д|T|)|Φ|| （/TДT)/,2017-12-12 19:05:25,87,0,丸子子子子子子鸭,6,1,17136825,10,最初的大家,干物妹！小埋R,TT TT,TT TT
客服娘想要一个欧尼酱ヽ(*。&gt;Д&lt;)o゜,2017-12-10 23:35:38,18764,698,哔哩哔哩客服,6,0,17136825,10,最初的大家,干物妹！小埋R,gtlto,gtlto
回复 @LoyalKnigh凌羽:,2017-12-18 13:07:09,1,0,端游纯绿跑刀60,6,1,17362696,11,小埋与星空,干物妹！小埋R,LoyalKnigh,LoyalKnigh
