content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
你的评论让我笑出了声，哇哈哈哈(ಡωಡ)hiahiahia,2018-09-02 02:00:49,5,0,娅筱秋桐,3,1,11884237,1,告白,徒然喜欢你,hiahiahia,hiahiahia
F！FF！FFF！ヽ(`Д´)ﾉ,2017-07-18 23:56:56,823,0,岩崎阳子,6,1,12327930,3,近距离恋爱,徒然喜欢你,FFFFFF,FFFFFF
Hafu hafuヽ(`Д´)ﾉ,2017-07-19 00:16:49,19,0,摸鱼栞南,6,1,12327930,3,近距离恋爱,徒然喜欢你,Hafu hafu,Hafu hafu
"FFF
FFF
FFF",2017-07-19 06:13:33,7,0,Murphyson,6,1,12327930,3,近距离恋爱,徒然喜欢你,"FFF
FFF
FFF",FFF FFF FFF
回复 @Irisxu2624:有的人会去认识很多人找一个适合的，有的人会等一个适合的，后者就等成了单身汪    /笑哭,2017-07-28 10:51:48,200,0,用心听我唱,6,1,12573726,4,恋爱喜剧,徒然喜欢你,Irisxu2624,Irisxu2624
"这两天看了漫画，整理了一下现有的CP和现状。
好想急死你组：最初登场，雪地告白，至今没成
高濑春彦（2年1班 足球部）×神田沙希（2年1班 软式网球部）
调戏纯良组：日常调戏以及虐小姑子
古屋纯（2年1班 班长 放送部）×皆川由纪（2年1班 班长 软式网球部）
会长不良少女组：流氓会长与傲娇不良进展甜蜜
赤木正文（3年8班 学生会会长）×梶亮子（3年8班）
天文部前辈组：见面不多，恋情稳定
汤川英树（大学生 天文部前部长）×笹原五月（3年2班 天文部部长）
隐形眼镜组：木头少年与害羞少女，次次撒糖，甜到牙疼！
刚田武（2年4班 排球部部长）×上根绫香（2年4班 茶道部）
就是要急死你组：女生一开始是钢铁直女，之后互有好感，球球你们快表白吧
菅原卓郎（2年4班 足球部）×高野千鹤（2年4班 吹奏部）
笨蛋情侣组：老夫老妻，逗比小品二人组，欲二度开车仍被妈打断
内村千秋（2年4班）×饭岛香奈（2年4班）
自卑御宅组：去看同人展的时候告白啦撒花
山根隆生（2年7班）×栗原千代（2年1班 料理部）
青梅竹马组：男生暗恋部长中
加贺优树（1年6班 天文部副部长）←七濑熏（1年9班 天文部）
师生组：迟钝的老师终于有所察觉了但还是不确定啊
桐原洋一（2年7班班主任 英语老师）×千叶沙耶香（2年7班 图书委员）
空手道组：误会解除，现在是男生反击啦
相马千寻（1年3班 空手道部）×冴岛遥（3年5班 空手道部长）
稀饭寿司组：稳定进行中
辻啟介（2年4班）×帕特里希娅（2年4班 空手道部）
投喂吃货组：日常投喂零食，105话的时候告白啦啦啦
圆部和也（2年1班 学生会书记 吹奏部）×梨本由香利（2年1班 料理部）
吉他假面组：女生恋爱萌动中
生形伸二（3年2班 轻音部部长）×柴崎绘里香（3年8班 茶道部部长 轻音部）
面瘫组：连名字都很配的感觉啊，基本看背景识表情，面瘫的恋爱意外的有糖啊
砂川羲春（2年1班）×户田冬美（2年1班）
传闻组：互相增进了解中
荻上太一（2年7班 篮球部）×东条舞（2年7班 图书委员）
Rap组：内敛男与爽朗女，男生暗恋女生中
鬼束公仁（2年1班 梦想是rapper所以现在是归家部）×山田五和（2年7班 女子篮球部）
神助攻组：机油的春天啊，然而还没有告白什么的
本山友道（2年7班 空手道部）×榎本伊织（2年7班 关西转学生）",2017-08-01 22:34:50,14114,314,鹈鹕镇翻垃圾桶大王,5,0,12841495,5,远远地看着你,徒然喜欢你,"CP

21 21 

21  21  

38 38

 32 

24 24 

24 24 

2424

2721 

16 19 

27 27 

13 35 

2424 
105
21  21 

32 38  

2121

27 27 
Rap
21 rapper27 

27 27",CP 21 21 21 21 38 38 32 24 24 24 24 2424 2721 16 19 27 27 13 35 2424 105 21 21 32 38 2121 27 27 Rap 21 rapper27 27 27
回复 @乌洛波洛斯Ouroboros :急出爆炸头,2019-07-08 22:40:36,1,0,流云飞扬go,6,1,12841495,5,远远地看着你,徒然喜欢你,Ouroboros,Ouroboros
"终于等到了♥菅原和高野的第四次出场！！！可以说从这一次开始小千对小卓子的感情就越来越深了ww
总之他们之间那种青涩的感情真的很美好
（悄悄表白千鹤 她真是太可爱了！！！）
最后
谁敢反对高野千鹤x菅原卓郎，我就打爆他的头（bushi",2017-08-15 22:30:18,1673,14,企鹅厨普通路过,6,0,13400239,7,都是发烧惹的祸,徒然喜欢你,"ww

 

xbushi",ww xbushi
"回复 @颜值EX的红茶 :嗯，2020回复你有点晚了吧？
大概就是你嫂子永远是你嫂子，永远比你牛逼，斗不过",2020-03-27 10:43:12,3,0,至臻至善GER,6,1,13400239,7,都是发烧惹的祸,徒然喜欢你,EX 2020,EX 2020
回复 @cwz125 :好家伙,2021-02-19 17:22:07,2,0,南风sui我意,6,1,13400239,7,都是发烧惹的祸,徒然喜欢你,cwz125,cwz125
