content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"【87】：你怎么可能明白。想确认考试范围都找不到人能问一下，默默地用功，担惊受怕地直面自己的成果。而你们却聚在一起对答案比分数互相骂笨蛋互相鼓励以此逃避现实，而我却要一个人正面接受现实啊。 --大老师
【88】：这世上，有些事物悔之不尽。也有句话叫做往日无法重来。明明直到昨天还在普通的交谈，突然之间就拉开了距离，从此不再说话。频繁交换的邮件也就此断绝。这还算是好的情况。就连互相之间强颜欢笑，互相展露仿佛在确认“不要在意哦，我们还是在好好地扮演着朋友的哦”一般的笑容都是有的。即便如此，由于盘踞在脑海一角的意识无论如何也无法消去，于是顾虑着，也不知从谁开始互相疏远，然后就此结束。 --大老师 
【89】：并不是说只有传达心意，将一切挑明就是真正正确的。无法踏出一步的关系。不被允许跨越底线的关系。不能原谅被践踏的关系。电视剧或是漫画总是描绘在着越线之后的happyend。然而，现实并非如此。是更加的残酷，和冷淡。重要的事物，是无法替代的。失去了无可替代的事物，就无法再次取得。 --大老师 
【90】：我只是单单的想证明一件事而已。孤独的人并不是可怜的家伙，并不是因为孤独所以这家伙就是糟糕的家伙。这些只是我一个人独断的想法这种事情我是知道的。但是，现在的我不会去否定过去的我。一个人过的时间是罪恶的，一个人呆着是不好的，我绝不会说。 --大老师",2017-05-20 20:02:01,2478,0,添零零,6,1,2248863,1,于是 他们那有问题的青春开始了,我的青春恋爱物语果然有问题。,"87 
88“”  
89happyend  
90",87 88 “ ” 89happyend 90
回复 @Kirizor☆:不对，是第一部里说的,2017-05-21 07:52:15,186,0,添零零,6,1,2248863,1,于是 他们那有问题的青春开始了,我的青春恋爱物语果然有问题。,Kirizor,Kirizor
回复 @Cumin_powder :多看看书吧= =去看 夏目漱石的  心   这句话大老师是借鉴他的，看小说的目录后一页就知道了(*@ο@*),2017-05-21 08:26:57,311,0,波老师的今天昨天后天,6,1,2248863,1,于是 他们那有问题的青春开始了,我的青春恋爱物语果然有问题。,Cuminpowder,Cuminpowder
回复 @MuBa_Official :感觉你过度解读了。付き合ってくれる就是请求陪伴的意思，付き合ってください才是交往的意思。[脱单doge],2023-02-18 13:56:22,1,0,个別同学,6,1,209316867,6,他与她的开始 终于结束了,我的青春恋爱物语果然有问题。,MuBaOfficial,MuBaOfficial
回复 @仙灵_fairy :游戏在哪整啊[笑哭],2024-11-10 17:56:09,0,0,古古怪界伟大先知,4,1,721865173,7,不管怎样 说是暑假却没能享受假期绝对有问题,我的青春恋爱物语果然有问题。,fairy,fairy
回复 @吴东断华 :渡航是超级neta家，原作neta用的数不胜数,2024-02-04 09:40:11,3,0,彼方のAliya,5,1,721865173,7,不管怎样 说是暑假却没能享受假期绝对有问题,我的青春恋爱物语果然有问题。,netaneta,netaneta
回复 @安古伊萨Factos : 第二季雪乃，太温柔,2023-05-24 22:01:36,1,0,都晚安,3,1,806763358,8,他们和她们终将得知真相,我的青春恋爱物语果然有问题。,Factos,Factos
回复 @fullandfall :哈哈,2022-01-20 09:39:09,20,0,热水敷口香糖,6,1,336818763,9,他第三次走上了回头路,我的青春恋爱物语果然有问题。,fullandfall,fullandfall
回复 @比诺托official :挺好的，不像我，只有一堆巴掌,2023-08-18 21:19:18,0,0,翁诚锴,5,1,336818763,9,他第三次走上了回头路,我的青春恋爱物语果然有问题。,official,official
回复 @InYourHead :没啥本事还不是最要命的 ，最要命的是她揽下了职位却不干活 ，整天就搁那闲聊，甚至开会都能故意迟到，连最基本的态度都不端正,2022-03-11 01:35:05,290,0,太清yiyang,5,1,634317082,10,他们的距离依然没有变化 文化节则已快化为狂欢,我的青春恋爱物语果然有问题。,InYourHead,InYourHead
回复 @大聪明5656 :优美子还是ok的,2022-04-06 01:03:10,13,0,吾之百灵鸟,6,1,634317082,10,他们的距离依然没有变化 文化节则已快化为狂欢,我的青春恋爱物语果然有问题。,5656 ok,5656
"「看，很简单吧，没有人受伤的世界完成了。」
我相信无数人与我一样曾为大老师的这句（中二）名言所震撼。钦佩过后，我们分明看到了大老师孑然一人坐在天台。什么没有人受伤，受伤的人这里不就有一个吗？应该不止我一人有这种想法吧。
原作同卷，稍微往前的部分。
「不论是靠感情论还是毅力论还是精神论，这个世界、这个社会、这些团体都不会有任何改变。」
「这次由我告诉大家，要怎么做才能真正的改变世界。」
很帅，也很中二。世界是否因此改变我们并不知晓，但这段话本身却有些问题。  问题不出在这段文字本身，而是与大老师在第四卷时的想法相悖。
「Q：世界不会改变，可以改变的是自己。那么你会如何改变？」
世界既然无法改变，那么大老师又为何会说出「要怎么做才能真正的改变世界。」
因为他改变了自己。
「A：我会成为新世界的神。」
没错，身为「人」的大老师无法对这个世界作出任何改变，所以他选择成为「神」。  只有成为「神」，他才能不将自己但做人来看，只有这样他才能说出「没有人受伤的世界完成了。」因为此时的他是「神」。因为不是人，所以受伤了也没关系。只要没有「人」受伤就好了。大老师也多次说过，他并不认为自己在「牺牲」。因为那时身为名为独行侠的「神」的义务。
综上所述，大老师是神。",2021-12-02 20:30:01,5742,37,霜染ShimoSo,6,0,379311080,12,即使如此 他和她和她的青春依然永远都有着问题,我的青春恋爱物语果然有问题。,"Q


A",Q A
回复 @AM-400 :不要太说的过于真实,2022-02-16 20:34:08,30,0,赤灵利莫,6,1,464370137,13,所以 他们的庆典不会结束,我的青春恋爱物语果然有问题。,AM400,AM400
