content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @Megumi惠痴 :雪之下虫乃:别问，问就是真香[doge],2020-07-10 15:35:17,85,0,花开零落时,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完,Megumi,Megumi
回复 @81332048350_bili :最后十四话已经定了，想要if线建议玩游戏,2020-07-10 15:12:22,386,0,平平凡凡比企谷,5,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完,81332048350bili if,81332048350bili if
"yysy,qs",2020-08-07 15:32:43,6,0,阿多尼斯多吃肉,2,1,884129826,5,感慨地 平冢静回忆往昔,我的青春恋爱物语果然有问题。完,yysyqs,yysyqs
回复 @KFDLG :这个是14卷了,2020-08-07 15:46:14,3,0,貓魘の華,6,1,884129826,5,感慨地 平冢静回忆往昔,我的青春恋爱物语果然有问题。完,KFDLG 14,KFDLG 14
回复 @KFDLG :十四卷跟雪妈对线那里,2020-08-07 15:52:02,5,0,黄金巨匠Orfevre_,5,1,884129826,5,感慨地 平冢静回忆往昔,我的青春恋爱物语果然有问题。完,KFDLG,KFDLG
第八集一个小高潮吧，就是不知道后面14卷到底怎么分的，看标题感觉emmm,2020-08-07 15:40:26,7,0,白凤峰双花红棍,6,1,884129826,5,感慨地 平冢静回忆往昔,我的青春恋爱物语果然有问题。完,14emmm,14emmm
回复 @ftkiller :下集就是做网吧,2020-08-07 15:56:00,2,0,月见阳与星,6,1,884129826,5,感慨地 平冢静回忆往昔,我的青春恋爱物语果然有问题。完,ftkiller,ftkiller
"本集动画画面基本上维持了上集的水平还是挺不错的，在删改方面也意外地不算很大出入，如同第一集，只是把某个情节调换顺序换到了下一集，其他的都算正常范围的删减。唯一的担忧可能只是因为这集水的片段又双叒叕变相削减了14卷的动画时长这点会让人不满。
（呼吁大家不要无脑说这集没雪乃就垃的，垃的原因可以具体说，不要无脑，单这集真的没什么大问题，目前为止最大问题的删改还是第4集，拔旗改成脸红真是活久见）
这里我仅对一些动画里也有出现的细节用原文再补充具体一点，毕竟细节还是有点东西的，动画也难能可贵的没有删掉没有大改。

关于团在帮小企，这个跟下集有关系（如果下集动画又删了当我没说）：
由比滨无精打采地走过去，在进教室前停在门口。我回头看她怎么了，由比滨低着头，好像在想事情。不久后，她抬起脸看我，面色凝重。
【……这件事，我也想帮忙不可以吗？】
由比滨眼神毫无动摇，笔直地看着我。抿成一线的嘴唇及大眼，透露出内心的挣扎。看见这样的表情，我实在拒绝不了。

关于选座，一开始团就想双人座而八幡不想：
“但是，电脑里没有Office不行啊……”
写东西的工作不能没有文书制作软件。简单的文字编辑器也不是不行，但是企划书的话还是有Word, PPT之类的最好。
【我这么说着，由比滨泄了泄气。】
&#34;是喔—&#34;
【我偷偷松了口气。】
这时，一直默默看着我们的店员微笑着说：&#34;也有附Office的双人座喔。&#34;
【由比滨也笑着跟神应对的店员道谢。】&#34;啊，这样呀！谢谢……店员说有。&#34;
她问我「怎么样？」好，将军。我认输。&#34;那、那，就这个双人平躺的…&#34;
【我用颤抖着的手指，指向双人平躺座。】
店员露出不输给暖气的温暖笑容，俐落地快速处理好，带我们入座。眼神同样温暖，害我怪难为情的，外套底下的身体不停冒汗。
【我并不是讨厌双人座。可是，与其说害羞或不知所措，我对于在狭窄的空间中如何自处毫无信心，为此感到困惑罢了。】",2020-08-14 15:26:16,5514,66,新0504,6,0,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,"14
4








“Office”
Word PPT

3434

34Office34
3434
3434",14 4 “ Office ” Word PPT 3434 34Office34 3434 3434
回复 @goldchang :有些集本身真的还好，比如第1集。就是这么水，总时长又不允许他全部做出来，所以会让人不忿。如果时长充足，他随便水绝对不是缺点,2020-08-14 15:40:11,66,0,初恋难忘初次心痛,2,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,goldchang 1,goldchang 1
考虑到第13集还有OVA，14卷应该还是够的,2020-08-14 16:03:06,1,0,Aldouz,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,13OVA14,13OVA14
回复 @锈湖Aldous :官方说过，一共只有12集。。。[tv_腼腆],2020-08-14 16:12:36,9,0,新0504,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,Aldous 12,Aldous 12
回复 @锈湖Aldous :得了吧，官方明确一共12集而且明确是用12集做【完】14卷全部内容做到14卷结束。别整天做梦有的没的。就这个官方，只有团粉配做梦哒,2020-08-14 16:16:15,23,0,初恋难忘初次心痛,2,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,Aldous 12121414,Aldous 12121414
回复 @某站的小B :nonono。后面几乎删改透了。动画党啊。你接着看就知道了[吃瓜],2020-08-14 16:30:20,8,0,影本影,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,B nonono,B nonono
回复 @goldchang :feel肯定给你删光光，要不然做不到12话,2020-08-14 22:33:38,0,0,千寻_memories,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,goldchang feel12,goldchang feel12
回复 @goldchang :是啊，我以为会删减关于找其他帮手帮忙的片段毕竟对剧情没有大的影响交代下就是。就是可惜了对玉绳的塑造（不过问题不大，嗯，确信）结果我看下集预告愣是直接把游戏二人组跟海滨高中做出来了。。。你说海滨我能理解，但游戏二人组第一季戏份都删了干脆全删完啊做出来干啥?我现在对十四卷能做多少出来已经没底了除非直接半年番（宁说，可能么）照这样估计后头大老师和海老名跟叶山的剧情必须删不然怕是十四卷演不完。但这两段又是推经剧情重要的地方。真搞不懂feel到底想干嘛了。。。真就团子出场地方都做出来雪乃桥段阉割完吧。。。我只希望十三卷间章雪乃自白和后头天桥那段，还有静可爱和大老师跳舞那段能够做细致点吧[捂脸][大哭],2020-08-14 22:39:05,6,0,齐飞健康明天,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,goldchang feel,goldchang feel
回复 @Lostud :所以这和我们婊feel又有什么关系呢？[doge],2020-08-14 22:57:25,65,0,致--黯淡星,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,Lostud feel,Lostud feel
回复 @Lostud :老琼瑶了,2020-08-15 13:22:46,3,0,極天的流星雨丶,6,1,711682606,6,再一次 比企谷八幡主动攀谈,我的青春恋爱物语果然有问题。完,Lostud,Lostud
回复 @Exynos671 :说得直白点就是组CP,2020-08-21 20:41:15,2,0,梦醒时分DMC,6,1,884254242,7,直到最后 由比滨结衣都会继续守望,我的青春恋爱物语果然有问题。完,Exynos671 CP,Exynos671 CP
"回复 @江流陌上 :原作是有rap的描写，但还是有被尬到，肥渡也在推特上吐槽，可能谁也没想到feel会把重心放在了这段rap上
原作：
“把想到的词堆出来什么的真是自由风啊。意识高系的词跟日语rap亲和度高得异常。”
“感觉到手转得比刚才还快了，最后像是用手枪指着我一样，竖起来手指。”
“各自发出的噪音重合，做出类似不协和音的音轨。节奏和拍子让我的焦躁干加速，总之得先说点什么于是胡乱的张开口。”",2020-08-21 17:09:19,3457,0,在下海豚,6,1,884254242,7,直到最后 由比滨结衣都会继续守望,我的青春恋爱物语果然有问题。完,"rapfeelrap

“rap”
“”
“”",rapfeelrap “ rap ” “ ” “ ”
"回复 @Wayne19980 :现在看着有多难受
发糖时就有多甜啦

他们俩这种放不下对方独自暗地里揣摩对方的意思的行为也就是我们青春对喜欢的人都样子嘛（￣▽￣）",2020-08-28 16:10:48,243,0,森宝宝123,6,1,201928122,8,祈祷着 希望至少别再搞错了,我的青春恋爱物语果然有问题。完,Wayne19980,Wayne19980
用(小说)13卷后比企谷八幡现在的心情来说对feel心如死灰啊[无语],2020-08-28 17:22:24,27,0,LQ如风,6,1,201928122,8,祈祷着 希望至少别再搞错了,我的青春恋爱物语果然有问题。完,13feel,13feel
回复 @REEEEEAAAAAL :11集feel也不会让你好好看的，剧情快的飞起，约会删掉，想吃糖，不存在的,2020-08-28 15:15:27,101,0,不_幹_了,5,1,201928122,8,祈祷着 希望至少别再搞错了,我的青春恋爱物语果然有问题。完,REEEEEAAAAAL 11feel,REEEEEAAAAAL 11feel
"大家不要以为feel给团子加戏是喜欢团子。
这一点很错。错的离谱。
feel只是希望周边好卖而已，所以就玩起了党争游戏，雪乃团子一色沙希都是党争游戏的棋子而已。雪乃人气毋庸置疑。但是团子甚至比一色还差。这样下去周边怎么办？所以第三季就给结衣加戏。加莫须有的哭戏。加莫名其妙的戏份，都只是希望周边大卖而已。
仅此而已。",2020-08-28 15:19:01,1224,0,影本影,6,1,201928122,8,祈祷着 希望至少别再搞错了,我的青春恋爱物语果然有问题。完,"feel

feel",feel feel
回复 @arkcityhunter :没错,2020-08-28 15:19:08,7,0,影本影,6,1,201928122,8,祈祷着 希望至少别再搞错了,我的青春恋爱物语果然有问题。完,arkcityhunter,arkcityhunter
回复 @Yizling :你看完后觉得大老师是渣男？,2020-09-04 15:36:33,46,0,TUTou男孩,6,1,286943717,9,每当闻到这股香味 一定会想起那个季节,我的青春恋爱物语果然有问题。完,Yizling,Yizling
回复 @TUTou男孩 :楼中楼第一那个人的意思是，心疼八幡原作明明顶级好男人，被动画试图改成渣男的意思吧。虽然我也不赞成用渣男这个词，毕竟团粉太喜欢污蔑八是渣男了。,2020-09-04 15:41:06,192,0,Dorothy的喵,6,1,286943717,9,每当闻到这股香味 一定会想起那个季节,我的青春恋爱物语果然有问题。完,TUTou,TUTou
回复 @TUTou男孩 :说的是被动画私货魔改的八，原作比企谷八幡是一直一心一意爱雪乃，对团子一直都是暗示般的拒绝，动画私货魔改表现出来的就是，把八对团的暗示拒绝，无奈，尴尬全部改成了脸红，动画八看上去拼命对团神脸红有点渣男是因为制作组为捧团神削弱八雪恋情的私货魔改，八是受害者，太惨了，动画的八已经严重ooc了,2020-09-04 15:42:56,513,0,Yizling,4,1,286943717,9,每当闻到这股香味 一定会想起那个季节,我的青春恋爱物语果然有问题。完,TUTou ooc,TUTou ooc
14卷第4章中有很多小段都是我特别喜欢的——尤其是不会被动画选中仔细刻画的部分，诚心邀请大家看看小说描述，悲剧氛围写得非常优秀。那些嚷嚷自己”硬核八雪厨“却批判原作是”普通“恋爱结局的，怕是根本没有看过14卷4章完美的悲剧描写就在装了。喜欢BE向的看14卷前面也能享受到唯美的BE文学。至于下一话动画会不会有罗密欧与朱丽叶的演出……我反正是不敢有这种妄想了。但看原作的时候，配合文字脑海中呈现的画面，确实很美。,2020-09-04 15:02:06,298,0,游云飞泥,6,1,286943717,9,每当闻到这股香味 一定会想起那个季节,我的青春恋爱物语果然有问题。完,144”“”“144BE14BE,144 ” “ ” “ 144BE14BE
"第十集对应的是14卷第5章，八幡和雪乃「最后的告别」，而这牵动人心的情节中，有一个被反复运用的意象不容忽视——冰冷的指尖。上一集的热评中已有人梳理了这一意象的多次使用， 但显而易见，这些细节描写在第九集中丝毫没有体现，动画制作组大刀阔斧地删去了与之相关的一切描写和独白，八幡此时痛苦悲凉的心境无从得知，只能看到和团子共处一室时挥之不去的脸红，甚至还多次通过画面细节的改动试图表现出八幡对团子的在意，刻意淡化雪乃对八幡造成的深刻影响，这里不再展开说，先谈一谈第九集中关于「冰冷的指尖」的删减。

第九集的第一幕就跳过了八幡照镜子的情节和内心独白，直接跳到了和小町的交谈，前面那种压抑沉重的气氛根本没有提及，而八幡与雪乃分别后的消沉也荡然无存，发誓要实现雪乃愿望的决绝呢？因雪乃执意结束关系而产生的些许敬意呢？自己哀莫大于心死的欲哭无泪呢？这些东西随着冰冷的指尖一齐消失在了动画中，八幡对雪乃的感情线都刻画得如此模糊，后面感情冲突最激烈的地方又如何做好？

至于之后对这一意象的多次提及，例如在团子面前揉搓max咖啡缓解指尖冰冷的情节，则干脆做得不明不白，八幡内心的纠结痛苦不予表现，反而去强调八幡和团子交谈时的开心？连内心挣扎的情节都被改成了欢声笑语，「实现团子的愿望」彻底变成了一件八幡乐在其中的事情，呵呵。实际上，指尖的那抹冰凉，并不只属于八幡，雪乃同样因为关系的结束而感到痛苦与绝望，阳乃口中的「共依存」不断折磨着他们的身心，两人共同的冰冷的指尖，便是最好的证明。",2020-09-11 15:27:40,7699,60,独角兽不加灯,6,0,797094761,10,飒爽地 平冢静迈向前方,我的青春恋爱物语果然有问题。完,"145 



max",145 max
"回复 @慕绫mio :所以，我用粗糙的手指，像是对待易碎品一般尽可能地缓缓触碰，接着静静地、不发出一丝声响地把它拉开。
————————————————
原文是这样的。其实这里雪乃是想好好跟八幡说明，断绝“依存”关系，但雪乃说出最后宣言之前，八幡强行用“我明白了”“再见”，给打断了。这里八幡是想要逃避，所以拉开了雪之下。但这阴间动画之前就缺乏感情铺垫，这里细节描写也不够，不看小说真容易理解错",2020-09-11 15:54:18,414,0,单刀小王子,6,1,797094761,10,飒爽地 平冢静迈向前方,我的青春恋爱物语果然有问题。完,"mio 

“”“”“”",mio “ ” “ ” “ ”
feel diss,2020-09-11 17:50:42,5,0,Hidrir,6,1,797094761,10,飒爽地 平冢静迈向前方,我的青春恋爱物语果然有问题。完,feel diss,feel diss
"回复 @Iamdahuangyao :是因为对触碰感到犹豫吗？我的指尖一瞬间微微颤抖。或许，这说不定是因为被碰到而吓到的她的颤抖。
-    但是，在确认之前彼此的手指已然分开。

————————
个人理解这里两人应该是那种若即若离的感觉，雪乃想让大老师明确两人关系的结束，但她其实内心其实是迷茫痛苦的，大老师轻触后雪乃手就松开了
【在确认之前两人手就分开了】
动画真是企业级理解",2020-09-11 21:11:45,15,0,单刀小王子,6,1,797094761,10,飒爽地 平冢静迈向前方,我的青春恋爱物语果然有问题。完,Iamdahuangyao,Iamdahuangyao
那些同情心泛/滥不去彰显自己心疼别的角色就会si的“我是雪乃粉”，不去心疼最深不见底又最爱雪乃的阳乃？就因为阳乃没有天天卖惨哭吗？得了，廉/价的卖惨吸引廉/价的人的同情，雪之下一家都不需要这种廉/价的人的“喜欢”就是了。就是麻烦把你们化的不/伦/不/类的“我是雪乃粉”的妆给卸了再说话行吗，团壬们。,2020-09-11 16:19:44,147,0,最讨厌后宫了,2,1,797094761,10,飒爽地 平冢静迈向前方,我的青春恋爱物语果然有问题。完,si“”“”“”,si “ ” “ ” “ ”
回复 @serebiij10 :那里看懵我，还有那个金耳环，一出场把我看傻眼了[笑哭],2020-09-11 17:33:00,0,0,为了幽暗女王的胜利,6,1,797094761,10,飒爽地 平冢静迈向前方,我的青春恋爱物语果然有问题。完,serebiij10,serebiij10
回复 @KFDLG :八幡对材木座说过：要是咱们70岁了还单身的话，一起去一家养老院过日子吧。[OK],2020-09-18 15:56:28,67,0,艾米ime,6,1,372091713,11,心意 透过肌肤的温度确实传达过来,我的青春恋爱物语果然有问题。完,KFDLG 70,KFDLG 70
partner有伴侣的意思,2020-09-25 19:47:17,66,0,美好连续平凡的每一天,6,1,797202594,12,我的青春恋爱物语果然有问题,我的青春恋爱物语果然有问题。完,partner,partner
