content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
kita kita！,2025-02-21 22:36:39,0,0,乘风沐雨归去来,6,1,82846771,1,LEVEL5超能力者,某科学的超电磁炮T,kita kita,kita kita
"庆祝某科学的超电磁炮T.第二集开播！俺今天也在活跃着！

各位看到俺的选手宣誓了吗？虽然只有op前短短几分钟，但也是相当有骨气啊！

开始忽然忘了点词，但是剩下的部分靠骨气补上啊啊啊！毕竟这也是他人的请求，一定会完成！

  至今俺也遇到过很多陷入苦难的人，如果是有困难的人俺是不会拒绝的！可能会有很多不了解的领域！但俺有许多不同的证件！应对各种情况没问题！

你也有什么请求的话，放心直说吧！俺会拼劲所有骨气去完成的！

要问为什么，硬要说的话还是因为俺是有骨气的男人吧！所以你就尽管交给俺吧！

嗯，你说俺是第七位？这跟lv还有第几位没关系啦！俺的骨气能一定能成为你的力量的！即便各种障碍曲折在眼前阻挠，也要以骨气克服一切啊啊！

削板军霸的根性粉丝集中地——qq群：779585142",2020-01-18 00:48:17,257,18,见月为凛,4,0,83853313,2,大霸星祭,某科学的超电磁炮T,"T

op



  





lv

qq779585142",T op lv qq779585142
顶顶！看了漫画后立刻被骨气圈粉qwqwq,2020-01-18 12:54:33,2,0,遥かP,6,1,83853313,2,大霸星祭,某科学的超电磁炮T,qwqwq,qwqwq
bilibili的bilibili在疫情严重的时候带口罩提醒我们要注意安全，我哭了，你们呢？[福][福到了],2020-01-25 00:42:54,1351,0,御坂520,6,1,84849359,3,气球猎人,某科学的超电磁炮T,bilibilibilibili,bilibilibilibili
岸田教團演唱的 ED主題曲完整版av83894915,2020-01-25 01:10:35,1,0,AHWSL,4,1,84849359,3,气球猎人,某科学的超电磁炮T,EDav83894915,EDav83894915
回复 @御坂美琴NO1 :那确实，原来看s的时候也被虐死了(´；ω；`)后来都好起来了,2020-02-01 09:16:09,70,0,落樱缤纷c,6,1,85923520,4,篡改,某科学的超电磁炮T,NO1 s,NO1 s
Ha☆Na☆Sai,2020-02-29 02:45:23,60,0,橘子汽水_摄影版,6,1,92478490,7,百闻不如一见,某科学的超电磁炮T,HaNaSai,HaNaSai
真的很喜欢超炮的ED  虽然歌旋律燃，但就不看歌词也能从歌名感受到食蜂女王的孤独，即使拥有操作人心的能力，即使成为了level5，但却无法找回当年的那位少年，也找不回那份无可代替的时光，只能带着微笑远远的看着那位少年，食蜂:只要看着，仅仅看着他就行，那份记忆我会一直记住的,2020-03-21 00:05:22,1618,0,托尔芬,6,1,97929813,8,超电磁炮 x 心理掌握,某科学的超电磁炮T,ED  level5,ED level5
"我木原幻生又来了[吃瓜]，本集中我将夺取外装带脑权限并向御坂网络注入病毒，以实施我的另一个lv6进化实验 [阴险]我是绝对能力者进化领域中的元老，坚信科学的发展过程中必须要有牺牲，设计了一个又一个绝对能力者进化计划，由于之前实验计划失败（炮一能力体结晶，炮S妹妹们)这次我新的目标就是御坂美琴
          关于我这么做的原理       
  第一季中木山春生曾经使用过幻想御手，实质是调节脑波频率相同，我在这里也是运用相同知识来夺取外装代脑，获得了心理掌控。食蜂这里只在第一层（以为只要让登陆变得麻烦就行）而我已经在第五层了[阴险](外装代脑只能一人有登陆权限）
    关于一方为什么倒了
  注入病毒后一方失去了御坂网络的支持，没有御坂网络支持的一方是个。。大脑重残的残疾人士
   本集的最后期待的丧炮终于登场了（最后ed感觉插入不错，丧炮太帅了！但是小琴琴有点惨。。看完生肉激动了很久[哦呼]）",2020-04-05 00:30:07,14543,264,账号已注销,0,0,625013496,10,才人工房,某科学的超电磁炮T,"lv6 S
                 
  
    
  
   ed",lv6 S ed
"众所周知，有当麻在的地方，lv6计划是不可能成功的[妙啊][doge]
b站lv6除外[doge][doge]",2020-04-11 00:05:08,44245,683,绯色碎月,6,0,840173190,11,参战,某科学的超电磁炮T,"lv6
blv6",lv6 blv6
